Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601050723,Monday,NA-Asia,6.42,-0.02,26.12,3.73,2,13,1,4.29,37.14,20.00,25.64,37.14,35,50.00,50.00
2601060529,Tuesday,Post-NA,6.40,0.20,25.13,4.54,1,12,1,4.67,40.00,24.72,16.13,12.50,48,66.67,69.01
2601070149,Wednesday,Pre-NA,6.60,0.43,29.37,5.52,1,15,0,4.19,40.48,28.30,20.83,30.95,42,83.33,83.01
2601140549,Wednesday,NA-Asia,7.03,-0.39,24.79,4.26,1,7,1,5.24,40.00,24.19,17.14,17.24,29,16.67,16.83
2601160828,Friday,NA-Asia,6.64,0.40,20.25,3.98,2,8,1,5.06,30.56,17.91,16.36,15.62,32,83.33,42.14
2601180507,Sunday,Post-NA,7.04,-0.31,22.73,3.30,3,7,1,4.92,42.86,15.38,16.67,24.00,25,20.00,15.60
2601190743,Monday,NA-Asia,6.74,-0.22,24.84,3.36,1,8,0,5.18,22.22,28.09,19.51,12.82,39,33.33,32.69
2601200030,Tuesday,Pre-NA,6.52,-0.29,24.03,3.47,1,9,0,4.97,32.61,20.00,21.05,8.11,37,25.00,27.31
2601222213,Friday,Post-EU,6.23,-0.31,26.98,3.51,1,8,2,4.94,36.67,21.43,27.50,11.76,34,20.00,28.85
2601270246,Tuesday,Post-NA,5.91,-0.22,25.97,4.03,2,10,0,5.03,43.75,15.28,30.00,22.50,40,33.33,52.29
2602020929,Monday,Pre-Asia,5.69,-0.20,23.67,3.17,2,11,0,4.97,45.65,15.58,15.22,20.00,40,33.33,32.84
2602081133,Sunday,Pre-Asia,5.49,-0.18,28.78,3.38,0,10,0,5.22,52.00,17.24,12.90,17.50,40,33.33,47.30
2602081905,Monday,Pre-EU,5.30,-0.19,27.94,3.89,0,5,0,4.89,47.06,25.00,18.52,15.79,19,16.67,53.11
2602130043,Friday,Pre-NA,5.11,0.19,21.71,4.59,6,10,0,4.21,25.71,20.69,20.34,24.24,33,66.67,68.74
2602220742,Sunday,NA-Asia,5.30,-0.39,17.61,2.63,0,5,0,5.36,44.83,5.97,17.39,12.00,25,16.67,10.55
2602250917,Wednesday,Pre-Asia,4.91,-0.10,26.75,3.66,1,8,1,5.38,34.29,24.05,25.58,19.05,42,41.67,71.23
2602270633,Friday,NA-Asia,4.81,0.37,24.79,3.74,1,3,0,5.28,48.39,18.00,13.89,17.24,29,83.33,62.81
2605270453,Wednesday,Post-NA,5.17,-0.18,24.63,3.35,1,4,1,5.67,40.00,16.42,29.79,6.06,33,33.33,31.81
2605290743,Friday,NA-Asia,4.99,0.18,20.57,3.44,1,10,0,4.31,53.85,14.67,10.00,27.59,29,50.00,45.22
2605310642,Sunday,NA-Asia,5.17,-0.17,21.52,4.36,2,9,4,5.06,50.00,16.46,12.24,11.76,34,50.00,51.74
2606010557,Monday,NA-Asia,5.00,-0.37,23.08,2.84,0,8,0,5.18,39.47,10.45,28.95,18.18,33,16.67,25.00
2606042357,Friday,EU-NA,4.63,0.10,35.48,4.24,0,3,1,5.46,63.64,21.43,16.67,27.27,11,100.00,71.97
2606070419,Sunday,Post-NA,4.73,0.00,30.83,5.01,3,7,1,5.27,51.72,16.33,33.33,13.51,37,60.00,84.40
2606092310,Wednesday,EU-NA,4.73,0.37,29.49,3.55,4,13,0,4.93,42.86,19.70,31.25,21.74,46,66.67,82.26
2606102120,Thursday,Post-EU,5.10,-0.09,24.35,3.86,2,5,0,4.89,48.39,18.52,10.00,10.71,28,40.00,32.72
2606130437,Saturday,Post-NA,5.02,-0.29,34.23,6.88,0,14,4,5.12,57.14,22.03,32.73,17.65,51,20.00,53.61
2606130712,Saturday,NA-Asia,4.72,0.48,34.44,6.72,1,12,1,5.17,56.82,28.12,20.93,17.31,52,100.00,89.31
2606181424,Thursday,Post-Asia,5.20,0.00,31.76,4.89,0,13,1,4.72,55.88,18.18,33.33,14.89,47,50.00,62.34
