Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601011011,Thursday,Pre-Asia,11.75,0.32,32.14,8.74,5,20,1,3.56,70.83,26.00,15.79,41.67,36,80.00,50.00
2601031038,Saturday,Pre-Asia,12.07,-0.21,25.93,5.89,1,5,0,4.71,60.00,13.79,10.00,28.57,14,0.00,9.61
2601040610,Sunday,NA-Asia,11.86,-0.26,31.36,5.49,2,17,0,4.53,52.78,28.57,21.43,18.87,53,25.00,37.95
2601051410,Monday,Post-Asia,11.60,-0.20,33.07,6.88,1,11,0,4.86,55.56,21.15,28.20,16.67,42,33.33,56.49
2601061413,Tuesday,Post-Asia,11.39,0.00,36.05,7.42,3,16,0,5.11,54.84,36.49,21.43,22.64,53,50.00,83.80
2601071400,Wednesday,Post-Asia,11.39,0.49,39.85,10.71,5,25,3,4.00,71.80,36.51,11.11,41.82,55,100.00,89.65
2601160828,Friday,NA-Asia,11.88,-0.20,50.00,9.15,1,5,0,5.03,85.71,45.71,23.08,16.13,31,0.00,50.66
2601170538,Saturday,NA-Asia,11.69,-0.49,34.40,5.31,1,9,0,5.28,58.06,29.85,18.52,18.60,43,0.00,23.04
2601171053,Saturday,Pre-Asia,11.19,-0.58,34.76,7.80,3,18,1,4.89,72.97,25.71,21.05,22.81,57,0.00,44.36
2601181029,Sunday,Pre-Asia,10.61,0.09,35.59,7.86,1,20,0,4.17,66.67,27.12,25.00,23.81,42,60.00,67.65
2601221429,Thursday,Post-Asia,10.70,-0.11,30.71,7.04,6,16,0,3.95,58.06,24.24,16.67,38.46,39,41.67,41.42
2601250922,Sunday,Pre-Asia,10.59,0.19,44.37,8.64,2,21,0,4.70,70.73,35.29,30.30,15.87,63,66.67,88.65
2601310822,Saturday,NA-Asia,10.78,0.10,42.59,8.30,2,11,0,4.96,86.21,33.33,14.29,13.04,46,60.00,76.44
2602011015,Sunday,Pre-Asia,10.88,-0.01,26.49,5.38,2,21,0,3.75,72.00,20.24,11.90,42.50,40,50.00,31.60
2602020929,Monday,Pre-Asia,10.87,-0.07,39.10,7.99,4,28,0,3.94,60.61,28.07,37.21,30.77,52,41.67,67.27
2602051504,Friday,Post-Asia,10.80,0.01,39.62,7.50,0,16,1,4.92,68.57,33.87,29.03,26.98,63,50.00,66.81
2602181622,Thursday,Asia-EU,10.81,0.27,36.94,7.01,4,17,0,4.69,62.07,32.10,29.79,24.14,58,75.00,69.37
2602201401,Friday,Post-Asia,11.08,0.09,32.59,5.95,1,12,0,5.18,69.23,26.09,20.00,20.45,44,58.33,32.15
2603011742,Monday,Pre-EU,11.18,0.10,36.70,7.17,5,12,1,4.45,62.96,34.78,19.44,30.00,40,60.00,52.05
2603030900,Tuesday,Pre-Asia,11.28,0.00,35.83,6.93,2,15,0,4.79,64.52,27.66,23.81,25.58,43,50.00,27.03
2603061048,Friday,Pre-Asia,11.28,0.18,34.90,7.49,6,25,1,3.92,61.29,30.14,24.44,44.23,52,66.67,64.01
2603091433,Monday,Post-Asia,11.46,0.00,34.43,8.45,0,7,0,4.24,66.67,26.67,18.75,28.57,21,50.00,36.85
2603101021,Tuesday,Pre-Asia,11.46,-0.26,40.52,10.89,6,29,0,3.89,75.76,30.26,31.82,41.94,62,25.00,66.14
2603161343,Monday,Post-Asia,11.20,-0.38,28.79,5.52,2,16,0,4.21,64.29,16.95,22.22,26.32,38,16.67,8.92
2603181441,Wednesday,Post-Asia,10.82,-0.37,33.59,6.16,2,15,1,5.09,53.33,28.81,26.19,20.45,44,16.67,10.98
2603241046,Tuesday,Pre-Asia,10.45,0.10,35.76,7.29,3,25,1,4.34,69.23,30.12,16.28,27.12,59,58.33,67.60
2603251007,Wednesday,Pre-Asia,10.55,-0.00,41.13,7.12,2,15,1,4.98,68.18,29.17,28.57,18.97,58,50.00,64.92
2603252225,Thursday,Post-EU,10.54,0.38,31.51,5.60,2,9,0,5.17,58.33,28.33,16.00,8.70,46,83.33,43.27
2603280947,Saturday,Pre-Asia,10.92,-0.19,32.98,7.90,1,9,0,4.23,70.00,28.57,12.00,32.26,31,33.33,33.09
2604021354,Thursday,Post-Asia,10.72,-0.18,28.68,7.20,1,13,0,4.32,50.00,25.42,17.50,35.14,37,33.33,19.19
2604041052,Saturday,Pre-Asia,10.54,-0.18,35.33,9.66,4,22,0,4.32,75.00,30.77,21.05,33.96,53,33.33,65.61
2604100734,Friday,NA-Asia,10.36,-0.46,33.55,7.65,2,20,0,4.39,71.11,20.97,13.33,27.45,51,0.00,40.49
2604121013,Sunday,Pre-Asia,9.90,0.10,36.08,7.81,0,12,0,4.66,61.54,29.17,21.74,14.29,35,60.00,72.40
2604140736,Tuesday,NA-Asia,10.00,-0.21,43.14,7.57,2,16,0,4.94,72.09,40.00,17.50,18.18,66,33.33,60.18
2604170729,Friday,NA-Asia,9.79,0.18,37.34,7.20,5,19,0,4.34,64.10,31.94,23.40,20.34,59,66.67,73.90
2604190937,Sunday,Pre-Asia,9.97,0.28,33.06,6.10,2,7,0,5.10,65.62,21.57,21.05,17.50,40,80.00,41.11
2604220615,Wednesday,NA-Asia,10.25,0.09,36.54,6.71,1,10,0,5.08,59.09,34.88,25.64,13.16,38,60.00,50.43
2604241402,Friday,Post-Asia,10.34,0.09,34.19,5.87,2,13,0,4.85,53.85,30.19,26.32,27.50,40,60.00,41.83
2604250626,Saturday,NA-Asia,10.43,0.17,38.17,7.26,1,18,1,5.10,76.74,30.12,21.67,14.08,71,66.67,70.30
2604301425,Thursday,Post-Asia,10.60,0.18,41.25,6.87,3,21,1,4.42,75.00,26.47,27.27,25.76,66,66.67,68.67
2605041350,Monday,Post-Asia,10.78,0.18,35.61,7.70,1,18,1,4.40,76.67,27.27,19.15,23.40,47,66.67,55.20
2605051409,Tuesday,Post-Asia,10.96,-0.01,35.76,7.95,3,19,0,4.32,73.33,25.76,27.27,25.93,54,50.00,50.86
2605071418,Thursday,Post-Asia,10.96,-0.27,32.43,4.57,1,12,0,5.31,67.65,21.54,22.45,18.75,48,25.00,9.24
2605091011,Saturday,Pre-Asia,10.69,0.27,37.37,6.43,2,13,0,5.51,75.00,26.51,23.88,12.16,74,50.00,57.03
2605140757,Thursday,NA-Asia,10.96,0.00,32.24,5.47,2,15,0,5.08,65.62,28.57,17.54,26.53,49,16.67,17.69
2605161016,Saturday,Pre-Asia,10.96,-0.69,39.04,9.89,3,20,0,4.44,75.76,32.43,20.51,29.82,57,16.67,61.41
2605171514,Monday,Post-Asia,10.27,0.16,37.50,6.13,2,11,1,5.40,58.54,29.23,30.43,17.54,57,66.67,57.43
2605181508,Tuesday,Post-Asia,10.43,0.09,32.69,6.00,2,13,0,4.71,57.50,27.27,20.00,27.45,51,58.33,35.78
2605201425,Wednesday,Post-Asia,10.53,-0.27,33.87,7.26,3,20,0,4.17,66.67,29.09,19.05,38.10,42,20.00,34.93
2605221423,Friday,Post-Asia,10.26,-0.18,37.24,5.68,0,13,0,5.06,68.57,31.88,19.51,12.96,54,33.33,36.00
2605241357,Sunday,Post-Asia,10.08,-0.27,35.25,6.96,5,16,0,4.46,68.97,26.92,21.95,27.91,43,20.00,44.48
2605251428,Monday,Post-Asia,9.81,0.18,42.77,8.03,3,23,0,4.75,78.05,30.14,31.11,20.59,68,66.67,90.72
2605281355,Thursday,Post-Asia,9.99,-0.00,35.46,7.21,5,29,0,3.68,56.10,33.90,17.07,44.00,50,50.00,60.12
2606021421,Tuesday,Post-Asia,9.99,0.18,41.60,8.01,1,12,0,5.08,57.14,40.00,26.32,13.46,52,66.67,79.46
2606051441,Friday,Post-Asia,10.17,0.18,36.67,6.81,3,13,1,4.87,72.22,27.14,22.73,20.00,55,66.67,56.02
2606060747,Saturday,NA-Asia,10.35,-0.09,35.09,7.42,3,22,0,4.50,53.49,28.89,28.95,23.33,60,41.67,48.40
2606100901,Wednesday,Pre-Asia,10.26,0.35,35.61,6.67,2,13,0,4.94,64.71,23.08,28.26,23.40,47,83.33,46.44
2606162318,Wednesday,EU-NA,10.61,0.00,37.59,9.92,4,25,1,3.88,62.50,32.76,25.58,36.00,50,50.00,59.06
2606172335,Thursday,EU-NA,10.62,-0.28,35.09,7.70,4,16,0,4.40,57.14,31.91,23.08,30.00,40,30.00,31.69
2606192259,Saturday,EU-NA,10.34,0.35,42.73,8.31,1,15,2,4.94,77.78,34.38,40.00,26.00,50,90.00,72.48
2607031356,Friday,Post-Asia,10.69,0.81,38.93,8.85,6,19,0,4.57,60.71,35.71,29.79,23.53,51,83.33,81.06
2607060736,Monday,NA-Asia,11.50,-0.27,41.82,9.44,4,8,0,4.39,100.00,32.14,13.33,21.74,23,33.33,52.58
2607061413,Monday,Post-Asia,11.23,-0.23,28.67,5.85,3,18,0,4.27,52.50,16.67,23.26,39.02,41,41.67,11.48
2607111022,Saturday,Pre-Asia,11.00,0.05,40.74,7.66,2,26,0,4.46,68.18,35.00,12.90,34.55,55,50.00,51.17
2607141028,Tuesday,Pre-Asia,11.05,0.84,41.86,7.59,1,19,0,4.35,68.29,28.85,30.56,22.22,54,83.33,69.48
2607251329,Saturday,Post-Asia,11.89,0.40,36.21,5.83,1,7,0,4.38,69.23,27.59,25.00,23.81,21,83.33,37.78
2607300633,Thursday,NA-Asia,12.29,0.19,27.27,6.26,2,13,0,3.89,57.90,22.73,16.67,33.33,27,60.00,22.83
2608020722,Sunday,NA-Asia,12.48,-0.57,30.77,6.36,2,11,0,4.90,53.57,26.32,22.22,22.50,40,20.00,13.75
2608041558,Wednesday,Asia-EU,11.91,-0.35,32.82,4.67,0,11,0,5.02,70.83,29.85,15.00,20.93,43,33.33,16.59
2608050922,Wednesday,Pre-Asia,11.56,-1.07,36.57,6.43,3,13,0,4.94,57.14,34.38,20.00,24.49,49,0.00,37.87
2608181637,Wednesday,Asia-EU,10.49,-0.37,34.27,6.99,3,19,0,4.20,60.71,30.43,23.91,34.69,49,33.33,45.98
