Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601011011,Thursday,Pre-Asia,8.19,-0.08,35.09,7.85,2,20,0,3.92,37.04,31.37,38.89,35.00,40,40.00,50.00
2601061413,Tuesday,Post-Asia,8.11,-0.21,34.59,6.88,2,15,0,5.04,50.00,34.67,21.74,18.18,55,33.33,37.62
2601071400,Wednesday,Post-Asia,7.90,0.10,33.33,6.03,1,11,0,4.70,48.48,21.57,37.04,18.92,37,60.00,40.73
2601141731,Thursday,Pre-EU,8.00,0.09,32.81,7.05,3,17,0,4.29,48.39,35.00,16.22,33.33,42,60.00,56.53
2601160828,Friday,NA-Asia,8.09,-0.20,34.76,6.57,1,12,1,4.89,47.62,31.82,28.57,10.53,57,33.33,36.78
2601171053,Saturday,Pre-Asia,7.88,-0.59,29.88,5.86,1,14,0,5.18,51.35,28.57,17.54,24.49,49,0.00,19.02
2601171640,Sunday,Asia-EU,7.30,0.00,32.80,6.42,3,11,1,4.78,42.55,30.00,21.43,19.51,41,40.00,47.17
2601171642,Sunday,Asia-EU,7.30,-0.10,32.80,6.42,3,11,1,4.78,42.55,30.00,21.43,19.51,41,40.00,43.30
2601190743,Monday,NA-Asia,7.20,0.40,33.58,6.98,4,16,0,4.30,50.00,28.17,31.58,23.91,46,83.33,78.73
2601191349,Monday,Post-Asia,7.60,0.39,28.47,5.96,6,14,0,4.58,50.00,19.18,27.03,26.83,41,83.33,46.32
2601201116,Tuesday,Pre-Asia,7.99,0.38,31.30,6.38,3,16,0,3.90,43.33,31.15,22.50,36.59,41,83.33,54.11
2601201915,Wednesday,Pre-EU,8.37,0.38,40.00,9.31,7,20,0,4.22,53.33,35.62,37.50,29.63,54,83.33,94.51
2601220918,Thursday,Pre-Asia,8.75,-0.38,27.89,4.92,3,10,0,4.98,41.18,23.81,24.00,21.95,41,16.67,10.41
2601221429,Thursday,Post-Asia,8.37,-0.11,21.26,4.01,4,8,0,4.48,35.48,19.70,10.00,22.22,27,41.67,16.36
2601222213,Friday,Post-EU,8.26,-0.26,30.83,6.59,4,17,1,4.08,32.26,29.09,32.35,29.73,37,40.00,36.30
2601231040,Friday,Pre-Asia,8.00,0.34,32.12,7.58,1,14,0,4.41,40.00,29.85,28.57,25.00,44,66.67,78.56
2601271912,Wednesday,Pre-EU,8.34,0.37,40.27,8.00,1,21,0,4.53,50.00,38.89,35.56,31.67,60,83.33,84.33
2601301932,Saturday,Post-EU,8.71,0.19,39.23,6.84,2,16,0,4.72,51.61,26.47,54.84,27.45,51,66.67,70.91
2601310822,Saturday,NA-Asia,8.90,-0.01,41.32,7.08,2,8,0,5.30,56.00,29.82,48.72,14.00,50,50.00,59.05
2602022029,Tuesday,Post-EU,8.89,-0.02,32.93,5.70,1,8,0,5.27,44.74,28.95,30.19,12.73,55,50.00,28.20
2602032022,Wednesday,Post-EU,8.88,0.20,30.97,5.91,0,17,0,4.37,37.93,21.15,40.62,22.86,35,66.67,33.61
2602052053,Friday,Post-EU,9.08,0.37,35.29,6.00,1,13,0,4.56,45.45,40.00,18.18,12.96,54,83.33,69.30
2602071029,Saturday,Pre-Asia,9.45,-0.19,29.23,5.16,3,11,0,4.66,50.00,18.18,32.08,18.42,38,33.33,14.32
2602072212,Sunday,Post-EU,9.26,-0.01,32.35,4.82,3,7,0,5.00,55.56,24.61,29.55,9.09,44,50.00,20.77
2602081133,Sunday,Pre-Asia,9.24,0.19,32.90,6.31,4,19,0,4.06,44.23,29.69,23.08,27.45,51,66.67,57.95
2602141404,Saturday,Post-Asia,9.43,-0.19,29.20,5.48,1,8,0,4.92,43.24,21.82,26.67,17.50,40,33.33,10.11
2602170916,Tuesday,Pre-Asia,9.24,0.03,29.14,4.93,2,13,1,5.08,41.03,26.83,24.07,15.69,51,50.00,27.30
2602172105,Wednesday,Post-EU,9.27,-0.10,34.65,6.51,1,14,1,4.61,46.88,25.00,37.21,18.18,44,40.00,48.33
2602192056,Friday,Post-EU,9.17,0.18,33.04,5.74,2,11,0,4.50,62.50,25.93,24.32,23.68,38,66.67,63.82
2602201401,Friday,Post-Asia,9.35,0.00,38.73,5.57,2,7,0,5.44,60.61,32.88,30.56,10.91,55,50.00,56.70
2602210956,Saturday,Pre-Asia,9.36,0.18,39.72,7.79,2,16,0,4.66,40.00,40.32,38.89,21.43,56,66.67,86.06
2602221723,Monday,Asia-EU,9.53,0.00,34.48,6.25,2,14,0,4.80,42.42,29.76,36.84,20.00,60,83.33,72.27
2602231123,Monday,Pre-Asia,9.53,0.38,28.39,5.23,4,14,1,4.72,38.78,16.90,35.71,19.57,46,33.33,32.67
2602242110,Wednesday,Post-EU,9.91,-0.41,29.23,5.87,2,20,0,4.03,42.86,25.00,22.86,36.84,38,16.67,18.60
2602250917,Wednesday,Pre-Asia,9.50,-0.29,35.67,6.52,5,14,0,4.93,42.86,32.91,34.88,21.43,56,41.67,63.50
2602271913,Saturday,Pre-EU,9.21,0.28,35.85,8.18,4,12,0,4.66,62.50,25.49,32.26,26.32,38,80.00,79.84
2602281106,Saturday,Pre-Asia,9.49,-0.54,33.33,7.38,2,12,2,4.59,54.17,27.69,30.23,22.73,44,0.00,30.86
2602281808,Sunday,Pre-EU,8.95,0.35,30.71,5.30,4,17,0,4.02,47.06,27.59,22.92,23.26,43,83.33,43.57
2603021923,Tuesday,Pre-EU,9.30,0.18,34.71,8.18,4,15,0,4.19,52.00,29.09,31.71,33.33,42,66.67,72.75
2603050950,Thursday,Pre-Asia,9.48,-0.19,30.99,6.81,5,19,1,4.32,36.11,33.33,24.49,36.36,44,33.33,28.46
2603052048,Friday,Post-EU,9.30,0.37,32.03,5.46,4,13,0,4.82,44.83,31.71,23.81,26.53,49,83.33,58.54
2603061048,Friday,Pre-Asia,9.67,-0.19,33.80,6.76,4,24,0,4.06,42.10,24.59,39.53,39.58,48,33.33,54.09
2603101021,Tuesday,Pre-Asia,9.48,0.01,34.62,5.77,4,11,0,5.18,52.94,27.40,32.65,16.67,54,50.00,58.15
2603111035,Wednesday,Pre-Asia,9.49,0.17,36.59,6.58,1,10,0,4.76,42.86,29.09,42.50,15.56,45,66.67,61.12
2603161028,Monday,Pre-Asia,9.66,0.20,35.06,5.86,1,12,0,5.07,46.15,30.16,32.69,14.81,54,66.67,58.69
2603181441,Wednesday,Post-Asia,9.86,0.10,18.18,2.86,0,0,0,4.50,0.00,14.29,50.00,0.00,2,100.00,28.90
2603191100,Thursday,Pre-Asia,9.95,-0.09,40.99,8.50,9,28,0,4.29,50.00,38.03,38.00,36.36,66,41.67,68.01
2603191423,Thursday,Post-Asia,9.86,0.19,22.64,4.01,1,5,0,4.17,57.14,16.00,19.05,25.00,12,100.00,31.35
