Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601011011,Thursday,Pre-Asia,6.41,-0.26,27.01,3.06,0,6,1,5.30,37.04,23.19,26.83,18.92,37,20.00,50.00
2601020800,Friday,NA-Asia,6.15,0.29,25.44,5.15,0,13,0,4.55,46.43,20.00,16.67,24.14,29,80.00,66.37
2601021357,Friday,Post-Asia,6.44,-0.09,23.89,4.75,2,7,0,5.15,26.92,24.53,20.59,18.52,27,40.00,41.99
2601030526,Saturday,Post-NA,6.35,-0.39,22.86,4.48,3,13,0,4.50,40.54,20.83,15.15,30.00,40,16.67,40.60
2601041434,Sunday,Post-Asia,5.95,0.30,28.74,3.84,0,6,0,5.08,33.33,23.68,31.82,8.00,25,80.00,58.87
2601051410,Monday,Post-Asia,6.25,-0.20,20.47,3.46,1,5,1,5.35,25.00,11.54,28.20,11.54,26,33.33,13.36
2601061413,Tuesday,Post-Asia,6.05,-0.18,26.53,4.20,1,8,1,5.54,41.18,17.65,28.89,15.38,39,33.33,51.97
2601071400,Wednesday,Post-Asia,5.87,-0.29,30.69,6.95,3,11,0,4.52,32.00,27.08,35.71,25.81,31,20.00,60.18
2601071634,Thursday,Asia-EU,5.58,0.37,26.47,4.46,1,12,0,4.83,27.78,26.09,25.81,19.44,36,83.33,72.36
2601091400,Friday,Post-Asia,5.95,0.18,25.34,3.58,1,5,0,5.41,41.18,18.57,23.81,10.81,37,66.67,56.23
2601120530,Monday,NA-Asia,6.13,-0.38,23.58,3.78,0,6,0,4.90,28.00,20.00,26.32,10.34,29,10.00,12.37
2601121031,Monday,Pre-Asia,5.75,-0.10,26.25,4.21,1,4,1,4.81,41.67,25.00,12.50,19.05,21,33.33,36.22
2601140549,Wednesday,NA-Asia,5.66,0.37,30.41,5.56,5,8,2,5.40,53.57,28.75,17.50,17.78,45,83.33,90.80
2601141731,Thursday,Pre-EU,6.02,0.10,22.76,4.29,3,8,0,4.64,40.62,19.61,12.50,28.57,28,60.00,45.62
2601181029,Sunday,Pre-Asia,6.12,0.08,27.97,5.24,0,14,0,4.46,44.44,23.73,21.88,9.09,33,60.00,74.88
2601191349,Monday,Post-Asia,6.21,0.00,24.43,4.68,4,9,0,4.72,38.46,19.67,16.13,28.12,32,50.00,43.74
2601201116,Tuesday,Pre-Asia,6.21,0.18,19.15,3.51,3,9,0,4.56,25.71,18.57,13.89,25.93,27,66.67,38.72
2601201915,Wednesday,Pre-EU,6.39,-0.39,23.81,3.91,2,8,1,5.13,38.46,21.13,17.24,30.00,30,16.67,17.10
2601220918,Thursday,Pre-Asia,6.00,0.19,25.16,3.08,0,6,0,5.45,31.11,21.43,25.00,15.00,40,66.67,55.55
2601271912,Wednesday,Pre-EU,6.20,0.36,33.56,6.79,3,17,0,4.60,46.88,31.94,26.67,30.00,50,83.33,92.30
2601301932,Saturday,Post-EU,6.56,-0.20,29.75,3.56,0,8,0,5.36,44.00,19.67,37.14,13.89,36,33.33,36.63
2601311622,Sunday,Asia-EU,6.36,0.36,28.95,5.54,2,18,0,4.27,39.39,27.14,24.49,27.27,44,83.33,86.86
2602011015,Sunday,Pre-Asia,6.72,0.00,22.66,3.71,1,12,1,4.28,31.03,19.70,21.21,27.59,29,50.00,14.30
2602021353,Monday,Post-Asia,6.72,0.00,20.77,4.34,0,9,2,4.89,37.50,18.64,14.89,18.52,27,50.00,18.49
2602041343,Wednesday,Post-Asia,6.72,-0.00,18.55,3.40,1,6,1,4.57,28.57,13.12,20.00,21.74,23,50.00,15.26
2602081133,Sunday,Pre-Asia,6.72,-0.19,26.00,3.96,1,11,0,4.56,38.23,18.06,29.55,28.21,39,33.33,42.64
2602091853,Tuesday,Pre-EU,6.53,-0.28,26.32,3.03,1,1,1,5.50,40.91,19.05,21.21,5.00,20,20.00,23.81
2602141404,Saturday,Post-Asia,6.25,0.00,26.47,5.47,1,10,0,4.75,40.74,30.00,14.29,13.89,36,50.00,62.64
2602151918,Monday,Pre-EU,6.26,-0.38,19.51,3.62,1,9,0,4.38,31.58,19.64,14.58,20.83,24,16.67,12.17
2602170916,Tuesday,Pre-Asia,5.88,0.34,21.97,2.92,0,5,0,5.34,27.59,18.97,22.22,10.34,29,83.33,42.66
2602181622,Thursday,Asia-EU,6.22,0.00,26.88,4.80,4,13,0,4.93,28.57,29.87,20.83,18.60,43,50.00,82.89
2602192056,Friday,Post-EU,6.22,-0.18,26.92,4.23,1,9,0,4.83,25.81,28.12,25.71,22.86,35,33.33,61.24
2602201401,Friday,Post-Asia,6.04,0.09,22.22,2.60,0,5,3,5.77,42.31,15.94,20.00,10.00,30,58.33,37.69
2603020644,Monday,NA-Asia,6.13,-0.19,23.33,4.58,1,10,0,5.18,25.00,25.86,17.65,32.14,28,33.33,43.64
2603021923,Tuesday,Pre-EU,5.93,-0.01,25.66,4.44,0,12,0,4.69,39.39,22.67,20.45,20.51,39,50.00,75.42
2603050950,Thursday,Pre-Asia,5.92,-0.19,24.65,3.67,1,8,2,4.94,41.67,21.05,16.33,22.86,35,33.33,37.04
2603071352,Saturday,Post-Asia,5.74,0.09,27.87,5.33,2,9,0,4.88,43.75,23.73,19.36,29.41,34,60.00,85.07
2603221422,Sunday,Post-Asia,5.83,0.09,30.28,4.00,0,11,0,5.16,32.35,30.99,27.03,18.60,43,60.00,73.99
2603241046,Tuesday,Pre-Asia,5.91,-0.09,25.48,4.19,1,14,2,4.88,37.50,24.24,17.65,20.00,40,41.67,45.64
2603241355,Tuesday,Post-Asia,5.82,-0.36,24.19,3.22,2,9,0,4.90,36.36,20.69,18.18,30.00,30,16.67,18.43
2603261019,Thursday,Pre-Asia,5.46,-0.03,25.57,3.53,2,16,0,4.60,43.48,17.28,22.45,26.67,45,50.00,58.01
2603301356,Monday,Post-Asia,5.43,0.00,22.90,4.11,2,10,2,5.00,18.18,23.44,26.47,20.00,30,50.00,47.66
2604011400,Wednesday,Post-Asia,5.44,0.00,29.69,5.48,2,10,3,5.50,55.88,23.64,15.38,23.68,38,50.00,79.12
2604061424,Monday,Post-Asia,5.44,-0.02,26.67,4.43,1,10,0,4.97,40.00,19.30,27.27,28.12,32,50.00,59.09
2604090014,Thursday,EU-NA,5.42,-0.28,27.61,4.59,2,9,1,5.13,36.11,30.00,17.02,15.56,45,25.00,55.51
2604120456,Sunday,Post-NA,5.14,-0.00,23.98,3.40,1,7,2,5.49,33.33,22.22,20.37,12.20,41,50.00,40.80
2604160039,Thursday,Pre-NA,5.14,-0.09,22.88,3.73,2,4,1,4.85,30.56,22.45,15.15,14.81,27,40.00,25.29
2604161835,Friday,Pre-EU,5.05,-0.09,29.41,6.82,1,18,0,4.36,37.04,25.00,25.93,26.67,45,41.67,76.21
2604200513,Monday,Post-NA,4.96,0.00,31.94,5.14,0,9,0,5.07,50.00,24.00,32.43,10.87,46,50.00,82.35
2604201347,Monday,Post-Asia,4.96,0.36,28.29,5.60,1,14,0,4.49,50.00,22.03,17.65,20.93,43,83.33,86.27
2604211351,Tuesday,Post-Asia,5.32,-0.01,19.85,3.72,1,7,0,4.54,29.63,13.12,23.26,15.38,26,50.00,29.00
2604221047,Wednesday,Pre-Asia,5.31,-0.35,30.81,5.38,0,18,0,4.84,44.19,26.58,26.98,26.32,57,16.67,58.45
2604230508,Thursday,Post-NA,4.95,-0.25,25.44,3.85,0,10,1,4.62,35.71,19.15,25.64,20.69,29,20.00,14.37
2604231037,Thursday,Pre-Asia,4.70,0.28,29.14,4.88,2,9,0,5.00,38.23,28.36,24.00,13.64,44,75.00,84.39
2604241402,Friday,Post-Asia,4.98,-0.10,25.96,5.99,4,9,1,4.18,25.00,27.78,23.33,33.33,27,40.00,45.73
2604281408,Tuesday,Post-Asia,4.88,-0.09,25.23,4.21,0,9,0,4.78,45.00,20.00,21.88,22.22,27,40.00,19.25
2604290920,Wednesday,Pre-Asia,4.79,0.18,22.79,4.49,5,11,1,4.42,45.45,12.50,19.15,32.26,31,66.67,42.09
2604300723,Thursday,NA-Asia,4.97,-0.00,30.16,5.40,1,11,0,4.50,50.00,23.53,21.95,23.68,38,50.00,72.24
2605011447,Friday,Post-Asia,4.96,0.00,26.58,4.43,1,14,1,4.91,48.48,24.36,14.89,19.05,42,50.00,47.69
2605041350,Monday,Post-Asia,4.97,-0.01,29.25,6.44,5,12,1,4.79,43.59,21.15,26.79,30.23,43,50.00,83.19
2605070715,Thursday,NA-Asia,4.96,-0.01,27.01,5.25,0,13,0,4.57,38.23,28.33,16.28,21.62,37,50.00,56.25
2605071418,Thursday,Post-Asia,4.95,0.00,33.11,5.68,2,13,0,4.86,42.22,28.33,30.23,22.45,49,83.33,80.30
2605131603,Thursday,Asia-EU,4.95,0.08,25.36,4.11,3,6,1,5.34,37.84,22.95,17.50,14.29,35,58.33,34.82
2605161347,Saturday,Post-Asia,5.03,-0.16,21.62,3.33,0,6,0,5.34,44.00,20.00,11.63,12.50,32,33.33,11.29
2605170727,Sunday,NA-Asia,4.87,0.08,28.89,4.69,2,9,0,4.42,36.36,23.08,31.03,26.92,26,60.00,59.39
2605171514,Monday,Post-Asia,4.95,0.18,29.31,5.14,0,10,0,5.24,45.45,27.66,16.67,8.82,34,66.67,66.98
2605200834,Wednesday,Pre-Asia,5.13,0.36,32.52,7.15,3,15,0,4.60,36.36,29.82,33.33,30.00,40,83.33,91.58
2605221423,Friday,Post-Asia,5.49,-0.07,26.53,3.66,0,8,0,5.26,33.33,23.33,24.44,15.38,39,41.67,23.81
2605241357,Sunday,Post-Asia,5.42,0.09,32.41,4.66,2,9,0,4.91,45.45,39.22,14.29,11.43,35,60.00,54.68
2605251428,Monday,Post-Asia,5.51,-0.53,23.64,4.64,1,10,0,4.77,47.37,24.07,10.81,26.92,26,0.00,15.43
2605260823,Tuesday,NA-Asia,4.98,0.10,33.54,5.70,1,12,0,5.11,46.51,32.35,24.53,20.00,55,58.33,82.66
2605261356,Tuesday,Post-Asia,5.08,0.35,26.89,6.23,4,14,0,3.91,40.00,23.44,25.71,40.62,32,83.33,68.48
2605270453,Wednesday,Post-NA,5.43,-0.17,26.12,3.96,0,8,0,5.43,30.00,29.85,19.15,8.57,35,33.33,16.19
2605271437,Wednesday,Post-Asia,5.26,-0.08,32.00,5.27,1,18,1,4.91,57.90,23.68,26.23,16.07,56,41.67,54.46
2605281037,Thursday,Pre-Asia,5.18,0.18,26.40,5.57,3,15,0,4.06,52.17,21.92,17.24,24.24,33,66.67,58.23
2605281355,Thursday,Post-Asia,5.36,-0.00,22.70,3.06,2,9,0,4.56,29.27,18.64,21.95,18.75,32,50.00,21.32
2605291351,Friday,Post-Asia,5.35,-0.02,18.87,3.52,3,8,0,4.00,34.62,15.00,12.50,30.00,20,50.00,31.12
2606030426,Wednesday,Post-NA,5.34,0.08,27.78,2.70,0,4,1,5.77,40.91,27.45,20.00,6.67,30,60.00,42.05
2606030638,Wednesday,NA-Asia,5.42,0.01,32.87,6.43,3,11,1,4.83,53.12,28.79,24.44,19.15,47,50.00,78.44
2606041825,Friday,Pre-EU,5.43,0.01,30.61,5.63,3,13,0,4.84,51.28,30.30,11.90,20.00,45,50.00,69.95
2606060747,Saturday,NA-Asia,5.43,-0.18,28.46,5.02,0,11,1,4.76,50.00,22.22,23.08,10.81,37,33.33,44.37
2606061412,Saturday,Post-Asia,5.26,-0.18,21.88,4.37,1,8,1,4.61,35.00,11.77,21.62,25.00,28,33.33,17.01
2606101804,Thursday,Pre-EU,5.08,-0.10,33.04,3.97,0,4,1,5.51,40.00,31.48,30.30,10.81,37,40.00,39.41
2606111401,Thursday,Post-Asia,4.98,0.09,24.79,4.25,0,12,0,4.63,27.78,25.42,19.23,13.33,30,60.00,40.81
2606121404,Friday,Post-Asia,5.07,-0.00,29.63,5.72,3,9,1,4.84,42.31,22.22,29.73,25.00,32,50.00,72.70
2606251715,Friday,Asia-EU,5.07,0.09,26.05,3.95,0,9,0,4.81,48.15,23.40,15.56,16.13,31,60.00,39.29
2606290300,Monday,Post-NA,5.16,0.17,28.00,5.36,2,6,0,4.86,42.31,27.08,15.38,17.86,28,66.67,67.91
2607021352,Thursday,Post-Asia,5.33,1.67,28.45,4.85,1,10,0,4.97,55.88,17.78,16.22,21.21,33,40.00,49.71
2607130856,Monday,Pre-Asia,7.00,0.70,37.50,10.57,3,13,0,3.19,36.36,40.91,34.78,52.38,21,100.00,84.26
2607200603,Monday,NA-Asia,7.70,-0.45,31.01,5.81,3,9,1,5.10,48.15,20.75,32.65,15.00,40,33.33,57.99
2607231033,Thursday,Pre-Asia,7.25,-0.21,31.62,4.19,2,7,0,5.38,40.00,31.48,21.43,13.51,37,40.00,41.02
2607231357,Thursday,Post-Asia,7.04,0.43,29.25,4.25,1,8,0,5.13,55.17,15.69,26.92,19.35,31,66.67,46.43
2607291348,Wednesday,Post-Asia,7.47,-0.01,20.49,5.19,4,12,0,3.88,37.50,12.73,20.93,32.00,25,50.00,20.70
2608021759,Monday,Pre-EU,7.46,-0.01,35.61,6.39,2,17,0,4.53,68.75,25.40,24.32,17.02,47,50.00,61.34
2608151426,Saturday,Post-Asia,7.44,-0.74,34.44,5.70,1,10,0,5.15,62.50,24.32,24.32,11.54,52,16.67,49.69
