Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601011011,Thursday,Pre-Asia,15.34,0.52,55.38,14.91,9,39,0,3.56,65.52,51.79,53.33,37.50,72,100.00,50.00
2601020800,Friday,NA-Asia,15.86,-0.00,48.65,14.86,4,22,0,3.83,35.71,53.66,47.37,50.00,36,50.00,17.18
2601040610,Sunday,NA-Asia,15.86,-0.26,47.93,12.29,8,40,1,3.73,47.22,54.55,39.29,43.21,81,25.00,22.54
2601060529,Tuesday,Post-NA,15.60,0.00,44.94,10.87,2,29,1,4.22,60.61,44.59,35.29,29.58,71,50.00,21.13
2601100227,Saturday,Pre-NA,15.60,0.09,45.68,12.92,3,19,0,3.92,47.37,41.03,52.17,43.24,37,66.67,33.50
2601140549,Wednesday,NA-Asia,15.70,0.37,52.70,14.65,8,32,0,4.42,60.71,62.50,27.50,33.33,78,83.33,92.79
2601160828,Friday,NA-Asia,16.07,-0.18,48.31,11.11,2,25,0,4.45,55.56,51.72,34.78,19.77,86,33.33,23.87
2601270246,Tuesday,Post-NA,15.88,-0.22,51.30,11.47,7,34,1,4.08,75.00,50.00,38.00,34.18,79,33.33,40.72
2601310822,Saturday,NA-Asia,15.67,0.39,47.59,11.21,2,23,0,4.59,42.10,55.71,37.84,30.43,69,90.00,46.79
2602020040,Monday,Pre-NA,16.06,0.38,48.84,13.07,9,28,0,4.16,56.76,49.12,40.00,36.51,63,83.33,69.77
2602062111,Saturday,Post-EU,16.44,-0.10,55.13,14.51,4,15,0,4.42,60.00,58.82,48.28,30.23,43,33.33,52.32
2602091853,Tuesday,Pre-EU,16.34,-0.29,53.95,14.39,7,19,0,4.00,59.09,47.62,54.55,36.59,41,20.00,54.94
2602210737,Saturday,NA-Asia,16.06,-0.56,49.67,12.92,1,34,1,4.24,65.52,53.66,30.95,34.21,76,0.00,37.77
2602250917,Wednesday,Pre-Asia,15.49,-0.11,50.85,12.29,8,35,0,4.18,54.35,55.29,39.13,28.89,90,41.67,44.22
2602270633,Friday,NA-Asia,15.39,-0.25,46.97,11.00,3,19,0,4.40,41.03,58.33,33.33,29.03,62,25.00,9.69
2602271913,Saturday,Pre-EU,15.13,-0.17,46.09,11.93,4,25,0,4.19,53.57,49.21,35.13,33.90,59,30.00,18.23
2603010710,Sunday,NA-Asia,14.96,-0.01,49.67,12.28,7,27,0,4.37,48.48,55.38,43.40,25.33,75,50.00,61.22
2603011742,Monday,Pre-EU,14.95,0.07,52.68,13.43,10,28,0,3.90,53.33,54.39,48.00,38.98,59,60.00,79.13
2603040502,Wednesday,Post-NA,15.02,-0.28,49.62,9.71,2,22,0,4.54,60.71,46.48,47.06,25.76,66,25.00,25.10
2603060551,Friday,NA-Asia,14.75,0.01,43.42,11.31,5,23,1,4.35,60.00,47.95,29.63,25.76,66,50.00,44.21
2603090538,Monday,NA-Asia,14.76,0.01,58.14,10.69,3,16,0,5.30,71.43,50.63,58.82,12.00,100,50.00,63.57
2603101904,Wednesday,Pre-EU,14.77,0.46,53.79,13.23,5,28,0,4.22,63.16,59.68,37.78,19.23,78,91.67,90.33
2603151901,Monday,Pre-EU,15.23,-0.18,45.63,7.55,1,8,0,5.08,53.12,50.00,31.03,12.77,47,25.00,9.93
2603190419,Thursday,Post-NA,15.04,-0.19,42.96,9.64,1,18,0,4.67,51.61,45.31,34.04,16.39,61,33.33,9.82
2603201913,Saturday,Pre-EU,14.86,-0.25,52.82,10.41,3,15,0,4.95,50.00,52.31,54.55,17.33,75,25.00,40.42
2603220743,Sunday,NA-Asia,14.60,0.10,48.55,10.47,0,20,0,4.83,67.44,41.98,42.86,15.48,84,58.33,48.12
2603230420,Monday,Post-NA,14.70,-0.01,50.00,12.29,2,31,0,4.29,66.67,41.67,50.00,27.50,80,50.00,69.12
2603231915,Tuesday,Pre-EU,14.69,0.28,49.59,11.50,3,28,0,3.97,53.33,48.21,48.57,31.67,60,80.00,70.72
2603252225,Thursday,Post-EU,14.97,-0.18,48.97,12.47,2,26,0,4.34,48.57,57.58,36.36,22.54,71,33.33,41.97
2603270520,Friday,Post-NA,14.79,-0.18,46.09,10.97,16,37,0,3.12,56.25,54.72,27.91,57.63,59,33.33,29.93
2603271909,Saturday,Pre-EU,14.61,-0.19,48.28,13.13,4,28,0,4.17,47.37,54.69,39.53,37.14,70,33.33,50.46
2603282207,Sunday,Post-EU,14.42,-0.26,44.62,9.90,4,17,0,4.53,46.15,50.00,35.90,25.86,58,20.00,15.54
2603291008,Sunday,Pre-Asia,14.15,0.36,40.76,9.32,1,19,0,4.73,41.03,45.45,34.62,25.00,64,83.33,35.55
2603300940,Monday,Pre-Asia,14.51,0.36,55.09,11.92,1,26,0,4.79,65.91,61.54,33.33,16.30,92,83.33,84.48
2603311011,Tuesday,Pre-Asia,14.88,-0.01,49.69,13.35,7,28,0,4.35,60.00,52.63,37.50,29.11,79,50.00,69.86
2604030641,Friday,NA-Asia,14.86,-0.55,51.66,11.36,2,21,1,4.97,58.97,56.25,39.58,23.08,78,0.00,37.55
2604060410,Monday,Post-NA,14.32,-0.01,44.03,10.38,4,27,0,4.08,66.67,45.45,28.57,40.68,59,50.00,30.83
2604090720,Thursday,NA-Asia,14.31,0.18,53.85,12.65,11,37,0,3.88,51.85,54.41,54.17,40.26,77,66.67,93.19
2604100734,Friday,NA-Asia,14.48,-0.45,46.05,11.16,2,29,0,4.17,62.22,50.00,24.44,37.14,70,0.00,16.56
2604110724,Saturday,NA-Asia,14.03,0.18,51.88,12.21,2,23,0,4.62,70.59,43.06,51.85,27.54,69,66.67,73.94
2604121013,Sunday,Pre-Asia,14.22,-0.10,49.18,12.67,1,25,0,4.23,55.17,53.45,37.14,25.00,60,40.00,45.06
2604130424,Monday,Post-NA,14.12,-0.17,38.35,9.41,3,15,0,4.67,34.38,40.00,39.02,29.41,51,33.33,12.94
2604140505,Tuesday,Post-NA,13.95,-0.09,46.88,12.45,1,23,0,3.80,60.00,47.83,36.67,35.56,45,40.00,37.61
2604140736,Tuesday,NA-Asia,13.85,0.09,48.23,10.58,3,22,0,4.47,52.00,43.24,54.76,22.06,68,50.00,56.54
2604141831,Wednesday,Pre-EU,13.95,0.28,54.23,13.71,8,27,1,4.17,54.55,60.71,45.24,29.87,77,83.33,92.28
2604160039,Thursday,Pre-NA,14.23,-0.28,44.74,10.93,4,23,0,4.00,44.12,42.86,48.39,33.33,51,20.00,13.70
2604161835,Friday,Pre-EU,13.95,0.01,51.53,12.46,4,34,1,4.25,53.57,55.22,42.50,30.95,84,50.00,78.79
2604170729,Friday,NA-Asia,13.96,0.18,48.10,11.60,6,36,0,3.82,51.28,54.17,36.17,35.53,76,66.67,70.71
2604180738,Saturday,NA-Asia,14.13,-0.34,51.25,12.14,2,20,0,4.79,57.50,60.87,33.33,19.51,82,16.67,53.93
2604182112,Sunday,Post-EU,13.80,-0.19,52.63,14.06,11,42,0,3.53,45.16,58.33,50.00,45.71,70,30.00,69.22
2604190454,Sunday,Post-NA,13.61,-0.19,59.20,11.56,1,18,0,5.25,68.18,60.53,50.00,12.62,103,33.33,43.66
2604190937,Sunday,Pre-Asia,13.42,0.27,51.24,11.99,2,20,1,4.48,50.00,49.02,55.26,25.81,62,80.00,51.79
2604202224,Tuesday,Post-EU,13.69,0.28,49.63,13.13,10,32,0,3.72,37.50,61.91,40.00,46.27,67,80.00,68.01
2604211013,Tuesday,Pre-Asia,13.97,0.08,47.06,8.61,0,16,0,4.91,54.29,54.90,27.27,17.86,56,60.00,29.58
2604220615,Wednesday,NA-Asia,14.06,0.10,51.22,11.29,1,23,0,4.57,66.67,55.32,34.88,15.87,63,60.00,45.21
2604221047,Wednesday,Pre-Asia,14.16,0.27,49.71,12.28,6,36,0,4.09,54.76,60.00,30.19,36.78,87,75.00,73.03
2604252135,Sunday,Post-EU,14.43,0.34,51.45,12.14,10,33,0,3.97,71.88,46.15,43.90,42.25,71,83.33,71.69
2604260432,Sunday,Post-NA,14.77,-0.53,52.08,11.80,3,19,0,4.76,60.00,52.63,44.68,30.67,75,0.00,35.31
2605012120,Saturday,Post-EU,14.24,0.18,51.25,15.45,3,28,0,3.15,52.38,61.11,34.78,48.78,41,83.33,60.65
2605041844,Tuesday,Pre-EU,14.42,-0.44,53.57,14.68,5,29,0,3.67,63.33,52.27,47.37,53.33,60,0.00,50.00
2605051837,Wednesday,Pre-EU,13.98,0.17,56.12,15.67,11,45,0,3.33,56.25,58.33,51.43,44.87,78,66.67,89.59
2605070715,Thursday,NA-Asia,14.14,0.26,42.47,9.56,2,25,0,4.31,50.00,44.78,32.56,27.42,62,75.00,32.99
2605081802,Saturday,Pre-EU,14.41,0.01,49.63,8.86,2,20,0,4.64,58.33,50.00,39.39,25.37,67,50.00,27.68
2605090627,Saturday,NA-Asia,14.41,-0.00,50.33,12.60,6,34,0,4.05,55.56,55.00,38.64,38.16,76,50.00,52.54
2605121815,Wednesday,Pre-EU,14.41,0.18,49.63,10.58,4,27,0,4.15,47.37,54.10,44.44,22.39,67,70.00,40.61
2605140757,Thursday,NA-Asia,14.60,0.00,44.57,9.46,3,36,0,4.46,66.67,47.14,28.79,34.62,78,50.00,26.09
2605142121,Friday,Post-EU,14.60,0.08,46.90,9.72,1,14,0,4.85,57.58,54.84,30.00,13.24,68,60.00,37.75
2605150701,Friday,NA-Asia,14.68,-0.18,45.03,11.61,8,47,0,3.13,41.18,51.25,35.13,63.24,68,33.33,30.73
2605160437,Saturday,Post-NA,14.50,0.20,50.00,11.75,7,22,0,4.46,62.96,42.86,50.00,27.78,54,60.00,72.51
2605180606,Monday,NA-Asia,14.69,-0.02,41.94,10.38,4,20,0,4.48,55.56,33.33,44.19,25.00,52,50.00,14.76
2605310642,Sunday,NA-Asia,14.68,-0.01,51.66,13.08,2,28,0,4.42,58.33,54.93,40.91,25.64,78,50.00,63.14
2606040725,Thursday,NA-Asia,14.66,-0.09,44.59,10.16,12,41,0,3.50,55.56,49.27,30.77,42.86,70,41.67,30.94
2606050623,Friday,NA-Asia,14.58,0.08,52.32,12.70,1,24,0,4.53,55.26,63.08,35.42,17.72,79,58.33,77.72
2606070419,Sunday,Post-NA,14.66,0.51,57.97,12.98,3,32,0,4.41,59.38,63.93,48.89,31.25,80,80.00,86.56
2606070809,Sunday,NA-Asia,15.18,-0.04,52.41,12.12,4,26,0,4.84,58.33,51.25,49.15,19.39,98,50.00,63.77
2606100901,Wednesday,Pre-Asia,15.13,0.35,50.00,14.02,10,28,0,4.18,50.00,57.69,41.30,34.85,66,83.33,77.06
2606102120,Thursday,Post-EU,15.48,0.09,55.73,12.65,7,30,0,4.30,44.44,70.77,36.67,35.62,73,60.00,78.50
2606130437,Saturday,Post-NA,15.57,-0.09,51.52,12.80,3,20,1,4.63,40.74,63.64,38.46,27.94,68,40.00,38.79
2606130712,Saturday,NA-Asia,15.48,0.45,59.60,13.42,2,24,0,4.77,77.27,60.94,39.53,21.11,90,100.00,84.94
2606181054,Thursday,Pre-Asia,15.94,0.16,51.70,12.69,6,42,0,4.11,56.76,51.61,47.83,39.56,91,66.67,59.20
2606182234,Friday,EU-NA,16.09,-0.00,51.08,12.92,9,35,0,3.66,61.54,50.77,45.83,38.03,71,50.00,38.00
2606192113,Saturday,Post-EU,16.09,0.09,50.44,13.99,4,28,0,3.91,57.69,51.79,41.94,40.35,57,60.00,35.80
2606220004,Monday,EU-NA,16.18,-0.08,45.69,14.56,6,24,0,3.98,54.17,50.00,35.00,45.28,53,40.00,33.63
2606250018,Thursday,EU-NA,16.10,-0.27,55.64,13.59,3,25,0,4.61,72.73,57.63,39.02,27.03,74,25.00,47.30
2606290300,Monday,Post-NA,15.83,0.01,47.69,10.74,1,24,0,4.18,60.53,44.07,39.39,30.65,62,50.00,12.75
2606300507,Tuesday,Post-NA,15.84,0.32,56.59,11.84,2,25,0,5.11,72.00,56.96,41.51,13.59,103,83.33,64.41
2607032132,Saturday,Post-EU,16.16,0.09,56.91,13.29,9,41,0,4.31,56.36,56.47,58.54,33.01,103,58.33,79.63
2607050452,Sunday,Post-NA,16.25,-0.25,46.82,10.56,3,28,0,4.57,48.65,51.25,39.29,33.33,81,33.33,17.09
2607091828,Friday,Pre-EU,16.00,-0.35,49.56,11.86,5,27,0,4.09,48.28,58.00,38.23,33.93,56,40.00,14.95
2607110742,Saturday,NA-Asia,15.65,-0.26,46.62,9.39,2,23,0,4.34,48.48,49.18,41.03,32.26,62,41.67,8.78
2607122118,Monday,Post-EU,15.39,-0.02,47.88,10.30,2,20,1,5.03,53.49,55.38,35.09,18.99,79,50.00,37.09
2608180722,Tuesday,NA-Asia,15.37,-0.61,46.04,9.41,2,15,0,4.98,51.61,42.37,46.94,10.94,64,25.00,7.66
2608190421,Wednesday,Post-NA,14.76,-0.77,49.38,9.12,0,13,0,5.20,56.76,47.22,47.17,6.25,80,16.67,21.24
2608220647,Saturday,NA-Asia,13.99,-0.04,40.80,8.37,2,22,2,4.86,44.68,45.95,30.19,16.90,71,50.00,30.95
2608230141,Sunday,Pre-NA,13.96,-0.38,50.98,14.15,11,43,0,3.56,66.67,53.85,37.50,42.31,78,33.33,62.26
