Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601050032,Monday,Pre-NA,11.75,0.21,43.80,10.04,7,31,0,4.00,87.81,22.81,28.20,43.33,60,66.67,50.00
2601100227,Saturday,Pre-NA,11.96,0.11,33.33,7.38,0,10,0,4.37,63.16,12.82,43.48,25.93,27,66.67,17.98
2601171640,Sunday,Asia-EU,12.07,0.00,43.48,9.50,1,28,1,4.43,75.61,28.81,31.58,31.67,60,40.00,58.03
2601171642,Sunday,Asia-EU,12.07,-0.11,43.48,9.50,1,28,1,4.43,75.61,28.81,31.58,31.67,60,40.00,55.27
2601200030,Tuesday,Pre-NA,11.96,0.21,40.69,8.83,4,24,1,4.29,82.61,18.33,25.64,35.59,59,66.67,61.27
2601222213,Friday,Post-EU,12.18,-0.35,41.27,8.16,6,19,0,4.33,73.33,35.71,25.00,28.85,52,20.00,30.68
2601260005,Monday,EU-NA,11.83,0.44,42.34,11.00,4,26,1,3.83,76.92,26.19,37.21,44.68,47,83.33,75.38
2601311622,Sunday,Asia-EU,12.26,0.42,37.50,9.58,8,33,0,3.70,75.76,22.86,32.65,43.86,57,83.33,72.59
2601312317,Sunday,EU-NA,12.68,-0.20,34.53,9.69,7,23,2,3.73,70.00,18.18,34.88,37.50,48,33.33,30.38
2602020040,Monday,Pre-NA,12.48,-0.43,33.97,6.15,2,16,2,4.83,82.05,12.12,25.49,20.75,53,16.67,10.47
2602052053,Friday,Post-EU,12.05,-0.20,37.21,9.61,3,26,0,3.92,96.77,11.94,32.26,45.83,48,33.33,36.28
2602141404,Saturday,Post-Asia,11.85,-0.20,30.77,9.34,5,19,0,4.10,56.41,21.21,23.53,33.33,48,33.33,32.11
2602151918,Monday,Pre-EU,11.65,-0.43,38.21,11.69,9,29,0,3.30,84.21,28.57,31.25,55.32,47,16.67,48.27
2602221723,Monday,Asia-EU,11.23,-0.21,31.29,7.57,4,18,0,4.35,68.18,21.43,31.71,36.96,46,33.33,13.78
2602260109,Thursday,Pre-NA,11.02,-0.40,40.60,10.30,6,24,2,4.09,67.74,27.87,39.02,40.74,54,16.67,59.46
2603011742,Monday,Pre-EU,10.62,0.11,37.62,8.53,4,17,2,4.10,81.48,15.22,33.33,41.46,41,60.00,48.56
2603052048,Friday,Post-EU,10.73,0.10,37.32,8.89,9,26,1,4.02,76.67,24.32,31.58,39.62,53,58.33,73.19
2603071352,Saturday,Post-Asia,10.83,-0.21,34.65,7.82,3,17,1,4.64,74.19,17.54,28.20,27.27,44,30.00,21.96
2603122228,Friday,Post-EU,10.62,0.02,39.24,8.08,2,20,0,4.55,85.71,23.38,30.43,17.74,62,50.00,64.96
2603211405,Saturday,Post-Asia,10.64,-0.09,35.20,8.00,0,17,0,4.29,66.67,25.40,28.57,29.55,44,40.00,34.54
2603271909,Saturday,Pre-EU,10.55,-0.20,40.38,10.29,5,25,0,4.40,72.22,23.44,39.29,31.75,63,33.33,69.56
2603302139,Tuesday,Post-EU,10.35,0.01,42.18,7.44,5,21,0,4.64,78.12,30.99,34.09,30.65,62,50.00,68.04
2604021354,Thursday,Post-Asia,10.37,-0.01,38.69,10.79,4,21,1,4.19,90.62,12.90,37.21,33.96,53,50.00,73.86
2604021830,Friday,Pre-EU,10.36,0.30,41.50,7.61,3,16,0,4.93,79.49,25.76,30.95,16.39,61,80.00,67.37
2604102138,Saturday,Post-EU,10.66,0.21,41.62,10.87,2,24,1,4.42,78.26,13.04,47.83,28.36,67,66.67,81.69
2604160039,Thursday,Pre-NA,10.87,0.09,42.55,8.91,3,23,1,4.37,74.42,24.24,37.50,25.00,60,60.00,70.50
2604171736,Saturday,Pre-EU,10.96,0.29,41.28,9.49,1,20,0,4.09,91.67,22.22,32.50,28.89,45,80.00,71.25
2604181641,Sunday,Asia-EU,11.26,0.44,43.87,9.92,7,20,0,4.49,76.60,28.79,30.95,20.59,68,91.67,93.68
2604202224,Tuesday,Post-EU,11.70,0.10,39.13,9.04,5,21,1,3.91,91.67,26.67,23.91,28.89,45,60.00,32.55
2604251437,Saturday,Post-Asia,11.80,-0.20,34.03,7.95,5,22,0,3.92,70.00,26.03,21.95,28.57,49,33.33,14.29
2605012120,Saturday,Post-EU,11.60,-0.02,43.24,9.47,2,28,0,4.03,71.11,18.97,46.67,42.19,64,50.00,56.54
2605031350,Sunday,Post-Asia,11.58,0.10,37.78,9.86,9,21,0,4.04,64.71,25.00,34.15,37.25,51,60.00,44.50
2605062100,Thursday,Post-EU,11.68,-0.28,40.43,9.86,5,22,0,4.56,73.33,28.33,35.29,35.09,57,25.00,47.08
2605142121,Friday,Post-EU,11.40,-0.10,42.86,10.04,4,16,2,5.00,76.32,29.09,30.00,21.05,57,40.00,52.44
2605182153,Tuesday,Post-EU,11.30,-0.00,28.24,7.36,6,18,1,3.81,51.61,22.64,19.15,43.24,37,50.00,19.63
2605202226,Thursday,Post-EU,11.29,-0.01,42.38,9.98,8,30,0,3.56,76.92,29.03,32.00,35.94,64,50.00,71.98
2605222104,Saturday,Post-EU,11.28,0.30,45.37,11.05,6,20,0,4.08,73.33,26.53,48.28,34.69,49,80.00,80.42
2605241357,Sunday,Post-Asia,11.58,0.29,30.56,5.40,3,10,1,4.70,75.00,25.00,17.86,24.24,33,80.00,33.46
2605302104,Sunday,Post-EU,11.87,0.63,41.61,10.52,5,27,2,4.21,74.29,21.67,42.59,38.71,62,50.00,76.53
2607162124,Friday,Post-EU,12.50,-0.07,34.62,7.96,6,28,0,4.13,76.67,24.29,25.00,40.74,54,50.00,24.80
2607312159,Saturday,Post-EU,12.43,-0.45,36.00,7.22,5,17,0,4.39,70.27,24.14,25.45,31.48,54,33.33,21.35
2608011411,Saturday,Post-Asia,11.98,0.01,37.74,7.91,4,22,0,4.23,70.21,21.43,28.57,36.67,60,50.00,39.81
2608091426,Sunday,Post-Asia,12.00,-0.84,36.43,7.46,5,19,0,4.20,74.29,25.81,20.93,27.45,51,16.67,18.38
2608151426,Saturday,Post-Asia,11.16,0.37,34.13,9.27,6,15,0,4.42,84.00,19.40,26.47,32.56,43,66.67,62.98
