Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2606070809,Sunday,NA-Asia,13.00,-0.47,46.20,10.81,5,21,0,4.89,52.63,41.57,49.12,17.65,85,16.67,50.00
2606140619,Sunday,NA-Asia,12.53,0.47,40.74,10.91,5,16,0,4.16,44.44,43.18,35.13,27.27,44,83.33,52.30
2606162318,Wednesday,EU-NA,13.01,0.36,35.87,10.31,6,15,1,3.82,52.00,32.61,23.81,42.42,33,80.00,41.18
2606172335,Thursday,EU-NA,13.36,-0.36,40.35,9.61,5,18,1,4.20,46.43,38.30,38.46,30.43,46,30.00,16.91
2606181054,Thursday,Pre-Asia,13.00,0.21,39.77,8.50,8,24,1,4.51,40.54,36.56,45.65,25.71,70,66.67,56.03
2606182234,Friday,EU-NA,13.21,0.22,35.09,8.69,6,16,0,3.83,31.25,33.90,43.48,37.50,40,66.67,38.22
2606192259,Saturday,EU-NA,13.43,0.45,46.15,9.64,4,15,0,4.93,66.67,34.38,57.14,25.93,54,90.00,70.53
2606191928,Saturday,Pre-EU,13.87,0.22,38.69,9.02,3,22,0,4.47,41.18,41.79,30.56,28.30,53,66.67,39.18
2606212216,Monday,Post-EU,14.09,0.12,50.00,12.59,6,20,0,4.21,54.17,44.07,56.41,21.31,61,60.00,72.62
2606222249,Tuesday,EU-NA,14.21,-0.33,38.94,8.17,1,16,1,4.54,41.67,41.03,34.21,25.00,44,20.00,5.97
2606232311,Wednesday,EU-NA,13.88,-0.43,37.50,8.20,5,21,0,4.10,39.47,33.80,44.44,27.45,51,16.67,20.52
2606242018,Thursday,Post-EU,13.44,-0.22,37.84,7.90,5,22,1,4.36,50.00,34.25,35.56,30.36,56,33.33,22.62
2606251715,Friday,Asia-EU,13.23,0.02,44.35,10.11,7,20,0,4.24,48.00,46.00,40.82,29.09,55,50.00,79.24
2606290300,Monday,Post-NA,13.25,0.01,42.31,10.58,5,21,0,4.14,55.26,30.51,48.48,32.73,55,50.00,64.08
2607021352,Thursday,Post-Asia,13.25,-0.02,34.86,8.74,6,16,0,4.21,45.95,34.78,19.23,36.84,38,20.00,22.88
2606281510,Monday,Post-Asia,13.23,0.02,38.18,9.61,4,19,0,3.95,53.85,24.00,47.06,50.00,42,50.00,45.66
2607021834,Friday,Pre-EU,13.25,-0.21,40.40,9.26,5,22,1,4.66,43.48,39.76,39.13,21.25,80,58.33,50.11
2607031757,Saturday,Pre-EU,13.04,0.20,39.62,13.29,9,26,0,3.26,43.48,29.27,47.62,61.90,42,66.67,70.69
2607050452,Sunday,Post-NA,13.24,-0.31,36.47,7.94,3,17,0,4.40,40.00,33.75,38.18,24.19,62,25.00,21.13
2607051402,Sunday,Post-Asia,12.93,-0.43,43.51,10.03,4,22,0,4.23,56.67,45.90,30.00,26.32,57,83.33,66.10
2607061413,Monday,Post-Asia,12.50,0.23,45.34,11.86,12,41,0,3.71,57.90,43.75,37.21,47.95,73,58.33,94.40
2607091828,Friday,Pre-EU,12.73,-0.64,36.21,9.48,7,18,0,4.19,60.00,26.92,33.33,40.48,42,20.00,13.53
2607100722,Friday,NA-Asia,12.10,0.64,47.44,11.87,6,18,0,3.78,63.16,48.48,34.62,37.84,37,100.00,79.96
2607101409,Friday,Post-Asia,12.74,-0.02,38.32,11.80,7,28,0,3.10,43.33,37.50,34.48,51.22,41,50.00,47.05
2607111424,Saturday,Post-Asia,12.71,-0.08,41.33,8.22,4,22,2,4.76,52.63,39.71,34.09,29.03,62,58.33,42.69
2607131816,Tuesday,Pre-EU,12.63,-0.15,43.12,9.34,3,26,0,3.77,60.00,33.33,41.94,42.55,47,40.00,30.38
2607141418,Tuesday,Post-Asia,12.48,-0.36,40.54,9.08,2,22,0,4.33,53.57,34.72,41.67,21.67,60,33.33,23.93
2607150807,Wednesday,NA-Asia,12.12,-0.01,31.88,6.69,2,16,0,4.14,45.45,23.40,31.03,29.55,44,50.00,22.10
2607260432,Sunday,Post-NA,12.11,-0.51,37.04,9.31,3,16,1,4.80,45.95,46.38,19.64,25.00,60,25.00,17.40
2607270721,Monday,NA-Asia,11.60,-0.52,32.88,6.77,1,12,0,4.77,40.00,28.77,34.21,20.83,48,20.00,6.79
2607271815,Tuesday,Pre-EU,11.08,0.03,36.88,8.54,6,25,0,3.77,41.67,34.85,35.90,40.38,52,50.00,55.43
2607281417,Tuesday,Post-Asia,11.11,-0.01,40.67,8.68,4,32,2,4.12,45.16,44.29,32.65,34.43,61,50.00,60.43
2607300633,Thursday,NA-Asia,11.10,0.80,49.55,12.38,7,26,0,3.75,63.16,45.45,48.65,40.00,55,100.00,94.60
2607301630,Friday,Asia-EU,11.90,0.46,44.63,8.29,4,17,0,4.56,32.26,42.10,60.61,31.48,54,80.00,68.17
2607301816,Friday,Pre-EU,12.36,-0.01,40.41,8.81,7,21,0,3.95,29.03,42.86,44.44,35.59,59,50.00,65.18
2608010452,Saturday,Post-NA,12.36,0.61,43.42,8.71,4,15,2,4.68,48.84,47.06,31.71,16.67,66,83.33,75.81
2608020722,Sunday,NA-Asia,12.97,0.13,37.50,7.89,1,13,0,4.60,44.12,34.48,36.11,22.92,48,60.00,30.95
2608041558,Wednesday,Asia-EU,13.10,-0.27,41.22,9.84,5,22,2,4.11,41.67,41.79,40.00,37.04,54,33.33,44.83
2608061143,Thursday,Pre-Asia,12.83,-0.27,46.77,10.72,6,23,0,4.14,47.37,40.00,58.06,32.76,58,33.33,64.28
2608071509,Saturday,Post-Asia,12.56,-0.29,34.97,7.72,3,14,0,5.00,30.30,35.59,37.26,16.00,50,33.33,8.41
2608081324,Saturday,Post-Asia,12.27,-0.27,38.37,8.37,1,8,0,4.70,45.45,36.84,34.62,18.18,33,16.67,8.47
2608090640,Sunday,NA-Asia,12.00,0.68,46.96,9.61,3,18,1,4.68,58.06,37.04,53.33,22.22,54,91.67,80.38
2608091108,Sunday,Pre-Asia,12.68,-0.26,35.80,8.74,3,23,1,4.17,35.00,40.91,30.36,34.48,58,33.33,24.98
2608092119,Monday,Post-EU,12.42,-0.27,42.48,9.98,3,22,0,4.29,53.12,28.85,55.17,45.83,48,33.33,48.33
2608101058,Monday,Pre-Asia,12.15,-0.13,37.50,8.42,1,14,0,4.15,47.37,32.26,36.36,40.74,27,33.33,15.18
2608111417,Tuesday,Post-Asia,12.02,0.01,39.71,8.31,2,20,0,4.30,68.00,27.69,41.30,27.78,54,50.00,52.51
2608111757,Wednesday,Pre-EU,12.03,0.22,42.86,9.35,3,28,1,4.29,65.62,36.25,38.09,30.30,66,66.67,81.32
2608131715,Friday,Asia-EU,12.26,0.28,31.47,9.20,6,21,1,4.09,48.28,26.32,28.07,31.11,45,66.67,55.96
2608141048,Friday,Pre-Asia,12.54,0.38,36.25,9.74,2,11,0,4.07,50.00,25.71,41.94,34.48,29,100.00,60.01
2608150614,Saturday,NA-Asia,12.92,-0.36,44.66,9.30,4,13,1,4.83,41.94,52.63,38.23,21.74,46,20.00,51.41
2608150820,Saturday,NA-Asia,12.56,0.47,35.21,8.40,1,15,1,4.80,32.14,39.51,27.27,14.00,50,83.33,44.92
2608161358,Sunday,Post-Asia,13.03,-0.13,40.00,7.28,2,21,0,4.76,56.41,30.00,41.67,25.86,58,41.67,39.23
2608171415,Monday,Post-Asia,12.90,-0.23,40.65,11.88,8,22,0,3.68,53.57,45.10,27.27,40.00,50,33.33,63.30
2608181637,Wednesday,Asia-EU,12.67,-0.01,44.87,9.58,2,28,1,4.03,58.97,46.58,29.55,32.86,70,50.00,61.30
2608192017,Thursday,Post-EU,12.67,-0.35,28.57,6.65,0,8,0,4.12,62.50,13.33,38.89,43.75,16,0.00,7.15
2608201333,Thursday,Post-Asia,12.31,0.11,50.77,10.94,2,12,1,4.15,30.77,45.45,63.33,33.33,33,66.67,70.15
2608220930,Saturday,Pre-Asia,12.42,0.34,37.74,9.58,1,5,0,4.20,53.85,32.00,33.33,35.00,20,100.00,57.62
2608230141,Sunday,Pre-NA,12.76,0.21,39.87,8.92,5,24,0,4.15,62.96,32.86,37.26,30.51,59,66.67,65.53
2608232103,Monday,Post-EU,12.97,0.22,37.59,8.15,5,14,0,4.80,57.14,37.29,26.09,18.00,50,66.67,54.04
