Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2607290713,Wednesday,NA-Asia,12.50,0.25,40.00,10.60,5,16,1,4.14,52.38,39.22,33.33,26.19,42,60.00,50.00
2607292034,Thursday,Post-EU,12.75,0.24,36.36,10.13,2,10,0,4.21,61.11,32.26,17.65,29.17,24,66.67,35.05
2607300633,Thursday,NA-Asia,12.99,0.24,33.70,10.28,9,18,1,3.61,47.83,33.33,24.24,51.61,31,60.00,36.31
2607301816,Friday,Pre-EU,13.22,-1.22,32.23,8.85,5,23,0,3.41,39.13,35.19,25.00,61.54,39,0.00,21.30
2607312159,Saturday,Post-EU,12.00,1.18,44.03,12.72,10,30,0,3.68,73.91,46.38,23.81,45.76,59,100.00,95.74
2608012029,Sunday,Post-EU,13.18,0.22,32.76,10.33,3,11,1,3.47,41.67,30.43,30.43,52.63,19,66.67,34.48
2608020722,Sunday,NA-Asia,13.40,0.17,35.29,8.71,3,16,1,4.57,57.14,32.00,24.39,28.57,42,60.00,38.04
2608021759,Monday,Pre-EU,13.57,0.37,47.29,12.02,6,34,2,3.80,76.67,40.00,35.29,44.26,61,66.67,86.09
2608022131,Monday,Post-EU,13.95,-0.31,39.13,9.17,4,12,0,4.30,57.90,27.27,41.18,48.15,27,16.67,24.80
2608040513,Tuesday,Post-NA,13.64,-0.38,36.11,8.94,2,15,3,4.74,62.96,32.69,17.24,28.21,39,33.33,11.96
2608041621,Wednesday,Asia-EU,13.27,0.13,43.10,10.21,0,12,0,4.64,41.67,54.17,31.82,32.00,25,66.67,61.88
2608041837,Wednesday,Pre-EU,13.40,-0.03,39.19,8.48,5,17,0,4.90,56.41,37.29,28.00,24.14,58,50.00,44.86
2608051639,Thursday,Asia-EU,13.37,0.61,39.20,10.65,10,24,0,3.67,58.62,36.36,29.27,44.90,49,83.33,87.56
2608060005,Thursday,EU-NA,13.98,0.07,41.40,8.54,4,15,1,5.03,65.12,30.16,35.29,16.92,65,50.00,38.80
2608061708,Friday,Asia-EU,14.05,-0.62,42.07,12.54,13,34,0,3.52,60.00,45.71,24.44,45.90,61,16.67,65.43
2608080706,Saturday,NA-Asia,13.43,0.45,38.39,12.71,6,23,0,3.86,52.17,44.23,21.62,44.19,43,80.00,66.22
2608092119,Monday,Post-EU,13.88,-0.31,38.94,8.90,5,16,1,4.48,68.75,30.77,20.69,29.55,44,33.33,12.85
2608111538,Wednesday,Asia-EU,13.57,-0.45,35.82,7.98,4,13,0,3.67,66.67,20.83,32.14,45.83,24,0.00,9.45
2608111757,Wednesday,Pre-EU,13.12,0.02,32.43,10.14,7,27,0,3.65,52.00,32.91,20.45,37.50,48,50.00,61.77
2608120606,Wednesday,NA-Asia,13.14,0.53,39.26,10.27,4,26,0,4.53,66.67,32.10,27.91,35.94,64,83.33,73.26
2608130431,Thursday,Post-NA,13.66,-0.43,30.56,8.46,5,18,0,4.09,44.12,24.19,29.17,34.09,44,20.00,8.01
2608131715,Friday,Asia-EU,13.23,-0.57,35.51,11.25,4,24,0,3.67,44.00,42.37,24.07,46.94,49,16.67,34.02
2608142021,Saturday,Post-EU,12.66,-0.29,33.82,8.07,0,11,0,4.04,56.25,38.23,5.56,30.43,23,16.67,10.79
2608150614,Saturday,NA-Asia,12.37,0.39,45.69,13.45,7,25,0,4.21,64.52,43.48,33.33,39.62,53,80.00,93.30
2608150820,Saturday,NA-Asia,12.77,0.52,41.55,15.61,7,27,1,4.05,60.71,40.74,27.27,35.59,59,83.33,91.66
2608151728,Sunday,Asia-EU,13.29,-0.54,42.04,10.50,6,26,1,4.26,52.50,44.12,30.61,25.76,66,16.67,51.70
2608170653,Monday,NA-Asia,12.75,-0.25,38.82,10.32,5,22,1,4.56,65.22,33.87,18.18,27.12,59,33.33,41.97
2608171631,Tuesday,Asia-EU,12.50,0.12,38.23,10.93,4,15,0,3.19,58.82,38.09,0.00,42.31,26,66.67,58.49
2608171757,Tuesday,Pre-EU,12.62,-0.39,32.88,8.40,5,13,0,3.67,50.00,30.43,26.47,54.17,24,0.00,12.59
2608180722,Tuesday,NA-Asia,12.23,0.25,27.17,8.45,7,16,2,4.36,46.67,18.82,29.31,34.04,47,66.67,48.95
2608190421,Wednesday,Post-NA,12.48,-0.25,37.86,10.23,2,16,0,4.75,60.87,42.03,20.83,22.64,53,33.33,34.58
2608192017,Thursday,Post-EU,12.23,0.37,48.21,17.44,7,18,0,3.22,62.50,46.67,44.44,48.15,27,100.00,84.58
2608210603,Friday,NA-Asia,12.60,0.30,43.90,13.60,9,25,2,4.15,65.39,46.15,28.89,42.59,54,80.00,89.88
2608211806,Saturday,Pre-EU,12.90,-0.50,40.77,11.02,6,25,3,4.42,65.71,39.68,15.62,39.62,53,16.67,34.39
2608220647,Saturday,NA-Asia,12.40,-0.02,35.63,8.21,6,18,2,4.87,59.57,27.03,26.41,24.19,62,50.00,42.82
2608230141,Sunday,Pre-NA,12.38,0.01,36.07,11.01,9,25,0,3.52,44.44,38.09,25.00,50.00,44,50.00,51.63
2608230631,Sunday,NA-Asia,12.39,0.24,37.16,11.39,8,23,0,4.16,65.62,30.00,28.57,30.91,55,66.67,77.29
2608230849,Sunday,Pre-Asia,12.63,-0.52,38.98,8.64,4,24,0,4.59,62.50,28.99,26.92,21.74,69,16.67,33.28
2608232103,Monday,Post-EU,12.11,0.00,37.19,10.44,3,22,1,3.96,59.26,33.96,26.83,35.56,45,50.00,22.44
2608250450,Tuesday,Post-NA,12.11,-0.65,42.61,11.41,6,20,3,4.35,64.86,38.46,25.64,32.65,49,0.00,38.14
2608250800,Tuesday,NA-Asia,11.46,0.25,39.73,11.15,14,32,0,3.48,51.28,38.23,30.77,50.00,58,66.67,69.04
