Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601011011,Thursday,Pre-Asia,4.75,-0.31,22.63,2.86,1,6,0,5.23,22.22,18.84,29.27,19.35,31,20.00,50.00
2601020800,Friday,NA-Asia,4.44,-0.00,27.03,6.09,2,7,1,4.65,28.57,24.39,31.58,20.00,20,50.00,74.54
2601031038,Saturday,Pre-Asia,4.44,0.36,24.46,3.10,0,4,0,5.56,27.50,26.56,17.14,8.82,34,83.33,56.84
2601041141,Sunday,Pre-Asia,4.80,0.02,25.20,5.30,1,13,1,4.36,48.39,12.07,26.47,29.03,31,50.00,62.42
2601041434,Sunday,Post-Asia,4.82,-0.19,21.64,3.74,0,9,0,4.59,22.58,18.33,25.58,20.69,29,30.00,20.41
2601051410,Monday,Post-Asia,4.63,0.55,25.69,5.26,1,8,0,5.04,25.00,31.25,18.18,21.43,28,100.00,79.38
2601071400,Wednesday,Post-Asia,5.18,0.10,22.22,3.45,0,5,0,5.00,20.69,17.78,37.50,10.00,20,60.00,32.94
2601071634,Thursday,Asia-EU,5.28,-0.36,18.70,3.17,0,5,3,4.70,18.52,19.12,17.86,17.39,23,16.67,5.30
2601111925,Monday,Pre-EU,4.92,0.21,31.85,7.15,4,17,0,4.35,21.43,33.33,36.36,32.56,43,66.67,92.72
2601121031,Monday,Pre-Asia,5.13,0.09,30.00,6.41,2,8,0,4.42,16.67,31.25,41.67,29.17,24,66.67,75.46
2601131037,Tuesday,Pre-Asia,5.22,-0.28,20.75,1.78,0,1,0,5.36,41.67,13.04,16.67,9.09,11,0.00,9.99
2601141731,Thursday,Pre-EU,4.94,-0.27,20.29,2.19,0,5,1,5.39,29.73,15.62,18.92,0.00,28,20.00,15.44
2601151844,Friday,Pre-EU,4.67,0.00,28.03,5.27,0,16,0,4.49,27.27,20.97,40.54,24.32,37,50.00,79.03
2601161832,Saturday,Pre-EU,4.67,-0.09,19.59,3.75,1,7,1,4.42,20.00,17.39,23.08,26.32,19,40.00,18.20
2601170538,Saturday,NA-Asia,4.58,-0.47,27.20,4.22,1,7,0,5.56,25.81,20.90,44.44,20.59,34,0.00,49.46
2601171039,Saturday,Pre-Asia,4.11,-0.11,27.46,3.39,6,21,0,3.64,26.32,22.73,36.84,53.85,39,41.67,66.00
2601180726,Sunday,NA-Asia,4.00,0.20,26.47,4.68,2,8,0,5.25,33.33,21.54,29.55,19.44,36,66.67,85.78
2601181029,Sunday,Pre-Asia,4.20,0.09,29.66,5.78,1,13,1,4.46,38.46,18.18,40.54,28.57,35,60.00,82.36
2601181222,Sunday,Pre-Asia,4.30,-0.28,27.68,3.29,1,9,1,5.36,34.62,19.64,36.67,12.90,31,12.50,36.94
2601201116,Tuesday,Pre-Asia,4.02,0.18,24.11,4.52,2,14,1,4.24,25.71,21.43,27.78,26.47,34,66.67,73.39
2601201915,Wednesday,Pre-EU,4.20,-0.19,29.58,6.03,4,14,0,4.50,36.67,29.73,23.68,26.19,42,33.33,70.24
2601222213,Friday,Post-EU,4.02,0.28,20.00,3.64,2,5,0,4.44,21.43,10.53,33.33,27.78,18,80.00,40.57
2601241100,Saturday,Pre-Asia,4.30,0.00,31.90,6.76,3,11,1,4.54,34.48,22.81,46.67,21.62,37,50.00,82.12
2601260005,Monday,EU-NA,4.30,0.36,24.32,4.79,2,8,0,4.67,26.92,21.43,25.58,29.63,27,83.33,52.85
2601271912,Wednesday,Pre-EU,4.67,0.18,24.79,4.75,2,8,0,4.73,45.83,12.70,32.35,26.67,30,66.67,47.80
2601291310,Thursday,Post-Asia,4.85,0.16,26.61,4.48,1,10,2,5.03,26.09,24.61,30.56,15.15,33,66.67,47.31
2601291637,Friday,Asia-EU,5.01,-0.09,16.10,3.50,1,9,1,3.95,8.33,18.97,16.67,42.11,19,40.00,10.57
2601301932,Saturday,Post-EU,4.92,0.20,26.24,3.96,2,9,1,4.97,33.33,14.75,36.36,24.32,37,66.67,60.54
2602011015,Sunday,Pre-Asia,5.12,0.00,24.22,4.31,4,12,0,4.26,27.59,18.18,33.33,25.81,31,50.00,35.54
2602032022,Wednesday,Post-EU,5.12,0.19,20.35,5.28,5,11,0,4.30,20.69,17.31,25.00,39.13,23,66.67,58.26
2602052053,Friday,Post-EU,5.32,0.01,21.60,4.29,1,8,0,4.33,29.41,17.74,20.69,18.52,27,50.00,21.52
2602061813,Saturday,Pre-EU,5.33,0.00,30.99,5.36,1,13,0,4.86,36.11,24.49,33.33,15.91,44,50.00,62.93
2602062111,Saturday,Post-EU,5.33,-0.09,28.75,6.34,1,8,0,4.74,42.86,22.22,25.00,17.39,23,33.33,51.22
2602072212,Sunday,Post-EU,5.24,0.02,28.12,6.46,5,14,2,4.36,33.33,24.14,30.00,38.89,36,50.00,68.93
2602081905,Monday,Pre-EU,5.26,0.18,23.88,5.42,4,14,1,4.19,22.58,24.61,23.68,34.38,32,66.67,70.60
2602091853,Tuesday,Pre-EU,5.44,-0.27,32.90,5.34,1,8,0,4.92,31.82,19.05,42.42,12.00,25,20.00,45.74
2602101827,Wednesday,Pre-EU,5.17,0.18,32.48,5.35,3,15,0,4.80,36.17,27.69,35.56,21.57,51,66.67,80.93
2602151918,Monday,Pre-EU,5.35,0.17,21.97,5.00,5,11,1,4.21,25.81,17.74,25.64,31.03,29,66.67,42.14
2602161820,Tuesday,Pre-EU,5.52,-0.00,21.95,3.14,3,9,0,4.86,33.33,12.05,31.11,19.44,36,50.00,30.44
2602172105,Wednesday,Post-EU,5.51,-0.07,22.05,3.73,1,6,1,4.82,22.58,23.33,19.44,21.43,28,40.00,12.00
2602181622,Thursday,Asia-EU,5.44,0.09,22.22,4.56,2,11,3,4.47,16.00,16.46,34.69,26.47,34,58.33,35.09
2602192056,Friday,Post-EU,5.53,0.36,24.59,4.53,2,11,1,4.67,18.52,28.07,23.68,33.33,30,83.33,44.08
2602210513,Saturday,Post-NA,5.89,-0.19,17.99,1.97,0,3,2,5.76,21.21,15.49,20.00,12.00,25,33.33,5.32
2602210956,Saturday,Pre-Asia,5.70,-0.53,22.76,3.67,1,5,2,5.09,33.33,17.91,21.43,18.18,33,0.00,16.54
2602220459,Sunday,Post-NA,5.17,0.18,29.13,6.51,3,14,1,4.11,26.32,26.92,35.13,32.43,37,66.67,89.30
2602220742,Sunday,NA-Asia,5.35,0.01,24.31,5.02,2,10,2,5.09,17.14,20.00,36.36,28.57,35,50.00,57.95
2602251119,Wednesday,Pre-Asia,5.36,-0.16,28.68,3.83,1,5,0,5.13,48.00,21.13,30.00,10.26,39,33.33,46.94
2602270633,Friday,NA-Asia,5.20,-0.24,25.76,5.87,4,9,3,4.68,23.08,23.33,33.33,14.71,34,25.00,57.75
2602271913,Saturday,Pre-EU,4.96,0.35,25.45,4.50,0,8,1,4.86,27.27,14.89,40.00,21.43,28,90.00,65.01
2602281808,Sunday,Pre-EU,5.31,0.01,18.82,3.28,3,15,0,4.28,29.55,14.47,16.00,40.62,32,50.00,37.78
2603010710,Sunday,NA-Asia,5.32,-0.01,20.53,2.93,1,6,2,5.48,30.30,7.69,30.19,12.90,31,50.00,28.83
2603011742,Monday,Pre-EU,5.31,-0.26,18.33,2.94,1,6,1,4.86,24.24,10.71,25.81,22.73,22,20.00,12.70
2603020644,Monday,NA-Asia,5.05,0.35,23.85,2.92,0,4,3,5.50,28.57,21.82,23.08,11.54,26,83.33,43.59
2603021158,Monday,Pre-Asia,5.41,0.01,19.68,3.23,0,6,0,5.36,16.13,21.67,19.44,20.00,25,50.00,21.10
2603030900,Tuesday,Pre-Asia,5.42,0.00,25.00,3.50,1,6,0,5.47,25.81,19.15,30.95,13.33,30,50.00,51.94
2603041445,Wednesday,Post-Asia,5.42,0.07,22.67,3.26,1,9,1,5.23,27.50,22.08,20.00,10.26,39,58.33,54.30
2603050950,Thursday,Pre-Asia,5.49,0.01,23.58,3.93,1,7,2,4.55,31.03,18.18,25.64,24.14,29,50.00,52.73
2603052048,Friday,Post-EU,5.50,-0.54,22.54,3.33,1,10,1,4.94,34.29,16.05,26.92,12.50,32,0.00,40.91
2603061048,Friday,Pre-Asia,4.95,0.17,22.82,3.24,3,10,0,4.85,25.81,19.18,26.67,23.53,34,66.67,77.50
2603091433,Monday,Post-Asia,5.13,0.19,21.05,3.60,1,5,1,5.14,25.64,18.03,21.21,14.29,28,66.67,61.38
2603091909,Tuesday,Pre-EU,5.31,0.36,28.48,5.09,4,14,0,4.77,28.20,28.36,28.89,23.26,43,83.33,95.65
2603101021,Tuesday,Pre-Asia,5.67,0.22,24.64,4.53,1,10,0,4.82,25.81,20.29,31.58,26.47,34,75.00,81.01
2603101904,Wednesday,Pre-EU,5.90,0.18,25.95,5.53,1,12,0,4.71,17.24,21.67,38.09,20.59,34,66.67,81.23
2603111035,Wednesday,Pre-Asia,6.07,-0.17,26.49,4.89,3,10,3,4.95,23.68,19.64,35.09,20.00,40,33.33,58.43
2603151901,Monday,Pre-EU,5.90,-0.19,29.08,4.47,1,7,0,5.42,31.11,19.64,40.00,17.07,41,33.33,58.04
2603161028,Monday,Pre-Asia,5.71,0.17,22.94,5.03,6,9,0,5.08,15.56,23.08,29.79,20.51,39,66.67,74.03
2603161608,Tuesday,Asia-EU,5.88,-0.01,24.05,3.02,1,10,0,5.13,29.41,18.31,28.30,15.79,38,50.00,31.24
2603171003,Tuesday,Pre-Asia,5.87,0.08,21.09,3.87,3,8,0,4.85,27.78,14.58,22.73,29.63,27,58.33,25.39
2603191900,Friday,Pre-EU,5.95,-0.35,22.30,4.77,2,10,2,4.70,34.38,22.22,13.64,24.24,33,16.67,25.28
2603201913,Saturday,Pre-EU,5.60,-0.25,28.17,3.19,0,3,0,5.92,18.18,27.69,32.73,7.50,40,25.00,37.20
2603230420,Monday,Post-NA,5.36,-0.16,28.67,6.17,1,13,0,4.67,35.48,21.54,33.33,23.26,43,33.33,63.32
2603231915,Tuesday,Pre-EU,5.20,0.27,29.47,4.85,0,9,0,4.86,33.33,23.68,33.33,21.43,28,80.00,72.18
2603241046,Tuesday,Pre-Asia,5.47,0.35,27.08,4.80,0,16,2,4.74,20.00,32.14,27.08,28.21,39,83.33,73.65
2603261019,Thursday,Pre-Asia,5.82,-0.01,25.83,4.00,4,12,1,4.62,15.00,20.25,38.46,23.08,39,50.00,49.67
2603271909,Saturday,Pre-EU,5.81,-0.19,17.24,3.99,2,7,7,4.64,21.05,14.06,18.61,28.00,25,33.33,10.76
2603280947,Saturday,Pre-Asia,5.62,0.00,27.43,6.84,2,10,1,4.36,22.73,36.54,17.95,32.26,31,50.00,70.65
2603281530,Sunday,Asia-EU,5.63,0.00,29.86,4.92,2,11,2,4.98,23.08,27.54,41.67,23.26,43,50.00,73.72
2603302139,Tuesday,Post-EU,5.63,-0.09,22.79,4.55,4,15,3,4.28,21.62,17.57,31.91,36.11,36,41.67,30.05
2604021830,Friday,Pre-EU,5.54,-0.22,33.33,7.48,2,11,1,4.35,41.67,28.57,34.21,18.92,37,20.00,62.10
2604060410,Monday,Post-NA,5.32,0.19,22.15,4.51,3,11,2,4.64,27.03,23.08,18.33,27.27,33,66.67,40.84
2604061424,Monday,Post-Asia,5.51,0.19,22.67,3.77,0,12,0,4.85,32.43,17.24,25.00,15.38,39,66.67,46.80
2604090720,Thursday,NA-Asia,5.70,-0.19,25.50,3.48,0,9,3,4.79,45.83,20.29,23.21,13.16,38,33.33,26.34
2604091812,Friday,Pre-EU,5.52,-0.27,28.16,5.26,1,9,0,4.79,22.73,22.22,35.56,20.69,29,20.00,49.81
2604110724,Saturday,NA-Asia,5.24,0.17,24.14,3.48,1,3,1,5.64,23.81,22.03,27.78,10.71,28,66.67,43.18
2604131902,Tuesday,Pre-EU,5.42,-0.18,22.16,4.74,2,11,0,4.76,22.22,21.05,23.91,18.92,37,33.33,32.81
2604151003,Wednesday,Pre-Asia,5.23,-0.18,25.36,2.92,1,4,1,5.94,25.00,26.67,24.00,11.43,35,33.33,26.39
2604161835,Friday,Pre-EU,5.05,0.08,21.64,4.78,1,11,1,4.45,25.64,18.46,23.33,27.59,29,58.33,51.94
2604171736,Saturday,Pre-EU,5.13,-0.18,31.68,8.09,2,14,0,3.75,42.10,25.00,35.29,37.50,32,30.00,59.88
2604181641,Sunday,Asia-EU,4.94,-0.06,23.03,4.87,5,7,1,4.71,24.49,20.00,27.27,17.14,35,41.67,51.45
2604182112,Sunday,Post-EU,4.88,-0.00,21.43,5.42,3,15,0,3.58,23.08,13.56,37.04,54.17,24,50.00,58.03
2604190732,Sunday,NA-Asia,4.88,-0.19,27.03,5.27,2,15,0,3.97,25.71,21.43,35.29,43.33,30,33.33,55.15
2604191428,Sunday,Post-Asia,4.69,0.01,18.80,3.52,0,8,2,4.77,28.00,18.97,11.77,22.73,22,50.00,27.72
2604201843,Tuesday,Pre-EU,4.71,-0.01,26.67,3.98,2,8,1,5.31,32.26,25.40,24.39,19.44,36,50.00,60.54
2604211013,Tuesday,Pre-Asia,4.70,-0.09,20.42,2.62,0,5,2,5.55,21.88,22.22,15.79,3.45,29,40.00,16.37
2604211825,Wednesday,Pre-EU,4.61,0.01,27.01,5.27,4,12,0,4.41,29.27,26.32,25.64,35.14,37,50.00,86.85
2604221047,Wednesday,Pre-Asia,4.62,0.26,23.08,4.00,2,8,1,5.05,23.53,19.72,26.56,17.95,39,75.00,53.84
2604231500,Friday,Post-Asia,4.88,0.36,31.06,5.28,1,11,0,5.14,46.88,25.88,29.55,16.00,50,83.33,86.61
2604252135,Sunday,Post-EU,5.24,-0.35,28.03,5.17,3,14,2,4.57,32.14,23.08,33.33,21.62,37,16.67,58.12
2604281408,Tuesday,Post-Asia,4.89,-0.00,30.33,6.51,3,15,0,4.46,40.00,27.45,26.83,27.03,37,50.00,78.96
2604291816,Thursday,Pre-EU,4.89,0.36,27.68,4.52,1,13,0,4.45,42.10,28.33,18.18,25.81,31,83.33,64.03
2605012120,Saturday,Post-EU,5.25,-0.00,19.86,2.98,1,7,0,4.89,20.00,13.56,28.57,10.71,28,50.00,17.73
2605022323,Sunday,EU-NA,5.25,-0.18,27.05,4.09,1,10,0,4.64,46.15,20.97,23.53,21.21,33,30.00,29.58
2605060545,Wednesday,NA-Asia,5.06,0.18,21.62,4.25,1,5,1,4.92,17.24,19.61,29.03,12.50,24,66.67,38.22
2605062326,Thursday,EU-NA,5.24,-0.17,25.15,4.51,6,16,0,4.64,25.64,15.07,38.18,30.95,42,33.33,39.91
2605071418,Thursday,Post-Asia,5.07,0.00,21.82,4.69,4,12,0,4.56,28.89,13.04,27.45,30.56,36,25.00,40.63
2605101217,Sunday,Pre-Asia,5.07,-0.01,28.44,4.41,0,8,1,4.97,33.33,32.08,21.05,16.13,31,50.00,43.96
2605110822,Monday,NA-Asia,5.06,-0.35,33.33,7.00,6,15,1,3.84,50.00,27.45,30.00,41.94,31,16.67,55.59
2605111054,Monday,Pre-Asia,4.71,0.42,25.00,3.62,1,9,1,4.94,31.43,22.22,23.26,24.24,33,91.67,46.51
2605120938,Tuesday,Pre-Asia,5.13,0.17,29.41,4.97,4,15,0,4.22,41.03,20.64,32.35,27.50,40,66.67,87.39
2605121405,Tuesday,Post-Asia,5.30,0.01,24.48,4.07,1,12,1,4.43,24.24,23.08,28.12,25.71,35,50.00,40.37
2605131603,Thursday,Asia-EU,5.31,0.08,23.19,2.79,0,3,2,5.50,24.32,18.03,30.00,9.38,32,58.33,28.85
2605140757,Thursday,NA-Asia,5.39,0.00,28.00,5.38,5,16,4,4.84,41.03,15.71,33.33,20.41,49,50.00,68.10
2605141418,Thursday,Post-Asia,5.39,0.08,23.68,3.88,1,9,1,5.14,20.00,17.14,36.17,22.22,36,58.33,35.38
2605150701,Friday,NA-Asia,5.47,-0.18,19.20,2.71,0,10,0,4.52,17.65,15.00,29.73,24.14,29,33.33,10.90
2605151746,Saturday,Pre-EU,5.30,-0.17,31.19,7.17,5,15,0,4.15,39.13,20.83,39.47,26.47,34,40.00,62.32
2605170727,Sunday,NA-Asia,5.13,-0.01,20.59,3.61,3,11,0,4.36,19.36,22.03,19.57,42.86,28,50.00,24.71
2605170937,Sunday,Pre-Asia,5.12,-0.17,24.24,4.14,0,7,0,5.00,17.86,28.79,21.05,18.75,32,33.33,25.88
2605171514,Monday,Post-Asia,4.95,0.18,25.00,4.31,1,5,3,5.31,42.42,17.02,19.44,13.79,29,66.67,52.01
2605181101,Monday,Pre-Asia,5.13,-0.07,19.01,3.08,1,8,0,4.48,14.29,24.59,15.09,18.52,27,41.67,18.92
2605181508,Tuesday,Post-Asia,5.05,-0.15,26.02,4.84,1,9,2,4.81,38.46,19.30,27.50,18.75,32,33.33,51.42
