Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601140549,Wednesday,NA-Asia,10.64,0.43,37.84,6.88,3,13,1,5.21,46.43,42.50,22.50,16.07,56,83.33,50.00
2601181222,Sunday,Pre-Asia,11.07,0.46,36.03,6.81,6,18,0,4.63,55.26,27.27,31.25,28.57,49,83.33,45.28
2601220918,Thursday,Pre-Asia,11.53,0.22,33.96,6.40,1,18,1,4.68,46.67,30.00,27.27,25.93,54,66.67,22.12
2602081133,Sunday,Pre-Asia,11.75,-0.22,36.67,7.01,4,22,1,4.04,52.94,36.11,25.00,30.91,55,33.33,46.92
2602210737,Saturday,NA-Asia,11.53,-0.64,33.33,5.84,0,12,0,4.98,34.48,31.71,35.71,21.57,51,0.00,10.65
2602210956,Saturday,Pre-Asia,10.90,-0.63,33.10,7.40,2,15,0,4.60,52.78,26.87,26.19,29.17,48,0.00,31.45
2602220742,Sunday,NA-Asia,10.27,0.21,36.43,8.89,4,18,1,4.51,45.95,35.29,28.57,33.33,51,66.67,77.44
2603010710,Sunday,NA-Asia,10.48,0.11,38.82,9.98,5,27,0,4.34,47.37,41.94,28.85,35.59,59,58.33,89.24
2603040502,Wednesday,Post-NA,10.59,0.02,41.09,9.93,4,22,1,4.19,57.69,37.14,36.36,37.74,53,50.00,74.24
2603050950,Thursday,Pre-Asia,10.61,0.00,41.84,8.86,4,22,0,4.12,52.50,41.94,30.77,23.73,59,50.00,79.80
2603111035,Wednesday,Pre-Asia,10.61,-0.20,38.41,8.53,5,18,0,4.59,44.74,46.43,26.32,27.59,58,33.33,63.28
2603181441,Wednesday,Post-Asia,10.41,-0.41,38.93,8.60,3,19,1,4.71,46.67,38.98,33.33,31.37,51,16.67,45.24
2603190419,Thursday,Post-NA,10.00,0.20,41.35,9.35,4,14,1,4.76,51.43,37.29,38.46,14.55,55,66.67,85.88
2603251007,Wednesday,Pre-Asia,10.20,-0.41,26.87,4.71,1,10,1,5.03,37.14,21.88,25.71,25.00,36,16.67,6.52
2603280947,Saturday,Pre-Asia,9.78,0.11,32.08,8.22,2,15,1,4.09,43.48,25.00,33.33,20.59,34,58.33,38.81
2604041052,Saturday,Pre-Asia,9.90,-0.20,32.67,7.75,2,18,0,4.55,35.71,29.23,35.09,26.53,49,33.33,14.91
2604090720,Thursday,NA-Asia,9.70,0.19,44.76,8.45,5,25,0,4.31,48.15,44.12,43.75,21.88,64,66.67,83.04
2604110724,Saturday,NA-Asia,9.89,0.20,41.35,8.62,1,15,0,4.91,55.88,40.28,25.93,21.82,55,66.67,81.55
2604121013,Sunday,Pre-Asia,10.09,0.09,37.90,9.04,1,18,1,4.45,35.48,40.68,35.29,29.79,47,60.00,62.34
2604151003,Wednesday,Pre-Asia,10.19,-0.19,37.74,9.56,4,22,0,4.25,33.33,37.84,40.82,23.33,60,33.33,60.82
2604160643,Thursday,NA-Asia,9.99,-0.15,37.81,6.50,5,20,0,4.11,46.67,37.04,31.43,37.78,45,33.33,34.22
2604180738,Saturday,NA-Asia,9.85,-0.12,39.57,8.54,3,14,2,5.01,46.81,36.47,38.18,14.86,74,41.67,59.76
2604221047,Wednesday,Pre-Asia,9.73,0.29,40.00,9.34,4,25,0,4.29,47.62,38.75,35.85,31.43,70,75.00,91.99
2604231037,Thursday,Pre-Asia,10.02,0.11,36.23,7.35,1,19,0,4.50,45.71,29.41,40.00,24.00,50,58.33,34.16
2604290920,Wednesday,Pre-Asia,10.13,0.11,30.00,15.12,2,3,0,1.33,50.00,40.00,0.00,100.00,3,100.00,52.52
2604300723,Thursday,NA-Asia,10.23,0.18,46.32,9.15,3,25,0,4.25,64.29,33.33,54.76,28.57,63,66.67,75.48
2605020939,Saturday,Pre-Asia,10.41,0.39,42.34,10.09,3,21,0,4.29,50.00,46.43,30.23,20.69,58,83.33,89.41
2605070715,Thursday,NA-Asia,10.81,0.28,32.88,6.83,3,16,1,4.58,44.44,32.84,23.26,20.83,48,75.00,36.31
2605090627,Saturday,NA-Asia,11.09,0.00,41.89,9.79,7,20,0,4.42,50.00,44.12,34.00,29.03,62,66.67,79.12
2605140757,Thursday,NA-Asia,11.09,0.00,38.51,5.56,1,18,0,5.21,52.38,35.29,32.81,17.91,67,83.33,41.53
2605170727,Sunday,NA-Asia,11.09,0.09,35.56,5.59,1,12,0,4.31,40.91,35.90,31.03,25.00,32,60.00,16.22
2605180606,Monday,NA-Asia,11.18,-0.18,38.09,7.11,2,14,0,5.14,57.69,34.78,32.69,19.64,56,33.33,28.97
2605210713,Thursday,NA-Asia,11.00,-0.18,37.27,8.33,8,15,0,4.29,54.55,30.77,36.11,31.71,41,33.33,29.54
2605230657,Saturday,NA-Asia,10.82,-0.48,43.70,9.63,3,15,0,4.56,51.52,45.28,33.33,23.08,52,0.00,59.08
2605271100,Wednesday,Pre-Asia,10.34,0.00,35.62,8.74,4,14,0,4.63,41.03,42.25,22.00,22.81,57,33.33,50.47
2605310642,Sunday,NA-Asia,10.34,-0.19,39.24,9.26,3,21,0,4.64,63.33,34.18,32.65,25.81,62,50.00,57.12
2606030426,Wednesday,Post-NA,10.14,0.10,38.23,9.14,4,14,0,4.08,38.09,44.44,30.56,20.51,39,60.00,68.37
2606030638,Wednesday,NA-Asia,10.25,0.01,37.76,6.38,2,9,0,4.96,50.00,36.36,31.11,20.37,54,50.00,45.37
2606040725,Thursday,NA-Asia,10.25,0.00,35.17,6.11,7,18,0,4.33,40.00,35.29,30.95,37.25,51,50.00,44.51
2606070809,Sunday,NA-Asia,10.25,0.11,33.15,6.41,1,15,0,5.22,37.50,31.82,32.08,20.00,60,58.33,43.29
2606100901,Wednesday,Pre-Asia,10.36,0.37,37.12,8.00,3,15,1,4.69,47.06,38.46,28.26,24.49,49,83.33,56.43
2606130437,Saturday,Post-NA,10.73,-0.10,38.64,8.18,2,10,1,5.08,48.15,37.88,33.33,21.57,51,40.00,43.68
2606181054,Thursday,Pre-Asia,10.63,-0.27,39.47,7.33,2,19,0,4.55,41.38,39.74,37.78,20.00,60,25.00,37.70
2606201811,Sunday,Pre-EU,10.36,-0.10,33.75,7.14,4,15,0,4.91,35.48,36.62,29.31,25.93,54,41.67,26.05
2606202327,Sunday,EU-NA,10.26,0.18,39.52,8.33,2,10,0,4.84,58.62,38.18,27.50,14.29,49,66.67,72.89
2606222249,Tuesday,EU-NA,10.44,-0.46,34.88,9.20,4,21,0,3.84,38.23,34.48,32.43,28.89,45,0.00,35.49
2607040426,Saturday,Post-NA,9.97,0.55,46.32,6.80,1,17,0,4.97,55.81,44.64,37.84,17.46,63,100.00,67.81
2607050452,Sunday,Post-NA,10.52,-0.02,39.10,6.22,0,16,0,5.02,48.48,33.85,39.66,8.20,61,66.67,49.99
2607090723,Thursday,NA-Asia,10.50,0.87,37.16,6.43,3,27,0,4.00,34.38,39.71,35.42,40.00,55,83.33,54.70
2607150807,Wednesday,NA-Asia,11.37,-0.01,29.71,6.67,5,13,0,4.12,42.42,29.79,22.41,36.59,41,50.00,20.11
2607160414,Thursday,Post-NA,11.36,0.81,36.62,6.02,2,11,0,5.29,44.44,36.51,30.23,9.62,52,83.33,47.33
2607220545,Wednesday,NA-Asia,12.18,-0.01,36.88,8.94,5,14,0,4.22,52.63,25.00,46.51,26.67,45,50.00,45.01
2607231033,Thursday,Pre-Asia,12.16,0.18,38.64,7.23,4,15,0,4.53,57.58,34.48,29.27,15.69,51,60.00,53.73
2607300633,Thursday,NA-Asia,12.35,0.18,33.33,7.50,2,16,0,3.82,52.63,27.27,30.56,36.36,33,60.00,31.38
2608061143,Thursday,Pre-Asia,12.53,-0.36,41.94,9.22,7,18,0,4.31,50.00,34.55,45.16,25.00,52,33.33,63.63
2608080706,Saturday,NA-Asia,12.16,-0.36,38.51,6.45,1,14,0,5.16,28.12,48.57,30.43,15.79,57,30.00,30.16
2608120606,Wednesday,NA-Asia,11.81,-0.99,34.73,7.75,5,15,0,4.83,47.37,35.53,24.53,17.24,58,0.00,44.34
