Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2605111054,Monday,Pre-Asia,4.00,-0.35,13.95,2.23,1,6,2,4.56,33.33,8.77,8.89,33.33,18,25.00,50.00
2605131603,Thursday,Asia-EU,3.65,0.02,15.79,1.82,1,1,2,5.67,24.14,14.93,10.81,4.76,21,50.00,65.09
2605150701,Friday,NA-Asia,3.67,0.70,17.86,2.84,3,6,0,4.70,33.33,15.25,14.29,30.00,20,100.00,87.96
2605170727,Sunday,NA-Asia,4.37,-0.46,25.00,2.98,1,6,0,5.03,46.15,14.58,13.79,13.79,29,10.00,59.85
2605180606,Monday,NA-Asia,3.91,0.22,16.67,2.92,1,4,1,5.21,26.92,17.74,3.85,15.79,19,66.67,59.24
2605182153,Tuesday,Post-EU,4.13,0.00,22.79,3.11,2,9,0,5.31,33.33,25.40,11.32,13.89,36,50.00,74.27
2605191412,Tuesday,Post-Asia,4.14,-0.34,21.33,2.67,0,6,0,5.31,44.12,15.07,13.95,9.38,32,25.00,48.36
2605201425,Wednesday,Post-Asia,3.80,0.56,22.22,3.09,2,7,0,5.25,28.12,21.43,18.42,17.86,28,100.00,88.51
2605210713,Thursday,NA-Asia,4.36,0.44,22.95,3.57,3,7,3,5.18,40.00,12.96,23.68,21.43,28,83.33,86.43
2605221423,Friday,Post-Asia,4.80,-0.09,17.01,1.67,0,2,1,5.84,33.33,10.00,11.11,8.00,25,41.67,15.20
2605222104,Saturday,Post-EU,4.71,-0.11,16.95,1.52,0,3,0,6.10,51.52,4.54,2.44,10.00,20,40.00,12.27
2605230657,Saturday,NA-Asia,4.59,-0.32,22.22,2.34,0,3,0,5.71,38.71,21.82,10.00,7.14,28,20.00,37.27
2605241357,Sunday,Post-Asia,4.27,-0.31,20.37,2.40,1,5,1,5.41,44.83,14.29,8.11,9.09,22,20.00,23.41
2605250730,Monday,NA-Asia,3.96,0.41,18.18,3.50,1,7,1,4.54,25.00,24.19,4.76,16.67,24,83.33,62.04
2605251428,Monday,Post-Asia,4.37,0.41,27.03,3.38,2,6,3,5.67,43.59,20.90,21.43,5.00,40,83.33,86.81
2605261830,Wednesday,Pre-EU,4.78,0.51,17.72,2.54,0,5,2,5.50,22.50,20.90,9.80,17.86,28,91.67,49.65
2605271437,Wednesday,Post-Asia,5.30,-0.09,16.57,1.71,0,5,2,5.83,47.37,5.26,11.47,6.90,29,41.67,17.42
2605281355,Thursday,Post-Asia,5.20,0.22,21.83,2.71,0,9,1,4.45,43.24,16.39,11.36,22.58,31,66.67,75.27
2605281609,Friday,Asia-EU,5.42,-0.20,17.65,2.80,1,7,2,4.92,19.23,18.97,15.38,8.33,24,33.33,31.15
2605290743,Friday,NA-Asia,5.22,0.20,20.89,2.76,1,10,0,4.79,46.15,12.68,12.50,21.21,33,66.67,78.16
2605291351,Friday,Post-Asia,5.42,0.22,23.24,3.50,4,11,1,4.70,54.55,13.64,13.95,18.18,33,66.67,88.45
2605300901,Saturday,Pre-Asia,5.64,-0.29,18.46,3.42,2,7,1,4.97,32.56,16.50,10.20,22.22,36,25.00,45.05
2606011346,Monday,Post-Asia,5.34,-0.10,24.59,3.35,1,5,1,5.07,42.42,20.00,15.38,13.33,30,41.67,52.54
