Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601011011,Thursday,Pre-Asia,13.81,0.50,48.46,10.71,4,28,0,3.95,65.52,42.86,44.44,23.81,63,100.00,50.00
2601020800,Friday,NA-Asia,14.31,-0.37,41.86,6.95,1,15,1,5.04,63.33,32.76,39.02,18.52,54,10.00,6.68
2601030526,Saturday,Post-NA,13.94,-0.01,36.71,7.34,4,22,0,4.45,45.16,36.11,32.73,25.86,58,50.00,25.42
2601031038,Saturday,Pre-Asia,13.93,-0.01,47.26,10.14,4,16,0,4.71,60.61,45.95,38.46,17.39,69,50.00,70.80
2601040610,Sunday,NA-Asia,13.92,0.08,46.55,10.97,10,33,0,3.98,57.14,48.23,37.04,34.57,81,58.33,85.74
2601071400,Wednesday,Post-Asia,14.00,0.10,50.00,14.62,5,23,0,3.73,48.28,48.89,56.25,44.44,45,60.00,73.56
2601071634,Thursday,Asia-EU,14.11,-0.36,47.15,12.06,6,23,0,3.90,40.74,50.00,46.43,41.38,58,16.67,50.91
2601140549,Wednesday,NA-Asia,13.75,-0.38,44.59,10.28,4,22,0,4.70,42.42,47.89,40.91,24.24,66,16.67,33.11
2601141731,Thursday,Pre-EU,13.36,0.10,45.87,10.36,3,29,0,3.90,55.88,47.54,34.21,26.23,61,60.00,58.08
2601160828,Friday,NA-Asia,13.46,0.10,59.26,13.56,1,5,0,4.56,57.14,62.50,50.00,25.00,16,100.00,71.19
2601161832,Saturday,Pre-EU,13.55,0.11,35.51,8.30,3,13,0,3.76,54.55,33.33,25.81,36.84,38,60.00,34.76
2601170538,Saturday,NA-Asia,13.66,-0.48,44.00,9.59,2,18,1,4.71,41.94,44.78,44.44,30.91,55,0.00,13.16
2601171053,Saturday,Pre-Asia,13.18,0.09,38.86,9.79,3,20,1,4.56,34.09,42.10,38.18,30.88,68,58.33,42.17
2601171640,Sunday,Asia-EU,13.27,0.00,52.94,12.93,4,27,0,4.14,53.12,52.63,53.33,34.92,63,80.00,83.30
2601171642,Sunday,Asia-EU,13.27,0.29,52.94,12.93,4,27,0,4.14,53.12,52.63,53.33,34.92,63,80.00,90.96
2601180507,Sunday,Post-NA,13.57,-0.09,43.81,11.33,10,29,0,3.28,46.15,46.94,36.67,47.83,46,40.00,40.37
2601180726,Sunday,NA-Asia,13.48,0.20,47.79,12.52,4,23,0,4.37,59.26,36.92,56.82,33.85,65,66.67,84.21
2601201116,Tuesday,Pre-Asia,13.68,0.18,46.10,11.02,6,36,0,3.66,62.86,42.86,36.11,43.08,65,66.67,62.21
2601220918,Thursday,Pre-Asia,13.86,0.37,49.06,12.49,8,35,0,4.06,69.05,42.25,41.30,30.77,78,83.33,91.76
2601241100,Saturday,Pre-Asia,14.22,0.19,38.46,8.71,3,20,0,4.36,64.52,35.94,20.00,30.00,50,66.67,31.84
2601250718,Sunday,NA-Asia,14.41,-0.00,45.27,10.08,2,19,0,4.73,42.86,48.68,40.54,13.43,67,50.00,29.49
2601270546,Tuesday,NA-Asia,14.41,0.00,44.00,9.75,5,26,0,4.21,50.00,42.86,36.67,39.39,66,50.00,27.07
2601290607,Thursday,NA-Asia,14.41,-0.08,47.10,8.32,1,12,0,5.17,54.76,43.86,43.59,15.38,65,40.00,28.69
2601311622,Sunday,Asia-EU,14.33,-0.18,50.68,12.18,6,38,0,3.76,54.17,50.65,48.94,49.33,75,33.33,63.44
2602011015,Sunday,Pre-Asia,14.15,-0.17,45.69,10.75,8,28,0,3.57,30.00,47.54,51.43,47.17,53,33.33,36.76
2602020929,Monday,Pre-Asia,13.98,-0.27,55.70,11.61,5,47,0,3.79,61.54,50.00,60.00,48.86,88,25.00,61.24
2602021353,Monday,Post-Asia,13.71,0.01,38.41,7.54,1,15,0,4.85,53.57,31.88,39.02,18.87,53,50.00,20.97
2602041343,Wednesday,Post-Asia,13.72,0.19,43.45,11.86,5,33,0,3.71,43.75,45.20,40.00,42.86,63,66.67,61.05
2602051504,Friday,Post-Asia,13.91,-0.19,51.33,9.86,3,18,0,4.93,44.12,42.03,70.21,19.48,77,33.33,47.00
2602061813,Saturday,Pre-EU,13.72,-0.15,50.83,12.44,3,21,0,4.00,56.25,46.15,52.78,32.79,61,33.33,54.20
2602071029,Saturday,Pre-Asia,13.57,-0.01,40.98,9.46,5,20,0,3.92,50.00,41.38,34.21,32.00,50,50.00,35.75
2602101827,Wednesday,Pre-EU,13.56,0.01,51.55,10.94,6,33,0,4.23,56.76,49.37,51.11,32.53,83,50.00,85.52
2602141404,Saturday,Post-Asia,13.57,0.36,42.86,11.20,3,26,0,4.23,43.24,44.07,41.54,26.09,69,83.33,63.10
2602161820,Tuesday,Pre-EU,13.92,0.19,45.81,9.06,5,31,0,3.97,54.29,44.59,41.30,29.58,71,66.67,54.76
2602170916,Tuesday,Pre-Asia,14.12,0.03,46.86,10.64,4,29,0,4.42,74.36,37.80,40.74,29.27,82,50.00,58.26
2602210737,Saturday,NA-Asia,14.14,0.28,45.09,9.80,3,22,0,4.79,43.24,50.65,38.98,20.51,78,75.00,54.48
2602210956,Saturday,Pre-Asia,14.43,0.18,46.85,12.11,5,28,0,4.13,52.50,44.62,44.74,37.31,67,66.67,68.02
2602220742,Sunday,NA-Asia,14.61,0.18,43.57,11.58,4,23,1,4.28,48.65,45.59,34.29,36.07,61,66.67,52.63
2602270633,Friday,NA-Asia,14.78,-0.24,40.91,7.92,1,15,0,4.72,48.72,46.67,21.21,11.11,54,25.00,6.73
2602271913,Saturday,Pre-EU,14.54,-0.17,46.09,10.96,3,21,0,4.32,57.14,39.68,48.65,27.12,59,30.00,43.41
2603030900,Tuesday,Pre-Asia,14.37,0.01,50.31,12.17,3,34,0,4.09,50.00,50.65,50.00,37.50,80,50.00,64.82
2603041445,Wednesday,Post-Asia,14.38,0.00,46.03,12.72,6,29,0,3.79,44.00,41.67,53.66,41.38,58,50.00,53.36
2603061048,Friday,Pre-Asia,14.38,0.01,42.65,11.08,13,34,0,3.47,45.16,36.36,51.28,50.00,58,50.00,41.05
2603071352,Saturday,Post-Asia,14.39,-0.19,45.54,7.90,1,18,0,5.06,51.52,44.00,41.38,25.49,51,30.00,18.74
2603081005,Sunday,Pre-Asia,14.21,-0.37,41.67,9.40,2,20,0,4.40,60.00,36.77,30.56,23.33,60,16.67,8.53
2603090538,Monday,NA-Asia,13.84,-0.18,50.97,9.75,3,19,0,5.37,60.00,49.25,45.83,15.19,79,33.33,43.28
2603091433,Monday,Post-Asia,13.66,-0.08,37.41,8.90,1,19,0,4.42,51.72,42.65,19.05,30.77,52,41.67,26.18
2603111035,Wednesday,Pre-Asia,13.57,-0.17,48.84,11.12,3,25,0,4.27,72.73,46.55,31.58,22.22,63,33.33,65.29
2603151012,Sunday,Pre-Asia,13.40,-0.26,44.37,8.76,2,17,1,4.52,43.33,50.00,36.96,23.81,63,25.00,21.05
2603161028,Monday,Pre-Asia,13.14,-0.09,43.83,8.93,3,20,0,4.65,58.70,47.89,22.22,18.31,71,41.67,44.76
2603161608,Tuesday,Asia-EU,13.05,-0.01,47.47,9.91,11,30,0,4.17,58.82,50.70,35.85,36.00,75,50.00,80.94
2603171003,Tuesday,Pre-Asia,13.04,-0.18,42.86,10.97,7,22,0,3.88,51.85,45.61,31.43,45.10,51,33.33,47.11
2603181441,Wednesday,Post-Asia,12.86,-0.01,47.76,10.50,3,22,0,4.62,62.86,45.90,36.84,29.69,64,50.00,80.96
2603191423,Thursday,Post-Asia,12.86,-0.01,45.51,9.71,9,34,0,4.16,51.16,38.89,50.00,39.47,76,50.00,70.87
2603221422,Sunday,Post-Asia,12.85,0.08,47.89,10.21,5,31,0,4.26,38.23,57.75,37.84,41.18,68,60.00,81.31
2603241046,Tuesday,Pre-Asia,12.93,-0.09,40.34,8.60,4,21,0,4.40,41.94,40.00,39.47,31.25,48,37.50,18.37
2603261351,Thursday,Post-Asia,12.84,-0.36,42.96,8.72,1,19,0,4.71,48.28,44.78,36.96,16.39,61,16.67,9.54
2603281530,Sunday,Asia-EU,12.48,0.00,47.92,9.20,2,19,0,4.62,53.85,46.38,44.44,30.43,69,50.00,61.96
2604091812,Friday,Pre-EU,12.48,0.09,45.30,11.58,4,22,0,4.15,65.22,40.82,40.00,35.85,53,60.00,64.76
2604120456,Sunday,Post-NA,12.57,0.00,48.97,11.94,5,29,0,4.28,68.00,47.56,39.47,35.21,71,50.00,81.27
2604121013,Sunday,Pre-Asia,12.57,-0.09,43.18,9.55,1,10,0,4.53,35.48,37.50,60.00,21.05,38,40.00,17.32
