Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601011011,Thursday,Pre-Asia,12.36,-0.27,42.98,9.47,5,20,0,4.10,50.00,48.08,28.12,32.65,49,20.00,50.00
2601012239,Friday,EU-NA,12.09,-0.49,43.84,10.33,4,16,0,3.81,55.00,37.14,44.44,50.00,32,0.00,43.76
2601040610,Sunday,NA-Asia,11.60,-0.24,43.29,11.21,7,37,1,3.62,41.18,40.48,50.00,45.07,71,33.33,75.52
2601050723,Monday,NA-Asia,11.37,0.00,47.55,9.46,11,41,0,3.54,63.64,40.91,45.45,48.53,68,50.00,73.85
2601070149,Wednesday,Pre-NA,11.37,-0.41,37.27,8.60,7,27,0,3.85,55.56,28.57,32.08,43.33,60,16.67,25.29
2601160828,Friday,NA-Asia,10.96,-0.20,37.20,8.07,2,17,1,4.66,52.38,33.33,30.36,24.59,61,33.33,36.88
2601170037,Saturday,Pre-NA,10.76,-0.02,47.62,9.55,4,31,1,3.94,64.10,47.06,32.50,34.29,70,50.00,73.33
2601171053,Saturday,Pre-Asia,10.74,-0.09,35.66,6.82,2,11,0,5.06,48.57,32.88,28.57,13.73,51,41.67,31.90
2601190743,Monday,NA-Asia,10.65,-0.37,40.26,8.17,1,27,2,4.26,44.44,37.50,43.59,27.42,62,16.67,19.86
2601220918,Thursday,Pre-Asia,10.28,-0.20,36.02,8.13,6,20,0,4.40,48.65,34.21,29.17,29.31,58,33.33,39.86
2601222213,Friday,Post-EU,10.08,0.20,43.41,9.66,5,25,0,3.93,40.00,40.00,52.94,39.29,56,70.00,78.85
2601240626,Saturday,NA-Asia,10.27,-0.09,48.67,10.12,5,27,0,4.34,66.67,47.22,41.18,20.55,73,41.67,83.21
2601261925,Tuesday,Pre-EU,10.18,-0.10,36.08,8.86,4,12,0,4.26,50.00,32.65,33.33,31.43,35,40.00,40.34
2601291310,Thursday,Post-Asia,10.08,0.04,41.22,8.71,2,22,0,4.46,72.00,38.46,26.83,31.48,54,50.00,59.51
2601310822,Saturday,NA-Asia,10.11,-0.19,44.44,12.23,5,18,0,4.11,57.58,38.18,42.10,17.86,56,30.00,60.90
2602011015,Sunday,Pre-Asia,9.93,0.00,43.75,11.15,9,33,1,3.30,58.62,39.39,39.39,48.21,56,50.00,77.52
2602032022,Wednesday,Post-EU,9.93,-0.38,41.41,9.94,4,24,0,3.91,55.56,31.75,47.37,39.62,53,16.67,42.58
2602071029,Saturday,Pre-Asia,9.55,-0.01,43.44,11.07,7,24,0,3.75,53.85,39.66,42.10,35.85,53,50.00,76.59
2602081905,Monday,Pre-EU,9.54,0.18,38.81,8.11,6,23,0,4.23,58.06,40.00,21.05,25.00,52,66.67,41.91
2602170916,Tuesday,Pre-Asia,9.72,-0.17,41.18,9.34,5,22,0,4.40,57.90,38.96,28.95,31.75,63,33.33,30.63
2602200526,Friday,Post-NA,9.55,-0.01,43.94,10.19,2,20,0,4.36,48.57,46.77,34.29,24.14,58,50.00,69.95
2602251119,Wednesday,Pre-Asia,9.54,-0.02,44.68,9.76,2,25,0,4.03,64.52,42.47,32.43,25.40,63,50.00,62.82
2602270633,Friday,NA-Asia,9.53,-0.27,42.54,10.05,3,21,0,4.49,40.00,44.83,41.67,31.58,57,25.00,35.75
2602281106,Saturday,Pre-Asia,9.26,0.46,45.35,9.36,2,24,0,4.78,55.26,47.50,35.19,28.21,78,91.67,64.63
2603081005,Sunday,Pre-Asia,9.71,-0.08,39.04,8.67,3,18,0,4.58,42.86,41.10,33.33,24.56,57,41.67,16.91
2603090538,Monday,NA-Asia,9.63,-0.19,45.16,7.61,1,15,0,5.53,57.50,43.28,37.50,11.43,70,33.33,38.31
2603101021,Tuesday,Pre-Asia,9.45,0.23,42.03,9.28,3,22,0,4.29,54.84,39.13,36.84,24.14,58,75.00,52.98
2603150014,Sunday,EU-NA,9.68,0.17,37.32,6.77,1,17,1,4.81,58.33,32.35,26.32,20.75,53,60.00,30.53
2603151012,Sunday,Pre-Asia,9.84,0.18,46.84,10.57,5,25,0,4.50,51.52,47.30,43.14,27.03,74,66.67,90.32
2603171003,Tuesday,Pre-Asia,10.02,0.09,40.69,9.33,5,26,0,4.20,50.00,32.20,42.50,37.29,59,58.33,52.11
2603241046,Tuesday,Pre-Asia,10.11,0.10,38.18,8.70,3,31,0,4.14,38.46,40.96,32.56,36.51,63,58.33,39.90
2603291008,Sunday,Pre-Asia,10.20,-0.18,42.04,9.62,1,16,0,4.77,45.00,46.03,35.19,18.18,66,33.33,47.61
2603311011,Tuesday,Pre-Asia,10.02,0.37,44.83,8.73,0,15,0,4.83,52.78,46.03,36.96,12.31,65,83.33,66.74
2604030641,Friday,NA-Asia,10.39,-0.01,44.88,10.64,2,19,0,4.67,62.86,35.09,42.86,22.81,57,50.00,54.46
2604050751,Sunday,NA-Asia,10.38,-0.18,40.00,11.04,0,25,0,4.28,56.82,30.30,37.50,25.00,60,33.33,30.79
2604090014,Thursday,EU-NA,10.20,0.36,44.58,9.62,1,27,0,4.53,45.95,47.56,38.30,18.92,74,83.33,78.90
2604100734,Friday,NA-Asia,10.56,-0.09,44.93,9.93,2,19,0,4.32,52.83,47.06,29.41,19.35,62,40.00,51.93
2604110724,Saturday,NA-Asia,10.47,-0.01,40.15,8.76,3,11,0,4.86,36.36,42.65,38.89,18.18,55,50.00,20.05
2604121013,Sunday,Pre-Asia,10.46,-0.08,39.45,9.62,1,15,0,4.46,50.00,31.58,45.83,30.23,43,40.00,24.96
2604140736,Tuesday,NA-Asia,10.38,0.54,40.29,7.18,2,13,0,4.93,51.16,37.29,32.43,12.50,56,100.00,44.42
2604220615,Wednesday,NA-Asia,10.92,-0.29,41.67,8.47,0,14,0,4.88,54.29,34.78,38.46,20.00,50,20.00,15.26
2604230508,Thursday,Post-NA,10.63,0.29,43.81,9.27,3,22,0,3.96,55.56,42.31,40.00,41.30,46,80.00,65.33
2604260432,Sunday,Post-NA,10.92,0.26,44.29,9.39,2,20,0,4.95,57.14,41.38,38.30,20.97,62,75.00,75.45
