Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601011011,Thursday,Pre-Asia,10.27,-0.25,36.50,6.21,2,15,2,4.68,44.44,33.33,36.59,30.00,50,20.00,50.00
2601021357,Friday,Post-Asia,10.02,-0.10,26.55,6.67,3,11,1,4.67,38.46,15.09,35.29,30.00,30,40.00,51.31
2601030030,Saturday,Pre-NA,9.92,0.19,36.23,6.83,5,15,1,4.70,50.00,22.81,41.46,26.00,50,66.67,87.48
2601030526,Saturday,Post-NA,10.12,0.38,29.05,7.88,8,21,0,3.86,38.71,27.27,25.00,44.19,43,83.33,71.43
2601051410,Monday,Post-Asia,10.49,-0.18,34.56,8.09,1,14,0,4.43,41.67,35.00,27.50,21.28,47,33.33,57.05
2601061413,Tuesday,Post-Asia,10.31,-0.00,31.97,5.36,2,11,0,5.45,41.94,31.08,26.19,21.28,47,50.00,42.41
2601071400,Wednesday,Post-Asia,10.31,0.11,28.89,6.17,2,8,0,4.58,41.38,15.56,43.75,30.77,26,60.00,34.64
2601091400,Friday,Post-Asia,10.42,-0.38,32.31,4.69,0,5,1,5.21,37.93,31.58,29.55,9.52,42,16.67,21.99
2601110220,Sunday,Pre-NA,10.04,0.21,35.20,7.07,3,18,0,4.32,47.50,29.63,29.03,29.55,44,66.67,85.69
2601120530,Monday,NA-Asia,10.25,0.49,37.74,7.52,2,12,0,4.67,52.94,27.91,41.30,20.00,40,100.00,79.98
2601121031,Monday,Pre-Asia,10.74,0.10,31.25,6.35,1,8,0,4.48,45.83,18.75,33.33,28.00,25,66.67,36.57
2601131037,Tuesday,Pre-Asia,10.84,0.29,50.94,10.46,3,12,0,3.85,75.00,52.17,33.33,51.85,27,100.00,78.13
2601171053,Saturday,Pre-Asia,11.13,-0.09,31.47,7.28,2,14,1,4.76,37.14,27.40,34.29,20.00,45,41.67,35.42
2601180726,Sunday,NA-Asia,11.04,-0.40,35.34,9.68,5,19,0,4.30,48.57,27.12,35.90,34.04,47,16.67,57.12
