Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601060529,Tuesday,Post-NA,21.21,0.22,67.02,21.54,13,70,0,3.52,80.00,73.03,50.00,45.31,128,66.67,50.00
2601160828,Friday,NA-Asia,21.43,0.00,66.46,20.11,11,41,0,4.05,75.68,72.22,51.02,38.10,105,50.00,21.84
2601240626,Saturday,NA-Asia,21.43,0.23,65.28,17.61,10,48,0,3.69,77.42,64.38,57.50,39.36,94,66.67,36.34
2601290607,Thursday,NA-Asia,21.66,0.10,71.74,19.45,4,37,0,4.36,78.57,80.70,51.28,30.30,99,60.00,40.76
2601310822,Saturday,NA-Asia,21.76,-0.22,65.87,20.95,7,37,0,3.76,84.85,76.36,34.21,33.73,83,30.00,31.11
2602200526,Friday,Post-NA,21.53,0.46,73.51,25.09,12,64,0,3.56,86.36,80.00,53.19,48.65,111,83.33,93.40
2603020644,Monday,NA-Asia,22.00,0.01,71.55,23.16,14,46,0,3.77,93.10,77.78,42.42,50.60,83,50.00,58.84
2603060551,Friday,NA-Asia,22.01,-0.22,61.29,19.78,10,48,0,3.84,81.25,73.53,34.55,45.26,95,33.33,10.87
2603090538,Monday,NA-Asia,21.79,0.01,72.09,17.23,4,35,0,4.85,88.09,70.89,60.78,22.58,124,50.00,42.01
2603161905,Tuesday,Pre-EU,21.80,-0.02,69.59,25.77,15,68,0,3.17,79.41,71.23,58.54,61.17,103,50.00,62.87
2603220743,Sunday,NA-Asia,21.77,-0.21,65.33,21.19,6,40,0,4.15,86.49,78.12,32.65,33.67,98,33.33,23.80
2603230420,Monday,Post-NA,21.56,-0.42,67.08,23.15,15,57,0,3.48,86.67,70.83,40.91,47.22,108,16.67,49.78
2603282207,Sunday,Post-EU,21.14,0.32,66.96,23.09,9,41,0,3.43,77.14,72.34,46.67,50.67,75,80.00,61.38
2603300438,Monday,Post-NA,21.46,-0.42,66.67,24.46,15,50,0,3.60,76.32,72.31,47.37,46.81,94,16.67,39.97
2604050751,Sunday,NA-Asia,21.05,-0.09,69.94,22.04,3,48,0,4.11,81.58,73.91,54.35,32.71,107,41.67,41.90
2604090014,Thursday,EU-NA,20.96,-0.11,71.94,23.55,13,53,0,3.62,87.88,73.53,55.26,51.00,100,41.67,77.71
2604100734,Friday,NA-Asia,20.85,0.22,69.75,21.32,16,53,0,3.84,77.14,84.21,43.14,41.59,113,70.00,71.30
2604110724,Saturday,NA-Asia,21.07,-0.39,64.79,19.39,8,37,0,4.15,82.50,63.38,45.16,28.26,92,16.67,7.51
2604140505,Tuesday,Post-NA,20.68,-0.11,67.72,22.25,13,45,0,3.58,85.71,69.70,38.46,51.16,86,40.00,38.97
2604140736,Tuesday,NA-Asia,20.57,0.60,72.66,21.33,9,48,0,3.89,88.37,71.19,56.76,41.58,101,100.00,66.28
2604190454,Sunday,Post-NA,21.17,0.01,70.66,20.57,4,40,1,4.36,88.57,71.05,58.93,24.58,118,50.00,51.93
2604210049,Tuesday,Pre-NA,21.18,0.59,69.78,22.27,12,58,0,3.39,75.00,80.00,51.16,49.48,97,100.00,74.63
2604220615,Wednesday,NA-Asia,21.76,0.10,65.39,19.82,4,30,0,4.03,81.82,69.77,51.28,38.24,68,60.00,28.74
2604230508,Thursday,Post-NA,21.86,-0.15,72.57,22.61,18,58,0,3.04,83.33,77.08,60.98,62.20,82,40.00,56.31
2604250626,Saturday,NA-Asia,21.71,-0.30,62.72,17.63,7,43,1,4.47,75.61,67.53,45.10,37.74,106,25.00,14.08
2604260432,Sunday,Post-NA,21.41,0.30,73.46,22.27,10,46,0,4.12,89.29,73.68,65.52,31.09,119,75.00,87.88
2605230657,Saturday,NA-Asia,21.71,0.49,67.27,19.37,11,31,0,4.16,88.89,81.25,43.18,36.49,74,100.00,46.95
2605250730,Monday,NA-Asia,22.20,-0.57,74.24,25.86,13,64,0,3.23,90.91,80.88,54.76,53.06,98,0.00,64.37
2605261830,Wednesday,Pre-EU,21.63,-0.19,73.85,23.91,9,56,0,3.48,88.00,81.54,52.50,53.12,96,33.33,54.70
2605270453,Wednesday,Post-NA,21.43,0.29,74.10,22.11,12,52,0,4.14,81.82,76.62,62.22,35.77,123,75.00,90.29
2605300457,Saturday,Post-NA,21.73,-0.38,69.92,24.15,10,49,0,3.83,90.62,75.81,43.59,34.41,93,16.67,37.86
2605300901,Saturday,Pre-Asia,21.35,0.57,74.61,25.12,12,49,0,3.69,91.30,79.41,56.41,48.45,97,100.00,90.78
2606042357,Friday,EU-NA,21.91,0.21,76.19,20.83,16,57,0,3.71,82.05,80.00,65.12,48.21,112,66.67,72.08
2606050623,Friday,NA-Asia,22.12,0.08,67.68,19.90,4,50,0,4.18,83.78,70.13,52.00,31.53,111,58.33,36.88
2606070809,Sunday,NA-Asia,22.20,0.30,72.47,23.09,14,49,0,4.29,79.55,76.54,60.38,34.11,129,75.00,80.26
2606110424,Thursday,Post-NA,22.50,-0.28,76.03,23.77,8,50,0,3.67,77.42,83.02,64.86,44.57,92,20.00,45.41
2606130437,Saturday,Post-NA,22.23,-0.28,66.94,23.98,9,42,0,3.88,74.19,77.78,46.15,42.17,83,20.00,27.49
2606130712,Saturday,NA-Asia,21.95,0.09,79.33,27.27,15,50,0,4.01,85.71,81.54,66.67,37.82,119,60.00,87.19
2606191928,Saturday,Pre-EU,22.04,0.28,69.43,23.03,12,64,0,3.57,83.87,69.74,60.00,48.62,109,75.00,52.79
2606192113,Saturday,Post-EU,22.32,-0.10,66.02,20.31,3,39,0,3.46,68.18,72.92,54.55,47.06,68,40.00,8.74
2606202327,Sunday,EU-NA,22.22,-0.37,69.85,24.42,8,47,0,3.69,84.21,73.02,48.57,47.37,95,16.67,28.74
2606280057,Sunday,Pre-NA,21.85,0.19,64.03,19.46,11,48,0,3.72,85.00,66.67,38.46,41.57,89,66.67,39.45
2606300507,Tuesday,Post-NA,22.04,-0.04,68.85,18.28,4,39,0,4.68,77.78,69.32,62.71,24.60,126,41.67,28.36
2607160414,Thursday,Post-NA,22.00,0.88,73.24,22.82,8,53,1,3.89,77.78,84.13,53.49,45.19,104,83.33,77.35
2607200603,Monday,NA-Asia,22.88,-0.85,74.51,23.24,13,55,0,3.82,86.49,72.86,67.39,48.25,114,16.67,63.53
2607220545,Wednesday,NA-Asia,22.03,-1.26,62.19,20.26,8,39,0,3.43,74.19,65.39,47.22,54.05,74,0.00,7.76
2607260432,Sunday,Post-NA,20.77,0.38,69.46,20.57,8,53,0,4.43,87.23,73.91,50.00,30.50,141,66.67,56.60
2607270721,Monday,NA-Asia,21.14,-0.22,66.10,19.68,10,31,0,4.19,92.59,68.89,47.83,32.05,78,40.00,20.44
2607290713,Wednesday,NA-Asia,20.93,-0.75,73.91,21.26,7,40,1,3.83,86.67,84.48,37.04,45.88,85,10.00,40.98
2607292034,Thursday,Post-EU,20.18,0.20,69.70,24.96,7,24,0,3.59,77.78,80.64,41.18,43.48,46,66.67,69.57
2608010452,Saturday,Post-NA,20.37,-0.03,72.03,20.13,9,48,0,4.09,87.81,74.24,50.00,43.69,103,50.00,65.89
