Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601012239,Friday,EU-NA,23.07,0.09,70.33,21.04,13,40,0,3.53,100.00,59.09,64.00,57.81,64,60.00,50.00
2601020800,Friday,NA-Asia,23.16,-0.20,78.30,30.13,12,60,0,2.99,85.71,81.48,67.74,68.67,83,30.00,62.21
2601041141,Sunday,Pre-Asia,22.96,0.01,72.36,26.47,18,62,0,3.07,87.10,68.97,64.71,62.92,89,50.00,69.83
2601060529,Tuesday,Post-NA,22.98,-0.20,70.20,26.00,13,69,0,3.18,84.21,66.10,64.81,57.55,106,33.33,35.76
2601120530,Monday,NA-Asia,22.77,-0.20,83.04,28.40,11,56,0,3.34,100.00,82.14,71.88,65.59,93,30.00,61.18
2601140549,Wednesday,NA-Asia,22.57,0.40,73.04,31.44,26,48,0,3.48,84.00,79.25,56.76,54.76,84,83.33,69.09
2601160828,Friday,NA-Asia,22.97,0.39,71.52,29.35,19,68,0,3.28,86.11,71.64,61.82,60.18,113,83.33,75.32
2601161832,Saturday,Pre-EU,23.36,-0.10,75.22,29.34,27,60,0,2.72,85.71,74.51,70.73,69.41,85,40.00,54.09
2601170538,Saturday,NA-Asia,23.26,-0.29,72.90,31.07,20,52,0,3.09,82.61,77.78,56.67,61.54,78,20.00,39.89
2601181029,Sunday,Pre-Asia,22.97,-0.09,68.57,26.99,19,51,0,2.82,82.61,73.91,52.78,68.06,72,40.00,19.54
2601190743,Monday,NA-Asia,22.88,-0.21,71.34,24.80,29,73,0,3.20,85.19,77.53,48.78,59.82,112,33.33,30.14
2601201915,Wednesday,Pre-EU,22.67,0.21,74.44,25.13,22,60,0,3.29,83.33,72.73,67.74,56.57,99,66.67,66.54
2601240626,Saturday,NA-Asia,22.88,-0.11,72.55,27.72,32,76,0,2.88,88.89,75.00,58.70,59.46,111,41.67,40.89
2601250718,Sunday,NA-Asia,22.77,0.20,72.57,31.15,13,52,0,3.37,73.91,79.63,61.11,59.76,82,66.67,57.73
2601260005,Monday,EU-NA,22.97,0.01,66.67,23.32,23,57,0,3.18,75.76,57.90,71.43,59.09,88,50.00,19.45
2601261925,Tuesday,Pre-EU,22.98,-0.18,65.05,24.91,14,43,0,3.24,78.57,64.29,54.55,59.70,67,30.00,8.33
2601270246,Tuesday,Post-NA,22.79,0.19,72.88,26.09,26,56,0,3.04,87.50,69.64,68.42,60.47,86,66.67,61.00
2601271912,Wednesday,Pre-EU,22.99,0.19,66.12,24.86,23,49,0,3.16,75.00,71.43,50.00,57.50,80,66.67,39.99
2601290607,Thursday,NA-Asia,23.18,-0.09,78.26,25.69,9,50,0,4.02,90.48,80.70,61.54,44.44,108,40.00,42.92
2601301932,Saturday,Post-EU,23.09,-0.19,71.67,25.33,24,61,0,3.01,71.88,75.93,64.71,62.79,86,33.33,30.42
2601310822,Saturday,NA-Asia,22.90,0.10,71.30,23.89,11,35,0,3.90,68.97,78.43,60.71,37.66,77,60.00,38.96
2601312317,Sunday,EU-NA,23.00,0.17,72.80,24.93,18,58,0,3.23,93.10,68.66,62.07,63.74,91,66.67,60.36
2602022029,Tuesday,Post-EU,23.17,0.00,66.67,24.80,10,51,0,3.82,83.33,69.70,47.92,41.35,104,50.00,24.56
2602061813,Saturday,Pre-EU,23.18,-0.37,70.64,26.10,11,58,0,3.12,71.43,74.00,65.79,67.53,77,16.67,37.67
2602091853,Tuesday,Pre-EU,22.81,-0.29,70.54,24.88,20,50,0,3.14,82.76,75.00,54.29,59.49,79,20.00,30.20
2602161820,Tuesday,Pre-EU,22.52,-0.18,75.18,23.52,21,75,0,2.85,88.46,75.76,66.67,69.90,103,33.33,48.41
2602170916,Tuesday,Pre-Asia,22.34,0.34,65.15,24.32,21,51,0,3.30,79.31,63.79,57.78,53.49,86,83.33,46.29
2602200526,Friday,Post-NA,22.68,-0.01,73.48,28.86,21,56,0,3.29,85.71,67.74,71.43,55.67,97,50.00,84.27
2602210513,Saturday,Post-NA,22.68,-0.10,74.44,24.32,10,49,1,3.73,77.78,76.92,68.29,41.41,99,41.67,40.47
2602220459,Sunday,Post-NA,22.58,-0.20,66.35,26.38,21,53,1,2.62,75.00,70.45,53.12,76.81,69,33.33,36.98
2602220742,Sunday,NA-Asia,22.38,-0.37,69.72,28.56,24,58,0,3.25,72.41,74.63,60.87,58.59,99,16.67,53.04
2602221723,Monday,Asia-EU,22.01,-0.37,67.69,27.34,20,64,0,2.97,66.67,77.14,50.00,65.91,88,16.67,39.40
2602270633,Friday,NA-Asia,21.64,0.35,70.08,28.20,20,50,0,3.27,74.19,70.00,66.67,54.88,82,83.33,71.64
2602271913,Saturday,Pre-EU,21.99,-0.46,72.83,30.06,15,44,1,3.03,81.82,78.05,58.62,62.69,67,0.00,42.30
2603010710,Sunday,NA-Asia,21.53,-0.18,73.86,24.22,18,60,0,3.75,90.91,67.74,65.96,49.56,113,33.33,44.30
2603020644,Monday,NA-Asia,21.35,0.36,79.82,29.06,21,53,0,3.44,92.86,85.45,53.85,50.57,87,83.33,85.70
2603030900,Tuesday,Pre-Asia,21.71,0.19,73.39,22.72,16,48,0,3.78,88.89,68.00,65.79,45.05,91,66.67,59.20
2603040502,Wednesday,Post-NA,21.90,0.07,75.00,25.80,24,66,0,3.37,95.24,70.73,72.97,58.10,105,58.33,70.73
2603060551,Friday,NA-Asia,21.97,0.20,78.57,29.20,21,59,0,3.58,90.00,75.86,75.00,44.55,110,66.67,91.10
2603070048,Saturday,Pre-NA,22.17,-0.02,70.64,24.20,17,47,0,3.47,80.56,75.00,55.26,49.44,89,50.00,26.98
2603090538,Monday,NA-Asia,22.15,0.35,72.67,27.41,19,46,0,4.00,83.78,72.46,63.64,41.28,109,83.33,74.32
2603101904,Wednesday,Pre-EU,22.50,-0.18,72.32,27.34,14,49,0,3.36,81.48,80.00,54.29,55.56,81,33.33,28.89
2603151901,Monday,Pre-EU,22.32,0.16,71.43,22.05,10,52,0,3.87,78.43,68.97,65.79,47.62,105,66.67,41.65
2603190419,Thursday,Post-NA,22.48,0.18,74.44,28.97,18,51,0,3.65,82.86,74.58,66.67,47.47,99,66.67,70.06
2603220743,Sunday,NA-Asia,22.66,0.10,69.36,24.14,9,52,1,3.99,79.07,69.14,61.22,31.67,120,58.33,21.18
2603230420,Monday,Post-NA,22.76,0.54,70.63,21.75,8,50,0,3.76,78.95,69.56,63.89,39.60,101,100.00,41.79
2603252225,Thursday,Post-EU,23.30,0.37,73.29,26.93,18,56,0,3.66,83.33,80.00,58.00,43.93,107,83.33,83.76
2603282207,Sunday,Post-EU,23.67,-0.28,65.66,22.61,7,35,0,3.54,75.00,68.08,53.57,55.38,65,20.00,5.59
2603300438,Monday,Post-NA,23.39,0.16,71.15,25.02,17,58,0,3.85,78.79,73.49,60.00,48.65,111,66.67,65.17
2604021830,Friday,Pre-EU,23.55,0.08,69.23,23.73,10,44,0,3.47,85.29,71.74,51.35,53.09,81,60.00,15.57
2604030641,Friday,NA-Asia,23.63,-0.01,63.78,23.45,12,40,0,3.83,77.14,56.14,62.86,39.51,81,50.00,14.16
