Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601011011,Thursday,Pre-Asia,7.34,-0.11,20.51,4.12,1,9,1,4.33,25.93,23.21,11.77,29.17,24,40.00,50.00
2601012239,Friday,EU-NA,7.23,0.11,26.67,4.26,2,6,0,5.12,40.00,29.27,8.33,29.17,24,60.00,73.27
2601020057,Friday,Pre-NA,7.34,-0.21,31.51,4.51,3,11,1,5.13,42.50,26.47,28.95,19.57,46,33.33,60.24
2601050032,Monday,Pre-NA,7.12,-0.23,22.15,3.38,3,7,1,4.88,28.12,20.00,21.28,30.30,33,33.33,25.10
2601071634,Thursday,Asia-EU,6.90,-0.20,26.52,5.31,3,12,1,4.66,27.27,31.25,17.14,31.43,35,33.33,61.49
2601111925,Monday,Pre-EU,6.70,-0.42,27.61,4.97,0,12,1,4.62,31.58,32.65,19.15,27.03,37,16.67,53.09
2601170037,Saturday,Pre-NA,6.28,-0.19,26.70,4.50,1,18,0,4.32,25.00,33.33,15.56,25.53,47,33.33,55.12
2601171640,Sunday,Asia-EU,6.09,0.00,25.86,4.12,0,7,0,5.00,21.88,29.63,23.33,20.00,30,20.00,38.36
2601171642,Sunday,Asia-EU,6.09,0.00,25.86,4.12,0,7,0,5.00,21.88,29.63,23.33,20.00,30,20.00,38.57
2601172250,Sunday,EU-NA,6.09,0.09,28.39,4.33,1,12,1,4.82,34.21,30.14,20.45,22.73,44,83.33,73.09
2601181029,Sunday,Pre-Asia,6.18,0.10,27.12,4.42,1,9,0,4.84,34.62,27.27,21.62,25.00,32,60.00,59.97
2601200030,Tuesday,Pre-NA,6.29,0.10,30.60,3.58,0,7,1,5.34,37.50,35.94,10.00,7.32,41,58.33,63.38
2601222213,Friday,Post-EU,6.38,0.31,25.56,6.19,3,12,1,3.65,21.43,31.58,20.83,39.13,23,80.00,67.10
2601260005,Monday,EU-NA,6.69,-0.20,26.23,3.35,1,6,1,5.31,25.00,34.48,15.00,15.62,32,33.33,19.04
2601291637,Friday,Asia-EU,6.49,-0.02,21.70,3.96,1,9,1,4.32,34.38,21.15,13.33,28.57,28,50.00,32.17
2601311622,Sunday,Asia-EU,6.47,-0.20,30.41,5.11,0,15,1,4.47,33.33,35.06,21.28,37.78,45,33.33,58.49
2601312317,Sunday,EU-NA,6.28,-0.19,28.00,5.63,1,13,2,4.37,37.93,27.42,20.59,28.57,35,33.33,52.42
2602072212,Sunday,Post-EU,6.09,-0.00,29.41,5.01,2,12,0,4.75,48.15,32.31,13.64,15.00,40,50.00,74.61
2602130043,Friday,Pre-NA,6.08,0.29,16.80,3.06,2,9,1,4.67,19.44,22.64,5.56,23.81,21,75.00,40.31
2602172105,Wednesday,Post-EU,6.37,0.09,25.83,5.60,4,10,0,4.48,32.00,28.57,15.62,29.03,31,60.00,68.78
2602181622,Thursday,Asia-EU,6.46,0.27,35.03,7.25,6,17,1,4.62,37.93,39.51,25.53,29.09,55,75.00,92.66
2602192056,Friday,Post-EU,6.74,-0.38,22.15,2.72,2,6,2,5.39,27.50,14.54,25.93,12.12,33,16.67,10.16
2602221723,Monday,Asia-EU,6.36,0.00,28.66,6.55,2,16,1,4.31,33.33,34.88,13.64,24.44,45,66.67,79.50
2602231123,Monday,Pre-Asia,6.36,0.18,23.46,3.21,0,10,1,5.11,34.69,22.54,11.90,21.05,38,33.33,31.65
2602242110,Wednesday,Post-EU,6.54,0.02,29.66,4.77,3,13,1,4.58,29.73,32.00,24.24,27.91,43,66.67,68.08
2603122228,Friday,Post-EU,6.56,-0.01,20.34,3.77,0,9,0,4.62,13.33,33.33,11.63,25.00,24,50.00,17.14
