Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601030030,Saturday,Pre-NA,4.45,-0.20,20.61,2.84,1,5,1,5.18,26.83,10.00,27.50,14.81,27,33.33,50.00
2601041141,Sunday,Pre-Asia,4.25,-0.21,23.28,2.90,0,4,0,5.33,37.50,22.22,15.79,14.81,27,33.33,56.34
2601171640,Sunday,Asia-EU,4.04,0.00,22.46,3.62,2,6,0,5.39,21.95,23.73,21.05,16.13,31,40.00,78.52
2601171642,Sunday,Asia-EU,4.04,0.00,22.46,3.62,2,6,0,5.39,21.95,23.73,21.05,16.13,31,40.00,74.25
2601172250,Sunday,EU-NA,4.04,-0.31,26.87,5.09,5,12,0,4.53,42.42,22.22,21.05,25.00,36,33.33,68.35
2601221429,Thursday,Post-Asia,3.74,-0.11,14.17,1.67,0,3,1,5.11,29.03,10.61,6.67,11.11,18,41.67,26.32
2601222213,Friday,Post-EU,3.62,-0.31,17.24,3.19,2,7,3,4.65,33.33,5.00,26.92,30.00,20,20.00,18.64
2601241100,Saturday,Pre-Asia,3.31,-0.60,13.56,1.24,0,1,0,5.88,23.08,9.43,12.82,6.25,16,0.00,8.80
2601261925,Tuesday,Pre-EU,2.71,-0.11,18.56,1.97,0,2,0,5.56,16.67,24.49,10.00,11.11,18,40.00,37.18
2601301932,Saturday,Post-EU,2.60,-0.21,20.00,2.52,0,6,1,5.21,25.00,16.67,20.59,8.33,24,33.33,41.31
2601311622,Sunday,Asia-EU,2.39,-0.19,16.03,2.76,2,7,1,4.76,19.44,14.71,15.38,24.00,25,33.33,44.36
2602052053,Friday,Post-EU,2.21,0.39,16.99,1.92,0,4,0,5.27,22.73,20.00,6.82,0.00,26,83.33,49.71
2602061813,Saturday,Pre-EU,2.60,-0.39,23.85,5.26,1,10,0,4.54,33.33,30.00,10.53,26.92,26,16.67,61.88
2602072212,Sunday,Post-EU,2.21,0.19,22.58,3.38,0,8,0,4.91,36.36,20.00,17.02,17.14,35,66.67,86.39
2602151918,Monday,Pre-EU,2.40,0.00,23.77,4.54,2,11,1,4.38,50.00,18.75,14.71,24.14,29,50.00,87.79
2602161820,Tuesday,Pre-EU,2.40,0.21,18.71,2.31,1,7,0,5.07,25.71,18.92,13.04,17.24,29,66.67,59.83
2602172105,Wednesday,Post-EU,2.61,0.10,20.00,3.50,1,7,0,5.00,28.00,15.87,21.88,25.00,24,60.00,72.20
2602181622,Thursday,Asia-EU,2.71,0.00,20.00,3.14,3,6,2,5.28,31.43,23.38,6.25,15.62,32,50.00,55.65
2602192056,Friday,Post-EU,2.71,0.39,21.31,3.00,1,6,0,5.15,25.93,24.56,13.16,19.23,26,83.33,61.37
2602271913,Saturday,Pre-EU,3.10,-0.18,17.97,3.15,1,6,1,5.09,28.57,15.87,13.51,26.09,23,30.00,18.65
2602281808,Sunday,Pre-EU,2.92,0.37,22.86,3.18,1,8,0,4.41,32.35,18.97,20.83,18.75,32,83.33,73.09
2603011742,Monday,Pre-EU,3.29,0.29,20.41,2.00,0,4,1,5.60,34.21,14.29,17.39,10.00,30,80.00,48.23
2603052048,Friday,Post-EU,3.58,0.39,23.53,2.95,1,8,1,5.25,20.69,30.49,11.90,5.56,36,83.33,71.19
2603111035,Wednesday,Pre-Asia,3.97,-0.19,23.18,3.65,2,7,2,5.31,31.58,23.21,17.54,17.14,35,33.33,55.85
