Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601050032,Monday,Pre-NA,6.41,-0.25,19.46,2.39,0,7,1,5.21,25.00,12.86,25.53,20.69,29,33.33,50.00
2601100227,Saturday,Pre-NA,6.16,0.00,18.52,2.60,0,4,0,5.33,26.32,10.26,26.09,20.00,15,66.67,57.12
2601110529,Sunday,Post-NA,6.16,0.11,28.57,3.48,0,3,0,5.00,50.00,22.22,12.50,21.43,14,50.00,71.65
2601201116,Tuesday,Pre-Asia,6.27,-0.66,15.79,2.14,0,6,0,4.89,36.84,6.67,20.00,16.67,18,0.00,15.12
2601221429,Thursday,Post-Asia,5.61,0.11,22.97,3.04,2,8,0,5.09,31.82,13.33,27.27,14.71,34,58.33,86.23
2603202204,Saturday,Post-EU,5.72,-0.21,25.50,3.52,2,11,0,5.05,52.38,16.44,11.77,18.42,38,33.33,69.23
2603231915,Tuesday,Pre-EU,5.50,0.34,22.31,4.60,2,10,1,4.44,33.33,17.86,20.00,22.22,27,80.00,81.52
2603241355,Tuesday,Post-Asia,5.84,0.21,26.72,3.14,0,10,1,5.11,33.33,25.00,24.32,22.86,35,66.67,75.54
2604201347,Monday,Post-Asia,6.05,0.21,31.62,7.70,5,16,0,4.30,52.50,18.52,28.57,32.56,43,66.67,93.70
2604201843,Tuesday,Pre-EU,6.26,0.21,29.38,4.28,1,8,0,5.04,41.18,26.03,26.41,17.02,47,66.67,86.85
2604211013,Tuesday,Pre-Asia,6.47,0.35,27.93,7.13,1,12,0,4.19,56.00,21.15,17.65,19.35,31,80.00,84.59
2604211825,Wednesday,Pre-EU,6.82,-0.22,31.03,5.29,3,15,0,4.65,44.68,26.03,25.93,22.22,54,33.33,64.41
2604231037,Thursday,Pre-Asia,6.60,-0.02,23.30,4.00,2,10,0,5.07,43.24,15.48,21.82,17.07,41,50.00,31.96
2604241402,Friday,Post-Asia,6.58,0.09,30.14,7.14,2,9,0,4.09,54.55,20.69,18.18,36.36,22,66.67,68.73
2604250912,Saturday,Pre-Asia,6.67,-0.00,34.75,7.30,1,14,1,4.61,60.00,28.57,27.03,31.71,41,50.00,61.28
2604251437,Saturday,Post-Asia,6.67,-0.22,26.39,6.75,6,16,1,3.90,43.33,21.92,21.95,36.84,38,33.33,41.71
2604290920,Wednesday,Pre-Asia,6.45,0.42,30.19,6.94,5,16,0,3.91,46.88,15.38,40.91,43.75,32,83.33,78.77
2604301425,Thursday,Post-Asia,6.87,-0.31,28.14,4.59,2,16,0,4.64,36.96,23.61,26.53,34.04,47,25.00,23.97
2605011141,Friday,Pre-Asia,6.56,0.00,20.90,3.43,1,7,0,4.68,37.93,11.59,25.00,21.43,28,16.67,16.00
2605011447,Friday,Post-Asia,6.56,-0.42,30.27,5.22,2,8,0,4.79,65.22,12.96,34.38,21.21,33,50.00,36.27
2605020939,Saturday,Pre-Asia,6.14,-0.01,28.91,4.83,1,10,1,5.22,36.11,31.25,20.45,27.03,37,50.00,45.13
2605022323,Sunday,EU-NA,6.12,-0.10,25.23,2.81,1,5,0,5.29,50.00,20.00,17.95,17.86,28,40.00,17.19
2605031350,Sunday,Post-Asia,6.03,-0.09,24.73,5.04,1,10,0,4.39,21.74,16.28,40.74,39.13,23,40.00,20.34
2605041844,Tuesday,Pre-EU,5.94,-0.21,31.43,4.06,0,8,1,5.27,45.16,23.44,33.33,13.64,44,30.00,38.93
2605051837,Wednesday,Pre-EU,5.73,0.19,23.02,4.42,3,9,0,4.31,28.12,25.00,14.29,18.75,32,66.67,45.25
2605062100,Thursday,Post-EU,5.92,-0.29,26.95,2.86,0,4,0,5.79,33.33,30.00,19.61,10.53,38,25.00,29.06
2605071418,Thursday,Post-Asia,5.62,0.21,26.90,4.06,3,11,0,5.26,41.67,21.43,20.75,17.39,46,66.67,72.52
2605081802,Saturday,Pre-EU,5.83,-0.21,31.20,4.35,1,8,0,5.26,40.74,22.03,38.46,17.95,39,20.00,59.42
2605101217,Sunday,Pre-Asia,5.62,-0.02,21.10,2.06,0,2,0,5.74,38.89,22.64,10.53,4.35,23,50.00,31.43
2605111054,Monday,Pre-Asia,5.61,-0.64,28.75,3.97,0,12,0,4.98,38.23,24.32,28.85,23.91,46,16.67,48.79
2605120938,Tuesday,Pre-Asia,4.96,0.19,27.94,3.81,1,12,0,4.58,51.28,17.46,20.59,21.05,38,66.67,75.36
2605121815,Wednesday,Pre-EU,5.15,0.19,31.97,4.33,2,7,0,5.21,41.18,28.85,27.78,17.95,39,70.00,87.71
2605221423,Friday,Post-Asia,5.34,0.18,27.05,5.45,0,14,2,4.42,41.94,17.86,28.57,30.30,33,66.67,59.50
2605241925,Monday,Pre-EU,5.52,0.21,34.81,8.94,6,17,0,4.43,52.17,24.56,38.18,25.53,47,66.67,93.15
2605261830,Wednesday,Pre-EU,5.73,-0.19,29.23,4.31,0,6,0,5.05,36.00,29.23,25.00,7.89,38,33.33,35.00
2605271100,Wednesday,Pre-Asia,5.54,-0.10,30.56,3.97,0,2,0,5.68,57.14,28.12,19.23,4.55,22,33.33,31.59
2606041825,Friday,Pre-EU,5.44,0.01,30.84,7.08,2,17,0,4.30,57.14,18.61,25.00,42.42,33,50.00,71.01
2606050839,Friday,Pre-Asia,5.45,-0.19,25.98,4.25,3,9,0,5.09,32.43,21.43,26.47,30.30,33,33.33,20.56
2606181424,Thursday,Post-Asia,5.26,0.65,28.68,4.22,1,9,0,4.95,44.44,22.03,27.91,16.22,37,100.00,51.34
2606290938,Monday,Pre-Asia,5.92,0.09,21.69,3.89,2,6,0,4.72,50.00,9.76,23.08,33.33,18,66.67,30.62
2607011048,Wednesday,Pre-Asia,6.01,-0.26,30.19,7.61,2,10,0,3.50,63.64,25.00,16.67,43.75,16,100.00,56.75
2606281510,Monday,Post-Asia,5.74,1.76,36.77,6.26,1,14,0,4.72,57.90,22.22,36.36,14.00,50,66.67,88.02
2607051936,Monday,Post-EU,7.50,0.80,31.34,6.75,5,20,0,3.98,42.10,20.34,37.84,45.24,42,83.33,90.03
2607061413,Monday,Post-Asia,8.30,0.43,30.67,5.42,4,16,0,4.54,40.48,24.64,30.77,28.26,46,66.67,75.10
2607072112,Wednesday,Post-EU,8.73,-0.39,39.70,7.21,2,13,0,5.31,42.42,42.86,33.33,19.23,52,33.33,59.52
