Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2603151012,Sunday,Pre-Asia,3.00,0.58,18.82,2.59,1,5,1,5.62,26.32,13.89,20.00,18.75,32,91.67,50.00
2603161343,Monday,Post-Asia,3.58,0.24,10.58,1.87,2,3,2,4.91,16.00,4.44,14.71,27.27,11,66.67,16.20
2603161608,Tuesday,Asia-EU,3.82,-0.21,16.78,2.77,1,8,0,4.42,9.38,15.62,23.40,33.33,24,33.33,53.34
2603161905,Tuesday,Pre-EU,3.61,-0.02,10.13,1.51,0,4,2,5.33,11.77,8.22,12.20,20.00,15,50.00,10.15
2603171003,Tuesday,Pre-Asia,3.59,-0.23,10.92,0.57,0,0,1,6.38,18.52,7.02,11.43,7.69,13,33.33,11.07
2603191100,Thursday,Pre-Asia,3.36,0.67,16.30,1.95,0,5,3,5.00,16.22,16.67,15.79,4.55,22,100.00,74.47
2603191423,Thursday,Post-Asia,4.03,-0.02,14.67,1.51,1,4,1,5.68,18.42,10.96,17.95,22.73,22,50.00,40.43
2603202204,Saturday,Post-EU,4.02,-0.02,13.72,1.99,2,6,1,5.19,16.67,11.11,16.67,19.05,21,50.00,46.76
2603211405,Saturday,Post-Asia,4.00,-0.11,13.82,1.78,1,3,2,5.67,10.81,14.10,16.22,14.29,21,40.00,36.01
2603231915,Tuesday,Pre-EU,3.89,-0.10,12.38,1.93,0,4,1,5.15,9.68,7.84,26.09,15.38,13,40.00,27.90
2603241046,Tuesday,Pre-Asia,3.79,-0.43,15.00,2.43,1,8,0,5.09,27.27,11.11,11.36,23.81,21,16.67,58.65
2603251007,Wednesday,Pre-Asia,3.36,0.22,20.28,3.00,1,8,1,5.62,19.44,14.29,27.45,17.24,29,66.67,89.49
2603261019,Thursday,Pre-Asia,3.58,0.03,16.67,1.44,0,4,2,5.56,30.23,13.12,8.70,16.00,25,50.00,55.21
2603280947,Saturday,Pre-Asia,3.61,0.12,16.98,3.73,1,6,0,4.67,17.39,11.36,23.08,27.78,18,58.33,76.49
2603281530,Sunday,Asia-EU,3.73,0.41,16.67,2.57,1,7,2,5.37,28.57,12.50,12.50,18.52,27,83.33,79.62
2603300940,Monday,Pre-Asia,4.13,-0.01,15.19,2.62,0,6,3,5.38,16.67,14.09,15.56,16.67,24,50.00,51.07
2603301356,Monday,Post-Asia,4.12,-0.30,16.22,2.84,4,6,3,5.71,20.00,14.75,14.29,25.00,24,25.00,51.16
2603311011,Tuesday,Pre-Asia,3.82,0.42,15.86,1.98,0,4,3,5.83,19.44,12.70,17.39,4.35,23,83.33,52.56
2604021830,Friday,Pre-EU,4.24,0.09,15.38,2.36,1,4,0,5.50,20.59,10.87,16.22,16.67,18,60.00,49.43
2604031350,Friday,Post-Asia,4.33,-0.20,17.39,4.81,5,10,0,4.04,25.81,10.61,21.95,25.00,24,33.33,60.09
2604090720,Thursday,NA-Asia,4.13,-0.39,14.54,1.97,1,5,1,5.19,28.57,6.12,17.50,18.75,16,16.67,13.39
2604131404,Monday,Post-Asia,3.74,-0.01,11.90,1.74,1,4,1,4.93,14.29,12.31,7.69,6.67,15,50.00,22.36
2604140736,Tuesday,NA-Asia,3.73,0.00,19.15,2.94,2,6,0,5.67,28.00,16.22,19.05,14.81,27,50.00,69.33
2604141831,Wednesday,Pre-EU,3.73,-0.40,16.96,2.36,0,4,2,5.26,16.00,12.73,25.00,5.26,19,16.67,25.83
2604160643,Thursday,NA-Asia,3.33,0.02,20.37,2.66,3,12,1,4.85,27.27,15.62,20.37,18.18,33,50.00,78.93
2604170729,Friday,NA-Asia,3.35,0.22,15.13,2.38,3,4,0,5.26,23.81,11.27,12.82,17.39,23,66.67,60.23
2604171403,Friday,Post-Asia,3.57,-0.30,11.47,1.51,0,4,1,4.71,14.81,8.62,13.51,28.57,14,20.00,8.45
2604190732,Sunday,NA-Asia,3.27,-0.21,9.91,0.92,0,1,1,5.36,8.57,4.76,17.65,18.18,11,33.33,11.77
2604211013,Tuesday,Pre-Asia,3.06,-0.10,11.86,1.25,0,1,1,5.93,11.77,7.41,20.00,7.14,14,40.00,28.38
2604221047,Wednesday,Pre-Asia,2.96,-0.19,17.83,3.03,1,6,0,5.07,18.92,11.43,26.00,17.86,28,33.33,67.95
2604231037,Thursday,Pre-Asia,2.77,-0.40,14.41,2.35,0,3,3,4.94,16.67,12.20,15.00,18.75,16,16.67,28.24
2604271857,Tuesday,Pre-EU,2.38,-0.58,17.51,2.52,2,5,1,5.55,25.45,16.67,10.00,16.13,31,0.00,57.00
2604281408,Tuesday,Post-Asia,1.80,-0.20,14.16,2.38,0,4,0,4.75,12.00,10.17,24.14,25.00,16,30.00,45.96
2604290920,Wednesday,Pre-Asia,1.60,0.39,10.38,1.07,0,3,2,5.46,21.88,7.69,0.00,9.09,11,83.33,36.05
2605031350,Sunday,Post-Asia,1.98,0.25,12.70,4.05,3,10,2,3.62,12.12,9.52,20.00,50.00,16,80.00,68.50
2605040627,Monday,NA-Asia,2.23,0.01,12.71,1.66,0,3,1,4.93,15.15,11.54,12.12,13.33,15,50.00,45.55
2605051837,Wednesday,Pre-EU,2.24,0.18,12.95,3.46,4,8,1,3.89,6.25,15.28,14.29,38.89,18,66.67,77.22
2605060545,Wednesday,NA-Asia,2.42,0.00,12.26,0.95,0,0,3,6.31,16.67,9.80,12.00,0.00,13,50.00,31.42
2605061846,Thursday,Pre-EU,2.42,-0.17,14.09,2.44,2,6,2,5.05,14.71,14.09,13.51,20.00,20,33.33,46.46
2605070715,Thursday,NA-Asia,2.25,-0.37,15.32,2.30,0,5,0,5.26,19.36,14.81,12.82,15.79,19,16.67,46.31
2605081802,Saturday,Pre-EU,1.88,-0.10,22.90,2.58,0,6,2,5.57,27.03,20.00,22.73,10.00,30,40.00,59.40
2605091003,Saturday,Pre-Asia,1.78,0.15,13.97,1.21,1,6,0,4.74,18.18,12.50,12.77,31.58,19,50.00,50.90
2605110822,Monday,NA-Asia,1.94,-0.08,15.53,1.92,1,4,1,5.12,18.18,13.21,17.86,18.75,16,50.00,38.77
2605120938,Tuesday,Pre-Asia,1.85,-0.27,13.91,1.49,1,4,1,5.19,17.14,13.51,11.90,9.52,21,25.00,28.22
2605131603,Thursday,Asia-EU,1.58,0.37,17.02,2.21,1,5,1,5.75,19.44,10.17,23.91,16.67,24,83.33,81.97
2605140757,Thursday,NA-Asia,1.95,0.00,17.76,1.61,0,5,2,6.15,37.50,14.29,10.53,14.81,27,16.67,47.78
2605150701,Friday,NA-Asia,1.95,-0.17,10.88,1.55,2,4,1,4.81,10.00,7.04,17.39,12.50,16,33.33,22.95
2605151746,Saturday,Pre-EU,1.78,0.55,15.38,3.05,2,5,1,4.56,28.57,10.00,17.39,25.00,16,80.00,70.99
2605161016,Saturday,Pre-Asia,2.33,-0.00,10.08,1.72,1,2,1,5.62,16.67,5.26,11.90,15.38,13,50.00,34.54
2605170727,Sunday,NA-Asia,2.33,-0.37,16.38,2.49,1,7,0,4.84,15.38,10.42,27.59,36.84,19,10.00,48.40
2605210713,Thursday,NA-Asia,1.96,0.37,20.49,2.65,1,6,3,5.36,23.33,11.11,31.58,20.00,25,83.33,84.38
2605230657,Saturday,NA-Asia,2.33,0.28,15.38,2.14,1,3,1,5.78,24.14,12.73,12.12,16.67,18,80.00,61.82
2605241357,Sunday,Post-Asia,2.60,-0.27,16.67,1.41,1,1,0,6.06,27.59,19.05,5.41,5.56,18,20.00,31.04
2605250730,Monday,NA-Asia,2.33,0.36,12.88,2.28,1,3,1,4.88,17.86,14.52,7.14,17.65,17,83.33,54.89
2605261830,Wednesday,Pre-EU,2.69,-0.18,17.39,2.96,2,5,3,5.25,23.26,13.33,17.14,12.50,24,33.33,57.39
2605290743,Friday,NA-Asia,2.51,-0.01,16.18,2.45,2,7,0,5.00,25.00,17.39,3.23,27.27,22,50.00,60.09
2606031414,Wednesday,Post-Asia,2.51,-0.08,18.90,2.45,2,6,0,5.03,20.83,18.18,18.00,19.35,31,41.67,58.82
2606040725,Thursday,NA-Asia,2.42,-0.09,16.56,2.81,2,11,2,4.31,19.44,14.49,17.31,30.77,26,41.67,55.59
2606051750,Saturday,Pre-EU,2.34,0.54,17.42,3.17,1,9,2,4.52,21.74,18.03,14.58,26.09,23,80.00,75.92
2606060747,Saturday,NA-Asia,2.88,0.10,16.35,2.90,2,6,0,5.27,20.51,17.95,9.52,19.23,26,58.33,65.99
2606091358,Tuesday,Post-Asia,2.98,-0.18,15.33,2.50,1,7,0,5.30,32.26,9.38,12.73,26.09,23,33.33,33.64
2606100901,Wednesday,Pre-Asia,2.79,-0.09,19.46,4.38,4,7,2,4.79,16.28,17.54,24.49,27.59,29,41.67,65.81
2606101804,Thursday,Pre-EU,2.71,0.09,13.27,2.94,2,4,2,4.73,21.74,10.20,12.20,20.00,15,60.00,42.80
2606111401,Thursday,Post-Asia,2.79,-0.27,21.28,4.52,3,7,1,4.65,20.00,25.00,17.65,20.00,20,20.00,53.93
2606130712,Saturday,NA-Asia,2.52,0.09,14.67,1.50,0,1,4,6.18,20.41,10.77,13.89,4.55,22,60.00,29.15
2606140619,Sunday,NA-Asia,2.60,0.36,11.11,3.35,3,4,1,4.50,14.81,11.36,8.11,33.33,12,83.33,58.84
2606150622,Monday,NA-Asia,2.97,0.00,17.82,2.86,3,7,0,3.83,8.33,16.98,29.17,38.89,18,50.00,44.48
2606181054,Thursday,Pre-Asia,2.97,0.19,16.34,1.80,0,6,3,5.68,25.64,12.68,13.95,16.00,25,66.67,48.00
2606212216,Monday,Post-EU,3.16,-0.10,17.83,3.10,1,6,2,5.22,25.00,15.25,15.79,17.39,23,40.00,48.83
2606222249,Tuesday,EU-NA,3.06,-0.46,7.75,1.20,0,2,2,4.90,11.77,6.90,5.41,10.00,10,0.00,6.10
2606242018,Thursday,Post-EU,2.60,0.35,26.13,3.37,1,7,0,5.38,41.67,21.95,21.74,13.79,29,83.33,89.33
2606271717,Sunday,Asia-EU,2.95,-0.17,17.80,2.54,1,3,2,5.48,14.81,16.67,21.62,14.29,21,33.33,41.16
2606301401,Tuesday,Post-Asia,2.78,0.18,16.38,2.88,0,6,0,4.58,16.13,15.69,17.65,36.84,19,66.67,62.46
2607011417,Wednesday,Post-Asia,2.96,0.00,26.87,4.47,2,5,0,4.72,50.00,12.50,31.58,16.67,18,50.00,64.85
2607011436,Wednesday,Post-Asia,2.96,0.00,21.67,4.15,4,9,0,4.50,32.26,14.81,22.86,19.23,26,50.00,75.14
2607031757,Saturday,Pre-EU,2.96,-0.01,14.63,2.81,1,7,2,4.50,22.22,11.67,13.89,16.67,18,50.00,32.58
2607050914,Sunday,Pre-Asia,2.95,0.55,18.07,2.86,1,5,2,5.14,28.95,15.49,13.04,25.00,28,50.00,62.35
2607060736,Monday,NA-Asia,3.50,0.27,16.36,0.82,0,0,0,6.44,25.00,14.29,13.33,0.00,9,66.67,40.03
2607081826,Thursday,Pre-EU,3.77,-1.30,15.92,1.86,1,7,0,5.24,19.15,8.20,22.45,28.00,25,0.00,23.80
2607090723,Thursday,NA-Asia,2.47,-0.42,13.23,1.56,1,6,2,5.06,15.62,14.49,8.57,22.22,18,33.33,7.90
2607100722,Friday,NA-Asia,2.06,-0.63,15.38,2.38,0,3,0,4.83,26.32,9.09,15.38,25.00,12,0.00,15.84
2607101409,Friday,Post-Asia,1.43,0.00,17.21,2.52,0,8,1,4.71,16.67,16.95,18.18,9.52,21,50.00,56.75
2607101807,Saturday,Pre-EU,1.43,-0.13,9.01,1.52,1,2,2,4.60,15.38,2.22,12.50,10.00,10,40.00,26.55
2607110742,Saturday,NA-Asia,1.30,-0.23,14.29,2.83,1,8,0,4.68,21.21,11.47,12.82,26.32,19,41.67,58.65
2607121142,Sunday,Pre-Asia,1.07,-0.33,15.62,1.96,1,5,2,5.30,6.45,13.21,25.00,15.00,20,33.33,42.46
2607121408,Sunday,Post-Asia,0.74,0.86,14.56,3.13,1,5,0,4.93,12.00,15.56,15.15,26.67,15,100.00,71.35
2607130745,Monday,NA-Asia,1.60,-0.16,11.29,1.10,1,1,2,5.86,12.50,7.41,15.79,14.29,7,33.33,21.77
2607130856,Monday,Pre-Asia,1.44,0.52,10.71,2.26,1,3,0,4.17,9.09,4.54,17.39,33.33,6,100.00,57.13
2607131816,Tuesday,Pre-EU,1.96,-0.48,14.95,2.38,1,4,1,4.69,12.00,15.69,16.13,31.25,16,20.00,49.92
2607140816,Tuesday,NA-Asia,1.48,-0.60,20.80,3.13,2,7,0,4.73,20.00,17.86,26.47,23.08,26,16.67,64.19
2607141028,Tuesday,Pre-Asia,0.87,-0.02,17.99,2.45,2,6,0,5.40,26.00,9.09,20.59,24.00,25,50.00,76.28
2607150807,Wednesday,NA-Asia,0.85,0.01,13.33,2.32,0,7,0,4.50,16.13,7.27,20.59,18.75,16,50.00,51.54
2607151601,Thursday,Asia-EU,0.86,0.32,22.30,3.11,2,8,1,4.93,28.57,15.00,27.03,16.13,31,66.67,89.40
2607171630,Saturday,Asia-EU,1.18,-0.89,12.88,1.74,1,4,0,5.12,17.95,8.33,13.33,23.53,17,0.00,16.13
2607181335,Saturday,Post-Asia,0.29,-0.45,21.15,3.94,2,3,0,4.82,27.27,20.00,18.75,27.27,11,0.00,53.09
2607191532,Monday,Asia-EU,-0.15,0.28,16.80,1.82,0,4,2,5.29,28.57,17.54,7.50,9.52,21,66.67,57.44
2607191824,Monday,Pre-EU,0.13,-0.55,13.45,1.81,0,3,1,5.31,19.05,8.62,17.50,18.75,16,16.67,9.13
2607200603,Monday,NA-Asia,-0.42,0.27,14.41,2.94,1,5,5,5.06,15.38,9.09,20.00,23.53,17,66.67,54.43
2607201816,Tuesday,Pre-EU,-0.15,0.58,11.54,1.55,0,4,0,4.58,11.54,8.00,17.86,16.67,12,83.33,40.12
2607220545,Wednesday,NA-Asia,0.42,0.81,14.02,2.44,0,3,1,4.67,11.11,12.24,17.50,13.33,15,100.00,52.17
2607231357,Thursday,Post-Asia,1.23,-0.53,15.97,2.50,0,8,1,4.95,23.08,10.64,15.15,21.05,19,16.67,41.04
2607231834,Friday,Pre-EU,0.70,-0.51,13.97,2.01,1,5,0,4.53,23.08,7.58,18.18,21.05,19,16.67,26.99
2607241519,Saturday,Post-Asia,0.19,0.02,12.95,2.49,3,6,1,4.83,18.18,10.94,11.90,16.67,18,50.00,64.47
2607260657,Sunday,NA-Asia,0.21,0.25,9.02,1.69,1,3,2,5.36,7.69,4.08,14.89,27.27,11,66.67,38.03
2607261740,Monday,Pre-EU,0.46,-0.38,12.20,2.23,1,3,1,5.20,8.33,11.43,17.39,30.00,10,0.00,28.66
2607270721,Monday,NA-Asia,0.07,-0.38,13.01,2.29,1,3,0,5.32,11.43,10.96,18.42,15.79,19,20.00,45.60
2607271346,Monday,Post-Asia,-0.31,-0.24,11.03,1.81,1,4,1,4.25,14.71,4.41,18.61,25.00,16,33.33,24.02
2607271815,Tuesday,Pre-EU,-0.55,0.11,18.52,2.94,1,10,1,4.76,31.25,18.03,9.52,36.00,25,58.33,85.12
2607281417,Tuesday,Post-Asia,-0.44,-0.12,9.77,2.27,1,7,1,4.31,8.70,4.22,20.51,46.15,13,41.67,37.53
2607290713,Wednesday,NA-Asia,-0.56,0.36,12.61,1.25,0,1,1,5.93,6.90,17.54,8.00,7.14,14,80.00,46.91
2607300633,Thursday,NA-Asia,-0.20,-0.36,18.35,2.25,1,4,2,5.50,16.00,17.65,21.21,10.00,20,20.00,51.97
2607301816,Friday,Pre-EU,-0.56,-0.00,16.44,1.91,1,3,0,5.25,19.36,17.14,13.33,8.33,24,50.00,70.00
2608011411,Saturday,Post-Asia,-0.56,0.33,10.76,1.74,1,4,1,4.82,15.56,7.46,10.87,17.65,17,75.00,50.39
2608021347,Sunday,Post-Asia,-0.23,-0.20,17.59,3.21,0,7,0,4.21,28.00,16.07,11.11,26.32,19,33.33,62.11
2608031458,Monday,Post-Asia,-0.44,-0.00,14.95,2.03,0,3,0,5.25,25.93,10.71,12.50,12.50,16,50.00,52.90
2608041558,Wednesday,Asia-EU,-0.44,0.02,13.12,2.36,1,6,3,5.12,18.75,9.80,12.82,31.25,16,50.00,45.52
2608061708,Friday,Asia-EU,-0.42,0.45,19.36,3.60,3,7,0,4.75,27.59,14.04,21.05,25.00,24,83.33,95.24
2608080706,Saturday,NA-Asia,0.03,0.33,21.43,4.49,0,8,3,4.67,21.74,15.38,29.73,29.17,24,80.00,82.77
2608090640,Sunday,NA-Asia,0.36,0.56,33.91,5.53,1,11,1,5.13,41.94,20.37,50.00,17.95,39,91.67,90.42
2608091108,Sunday,Pre-Asia,0.92,-0.22,11.11,1.16,0,2,5,5.61,10.00,10.61,12.50,5.56,18,33.33,4.52
2608111417,Tuesday,Post-Asia,0.70,-0.02,16.80,2.89,2,6,2,5.14,16.00,15.25,19.51,19.05,21,50.00,34.50
2608131442,Thursday,Post-Asia,0.68,0.40,22.41,4.65,4,8,0,4.46,29.63,10.20,32.50,34.62,26,83.33,95.39
2608141048,Friday,Pre-Asia,1.08,-0.33,13.75,3.38,1,4,2,4.36,28.57,5.71,16.13,27.27,11,0.00,20.28
2608141735,Saturday,Pre-EU,0.74,0.13,28.00,5.17,1,5,1,4.50,30.00,30.77,21.43,28.57,14,66.67,70.83
