Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2601031613,Sunday,Asia-EU,85.47,0.00,28.85,62.60,2,7,0,4.73,15.38,31.71,35.13,16.67,30,40.00,84.00,11.39,24.04,50.00
2601041654,Monday,Asia-EU,85.47,0.00,26.88,104.21,4,14,1,3.68,25.00,23.68,32.26,44.00,25,60.00,90.91,7.04,23.66,56.07
2601050457,Monday,Post-NA,85.47,0.00,18.45,67.41,2,13,0,3.26,21.05,13.95,21.95,42.11,19,60.00,93.33,5.68,14.56,34.46
2601051601,Tuesday,Asia-EU,85.47,0.00,30.91,82.48,2,13,0,4.59,28.57,23.68,38.64,32.35,34,40.00,89.47,18.68,17.27,70.05
2601060259,Tuesday,Post-NA,85.47,0.00,23.53,71.98,2,15,0,3.71,18.18,24.59,25.00,35.71,28,40.00,91.30,7.29,19.33,32.56
2601061215,Tuesday,Pre-Asia,85.47,0.00,19.83,58.09,3,9,1,4.00,26.09,15.09,22.50,43.48,23,16.67,90.91,12.38,9.48,37.25
2601091539,Saturday,Asia-EU,85.47,0.00,25.37,94.08,5,19,0,3.62,14.81,28.00,28.07,47.06,34,75.00,96.30,7.48,20.15,69.92
2601121920,Tuesday,Pre-EU,85.47,0.00,22.77,67.33,1,12,0,3.91,8.33,24.39,25.00,34.78,23,40.00,84.21,8.54,18.81,17.10
2601141713,Thursday,Asia-EU,85.47,0.00,26.72,81.78,4,14,0,4.19,7.69,34.04,30.23,48.39,31,33.33,100.00,11.46,17.24,78.83
2601142226,Thursday,Post-EU,85.47,0.00,27.03,123.95,9,17,2,3.03,28.57,14.00,42.50,53.33,30,40.00,95.45,10.11,19.82,74.12
2601151819,Friday,Pre-EU,85.47,0.00,30.71,73.44,5,14,1,4.44,20.00,26.79,38.98,25.58,43,50.00,86.21,16.22,20.71,55.72
2601161904,Saturday,Pre-EU,85.47,0.00,27.16,87.21,3,13,0,3.54,12.50,25.81,35.29,45.45,22,80.00,100.00,10.61,18.52,69.45
2601171848,Sunday,Pre-EU,85.47,0.00,28.18,76.14,1,12,1,4.23,32.14,17.14,34.04,25.81,31,80.00,76.00,14.12,22.73,48.61
2601201411,Tuesday,Post-Asia,85.47,0.00,38.46,122.32,4,15,1,4.11,17.65,38.23,47.50,37.14,35,80.00,96.15,15.38,28.57,80.10
2601201913,Wednesday,Pre-EU,85.47,0.00,21.54,66.07,4,11,2,3.93,32.00,16.00,21.82,32.14,28,50.00,89.47,9.91,14.62,15.74
2601211541,Thursday,Asia-EU,85.47,0.00,25.22,85.27,3,14,0,3.86,28.57,24.53,25.00,48.28,29,80.00,94.74,11.46,16.52,42.56
2601262254,Tuesday,EU-NA,85.47,0.00,27.03,122.44,8,19,1,3.13,23.53,28.26,27.08,60.00,30,20.00,100.00,4.71,23.42,57.15
2601271914,Wednesday,Pre-EU,85.47,0.00,25.27,84.91,3,12,1,3.96,16.67,25.00,29.73,39.13,23,100.00,100.00,9.33,17.58,30.35
2601281906,Thursday,Pre-EU,85.47,0.00,30.11,103.81,2,15,1,3.43,36.00,24.24,31.43,35.71,28,40.00,88.46,7.46,27.96,46.54
2601291924,Friday,Pre-EU,85.47,0.00,31.06,69.91,2,11,0,4.58,28.57,18.00,44.44,24.39,41,60.00,92.86,14.42,21.21,54.20
2601301922,Saturday,Pre-EU,85.47,0.00,26.67,104.61,4,19,0,3.07,35.71,17.95,28.95,57.14,28,100.00,95.65,7.32,21.91,55.53
2601311606,Sunday,Asia-EU,85.47,0.00,31.01,103.22,7,21,0,3.70,27.27,25.45,38.46,40.00,40,83.33,92.86,13.86,21.70,79.82
2602022101,Tuesday,Post-EU,85.47,38.70,28.70,91.56,2,15,4,4.03,26.32,27.03,30.77,29.03,31,40.00,91.30,11.77,21.30,44.83
2602031619,Wednesday,Asia-EU,124.14,-1.60,26.61,104.23,4,14,2,3.62,27.27,23.40,30.00,48.28,29,40.00,82.14,7.41,25.69,31.41
2602042002,Thursday,Post-EU,122.55,-0.80,27.50,81.21,3,12,0,4.51,23.81,22.00,34.69,30.30,33,40.00,95.45,12.24,18.33,36.26
2602051836,Friday,Pre-EU,121.73,-0.30,33.76,100.40,2,20,2,4.43,30.77,30.99,38.33,35.85,53,16.67,93.94,17.74,21.02,58.44
2602052043,Friday,Post-EU,121.43,-0.40,28.57,112.92,6,14,2,3.77,22.73,30.77,29.55,40.00,30,66.67,86.36,13.25,20.95,49.00
2602061239,Friday,Post-Asia,121.03,-3.10,19.30,54.78,1,7,1,4.41,10.00,21.15,21.43,31.82,22,16.67,80.95,5.38,18.42,3.23
2602061807,Saturday,Pre-EU,117.90,-1.00,30.83,87.05,5,15,0,4.58,23.08,17.54,50.00,31.71,41,33.33,100.00,16.36,17.29,51.44
2602072156,Sunday,Post-EU,116.87,-2.60,20.79,56.15,1,8,0,4.48,6.25,23.08,23.91,28.57,21,20.00,81.82,13.33,10.89,14.16
2602081856,Monday,Pre-EU,114.22,-1.10,24.39,90.80,2,9,0,3.60,30.77,19.44,27.27,45.00,20,60.00,85.71,11.77,17.07,30.90
2602090621,Monday,NA-Asia,113.09,-2.80,29.10,81.81,2,12,0,4.10,18.18,22.22,39.66,28.21,39,33.33,95.45,16.07,16.42,48.57
2602091602,Tuesday,Asia-EU,110.29,-1.00,27.62,95.58,3,14,0,3.93,26.67,28.95,26.92,27.59,29,20.00,100.00,16.48,13.33,73.22
2602102142,Wednesday,Post-EU,109.25,-1.20,26.00,93.36,4,13,1,3.81,30.77,27.03,24.00,42.31,26,33.33,94.74,9.88,19.00,58.56
2602111620,Thursday,Asia-EU,108.10,0.00,25.00,71.84,1,13,2,4.15,11.54,27.27,29.09,29.41,34,80.00,95.83,9.82,17.65,44.99
2602121847,Friday,Pre-EU,108.10,-0.90,27.50,98.03,2,18,0,3.70,20.83,20.45,36.54,39.39,33,33.33,85.19,10.75,22.50,64.93
2602151911,Monday,Pre-EU,107.17,756.30,27.83,81.76,2,13,1,4.06,16.67,21.82,40.48,28.12,32,50.00,88.00,11.11,21.74,61.68
2602160617,Monday,NA-Asia,86.35,3.71,33.33,109.10,4,22,1,3.58,16.67,39.13,36.36,36.84,38,80.00,92.00,16.85,21.93,70.95
2602170635,Tuesday,NA-Asia,90.06,2.92,30.89,121.43,11,25,0,3.13,22.22,26.67,39.22,47.37,38,66.67,92.00,15.31,20.32,74.76
2602171440,Tuesday,Post-Asia,92.98,3.22,29.36,82.50,3,17,0,3.92,30.00,26.67,33.33,37.84,37,100.00,100.00,12.74,19.05,46.41
2602201901,Saturday,Pre-EU,96.21,1.20,32.35,95.61,3,17,0,3.61,11.11,27.91,46.34,39.39,33,50.00,100.00,14.81,20.59,64.59
2602240917,Tuesday,Pre-Asia,97.41,1.90,26.92,78.99,4,13,0,3.94,22.22,26.23,30.95,40.00,35,83.33,96.00,10.48,19.23,31.17
2602241113,Tuesday,Pre-Asia,99.30,3.93,35.12,94.69,6,19,1,4.09,28.00,29.63,44.23,36.96,46,100.00,88.89,21.15,20.61,61.15
2602241336,Tuesday,Post-Asia,103.23,-0.45,25.20,62.22,4,12,0,4.19,17.65,14.58,35.48,34.38,32,50.00,86.36,12.38,17.32,6.43
2602271905,Saturday,Pre-EU,102.79,3.85,33.33,124.72,8,27,1,2.97,19.23,31.91,43.90,60.53,38,50.00,93.10,12.94,25.44,57.37
2603021604,Tuesday,Asia-EU,106.64,1.30,28.03,84.40,7,17,3,4.22,21.43,25.00,35.42,45.95,37,83.33,100.00,12.84,17.42,29.70
2603071932,Sunday,Post-EU,107.94,1.62,28.43,83.17,3,14,1,3.83,18.18,32.61,29.41,37.93,29,60.00,95.00,12.20,19.61,12.57
2603081621,Monday,Asia-EU,109.56,-3.65,23.33,67.58,4,10,2,4.11,19.05,21.95,25.86,39.29,28,0.00,90.91,8.16,18.33,2.96
2603090200,Monday,Pre-NA,105.91,-2.37,31.75,87.35,5,18,0,3.77,26.32,32.00,33.33,42.50,40,33.33,88.00,17.82,19.84,54.85
2603092230,Tuesday,EU-NA,103.54,-2.35,23.15,59.97,3,10,0,4.32,21.05,18.18,28.89,32.00,25,60.00,81.25,13.04,14.81,9.69
2603101304,Tuesday,Post-Asia,101.18,1.47,32.14,103.72,6,17,1,3.53,25.00,29.17,37.50,44.44,36,83.33,90.91,17.78,19.64,88.66
2603101857,Wednesday,Pre-EU,102.66,-2.51,24.80,90.47,6,20,1,3.29,22.58,18.00,34.09,51.61,31,16.67,95.83,7.92,19.20,36.39
2603121924,Friday,Pre-EU,100.15,-1.57,24.75,85.46,5,14,0,3.88,4.54,15.62,40.43,48.00,25,40.00,100.00,9.52,16.83,31.69
2603151856,Monday,Pre-EU,98.58,0.19,22.73,71.59,3,11,1,3.55,15.00,28.26,18.18,45.00,20,20.00,86.67,9.59,17.05,25.21
2603171602,Wednesday,Asia-EU,98.77,-1.84,31.13,91.76,7,15,1,4.03,23.53,35.90,30.00,39.39,33,60.00,84.61,13.75,24.53,61.74
2603181145,Wednesday,Pre-Asia,96.93,-1.53,29.13,87.48,3,17,0,3.63,23.81,27.66,34.29,50.00,30,60.00,100.00,15.12,16.50,73.59
2603191900,Friday,Pre-EU,95.40,-0.23,21.30,70.19,3,13,0,3.48,18.18,19.57,25.00,47.83,23,50.00,93.75,8.70,14.81,43.39
2603211606,Sunday,Asia-EU,95.16,1.07,33.73,90.17,2,13,1,3.96,26.67,32.50,39.29,35.71,28,60.00,100.00,17.91,19.28,83.52
2603230724,Monday,NA-Asia,96.23,-2.40,24.83,61.79,2,16,1,4.31,20.51,19.30,34.69,36.11,36,16.67,95.45,12.20,15.17,20.88
2603232237,Tuesday,EU-NA,93.83,0.47,17.07,62.74,1,13,0,3.14,20.00,22.81,7.32,61.90,21,33.33,100.00,2.86,14.63,38.41
2603251554,Thursday,Asia-EU,94.30,0.89,38.09,119.81,7,19,2,3.85,36.84,40.00,37.26,40.00,40,66.67,85.71,20.78,26.67,80.87
2603300642,Monday,NA-Asia,95.19,-0.39,25.00,77.15,3,12,0,3.92,8.70,29.27,31.25,45.83,24,80.00,89.47,9.09,19.79,30.25
2604041820,Sunday,Pre-EU,94.80,0.35,23.81,76.46,4,13,0,3.76,31.58,20.45,23.81,44.00,25,100.00,93.33,12.22,14.29,45.09
2604061800,Tuesday,Pre-EU,95.14,0.77,27.08,78.26,5,19,0,3.77,20.00,24.19,33.33,41.03,39,41.67,82.14,13.79,19.44,52.46
2604101817,Saturday,Pre-EU,95.91,-1.59,27.91,94.14,4,14,1,3.54,27.78,19.36,35.13,50.00,24,40.00,88.89,11.77,20.93,40.69
2604141016,Tuesday,Pre-Asia,94.32,-0.90,24.29,59.17,1,14,1,4.44,29.17,19.67,27.27,35.29,34,33.33,100.00,11.67,14.29,21.40
2604182100,Sunday,Post-EU,93.42,0.42,32.41,89.27,6,19,0,3.89,25.00,31.71,35.29,31.43,35,16.67,91.30,16.47,21.30,78.55
2604192219,Monday,Post-EU,93.84,1.86,30.64,107.08,8,19,0,3.55,23.81,24.44,37.93,44.74,38,83.33,90.32,10.75,25.00,78.75
