Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2601031613,Sunday,Asia-EU,121.21,0.00,42.31,104.92,0,18,0,4.25,38.46,43.90,43.24,29.55,44,40.00,82.76,26.67,27.89,50.00
2601061215,Tuesday,Pre-Asia,121.21,0.00,47.41,142.13,3,28,0,3.71,52.17,45.28,47.50,47.27,55,16.67,84.00,19.70,43.10,66.63
2601071142,Wednesday,Pre-Asia,121.21,0.00,38.14,123.98,3,25,0,3.60,37.04,37.50,39.22,55.56,45,50.00,74.42,17.33,36.44,35.27
2601101213,Saturday,Pre-Asia,121.21,-5.50,41.35,116.19,6,18,0,4.24,35.71,38.98,45.00,27.27,55,66.67,78.95,13.16,42.86,25.40
2601120716,Monday,NA-Asia,115.75,5.50,47.33,109.36,3,17,0,4.43,30.77,47.92,54.39,22.58,62,60.00,75.41,22.86,46.56,64.89
2601141040,Wednesday,Pre-Asia,121.21,0.00,41.54,84.97,0,12,0,4.72,60.61,37.78,32.69,20.37,54,60.00,79.59,18.52,37.69,31.72
2601161232,Friday,Post-Asia,121.21,0.00,48.84,113.13,2,20,0,4.65,44.44,44.44,54.39,23.81,63,33.33,71.64,24.19,51.94,55.39
2601201411,Tuesday,Post-Asia,121.21,0.00,46.92,99.42,2,13,1,4.72,40.00,37.50,59.62,18.03,61,20.00,78.57,22.97,43.08,53.23
2601211018,Wednesday,Pre-Asia,121.21,0.00,54.93,136.29,2,29,0,4.13,52.63,53.85,56.90,32.05,78,41.67,82.67,23.88,52.82,79.42
2601221125,Thursday,Pre-Asia,121.21,0.00,48.72,127.36,4,20,0,4.45,51.61,37.74,55.56,17.11,76,33.33,74.65,27.06,45.51,66.00
2601231253,Friday,Post-Asia,121.21,0.00,44.90,105.33,2,20,0,4.42,38.89,39.22,53.33,18.18,66,16.67,86.21,17.98,39.46,34.18
2602010552,Sunday,NA-Asia,121.21,-1.10,47.06,121.38,5,16,0,4.04,66.67,48.89,35.90,29.17,48,83.33,88.37,16.95,42.16,56.87
2602030746,Tuesday,NA-Asia,120.08,0.60,37.50,97.08,1,11,0,4.12,29.41,27.03,52.94,15.15,33,80.00,81.25,12.50,36.36,35.86
2602042002,Thursday,Post-EU,120.68,-1.90,39.02,105.53,3,16,0,4.56,33.33,32.65,47.17,25.00,48,40.00,70.83,18.67,39.02,10.79
2602061239,Friday,Post-Asia,118.79,-2.50,38.60,115.59,2,16,0,4.18,55.00,28.85,42.86,31.82,44,16.67,77.50,17.57,35.09,26.33
2602131029,Friday,Pre-Asia,116.29,9.80,47.50,142.63,7,27,0,4.37,51.85,43.94,49.25,32.89,76,66.67,70.51,25.61,48.75,85.36
