Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2601091539,Saturday,Asia-EU,112.33,0.00,37.18,109.19,5,21,0,4.05,38.71,43.28,29.31,32.76,58,50.00,94.29,20.66,22.44,50.00
2601150218,Thursday,Pre-NA,112.33,0.00,43.31,136.93,5,26,0,3.54,52.17,36.51,48.78,49.09,55,83.33,94.29,23.91,27.56,75.01
2601160213,Friday,Pre-NA,112.33,0.00,40.00,84.80,1,11,0,4.53,55.56,35.71,40.82,20.00,40,33.33,96.15,20.27,26.00,29.79
2601180253,Sunday,Post-NA,112.33,0.00,42.50,94.13,1,14,0,4.49,57.90,39.53,39.66,27.45,51,33.33,100.00,30.30,17.50,52.47
2601250516,Sunday,Post-NA,112.33,0.00,46.15,91.83,0,16,0,4.59,73.91,39.29,39.47,22.22,54,50.00,100.00,32.98,19.66,59.29
2601260234,Monday,Post-NA,112.33,0.00,35.51,100.85,3,13,1,3.76,61.91,34.78,22.50,28.95,38,33.33,94.12,24.44,15.89,18.52
2602022101,Tuesday,Post-EU,112.33,7.40,49.11,124.40,4,16,0,4.56,46.67,59.62,37.78,23.64,55,60.00,100.00,32.14,25.00,91.09
2602050049,Thursday,Pre-NA,119.73,6.80,50.00,178.80,3,30,2,3.79,64.71,44.64,50.98,41.94,62,100.00,100.00,31.87,26.61,92.95
2602090621,Monday,NA-Asia,126.55,-1.20,45.19,159.41,5,22,0,3.64,46.15,47.83,42.22,34.04,47,33.33,100.00,24.00,27.89,53.84
2602142238,Sunday,EU-NA,125.40,990.30,55.71,134.30,3,20,0,4.55,78.57,52.08,48.44,15.38,78,100.00,96.55,45.05,20.71,83.08
2602160617,Monday,NA-Asia,111.57,-1.20,34.21,74.87,0,13,0,4.44,50.00,26.09,34.09,28.21,39,80.00,95.24,20.43,18.42,10.55
2602210222,Saturday,Pre-NA,110.37,-5.70,37.50,88.31,2,15,0,4.08,33.33,40.43,35.29,36.11,36,20.00,93.33,27.16,15.62,10.32
2603042212,Thursday,Post-EU,104.67,-0.55,38.09,84.57,2,17,0,4.48,37.04,34.29,44.00,33.93,56,33.33,100.00,20.87,21.77,23.88
2603062211,Saturday,Post-EU,104.12,1.05,51.28,86.58,1,21,2,5.00,53.57,53.03,48.39,20.00,80,60.00,93.55,40.80,19.87,41.96
2603070501,Saturday,Post-NA,105.16,0.23,42.48,101.14,3,27,0,4.23,44.00,36.23,49.15,26.15,65,33.33,94.44,26.50,23.53,16.23
2603071932,Sunday,Post-EU,105.39,1.15,41.32,74.79,1,12,0,4.76,80.00,30.19,41.51,16.00,50,80.00,95.65,28.57,19.01,12.10
