Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2604232130,Friday,Post-EU,90.00,1.88,24.77,72.29,2,15,0,3.70,36.84,17.78,26.67,51.85,27,60.00,60.61,9.21,30.27,50.00
2604251753,Sunday,Pre-EU,91.88,-2.38,25.25,63.48,2,9,2,4.36,13.64,20.00,35.71,36.00,25,20.00,72.00,9.46,25.25,33.04
2604260429,Sunday,Post-NA,89.50,6.41,29.41,99.21,9,18,0,3.11,31.25,19.51,35.48,42.86,35,50.00,60.00,10.81,37.81,83.95
2604260618,Sunday,NA-Asia,95.91,-1.60,14.29,60.79,3,10,0,2.50,9.09,5.00,27.27,75.00,12,40.00,47.37,4.62,22.62,9.84
2604270750,Monday,NA-Asia,94.31,-2.14,14.43,55.80,3,10,0,3.00,15.00,11.63,17.65,64.29,14,40.00,54.55,2.67,22.68,10.28
2604280742,Tuesday,NA-Asia,92.17,-3.15,22.47,79.03,2,14,0,2.90,17.65,15.00,34.38,55.00,20,60.00,73.68,8.57,21.35,61.12
2604300458,Thursday,Post-NA,89.02,0.05,16.09,60.59,2,9,0,2.86,14.29,17.07,15.62,57.14,14,40.00,56.52,1.56,26.44,23.23
2605010624,Friday,NA-Asia,89.07,1.78,24.35,76.26,2,15,0,3.39,15.79,26.53,25.53,35.71,28,80.00,57.50,6.67,34.78,73.20
2605051833,Wednesday,Pre-EU,90.85,-0.54,23.48,54.69,2,9,1,4.41,35.00,12.82,26.79,29.63,27,60.00,56.25,10.84,27.83,41.64
2605060857,Wednesday,Pre-Asia,90.31,-0.10,25.90,51.59,0,11,1,4.64,32.00,23.40,25.37,19.44,36,66.67,50.00,16.16,28.78,48.74
2605100702,Sunday,NA-Asia,90.21,1.38,26.67,83.59,4,14,0,3.71,15.00,28.95,29.79,35.71,28,80.00,56.25,13.70,30.48,82.44
2605110454,Monday,Post-NA,91.59,-1.01,32.00,70.79,2,16,2,4.40,21.88,26.67,43.75,35.00,40,33.33,73.53,16.48,27.20,59.75
2605120931,Tuesday,Pre-Asia,90.58,-2.83,21.35,64.61,3,8,0,3.84,21.43,17.50,25.71,36.84,19,50.00,54.17,9.23,26.97,23.73
2605122156,Wednesday,Post-EU,87.75,0.06,25.66,73.73,2,14,0,3.65,20.00,23.08,31.71,37.93,29,60.00,68.57,6.41,30.97,77.96
2605130452,Wednesday,Post-NA,87.80,0.53,26.73,77.17,1,14,0,3.48,38.09,23.40,24.24,40.74,27,40.00,63.33,11.27,29.70,83.69
2605140215,Thursday,Pre-NA,88.34,0.03,21.37,59.16,3,8,0,3.64,23.81,9.52,29.63,36.00,25,66.67,65.52,6.82,24.79,37.24
2605140501,Thursday,Post-NA,88.37,-1.89,17.65,42.77,2,6,0,4.21,19.05,17.19,17.65,20.83,24,50.00,52.94,5.88,25.00,5.47
2605160712,Saturday,NA-Asia,86.49,1.05,18.52,71.56,4,12,0,3.20,33.33,13.21,17.65,55.00,20,80.00,53.85,7.32,24.07,52.31
2605170449,Sunday,Post-NA,87.54,0.29,25.00,72.67,4,14,0,3.91,29.17,22.45,25.45,40.62,32,33.33,63.89,9.78,28.12,75.25
2605180359,Monday,Post-NA,87.83,0.29,26.89,66.59,0,15,0,3.94,25.93,20.51,32.08,28.12,32,40.00,68.75,11.49,26.89,67.66
2605190414,Tuesday,Post-NA,88.12,-1.51,27.78,71.15,1,18,0,3.83,22.22,21.54,38.46,35.00,40,33.33,74.42,7.92,29.86,54.04
2605190626,Tuesday,NA-Asia,86.61,-2.11,17.20,41.35,1,5,1,4.62,23.53,17.95,13.51,25.00,16,40.00,54.55,5.63,23.66,2.79
2605190912,Tuesday,Pre-Asia,84.50,-0.75,28.20,54.85,1,6,0,4.77,27.78,25.00,30.56,27.27,22,40.00,52.63,20.34,24.36,36.92
2605200542,Wednesday,NA-Asia,83.75,0.62,27.17,73.60,3,13,0,3.52,19.23,17.86,39.47,40.00,25,50.00,60.00,14.93,27.17,83.98
2605201047,Wednesday,Pre-Asia,84.37,2.90,30.99,115.09,4,15,0,3.14,25.00,26.67,37.93,68.18,22,66.67,66.67,16.00,29.58,91.89
2605201810,Thursday,Pre-EU,87.28,1.23,26.06,66.61,3,18,4,4.23,19.23,23.44,30.67,32.56,43,83.33,68.08,9.32,28.48,63.87
2605211005,Thursday,Pre-Asia,88.51,0.94,23.93,62.80,3,10,0,3.96,42.86,8.82,25.81,35.71,28,50.00,54.84,12.79,26.50,43.58
2605230428,Saturday,Post-NA,89.45,-6.55,24.00,57.64,0,12,0,4.28,33.33,18.46,26.23,22.22,36,50.00,70.00,7.27,26.67,25.68
2605232205,Sunday,Post-EU,82.90,3.89,23.36,36.95,1,5,2,5.12,22.73,11.63,35.71,16.00,25,60.00,60.00,14.94,18.69,40.31
2605240620,Sunday,NA-Asia,86.79,-4.68,25.83,89.33,2,18,0,3.16,23.08,15.69,39.53,45.16,31,33.33,67.65,9.30,28.33,52.26
2605250503,Monday,Post-NA,82.10,-1.10,30.88,70.71,2,15,4,4.33,35.00,21.05,38.98,33.33,42,0.00,62.22,15.38,33.09,61.09
2605280737,Thursday,NA-Asia,81.01,1.79,26.62,66.70,3,14,0,4.22,44.44,18.97,28.57,32.43,37,60.00,69.56,5.38,33.09,57.84
2605302052,Sunday,Post-EU,82.80,1.97,36.36,87.61,2,17,1,4.14,46.15,30.56,38.00,25.00,36,60.00,77.78,12.70,36.36,89.49
2605310415,Sunday,Post-NA,84.77,1.49,27.72,112.83,6,21,0,2.50,38.89,20.93,30.00,71.43,28,50.00,73.33,8.45,29.70,70.36
2605310851,Sunday,Pre-Asia,86.25,-1.39,34.13,69.19,1,13,0,4.54,41.67,32.00,32.69,23.26,43,80.00,74.47,10.13,37.30,46.66
2606010210,Monday,Pre-NA,84.86,0.22,33.11,67.56,3,11,2,4.65,38.09,27.94,37.29,24.49,49,80.00,64.44,19.42,30.41,63.87
2606010852,Monday,Pre-Asia,85.08,-0.05,30.72,75.47,3,17,4,4.11,15.00,26.87,39.39,25.53,47,16.67,80.00,10.19,29.41,65.73
2606011104,Monday,Pre-Asia,85.03,-0.82,17.02,37.68,1,6,0,4.44,0.00,18.18,25.00,37.50,16,60.00,68.75,6.41,17.02,17.56
2606020933,Tuesday,Pre-Asia,84.21,0.00,14.54,40.16,0,4,1,3.88,25.00,5.00,18.52,50.00,8,50.00,63.64,2.27,20.00,27.54
