Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2603251554,Thursday,Asia-EU,90.00,4.20,31.43,75.97,3,13,1,4.42,47.37,22.86,31.37,27.27,33,66.67,83.87,9.46,29.52,50.00
2603260442,Thursday,Post-NA,94.20,-2.64,24.82,62.35,0,13,1,4.18,10.00,33.33,23.19,29.41,34,50.00,76.47,7.77,24.82,11.36
2603271914,Saturday,Pre-EU,91.56,2.27,28.32,78.00,4,15,1,3.97,22.22,21.43,35.85,37.50,32,60.00,72.73,10.00,29.20,72.24
2603282203,Sunday,Post-EU,93.83,-2.26,25.00,72.32,3,15,0,3.72,31.58,28.30,18.18,48.28,29,33.33,70.97,8.23,26.72,22.00
2603300642,Monday,NA-Asia,91.57,-0.99,28.87,73.03,3,9,1,4.21,18.18,25.81,36.36,25.00,28,80.00,87.50,9.59,24.74,55.29
2603302057,Tuesday,Post-EU,90.58,4.45,30.23,90.78,5,12,0,3.69,47.06,26.32,25.81,42.31,26,50.00,89.47,13.43,22.09,85.63
2604010549,Wednesday,NA-Asia,95.03,4.09,29.36,87.16,6,15,0,3.73,34.62,21.15,35.42,43.24,37,83.33,86.67,11.46,23.81,92.68
2604010803,Wednesday,NA-Asia,99.12,-1.23,22.88,57.54,3,10,1,4.48,30.77,17.24,27.66,25.93,27,66.67,50.00,12.79,27.12,19.34
2604032123,Saturday,Post-EU,97.88,-1.80,24.32,61.51,2,10,2,4.15,29.41,18.00,29.55,29.63,27,40.00,91.30,6.82,20.72,13.52
2604041820,Sunday,Pre-EU,96.08,-2.54,19.44,51.86,3,9,1,4.43,27.27,13.95,20.93,33.33,21,40.00,66.67,5.95,22.22,6.01
2604050106,Sunday,Pre-NA,93.54,-2.91,26.39,76.17,2,17,0,3.74,25.00,24.07,29.03,47.37,38,16.67,75.68,9.35,25.69,46.91
2604061800,Tuesday,Pre-EU,90.63,2.22,28.89,84.42,4,20,0,3.69,50.00,18.18,28.36,38.46,39,83.33,84.85,10.78,24.44,93.73
2604080258,Wednesday,Post-NA,92.85,0.59,29.69,73.61,0,15,2,4.18,34.62,27.08,29.63,36.84,38,80.00,71.43,13.98,27.34,72.17
2604100500,Friday,Post-NA,93.45,-0.08,35.42,104.91,2,7,0,4.00,0.00,26.32,46.15,41.18,17,50.00,92.31,14.29,27.08,68.92
2604120711,Sunday,NA-Asia,93.37,1.70,34.51,88.60,3,20,0,4.02,28.57,28.81,43.64,28.57,49,50.00,85.00,14.71,28.17,85.63
2604150427,Wednesday,Post-NA,95.07,1.70,21.88,84.57,5,12,0,3.05,31.58,15.38,23.68,42.86,21,80.00,68.18,8.11,22.92,52.69
2604152121,Thursday,Post-EU,96.77,0.06,33.06,99.39,7,20,0,3.46,43.48,28.57,32.69,36.59,41,33.33,76.92,12.94,31.45,84.01
2604170151,Friday,Pre-NA,96.83,-2.48,31.71,69.42,1,11,0,4.36,37.50,26.67,33.33,28.21,39,33.33,73.33,18.28,24.39,38.01
2604201915,Tuesday,Pre-EU,94.34,3.19,27.13,82.89,5,17,2,3.77,28.57,21.43,32.69,42.86,35,83.33,78.57,12.87,21.70,71.54
2604240700,Friday,NA-Asia,97.53,0.79,21.74,61.41,1,12,0,3.56,25.93,17.78,23.26,32.00,25,66.67,70.37,6.82,23.48,25.16
2604260429,Sunday,Post-NA,98.32,1.73,26.67,70.14,3,15,1,3.75,33.33,24.49,26.41,34.38,32,50.00,68.97,13.19,24.17,36.59
2604260618,Sunday,NA-Asia,100.05,0.06,23.81,96.06,3,15,0,2.50,18.18,22.50,27.27,70.00,20,40.00,73.91,4.92,27.38,27.68
2604270750,Monday,NA-Asia,100.10,-0.34,26.58,94.35,4,13,0,3.24,12.50,19.36,40.62,52.38,21,40.00,82.61,3.57,29.11,39.39
2604280742,Tuesday,NA-Asia,99.76,0.39,12.28,43.37,0,4,0,2.86,8.33,18.52,5.56,57.14,7,33.33,66.67,5.88,10.53,11.87
2605050720,Tuesday,NA-Asia,100.15,-0.62,25.00,69.40,0,14,0,3.63,29.41,17.50,29.41,37.04,27,50.00,73.08,9.76,24.07,28.44
2605100702,Sunday,NA-Asia,99.53,-1.54,32.74,72.69,0,11,2,4.41,30.00,27.91,38.00,27.03,37,40.00,77.14,12.82,30.97,46.41
2605180359,Monday,Post-NA,97.98,-1.03,33.68,77.31,2,10,1,4.28,25.00,32.35,40.54,25.00,32,40.00,86.21,10.61,30.53,64.03
2605200627,Wednesday,NA-Asia,96.95,-1.67,26.95,57.02,1,14,0,4.84,27.27,20.69,31.58,24.44,45,91.67,88.57,10.61,20.96,50.35
2605210438,Thursday,Post-NA,95.28,0.27,36.29,90.69,5,13,0,4.09,25.00,40.48,37.10,28.89,45,33.33,82.86,17.98,28.23,85.97
2605220714,Friday,NA-Asia,95.55,-8.05,25.18,60.35,1,12,0,4.26,19.23,23.21,30.19,29.41,34,16.67,71.88,10.68,23.70,22.08
2605250856,Monday,Pre-Asia,87.50,-0.40,33.08,78.91,5,17,0,4.35,21.05,32.79,38.00,32.56,43,33.33,85.71,13.68,26.92,87.20
