Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2601070522,Wednesday,Post-NA,69.64,0.00,22.02,70.87,5,12,0,3.71,19.23,23.81,21.95,45.83,24,50.00,75.00,3.70,25.69,50.00
2601082226,Friday,Post-EU,69.64,0.00,27.82,46.18,0,8,3,5.13,19.23,31.37,28.57,13.51,37,20.00,78.38,8.33,27.82,53.68
2601082232,Friday,EU-NA,69.64,0.00,27.82,46.18,0,8,3,5.13,19.23,31.37,28.57,13.51,37,20.00,78.38,8.33,27.82,52.10
2601090238,Friday,Post-NA,69.64,0.00,18.64,58.40,2,12,1,3.59,24.00,13.64,20.41,36.36,22,83.33,90.48,3.09,17.80,50.58
2601160213,Friday,Pre-NA,69.64,0.00,20.00,41.85,1,6,1,4.70,11.11,21.43,20.41,25.00,20,33.33,72.73,5.13,22.00,16.94
2601180253,Sunday,Post-NA,69.64,0.00,25.83,54.04,1,10,2,4.61,5.26,34.88,25.86,16.13,31,33.33,90.91,1.15,27.50,57.81
2601210505,Wednesday,Post-NA,69.64,0.00,22.52,69.72,4,14,0,3.80,13.33,22.22,25.49,32.00,25,33.33,84.00,4.65,22.52,55.56
2601250516,Sunday,Post-NA,69.64,0.00,25.15,49.20,3,11,1,4.98,32.35,14.29,33.33,19.05,42,41.67,94.87,3.91,23.35,52.48
2601262254,Tuesday,EU-NA,69.64,0.00,20.35,62.25,3,10,0,3.87,23.81,14.00,26.19,34.78,23,40.00,82.61,4.44,20.35,47.26
2602010552,Sunday,NA-Asia,69.64,0.00,25.95,68.65,5,12,0,4.12,15.79,27.12,28.30,29.41,34,25.00,87.88,5.10,25.19,79.50
2602010745,Sunday,NA-Asia,69.64,0.00,28.70,79.92,1,16,0,3.73,25.00,24.49,34.78,42.42,33,40.00,91.18,2.47,29.57,74.25
2602020257,Monday,Post-NA,69.64,19.60,24.47,72.58,1,11,0,3.52,12.50,23.91,31.25,34.78,23,16.67,95.45,2.78,23.40,67.27
2602030746,Tuesday,NA-Asia,89.21,4.60,28.41,115.78,5,12,0,3.44,23.53,21.62,38.23,40.00,25,80.00,95.65,4.62,26.14,92.61
2602040729,Wednesday,NA-Asia,93.79,-0.60,19.05,57.95,0,10,0,3.80,22.22,16.67,19.44,20.00,20,33.33,90.48,1.19,20.00,12.31
2602072156,Sunday,Post-EU,93.23,0.80,19.39,49.81,1,6,4,4.37,21.05,17.95,20.00,21.05,19,60.00,76.19,3.90,21.43,15.53
2602090621,Monday,NA-Asia,94.03,2.10,29.09,97.20,1,15,0,3.72,40.00,29.79,25.00,37.50,32,50.00,88.23,2.63,30.91,59.12
2602110645,Wednesday,NA-Asia,96.16,-1.10,22.22,58.06,0,11,0,4.21,14.81,22.64,26.09,35.71,28,33.33,79.31,5.16,23.02,23.53
2602140954,Saturday,Pre-Asia,95.03,689.50,22.86,55.67,2,9,2,4.69,31.82,14.75,28.07,12.50,32,66.67,81.82,4.67,23.57,48.23
2602170635,Tuesday,NA-Asia,78.45,-1.50,19.42,35.89,2,7,0,4.74,19.05,16.39,22.81,18.52,27,33.33,81.48,4.46,19.42,18.16
2602201901,Saturday,Pre-EU,76.95,-1.58,23.08,70.51,1,15,0,3.38,11.77,22.73,27.91,41.67,24,16.67,82.61,6.17,22.11,39.54
2602210222,Saturday,Pre-NA,75.36,-0.77,26.61,56.98,1,10,0,4.34,11.77,31.71,27.45,24.14,29,40.00,95.83,7.06,22.02,49.49
2602260643,Thursday,NA-Asia,74.59,-0.39,24.63,40.37,0,5,2,4.70,20.00,20.00,32.65,12.12,33,60.00,82.35,5.00,25.37,37.16
2602271905,Saturday,Pre-EU,74.19,-1.64,18.42,55.07,2,13,1,3.52,23.08,17.02,17.07,47.62,21,50.00,82.61,2.20,20.18,19.19
2603050703,Thursday,NA-Asia,72.56,0.69,28.70,56.95,0,9,0,4.42,26.32,26.67,33.33,21.21,33,60.00,92.86,8.05,24.35,59.77
2603062211,Saturday,Post-EU,73.25,0.63,30.71,36.15,0,5,2,5.59,29.17,31.58,30.43,12.82,39,40.00,82.86,10.87,27.56,38.56
2603070501,Saturday,Post-NA,73.88,-0.28,23.53,65.81,7,14,0,4.36,4.00,27.54,27.12,36.11,36,33.33,91.18,4.20,22.22,50.89
2603080629,Sunday,NA-Asia,73.60,-0.54,25.23,51.10,0,8,0,4.32,27.27,26.00,23.08,10.71,28,20.00,92.00,5.81,22.52,36.59
2603092230,Tuesday,EU-NA,73.06,-0.43,25.81,39.09,0,5,3,5.19,21.88,24.00,30.95,15.62,32,60.00,93.55,3.23,25.00,49.79
2603120838,Thursday,Pre-Asia,72.63,1.37,25.19,46.84,1,10,0,4.61,21.05,26.56,25.00,12.12,33,50.00,86.67,6.93,22.90,56.93
2604010549,Wednesday,NA-Asia,74.00,-1.26,26.23,47.73,1,9,0,4.66,31.58,22.64,28.00,18.75,32,50.00,96.15,7.29,21.31,49.57
2604020651,Thursday,NA-Asia,72.75,-0.74,18.62,37.98,0,7,1,4.22,24.00,10.00,25.00,14.81,27,33.33,79.31,3.45,20.00,5.41
2604040654,Saturday,NA-Asia,72.01,0.62,29.36,50.67,0,7,0,4.81,22.73,28.26,34.15,15.62,32,60.00,90.00,6.33,27.52,82.41
2604061800,Tuesday,Pre-EU,72.63,-0.33,20.83,49.14,1,13,1,4.00,16.00,19.36,24.56,26.67,30,41.67,82.76,5.22,20.14,25.20
2604090435,Thursday,Post-NA,72.30,0.21,35.54,70.01,1,12,0,4.86,28.57,33.93,39.22,16.28,43,40.00,90.00,8.64,33.06,81.16
2604100500,Friday,Post-NA,72.51,0.34,28.35,52.12,0,9,1,4.67,19.23,28.57,32.20,16.67,36,40.00,94.12,4.30,26.77,66.70
2604110718,Saturday,NA-Asia,72.85,-0.85,27.74,54.81,1,11,0,4.45,24.00,26.23,31.37,26.32,38,33.33,86.11,6.93,26.28,58.46
2604150427,Wednesday,Post-NA,72.00,1.18,32.41,70.18,2,12,1,4.43,31.25,31.82,33.33,20.00,35,60.00,88.57,5.48,32.41,80.43
2604170151,Friday,Pre-NA,73.18,-0.60,21.14,44.52,1,7,0,4.62,20.83,22.22,20.37,26.92,26,33.33,90.48,6.86,17.07,30.42
2604182100,Sunday,Post-EU,72.58,1.13,27.13,60.60,0,14,0,4.06,23.81,22.45,32.20,31.43,35,50.00,100.00,9.62,19.38,85.68
2604201915,Tuesday,Pre-EU,73.72,0.03,23.08,48.94,1,10,0,4.63,20.83,19.51,26.92,33.33,27,50.00,95.83,4.30,20.51,34.92
2604211807,Wednesday,Pre-EU,73.74,0.62,28.57,56.15,2,10,1,4.79,37.50,28.57,26.23,17.65,34,20.00,87.10,7.96,26.05,60.63
2604220401,Wednesday,Post-NA,74.36,0.89,22.22,55.48,2,10,0,4.14,20.00,22.45,22.86,36.36,22,60.00,81.82,5.20,22.22,40.88
2604240700,Friday,NA-Asia,75.25,2.77,26.21,86.33,6,13,0,3.52,26.32,20.83,33.33,44.44,27,66.67,91.67,6.33,23.30,68.00
