Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2601031613,Sunday,Asia-EU,82.78,0.00,36.88,73.00,1,9,0,4.78,39.13,28.30,45.65,15.56,45,40.00,100.00,19.79,21.31,50.00
2601051601,Tuesday,Asia-EU,82.78,0.00,24.39,47.58,0,7,1,4.80,29.17,24.00,22.45,16.67,30,80.00,89.47,12.50,15.45,22.05
2601071657,Thursday,Asia-EU,82.78,0.00,32.94,54.34,1,9,2,5.23,40.00,24.10,41.94,10.71,56,66.67,91.30,11.29,27.06,41.99
2601101213,Saturday,Pre-Asia,82.78,0.00,31.16,52.78,1,7,0,5.00,41.38,22.22,34.55,13.95,43,33.33,88.46,17.86,18.84,39.78
2601121404,Monday,Post-Asia,82.78,0.00,24.44,60.69,3,7,0,4.68,23.08,21.05,28.20,27.27,22,60.00,66.67,16.00,16.67,51.09
2601141713,Thursday,Asia-EU,82.78,0.00,35.91,76.35,1,16,0,4.76,51.72,31.75,32.00,25.49,51,50.00,90.91,19.27,23.24,79.86
2601151819,Friday,Pre-EU,82.78,0.00,33.04,60.36,1,7,0,4.71,52.63,25.00,32.69,23.68,38,50.00,91.67,17.58,20.87,63.58
2601161904,Saturday,Pre-EU,82.78,0.00,41.00,96.72,3,13,0,4.15,66.67,33.33,39.53,21.95,41,20.00,96.43,19.44,28.00,79.57
2601170753,Saturday,NA-Asia,82.78,0.00,23.42,57.54,2,7,0,4.38,30.77,21.57,23.40,30.77,26,70.00,91.30,5.68,20.72,34.60
2601171848,Sunday,Pre-EU,82.78,0.00,31.30,59.98,1,8,0,5.11,33.33,26.09,35.56,22.22,36,30.00,92.31,13.48,22.61,37.93
2601191138,Monday,Pre-Asia,82.78,0.00,39.49,63.82,0,11,1,5.14,45.45,33.85,42.37,14.52,62,66.67,89.74,22.88,24.84,70.35
2601201913,Wednesday,Pre-EU,82.78,0.00,33.95,63.90,1,15,0,4.80,42.42,25.00,39.34,16.36,55,50.00,94.29,17.32,21.61,63.25
