Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2601050457,Monday,Post-NA,127.58,0.00,63.44,204.15,3,34,0,3.42,77.27,66.67,50.00,50.85,59,0.00,94.87,40.74,41.94,50.00
2601090238,Friday,Post-NA,127.58,0.00,44.91,134.73,2,31,1,3.43,60.00,40.91,40.82,39.62,53,83.33,89.74,22.79,33.05,19.75
2601120716,Monday,NA-Asia,127.60,-0.00,58.25,132.02,2,21,0,4.45,76.19,58.82,50.00,25.00,60,40.00,89.80,29.63,47.57,41.26
2601142226,Thursday,Post-EU,127.58,0.00,52.94,145.98,3,23,0,4.13,62.96,53.12,46.51,25.93,54,20.00,88.09,28.33,41.18,19.54
2601150218,Thursday,Pre-NA,127.58,0.00,48.36,150.46,6,30,0,3.59,33.33,47.37,56.82,42.37,59,33.33,88.00,20.83,40.98,29.35
2601160213,Friday,Pre-NA,127.58,0.00,51.00,112.97,1,14,0,4.39,44.44,47.62,55.10,23.53,51,33.33,93.02,19.30,43.00,25.50
2601170753,Saturday,NA-Asia,127.58,0.00,58.33,176.44,4,21,0,3.63,64.71,55.56,58.06,30.61,49,40.00,97.67,17.07,51.19,66.19
2601171848,Sunday,Pre-EU,127.58,0.00,58.18,128.09,1,16,0,4.69,63.64,56.10,57.45,28.12,64,40.00,92.45,26.32,48.18,59.33
2601180253,Sunday,Post-NA,127.58,0.00,57.36,147.83,4,29,0,4.16,65.00,58.00,54.24,28.38,74,33.33,86.89,30.88,47.29,57.17
2601240810,Saturday,NA-Asia,127.58,0.00,45.80,97.45,2,17,0,4.60,52.17,47.54,40.43,20.00,60,40.00,89.36,21.43,35.88,24.93
2601250516,Sunday,Post-NA,127.58,0.00,62.87,145.73,3,34,0,4.36,64.71,64.29,60.32,25.71,105,41.67,97.22,36.84,43.11,79.35
2601290543,Thursday,NA-Asia,127.58,0.00,58.21,163.34,4,35,0,3.79,62.96,50.85,64.58,33.33,78,58.33,94.34,34.57,39.55,84.58
2602010745,Sunday,NA-Asia,127.58,-1.40,59.46,164.73,2,35,0,3.54,57.14,62.50,57.14,42.42,66,40.00,93.62,34.38,42.34,68.74
2602030746,Tuesday,NA-Asia,126.20,6.20,54.26,160.14,4,31,0,4.06,58.62,50.00,57.90,37.14,70,100.00,91.30,33.73,35.66,73.07
2602050049,Thursday,Pre-NA,132.41,0.40,47.86,171.84,4,25,0,3.66,61.11,40.00,51.02,37.50,56,60.00,87.50,27.27,34.19,38.53
2602090816,Monday,NA-Asia,132.79,4.60,59.09,183.86,7,33,0,3.96,61.29,56.60,60.42,29.49,78,66.67,93.55,28.57,46.97,80.32
2602142238,Sunday,EU-NA,137.40,1060.90,53.57,189.09,1,15,0,3.87,50.00,69.23,35.00,40.00,30,50.00,92.00,22.58,44.64,50.86
2602160617,Monday,NA-Asia,119.83,-0.86,46.32,99.60,0,16,0,4.32,40.91,48.72,47.06,25.00,44,80.00,82.50,20.00,42.10,7.73
2602160834,Monday,Pre-Asia,118.97,0.67,61.54,147.65,4,26,0,3.97,55.17,56.90,76.67,33.33,72,50.00,93.62,40.00,40.17,53.67
2602170635,Tuesday,NA-Asia,119.64,0.12,56.12,154.44,7,37,0,3.78,66.67,52.46,56.14,42.31,78,33.33,79.66,38.75,42.45,38.66
