Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2601041654,Monday,Asia-EU,120.86,1.70,47.90,115.13,1,20,0,4.47,58.62,40.82,48.78,28.07,57,60.00,100.00,25.30,30.25,50.00
2602081856,Monday,Pre-EU,122.52,-3.90,34.71,99.04,3,15,0,4.21,61.91,38.00,20.00,28.57,42,60.00,82.76,19.57,23.97,11.51
2602151248,Sunday,Post-Asia,118.66,893.20,41.60,112.73,3,22,0,4.46,66.67,40.00,35.09,28.85,52,41.67,87.10,26.60,24.80,69.13
2603062211,Saturday,Post-EU,101.19,-4.22,37.01,51.99,0,8,1,5.30,41.67,35.09,36.96,17.02,47,40.00,96.30,21.00,21.26,13.36
2603071932,Sunday,Post-EU,96.97,2.02,35.09,86.70,4,15,1,4.25,53.33,32.69,31.91,35.00,40,40.00,88.00,20.23,21.93,11.95
2603151856,Monday,Pre-EU,98.99,-0.67,38.00,101.84,4,17,0,3.97,61.54,33.33,36.36,34.21,38,60.00,88.89,19.18,27.00,38.81
2603282203,Sunday,Post-EU,98.32,-0.76,35.78,107.84,5,20,0,3.46,40.91,31.82,37.21,46.15,39,33.33,86.67,16.46,27.52,28.84
2604032123,Saturday,Post-EU,97.56,-0.94,42.25,106.64,7,19,1,4.37,43.48,41.18,43.14,28.33,60,20.00,100.00,24.07,23.94,66.24
2604040654,Saturday,NA-Asia,96.61,0.76,42.31,96.70,2,11,0,4.34,52.63,42.00,37.14,22.73,44,60.00,88.23,20.00,32.69,33.30
2604041820,Sunday,Pre-EU,97.37,-1.81,33.33,76.41,2,12,0,4.53,50.00,25.58,32.56,25.00,36,40.00,85.71,20.69,19.44,4.82
2604061800,Tuesday,Pre-EU,95.56,-2.63,37.96,78.34,1,18,0,4.25,55.56,29.51,38.78,13.46,52,25.00,90.00,23.36,21.90,35.71
2604120711,Sunday,NA-Asia,92.93,1.28,36.00,81.15,5,15,1,4.32,44.00,35.59,33.33,24.07,54,58.33,93.10,22.31,19.33,37.96
2604152121,Thursday,Post-EU,94.21,0.56,28.79,77.18,3,21,0,3.74,30.00,30.61,26.41,42.11,38,66.67,74.07,17.14,20.45,35.09
2604182100,Sunday,Post-EU,94.77,5.16,52.71,144.56,4,33,0,3.60,71.43,46.94,50.85,45.59,68,50.00,94.12,37.90,26.36,95.64
