Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2601161904,Saturday,Pre-EU,69.29,0.00,19.77,23.34,0,2,0,5.35,8.33,16.67,34.62,23.53,17,60.00,92.31,6.85,15.12,50.00
2601211541,Thursday,Asia-EU,69.29,0.00,25.71,57.39,1,7,1,4.63,23.53,27.91,24.44,22.22,27,50.00,83.33,13.79,17.14,65.85
2601311606,Sunday,Asia-EU,69.29,12.40,20.64,30.29,0,4,0,5.23,22.73,21.67,18.18,15.38,26,16.67,93.33,10.81,11.90,51.79
2602011658,Monday,Asia-EU,81.72,-12.40,23.58,28.53,0,1,3,5.69,20.00,24.49,24.07,0.00,29,100.00,85.71,10.78,17.07,35.99
2602022101,Tuesday,Post-EU,69.29,18.20,30.56,68.85,3,8,0,5.00,15.79,32.43,34.62,15.15,33,40.00,93.75,19.57,14.81,90.11
2602061807,Saturday,Pre-EU,87.52,-1.20,24.81,44.73,0,6,3,5.12,23.08,26.32,24.00,12.12,33,33.33,85.00,14.16,15.04,44.88
2602071500,Sunday,Post-Asia,86.36,0.40,24.61,32.20,0,2,3,5.75,14.29,36.17,20.00,6.25,32,60.00,71.43,15.60,16.15,34.42
2602110645,Wednesday,NA-Asia,86.71,596.70,19.64,47.99,0,3,2,4.18,12.50,17.39,24.00,18.18,11,100.00,62.50,12.50,14.29,49.75
2602201901,Saturday,Pre-EU,68.34,-1.69,19.23,48.34,0,11,1,3.70,11.77,18.18,23.26,35.00,20,16.67,66.67,11.24,14.42,25.37
2602210222,Saturday,Pre-NA,66.65,-1.03,16.67,26.62,0,4,0,4.81,33.33,10.64,17.65,18.75,16,20.00,81.82,8.23,11.46,16.03
2603151856,Monday,Pre-EU,65.62,0.75,21.65,44.90,0,9,0,4.29,6.25,22.00,29.03,23.81,21,60.00,91.67,11.77,12.37,44.31
2603211606,Sunday,Asia-EU,66.37,2.21,25.00,54.35,1,9,0,4.33,5.26,27.27,31.11,29.63,27,40.00,81.25,15.22,14.81,64.69
2603250123,Wednesday,Pre-NA,68.57,0.57,19.53,47.74,2,7,0,4.08,8.33,22.92,21.43,24.00,25,66.67,72.22,10.91,14.06,36.14
2603271914,Saturday,Pre-EU,69.14,3.12,25.66,45.04,1,7,0,4.69,6.25,31.71,26.79,20.69,29,100.00,73.33,18.37,13.27,52.28
2603282203,Sunday,Post-EU,72.26,2.87,24.79,51.10,2,8,0,4.34,17.24,25.00,30.00,20.69,29,83.33,86.36,10.53,18.80,63.38
2604061800,Tuesday,Pre-EU,75.13,0.72,29.05,67.10,2,19,0,4.16,35.00,21.82,32.88,25.58,43,50.00,80.77,18.03,17.57,71.68
2604101817,Saturday,Pre-EU,75.85,2.34,22.22,62.83,1,11,0,3.89,17.39,22.22,25.81,61.11,18,60.00,75.00,16.44,9.88,48.85
2604170151,Friday,Pre-NA,78.19,1.60,20.93,45.23,2,7,4,4.52,10.53,27.12,17.65,18.52,27,66.67,75.00,11.01,15.50,35.00
2604232130,Friday,Post-EU,79.79,1.17,31.48,51.32,0,7,1,4.79,36.36,31.43,29.41,11.76,34,80.00,90.48,17.24,19.44,70.05
2604270750,Monday,NA-Asia,80.96,1.89,21.59,50.36,0,7,0,3.95,14.29,16.67,31.25,31.58,19,60.00,63.64,15.58,12.50,37.04
2604271001,Monday,Pre-Asia,82.85,0.53,28.57,56.85,1,10,2,4.77,15.79,30.00,33.33,26.67,30,20.00,89.47,15.12,18.09,61.88
2605051833,Wednesday,Pre-EU,83.37,-0.33,24.35,56.53,1,12,0,4.43,35.00,10.26,30.36,39.29,28,60.00,73.68,14.58,16.52,37.80
2605061544,Thursday,Asia-EU,83.05,0.95,26.37,74.83,3,15,0,3.33,26.67,30.77,21.62,58.33,24,33.33,78.57,16.88,15.38,57.88
2605080437,Friday,Post-NA,84.00,0.07,24.27,54.41,2,8,0,4.36,36.84,20.41,22.86,28.00,25,40.00,70.59,15.12,16.50,18.85
