Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2601011247,Thursday,Post-Asia,140.97,0.00,51.35,203.81,7,40,0,2.95,52.17,50.00,52.38,59.65,57,66.67,83.33,21.05,48.65,50.00
2601031613,Sunday,Asia-EU,140.97,0.00,57.90,155.80,6,23,0,4.30,66.67,58.33,53.33,28.79,66,20.00,82.69,37.10,45.61,52.81
2601082226,Friday,Post-EU,140.97,0.00,55.05,146.13,3,28,0,4.13,50.00,52.27,60.00,38.33,60,40.00,87.50,29.51,44.04,43.89
2601082232,Friday,EU-NA,140.97,0.00,55.05,146.13,3,28,0,4.13,50.00,52.27,60.00,38.33,60,40.00,87.50,29.51,44.04,43.45
2601121404,Monday,Post-Asia,140.97,0.00,52.08,183.79,6,24,0,3.52,60.00,53.85,45.95,48.00,50,60.00,87.50,26.79,41.67,51.70
2601121920,Tuesday,Pre-EU,140.97,0.00,56.32,209.76,7,28,0,3.37,61.54,51.52,58.54,44.90,49,80.00,86.49,34.00,42.53,74.53
2601141713,Thursday,Asia-EU,140.97,0.00,44.37,119.69,5,23,0,4.35,41.38,44.44,46.00,28.57,63,50.00,75.44,23.53,40.14,21.01
2601171848,Sunday,Pre-EU,140.97,0.00,40.23,131.44,4,17,0,3.91,43.75,34.38,43.59,40.00,35,20.00,68.57,21.15,40.23,15.26
2601201411,Tuesday,Post-Asia,140.97,0.00,52.22,137.81,2,17,0,4.28,50.00,54.55,51.35,27.66,47,60.00,81.58,30.77,42.22,44.03
2601231253,Friday,Post-Asia,140.97,0.00,48.85,129.68,5,24,0,4.44,40.00,55.81,49.06,31.25,64,66.67,86.00,25.93,38.17,36.45
2601241546,Sunday,Asia-EU,140.97,0.00,55.09,147.65,3,21,0,4.26,64.29,48.00,57.50,29.23,65,40.00,87.27,26.98,46.61,48.32
2601262254,Tuesday,EU-NA,140.97,0.00,44.21,122.32,2,18,0,3.93,47.37,44.19,42.42,35.71,42,0.00,79.41,24.59,35.79,15.40
2601271914,Wednesday,Pre-EU,140.97,0.00,58.24,187.25,3,29,0,3.75,72.22,55.56,54.05,41.51,53,100.00,92.68,30.00,45.05,81.55
2601311606,Sunday,Asia-EU,140.97,0.00,50.00,152.46,8,29,0,3.84,59.09,43.33,54.55,42.86,63,16.67,80.39,29.33,40.48,56.11
2602022101,Tuesday,Post-EU,140.97,-8.30,42.31,124.52,1,22,1,4.18,43.75,35.90,46.94,38.64,44,80.00,81.58,19.70,36.54,15.47
2602042002,Thursday,Post-EU,132.62,-2.20,44.72,146.40,4,22,0,4.13,38.09,51.02,41.51,36.36,55,40.00,91.11,17.95,36.59,39.42
2602072156,Sunday,Post-EU,130.46,1.20,48.89,144.32,2,21,0,4.04,59.09,45.45,45.71,27.27,44,80.00,78.57,22.92,46.67,53.92
2602091602,Tuesday,Asia-EU,131.65,1.20,44.58,156.44,4,17,0,4.11,66.67,41.67,40.00,40.54,37,60.00,81.82,20.00,39.76,52.05
2602142238,Sunday,EU-NA,132.84,1011.90,54.92,148.22,3,22,1,4.40,40.00,48.65,63.08,22.39,67,60.00,86.96,35.53,37.70,86.13
2602241336,Tuesday,Post-Asia,114.47,0.70,47.37,148.32,6,22,0,3.53,30.77,47.06,52.08,35.56,45,66.67,91.67,20.34,37.90,38.13
2602242102,Wednesday,Post-EU,115.17,-0.29,57.14,159.06,3,36,0,3.79,75.76,50.00,50.00,36.76,68,33.33,82.76,32.79,48.74,59.43
2602251607,Thursday,Asia-EU,114.88,-1.27,39.60,79.22,1,13,0,4.65,44.44,38.30,38.89,20.00,40,40.00,57.50,27.87,39.60,13.13
2603042212,Thursday,Post-EU,113.61,-3.86,41.27,85.89,1,16,1,4.44,47.83,41.82,37.50,21.15,52,33.33,81.39,20.48,34.13,10.34
2603092230,Tuesday,EU-NA,109.75,-0.14,55.81,115.92,2,21,0,4.78,48.28,50.00,65.39,33.33,72,30.00,85.19,34.67,41.86,53.65
