Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2601031613,Sunday,Asia-EU,124.97,0.00,42.31,112.49,3,17,0,4.25,38.46,31.71,56.76,29.55,44,40.00,100.00,27.71,20.19,50.00
2601041654,Monday,Asia-EU,124.97,0.00,37.50,130.63,6,13,0,3.97,28.57,31.43,48.39,30.00,30,60.00,86.96,17.54,28.75,41.05
2601050457,Monday,Post-NA,124.97,0.00,44.34,126.61,3,22,0,3.83,34.62,52.63,42.86,27.66,47,100.00,81.25,28.38,30.19,68.33
2601061215,Tuesday,Pre-Asia,124.97,0.00,41.84,145.64,4,22,0,3.46,47.62,41.46,38.89,46.34,41,66.67,87.88,18.46,33.67,54.72
2601101213,Saturday,Pre-Asia,124.97,3.60,36.96,91.97,4,17,1,4.45,41.38,35.19,36.36,17.65,51,33.33,83.33,24.07,21.74,39.52
2601120716,Monday,NA-Asia,128.61,-3.60,47.33,104.28,4,14,0,4.48,57.69,41.67,47.37,17.74,62,60.00,94.12,30.93,25.95,52.58
2601121404,Monday,Post-Asia,124.97,0.00,32.98,135.13,6,18,0,3.13,44.44,35.56,22.58,54.84,31,20.00,91.67,12.86,25.53,46.06
2601141040,Wednesday,Pre-Asia,124.97,0.00,42.31,133.09,3,23,3,3.87,39.39,33.33,51.92,32.73,55,60.00,91.67,23.40,27.69,74.60
2601141713,Thursday,Asia-EU,124.97,0.00,33.62,135.47,9,25,1,3.51,53.85,19.15,37.21,48.72,39,33.33,81.25,15.48,27.59,36.95
2601151015,Thursday,Pre-Asia,124.97,0.00,30.53,123.06,6,22,0,3.55,32.14,25.42,36.36,47.50,40,25.00,92.59,14.42,20.61,36.49
2601161232,Friday,Post-Asia,124.97,0.00,40.60,121.29,6,23,0,4.28,36.67,35.85,48.00,38.89,54,83.33,85.29,25.25,25.56,59.89
2601161904,Saturday,Pre-EU,124.97,0.00,60.49,210.53,8,30,0,3.29,50.00,51.61,73.53,48.98,49,80.00,86.67,45.10,37.04,80.13
2601170753,Saturday,NA-Asia,124.97,0.00,44.00,141.09,5,23,0,3.66,57.90,31.58,48.84,38.64,44,40.00,85.19,28.77,27.00,61.72
2601262254,Tuesday,EU-NA,124.97,0.00,29.73,88.71,3,15,0,3.97,29.41,21.74,37.50,36.36,33,20.00,80.95,17.78,18.92,14.23
2601271914,Wednesday,Pre-EU,124.97,0.00,27.91,94.03,4,11,0,3.62,30.00,23.08,32.43,37.50,24,0.00,70.00,15.15,23.26,21.47
