Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2601050457,Monday,Post-NA,69.18,0.00,17.76,43.39,1,8,0,4.32,23.53,20.00,13.33,26.32,19,60.00,68.00,2.44,23.36,50.00
2601052355,Tuesday,EU-NA,69.18,0.00,14.85,48.46,2,9,0,3.40,22.22,15.91,10.26,53.33,15,16.67,72.73,7.78,10.89,58.04
2601060259,Tuesday,Post-NA,69.18,0.00,18.37,44.53,1,6,1,4.50,34.78,19.05,6.06,22.22,18,40.00,93.33,4.82,15.31,53.82
2601070522,Wednesday,Post-NA,69.18,0.00,26.77,68.82,1,17,1,4.00,50.00,26.53,12.50,29.41,34,50.00,80.00,2.30,31.50,67.38
2601082226,Friday,Post-EU,69.18,0.00,20.42,28.97,1,4,4,5.38,25.81,21.21,15.56,13.79,29,90.00,76.47,2.78,23.94,37.93
2601082232,Friday,EU-NA,69.18,0.00,20.42,28.97,1,4,4,5.38,25.81,21.21,15.56,13.79,29,90.00,76.47,2.78,23.94,37.97
2601090238,Friday,Post-NA,69.18,-0.60,19.05,66.84,2,8,0,3.19,23.08,23.68,12.12,50.00,16,50.00,75.00,1.56,23.81,36.65
2601120716,Monday,NA-Asia,68.57,0.60,19.27,42.68,2,6,0,4.76,36.36,19.23,8.57,19.05,21,40.00,72.73,5.75,20.18,45.76
2601121920,Tuesday,Pre-EU,69.18,0.00,26.53,82.74,3,10,1,3.81,45.00,27.50,15.79,30.77,26,60.00,91.67,5.41,24.49,85.91
2601141040,Wednesday,Pre-Asia,69.18,0.00,21.13,35.23,0,6,1,5.13,15.38,26.15,17.65,6.67,30,10.00,78.79,3.67,23.24,39.80
2601142226,Thursday,Post-EU,69.18,0.00,24.51,49.04,0,8,1,4.68,25.93,28.12,20.93,12.00,25,20.00,85.00,9.76,19.61,61.90
2601151819,Friday,Pre-EU,69.18,0.00,18.90,44.82,2,8,2,4.33,19.05,23.21,14.00,29.17,24,66.67,85.71,5.66,16.54,47.71
2601170753,Saturday,NA-Asia,69.18,0.00,28.57,73.37,0,9,0,3.92,35.29,36.11,16.13,33.33,24,40.00,91.30,4.92,27.38,74.92
2601171848,Sunday,Pre-EU,69.18,0.00,20.91,40.92,1,5,3,5.22,22.73,26.83,14.89,30.43,23,40.00,100.00,5.43,16.36,43.80
2601200331,Tuesday,Post-NA,69.18,0.00,18.38,57.07,2,13,1,3.96,27.59,18.33,12.77,40.00,25,50.00,80.77,3.64,19.12,45.43
2601201913,Wednesday,Pre-EU,69.18,0.00,19.01,42.87,1,9,3,4.65,30.43,20.83,12.00,30.43,23,66.67,73.08,4.21,21.49,25.57
2601210505,Wednesday,Post-NA,69.18,0.00,16.22,51.88,3,9,0,3.83,13.33,20.00,13.72,33.33,18,33.33,72.22,5.38,16.22,33.39
2601240810,Saturday,NA-Asia,69.18,0.00,18.32,35.48,1,5,3,5.00,30.43,13.12,19.15,16.67,24,40.00,86.36,4.59,16.79,25.63
2601250516,Sunday,Post-NA,69.18,0.00,23.08,32.60,0,5,0,5.30,30.43,21.43,21.05,14.81,27,50.00,76.00,8.70,21.37,53.01
2601260234,Monday,Post-NA,69.18,0.00,21.88,59.86,3,9,1,3.93,15.00,32.73,13.21,17.86,28,16.67,69.44,3.26,28.12,51.34
2601262254,Tuesday,EU-NA,69.18,0.00,16.67,47.30,2,5,1,3.90,7.69,26.53,10.26,15.79,19,40.00,94.44,2.08,15.79,29.97
2601271914,Wednesday,Pre-EU,69.18,0.00,18.61,54.44,0,8,0,3.75,20.00,20.51,16.22,50.00,16,0.00,81.25,4.29,18.61,41.93
2601290543,Thursday,NA-Asia,69.18,0.00,23.88,56.39,2,10,0,4.44,44.44,20.34,16.67,28.12,32,58.33,84.38,4.90,23.88,81.73
2601301234,Friday,Post-Asia,69.18,0.00,25.98,67.04,2,12,1,4.06,22.73,32.26,18.61,30.30,33,50.00,84.61,10.89,20.47,84.95
2601301922,Saturday,Pre-EU,69.18,0.00,25.41,62.63,2,12,0,4.19,15.38,29.82,25.64,29.03,31,50.00,90.00,4.35,24.59,76.00
2602010745,Sunday,NA-Asia,69.18,-0.20,23.42,54.32,2,9,0,4.08,28.57,29.17,14.29,26.92,26,40.00,85.19,3.57,24.32,63.47
2602020257,Monday,Post-NA,68.99,23.30,23.00,59.60,2,9,0,3.91,28.57,20.93,22.22,34.78,23,50.00,86.36,5.13,22.00,79.68
2602030746,Tuesday,NA-Asia,92.32,2.80,23.86,87.02,3,9,0,3.67,23.53,21.62,26.47,42.86,21,80.00,78.26,4.62,26.14,62.90
2602040729,Wednesday,NA-Asia,95.09,0.10,14.29,52.56,1,8,0,3.47,22.22,9.52,13.89,33.33,15,33.33,73.33,4.44,14.29,10.70
2602051836,Friday,Pre-EU,95.15,-0.90,19.86,43.67,1,6,2,4.90,35.71,16.36,15.87,13.79,29,50.00,82.76,4.27,19.86,18.33
2602052043,Friday,Post-EU,94.27,1.10,23.97,46.52,0,7,2,4.93,33.33,17.65,26.92,10.34,29,83.33,82.76,5.43,23.97,41.11
2602072156,Sunday,Post-EU,95.35,1.90,27.78,80.80,2,11,0,4.28,40.91,33.33,14.29,28.00,25,80.00,92.00,3.08,27.78,59.80
2602090621,Monday,NA-Asia,97.22,-0.40,22.39,65.89,3,9,0,4.07,31.82,27.78,13.79,46.67,30,33.33,100.00,3.70,19.40,48.61
2602090816,Monday,NA-Asia,96.87,0.90,27.27,82.59,2,16,3,4.06,45.16,20.75,22.92,33.33,36,66.67,93.33,7.84,22.73,72.73
2602102142,Wednesday,Post-EU,97.80,0.00,26.32,82.03,3,10,0,4.08,33.33,20.00,30.00,28.00,25,50.00,84.21,11.84,20.00,55.06
2602110645,Wednesday,NA-Asia,97.80,-1.20,21.38,45.38,1,7,0,4.77,20.00,25.00,18.64,16.13,31,33.33,80.64,5.26,21.38,15.03
2602142238,Sunday,EU-NA,96.58,0.30,21.05,44.11,1,5,1,5.08,26.09,26.09,13.33,8.33,24,60.00,86.96,4.40,20.18,26.44
2602151018,Sunday,Pre-Asia,96.84,-1.20,21.54,52.36,1,7,1,4.50,36.36,24.14,12.00,14.29,28,50.00,88.46,4.81,20.00,22.17
2602151911,Monday,Pre-EU,95.68,661.60,20.39,48.79,2,7,1,4.91,31.25,23.81,13.33,33.33,21,33.33,85.71,3.66,20.39,32.86
2602160617,Monday,NA-Asia,75.73,-1.84,16.50,19.82,0,2,0,5.56,10.53,10.00,26.32,6.25,16,20.00,76.47,3.75,17.53,4.40
2602160834,Monday,Pre-Asia,73.89,-0.36,21.37,33.52,1,4,0,4.96,34.48,20.69,10.00,12.00,25,50.00,81.48,3.33,23.08,15.38
2602170635,Tuesday,NA-Asia,73.53,-1.09,15.87,43.71,2,9,0,3.85,20.00,8.77,22.45,35.00,20,33.33,72.00,1.98,19.84,11.33
2602180911,Wednesday,Pre-Asia,72.44,1.68,26.98,85.03,4,20,3,3.47,31.03,32.50,21.05,50.00,34,66.67,81.82,7.53,26.19,67.12
