Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2601060259,Tuesday,Post-NA,139.27,0.00,48.65,153.69,5,23,0,3.67,42.10,36.00,66.67,38.89,54,80.00,86.00,18.03,45.05,50.00
2601071657,Thursday,Asia-EU,139.27,0.00,60.59,135.15,3,32,0,4.65,56.00,59.04,64.52,17.48,103,66.67,90.48,31.39,49.41,57.84
2601082226,Friday,Post-EU,139.27,0.00,58.65,121.87,0,24,0,4.71,53.85,54.90,64.29,23.08,78,20.00,92.98,32.90,42.86,53.39
2601082232,Friday,EU-NA,139.27,0.00,58.65,121.87,0,24,0,4.71,53.85,54.90,64.29,23.08,78,20.00,92.98,32.90,42.86,52.44
2601121404,Monday,Post-Asia,139.27,0.00,50.00,182.23,5,31,0,3.44,35.00,61.70,43.24,48.08,52,60.00,88.23,31.43,32.69,53.48
2601141713,Thursday,Asia-EU,139.27,0.00,56.95,151.82,6,32,0,4.23,54.55,48.44,68.52,25.58,86,66.67,87.93,37.63,38.41,69.66
2601161904,Saturday,Pre-EU,139.27,0.00,55.45,167.37,5,27,0,3.61,38.46,54.90,62.16,44.64,56,40.00,89.36,25.93,46.53,50.20
2601170250,Saturday,Post-NA,139.27,0.00,46.49,142.50,4,24,0,3.91,29.41,47.92,51.02,33.96,53,66.67,93.62,13.43,41.23,34.92
2601180253,Sunday,Post-NA,139.27,0.00,48.18,113.05,1,18,0,4.13,66.67,44.23,47.83,28.30,53,66.67,90.70,20.90,39.09,24.37
2601211541,Thursday,Asia-EU,139.27,0.00,48.82,130.27,4,20,0,4.26,47.37,41.46,53.73,25.81,62,30.00,95.75,21.25,37.01,26.06
2601281906,Thursday,Pre-EU,139.27,-2.30,43.48,128.37,4,16,0,3.98,35.29,43.90,47.06,37.50,40,40.00,96.77,16.39,33.70,20.88
2602011658,Monday,Asia-EU,136.97,-1.90,52.48,133.54,2,25,0,4.49,31.82,50.82,62.07,28.38,74,40.00,93.22,23.17,41.84,29.19
2602042002,Thursday,Post-EU,135.09,-0.90,48.33,112.42,0,15,0,4.53,50.00,51.92,43.75,20.69,58,60.00,92.68,25.32,34.17,27.39
2602051836,Friday,Pre-EU,134.22,3.80,44.70,133.68,4,20,1,4.37,26.92,41.82,56.86,28.81,59,100.00,97.62,20.00,31.82,42.00
2602061807,Saturday,Pre-EU,138.04,-2.20,56.39,152.93,3,32,0,4.25,46.15,50.88,68.00,37.33,75,33.33,92.98,28.95,42.86,64.50
2602071500,Sunday,Post-Asia,135.81,-3.00,50.77,100.47,2,11,0,5.09,46.43,59.57,45.45,12.12,66,60.00,92.31,23.08,40.00,41.94
2602072156,Sunday,Post-EU,132.85,-0.20,57.14,203.23,7,32,0,3.66,61.54,46.34,65.91,50.00,56,40.00,97.83,21.15,46.94,78.20
2602111620,Thursday,Asia-EU,132.66,-3.00,55.36,151.35,2,21,0,4.24,33.33,62.79,58.33,24.19,62,0.00,97.44,32.88,34.82,62.40
2602121847,Friday,Pre-EU,129.66,0.40,40.65,122.60,3,20,0,4.02,39.13,46.55,33.33,34.00,50,50.00,91.43,20.45,28.45,35.18
2602142238,Sunday,EU-NA,130.10,-2.80,47.58,86.09,0,12,1,5.05,48.00,44.00,51.02,15.25,59,40.00,100.00,25.29,29.84,25.41
2602151911,Monday,Pre-EU,127.31,971.00,42.45,126.59,3,20,0,4.18,43.48,37.50,46.51,40.00,45,66.67,93.33,22.37,28.30,37.56
2602171440,Tuesday,Post-Asia,109.83,-2.17,43.55,93.98,2,16,0,4.26,30.43,42.86,51.11,25.93,54,33.33,92.11,22.09,30.64,5.61
2602181122,Wednesday,Pre-Asia,107.66,-0.95,45.98,105.18,2,26,0,4.38,50.00,35.94,57.78,28.57,63,16.67,89.58,22.47,35.04,12.16
2602200956,Friday,Pre-Asia,106.70,-0.23,57.26,141.50,4,24,0,4.08,40.00,64.81,56.00,33.80,71,40.00,94.92,23.08,47.58,62.51
2602271905,Saturday,Pre-EU,106.48,0.13,48.25,139.12,3,31,0,3.47,46.15,44.68,53.66,60.00,55,50.00,87.50,19.70,42.10,37.46
2602281316,Saturday,Post-Asia,106.61,2.26,60.87,162.75,4,25,0,3.96,44.44,69.44,60.53,37.50,56,60.00,100.00,33.33,41.30,72.14
2603011142,Sunday,Pre-Asia,108.87,-1.07,51.64,117.73,2,21,0,4.37,56.25,50.00,51.85,26.98,63,58.33,86.67,31.17,36.88,42.68
2603062211,Saturday,Post-EU,107.80,0.97,56.49,117.69,3,19,1,4.46,60.00,52.17,58.33,13.51,74,60.00,89.09,32.90,41.98,45.25
