Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2601240810,Saturday,NA-Asia,70.00,0.00,27.68,82.42,3,11,0,4.23,50.00,27.08,20.83,32.26,31,80.00,81.82,14.44,19.64,50.00
2601301234,Friday,Post-Asia,70.00,904.10,35.97,96.07,3,19,0,3.90,63.33,27.08,25.00,21.95,41,50.00,95.83,20.00,21.05,84.66
2603120838,Thursday,Pre-Asia,97.41,-1.13,26.36,85.97,4,16,1,3.62,47.83,24.49,15.79,48.28,29,33.33,95.45,9.09,20.00,21.96
2603160811,Monday,NA-Asia,96.28,1.86,33.62,94.70,3,18,0,3.67,81.82,23.08,21.43,41.03,39,66.67,91.67,18.48,20.69,69.69
2603200843,Friday,Pre-Asia,98.14,-3.71,23.91,57.77,2,10,0,4.18,41.18,25.81,16.95,24.24,33,16.67,84.00,10.62,18.12,5.04
2604182100,Sunday,Post-EU,94.43,-1.07,22.48,68.21,4,16,2,3.48,47.62,24.49,11.86,44.83,29,50.00,94.12,11.61,13.18,22.42
2604190448,Sunday,Post-NA,93.36,0.71,28.85,80.40,3,13,1,3.80,34.78,28.26,25.71,56.67,30,50.00,89.47,15.29,18.27,43.69
2604280742,Tuesday,NA-Asia,94.07,1.99,26.97,113.08,4,20,0,2.50,41.18,20.00,28.12,70.83,24,60.00,93.33,13.51,16.85,45.68
2604300458,Thursday,Post-NA,96.06,-0.03,28.00,93.02,3,11,0,3.24,63.64,20.00,24.14,52.38,21,40.00,69.23,19.36,17.33,44.24
2605011134,Friday,Pre-Asia,96.03,-0.93,25.00,68.53,2,13,1,3.97,52.00,20.93,14.58,37.93,29,50.00,61.54,20.39,11.21,17.98
2605051833,Wednesday,Pre-EU,95.11,-2.09,26.21,69.48,2,11,0,3.81,47.06,28.57,15.91,33.33,27,20.00,89.47,11.90,18.45,17.79
2605060857,Wednesday,Pre-Asia,93.02,-1.75,28.28,71.29,2,14,1,4.27,60.71,19.67,21.43,26.83,41,33.33,90.00,18.40,13.79,44.11
2605061606,Thursday,Asia-EU,91.27,-0.75,25.00,71.85,1,18,2,3.50,52.38,25.00,11.63,40.00,30,50.00,87.50,15.38,13.33,30.90
2605091352,Saturday,Post-Asia,90.51,-2.98,18.42,50.30,3,11,0,3.48,66.67,13.64,12.07,42.86,21,33.33,83.33,10.78,10.53,11.66
2605112129,Tuesday,Post-EU,87.53,1.88,22.55,83.68,5,13,0,3.26,38.89,21.28,16.22,47.83,23,60.00,86.36,5.00,21.57,62.52
2605120931,Tuesday,Pre-Asia,89.41,2.46,29.73,100.74,4,19,0,3.42,45.83,24.53,26.47,48.48,33,66.67,85.71,16.67,18.92,95.04
2605141424,Thursday,Post-Asia,91.87,0.69,33.33,106.62,4,18,0,3.50,64.29,39.02,19.15,44.12,34,60.00,88.46,14.47,25.49,86.95
2605151239,Friday,Post-Asia,92.56,-0.56,28.38,81.98,2,19,2,3.95,63.33,30.00,11.77,45.24,42,50.00,95.00,17.97,13.51,74.48
2605171448,Sunday,Post-Asia,92.00,0.45,26.13,78.21,3,12,1,3.38,42.86,26.19,18.75,51.72,29,66.67,88.89,13.98,16.22,61.92
2605191357,Tuesday,Post-Asia,92.45,-0.21,30.60,84.68,4,17,3,3.81,59.09,35.42,17.19,34.15,41,25.00,85.19,16.82,20.15,66.06
2605211404,Thursday,Post-Asia,92.23,1.19,38.09,91.93,2,13,1,4.22,92.31,34.38,23.08,28.12,32,60.00,85.71,22.22,25.00,76.85
2605221158,Friday,Pre-Asia,93.42,1.42,25.81,78.42,3,16,0,3.53,53.85,23.08,13.04,40.62,32,50.00,89.47,14.29,15.32,42.13
2605240620,Sunday,NA-Asia,94.84,-0.22,31.54,93.78,3,21,0,3.58,50.00,26.09,27.59,34.15,41,33.33,85.19,17.48,20.77,56.45
2605241211,Sunday,Pre-Asia,94.62,-3.91,27.42,73.14,3,13,0,4.03,52.38,24.14,20.00,26.47,34,33.33,80.00,17.31,16.13,20.37
2605250856,Monday,Pre-Asia,90.71,-0.15,29.10,73.22,1,17,0,3.82,45.83,28.07,22.64,33.33,39,50.00,84.61,15.74,19.40,22.95
2605251416,Monday,Post-Asia,90.55,-1.25,25.00,69.89,4,8,1,3.96,35.29,20.00,25.00,39.13,23,60.00,83.33,16.25,13.04,16.93
2605261351,Tuesday,Post-Asia,89.30,-1.78,20.95,63.24,4,9,0,3.36,31.25,21.43,17.02,36.36,22,16.67,100.00,7.78,14.29,19.06
2605270815,Wednesday,NA-Asia,87.52,0.46,37.31,83.25,1,14,0,4.10,62.50,32.14,26.09,30.00,50,33.33,88.00,25.69,18.66,80.71
2605271414,Wednesday,Post-Asia,87.98,-0.45,28.00,78.66,2,11,0,3.62,58.33,27.59,17.65,33.33,21,40.00,90.00,18.46,13.33,49.86
2605281549,Friday,Asia-EU,87.53,0.28,26.61,77.52,5,16,1,3.52,61.91,28.26,12.28,42.42,33,50.00,78.26,14.85,18.55,44.90
2605291802,Saturday,Pre-EU,87.81,-0.71,29.36,67.53,2,10,1,4.12,63.64,16.67,25.64,28.12,32,60.00,94.12,17.39,15.60,53.33
2605310415,Sunday,Post-NA,87.10,0.53,25.00,76.34,2,21,0,3.10,60.00,20.93,18.97,48.28,29,50.00,87.50,8.70,20.69,51.52
2605310851,Sunday,Pre-Asia,87.64,-0.03,36.28,80.06,1,15,0,4.20,56.00,39.13,21.43,21.95,41,60.00,90.48,23.91,18.58,87.50
