Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2601011247,Thursday,Post-Asia,85.92,0.00,23.89,60.60,0,12,0,4.15,27.27,26.41,18.42,29.63,27,50.00,79.31,4.76,25.66,50.00
2601050457,Monday,Post-NA,85.92,0.00,32.32,81.60,1,10,0,3.91,42.31,36.59,18.75,18.75,32,40.00,80.00,6.25,35.35,70.61
2601060259,Tuesday,Post-NA,85.92,0.00,29.13,72.89,2,11,1,4.17,50.00,31.91,13.89,30.00,30,60.00,69.44,7.46,34.95,62.94
2601061215,Tuesday,Pre-Asia,85.92,0.00,28.10,75.77,3,16,3,4.15,36.84,33.33,18.75,29.41,34,33.33,76.32,6.02,31.41,56.02
2601070522,Wednesday,Post-NA,85.92,0.00,40.16,88.69,0,21,0,4.20,46.67,53.06,22.92,25.49,51,50.00,73.68,12.86,44.88,71.74
2601082226,Friday,Post-EU,85.92,0.00,29.09,50.51,1,5,1,5.19,40.91,27.03,25.49,15.62,32,40.00,72.50,4.29,36.36,19.77
2601082232,Friday,EU-NA,85.92,0.00,29.09,50.51,1,5,1,5.19,40.91,27.03,25.49,15.62,32,40.00,72.50,4.29,36.36,20.94
2601090238,Friday,Post-NA,85.92,1.90,32.04,88.88,3,14,1,3.73,45.45,28.89,27.78,30.30,33,16.67,68.42,10.77,36.89,74.54
2601120716,Monday,NA-Asia,87.84,-1.90,30.27,67.40,1,8,1,4.39,40.91,34.62,17.14,27.27,33,40.00,69.23,8.57,35.78,31.65
2601141040,Wednesday,Pre-Asia,85.92,0.00,38.46,74.64,0,9,0,4.76,51.52,46.67,23.08,14.00,50,60.00,81.13,9.09,40.77,79.14
2601150218,Thursday,Pre-NA,85.92,0.00,29.29,82.60,1,13,0,3.72,33.33,37.78,16.67,37.93,29,50.00,62.16,9.68,37.37,52.09
2601170753,Saturday,NA-Asia,85.92,0.00,36.43,90.59,2,16,0,4.06,54.17,36.36,29.51,17.02,47,50.00,87.18,14.44,30.23,81.38
2601200331,Tuesday,Post-NA,85.92,0.00,31.61,66.54,1,14,1,4.53,48.28,33.85,21.31,12.24,49,50.00,75.51,11.32,31.61,48.79
2601210505,Wednesday,Post-NA,85.92,0.00,29.91,80.94,3,14,0,3.89,50.00,26.79,24.39,34.29,35,50.00,76.92,6.41,33.33,53.14
2601211018,Wednesday,Pre-Asia,85.92,0.00,29.29,72.66,2,18,2,4.37,33.33,29.63,27.12,29.27,41,33.33,78.38,11.65,26.43,53.61
