Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2601061215,Tuesday,Pre-Asia,125.93,0.00,41.84,171.17,8,27,0,3.10,42.86,48.78,33.33,58.54,41,66.67,72.41,28.99,29.59,50.00
2601170250,Saturday,Post-NA,125.93,0.00,39.56,133.77,5,16,1,3.75,37.50,41.03,38.89,38.89,36,33.33,88.00,21.21,27.47,28.03
2601170753,Saturday,NA-Asia,125.93,0.00,26.19,85.17,1,11,0,3.36,23.53,19.44,35.48,45.45,22,40.00,84.61,15.49,15.48,23.06
2601212224,Thursday,Post-EU,125.93,0.00,42.53,133.53,4,16,1,3.84,50.00,46.15,33.33,43.24,37,80.00,75.00,32.84,22.99,67.63
2601231253,Friday,Post-Asia,125.93,0.00,46.26,129.98,3,24,2,4.09,50.00,39.22,50.00,32.35,68,16.67,89.74,30.56,26.53,62.12
2601241546,Sunday,Asia-EU,125.93,0.00,40.00,120.23,6,16,1,4.26,33.33,37.78,44.07,28.00,50,80.00,78.12,26.88,25.60,49.59
2601260234,Monday,Post-NA,125.93,0.00,37.68,112.08,5,21,1,3.77,28.57,30.91,46.77,34.62,52,83.33,72.09,22.11,31.16,29.11
2601271914,Wednesday,Pre-EU,125.93,0.00,38.98,118.24,4,18,2,3.89,43.48,29.17,46.81,36.96,46,40.00,87.50,26.60,20.34,47.12
2601281906,Thursday,Pre-EU,125.93,0.00,31.90,93.77,2,17,1,3.89,28.00,34.04,31.82,35.14,37,60.00,72.41,18.39,25.00,18.06
2601301437,Friday,Post-Asia,125.93,4.80,37.74,151.22,6,21,0,3.48,36.00,33.33,42.86,40.00,40,50.00,77.78,24.05,25.47,55.29
2602011658,Monday,Asia-EU,130.78,-4.10,42.59,128.58,4,14,1,4.15,47.62,43.18,39.53,28.26,46,40.00,79.31,29.11,26.85,56.78
2602142238,Sunday,EU-NA,126.68,929.10,41.18,139.09,3,20,1,3.94,28.57,47.92,40.00,36.73,49,40.00,81.25,26.44,26.89,84.08
2602201055,Friday,Pre-Asia,105.58,4.38,39.68,109.35,6,23,0,3.90,40.91,46.30,32.00,32.00,50,75.00,67.74,30.53,24.60,36.96
2602211142,Saturday,Pre-Asia,109.96,5.83,55.14,190.33,11,34,1,3.41,52.63,57.14,54.35,40.68,59,83.33,88.23,39.73,31.78,77.47
2602211352,Saturday,Post-Asia,115.79,-1.57,41.44,113.70,3,21,1,3.96,27.27,38.89,54.29,47.83,46,66.67,92.59,25.00,24.32,37.68
2602270936,Friday,Pre-Asia,114.22,1.00,41.67,116.42,5,19,0,3.92,41.38,45.10,37.50,36.00,50,66.67,83.33,23.81,30.00,40.87
2602281316,Saturday,Post-Asia,115.21,1.80,47.83,147.69,7,30,1,3.56,31.25,53.49,48.21,45.45,55,60.00,79.31,37.21,25.22,67.49
