Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2601052355,Tuesday,EU-NA,98.56,0.00,34.58,103.09,4,18,0,3.51,45.83,25.58,37.50,37.84,37,83.33,80.77,19.75,24.30,50.00
2601060259,Tuesday,Post-NA,98.56,0.00,33.67,108.57,5,15,0,3.82,43.48,38.09,21.21,27.27,33,40.00,85.00,20.51,20.41,55.72
2601082226,Friday,Post-EU,98.56,0.00,49.30,98.76,1,19,0,4.70,77.42,42.42,40.00,20.00,70,90.00,100.00,26.53,30.99,63.07
2601082232,Friday,EU-NA,98.56,0.00,49.30,98.76,1,19,0,4.70,77.42,42.42,40.00,20.00,70,90.00,100.00,26.53,30.99,63.66
2601090238,Friday,Post-NA,98.56,0.30,36.44,128.38,9,23,0,3.35,48.00,34.09,32.65,41.86,43,83.33,82.35,17.86,28.81,48.12
2601120716,Monday,NA-Asia,98.85,-0.30,34.65,95.73,2,18,0,4.09,50.00,29.55,36.17,31.43,35,40.00,84.61,17.33,25.74,11.45
2601121920,Tuesday,Pre-EU,98.56,0.00,31.68,86.58,2,13,0,4.16,33.33,24.39,37.50,34.38,32,40.00,79.17,16.88,23.76,18.40
2601142226,Thursday,Post-EU,98.56,0.00,40.57,84.77,1,11,1,4.63,54.17,33.33,39.53,13.95,43,40.00,93.55,18.67,29.25,39.53
2601150218,Thursday,Pre-NA,98.56,0.00,29.09,91.03,4,18,0,3.69,33.33,31.11,25.53,43.75,32,33.33,84.61,11.90,23.64,21.48
2601160213,Friday,Pre-NA,98.56,0.00,31.41,85.89,2,16,1,4.05,35.71,24.53,37.04,34.21,38,83.33,85.29,10.35,28.10,23.74
2601170250,Saturday,Post-NA,98.56,0.00,35.09,125.38,4,22,2,3.60,41.18,33.33,34.69,47.50,40,66.67,90.91,12.35,28.95,50.97
2601201913,Wednesday,Pre-EU,98.56,0.00,23.89,51.10,1,10,0,4.74,34.48,16.00,26.47,14.81,27,33.33,85.00,10.75,17.70,14.05
2601210505,Wednesday,Post-NA,98.56,0.00,34.75,115.06,5,24,0,3.34,47.06,32.08,33.33,41.46,41,66.67,90.91,12.94,27.97,65.83
2601212224,Thursday,Post-EU,98.56,0.00,34.09,85.13,1,13,1,4.27,47.37,36.36,20.00,26.67,30,60.00,90.48,16.42,23.86,51.53
2601240810,Saturday,NA-Asia,98.56,0.00,35.88,96.40,6,16,0,4.40,52.17,32.79,31.91,25.53,47,40.00,85.71,17.71,26.72,69.49
2601250516,Sunday,Post-NA,98.56,0.00,36.57,79.90,1,15,2,4.59,44.00,27.12,44.00,28.57,49,50.00,83.78,18.56,27.61,47.93
2601260234,Monday,Post-NA,98.56,0.00,38.32,120.14,5,19,0,3.61,38.09,34.78,42.50,34.15,41,33.33,87.50,17.33,29.91,76.09
2601262254,Tuesday,EU-NA,98.56,0.00,33.65,78.80,1,10,0,4.46,37.50,38.89,23.53,20.00,35,60.00,87.50,17.50,23.08,46.76
2601271914,Wednesday,Pre-EU,98.56,0.00,39.34,87.65,1,16,1,4.52,30.43,40.00,43.59,25.00,48,60.00,80.56,22.09,29.51,52.90
2601290543,Thursday,NA-Asia,98.56,0.70,32.26,93.65,5,18,0,3.77,26.09,31.15,37.50,32.50,40,50.00,88.23,11.11,27.42,53.39
2602020257,Monday,Post-NA,99.29,-0.70,37.74,116.33,1,23,0,3.40,47.06,31.91,40.48,57.50,40,50.00,91.67,10.00,33.96,58.21
2602022101,Tuesday,Post-EU,98.56,25.30,29.46,48.05,0,4,1,5.33,40.00,28.85,26.67,21.21,33,60.00,75.00,17.05,21.43,37.22
2602030746,Tuesday,NA-Asia,123.82,1.80,42.64,134.73,3,27,0,4.00,51.72,40.32,39.47,38.18,55,100.00,97.14,22.34,27.13,76.52
2602090621,Monday,NA-Asia,125.57,3.90,41.13,138.49,3,23,1,3.61,33.33,36.36,49.02,39.22,51,83.33,87.81,18.07,33.06,92.05
2602090816,Monday,NA-Asia,129.50,-2.40,35.71,98.96,2,14,0,4.05,54.17,35.00,27.08,30.00,40,33.33,89.66,16.87,25.89,28.21
2602110645,Wednesday,NA-Asia,127.05,-2.00,30.40,75.28,0,12,0,4.29,52.00,29.63,19.57,21.05,38,50.00,80.00,14.74,24.00,3.59
2602142238,Sunday,EU-NA,125.04,925.00,40.35,125.55,5,18,0,4.33,43.48,39.13,40.00,30.43,46,60.00,88.23,20.00,29.82,88.48
2602160617,Monday,NA-Asia,105.01,-1.20,30.61,89.60,2,16,0,3.93,28.00,28.26,37.04,40.00,30,20.00,80.00,13.70,25.51,10.24
2602210222,Saturday,Pre-NA,103.81,0.58,30.49,100.26,3,16,0,3.40,28.57,29.55,33.33,52.00,25,100.00,88.89,14.06,21.95,27.29
2602240917,Tuesday,Pre-Asia,104.39,-0.60,37.33,102.24,3,23,0,3.95,43.75,35.13,36.36,30.36,56,50.00,85.45,9.47,36.67,36.01
2603050703,Thursday,NA-Asia,103.79,-1.51,31.78,85.83,2,17,0,3.83,50.00,31.67,22.22,34.15,41,20.00,80.00,10.11,31.01,10.69
2603091606,Tuesday,Asia-EU,102.28,0.91,29.17,76.58,4,12,2,4.20,41.67,33.96,16.28,45.71,35,40.00,89.29,10.87,23.33,19.10
2603092230,Tuesday,EU-NA,103.19,-4.28,39.52,59.48,1,6,0,5.16,40.62,42.00,35.71,10.20,49,60.00,90.62,21.74,25.81,53.53
2603121924,Friday,Pre-EU,98.91,-0.43,31.82,78.18,1,13,0,4.23,38.89,31.82,29.17,31.43,35,60.00,100.00,14.77,20.00,29.40
2603171301,Tuesday,Post-Asia,98.48,-2.70,35.43,95.28,2,23,0,3.53,56.25,32.26,32.65,42.22,45,16.67,80.00,14.94,31.50,56.11
2603231619,Tuesday,Asia-EU,95.78,0.99,37.80,87.68,3,18,3,4.69,56.52,23.08,44.23,29.17,48,60.00,96.67,19.59,23.62,53.98
2603300642,Monday,NA-Asia,96.77,-0.60,35.42,80.62,0,14,1,4.12,65.22,12.20,43.75,32.35,34,80.00,80.00,23.68,20.83,50.49
2603302057,Tuesday,Post-EU,96.16,2.97,40.51,111.83,2,16,0,3.59,54.55,39.47,36.67,46.88,32,66.67,81.48,19.23,34.18,80.56
