Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2601082226,Friday,Post-EU,82.38,0.00,30.08,56.68,0,9,0,4.89,15.79,23.64,42.86,27.03,37,40.00,77.42,14.13,25.20,50.00
2601082232,Friday,EU-NA,82.38,0.00,30.08,56.68,0,9,0,4.89,15.79,23.64,42.86,27.03,37,40.00,77.42,14.13,25.20,50.00
2601101213,Saturday,Pre-Asia,82.38,0.00,25.56,56.13,0,11,1,4.68,28.57,15.25,35.00,29.41,34,66.67,95.65,10.91,17.29,41.02
2601142226,Thursday,Post-EU,82.38,0.00,24.75,50.24,1,5,0,4.76,33.33,18.37,29.73,16.00,25,80.00,66.67,15.66,17.82,32.42
2601161904,Saturday,Pre-EU,82.38,0.00,25.56,39.39,0,4,0,4.91,16.67,19.15,38.71,13.04,23,50.00,70.00,12.86,22.22,18.57
2601262254,Tuesday,EU-NA,82.38,0.00,30.63,73.49,0,13,0,4.29,23.53,30.43,33.33,23.53,34,20.00,90.48,16.67,18.92,76.98
2601311606,Sunday,Asia-EU,82.38,11.50,28.26,40.55,0,5,1,5.05,28.57,29.82,26.67,10.26,39,33.33,80.77,16.07,18.84,58.30
2602011658,Monday,Asia-EU,93.88,2.50,27.27,52.51,0,8,3,5.06,18.18,27.27,31.82,21.21,33,80.00,90.00,14.85,16.53,64.49
2602071500,Sunday,Post-Asia,96.40,-2.10,22.50,37.69,0,4,2,5.30,10.35,24.44,28.26,7.41,27,40.00,74.07,7.53,22.50,3.73
2602072156,Sunday,Post-EU,94.26,-1.30,25.51,40.54,0,4,0,5.16,15.38,26.83,27.27,8.00,25,40.00,84.21,11.39,19.39,19.06
2602081856,Monday,Pre-EU,92.97,0.70,28.93,76.20,1,14,1,4.29,23.81,28.00,32.00,25.71,35,60.00,86.36,16.16,18.18,75.25
2602142238,Sunday,EU-NA,93.68,656.90,31.15,60.42,0,6,1,4.97,20.00,27.03,36.92,10.53,38,60.00,84.00,17.53,20.49,87.86
2602192118,Friday,Post-EU,75.05,-0.32,27.67,52.12,0,13,1,4.71,22.86,20.64,37.70,22.73,44,41.67,92.86,13.74,17.61,44.34
2602242102,Wednesday,Post-EU,74.73,1.51,27.27,48.81,0,9,0,4.51,29.03,26.09,27.27,15.15,33,66.67,88.46,10.53,21.49,34.44
