Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2601241546,Sunday,Asia-EU,92.33,631.00,21.74,49.81,1,5,1,4.52,33.33,21.57,13.51,8.00,25,60.00,66.67,11.70,18.26,50.00
2605061544,Thursday,Asia-EU,72.33,15.21,32.32,91.63,7,16,0,3.44,31.25,34.21,31.11,37.50,32,50.00,78.26,18.42,23.23,72.63
2605070430,Thursday,Post-NA,87.54,0.60,30.15,82.71,1,20,0,3.81,65.39,21.43,22.22,39.02,41,66.67,67.65,17.65,25.00,61.66
2605091352,Saturday,Post-Asia,88.14,-0.26,26.45,65.41,2,19,0,3.53,26.67,31.82,22.58,34.38,32,50.00,64.52,13.33,25.62,15.93
2605120931,Tuesday,Pre-Asia,87.88,2.67,27.03,92.14,3,16,0,3.30,41.67,18.87,29.41,50.00,30,66.67,62.07,14.63,26.13,39.34
2605130452,Wednesday,Post-NA,90.55,1.82,34.29,68.94,0,12,0,4.36,43.48,45.24,17.50,30.56,36,20.00,92.59,14.10,25.71,38.38
2605141424,Thursday,Post-Asia,92.37,-0.30,35.78,69.63,0,12,1,4.49,30.77,45.45,28.85,15.38,39,60.00,84.61,20.48,23.85,52.30
2605160712,Saturday,NA-Asia,92.07,1.69,40.00,100.97,2,17,0,4.03,35.00,53.49,27.03,32.50,40,40.00,82.76,22.54,29.00,69.43
2605171448,Sunday,Post-Asia,93.76,-0.33,35.48,75.13,1,15,0,4.25,47.06,25.53,40.00,18.18,44,50.00,80.77,23.47,20.97,51.19
2605180359,Monday,Post-NA,93.43,-0.56,31.46,61.14,0,7,0,4.36,34.62,41.67,23.08,14.29,28,60.00,82.35,19.44,19.10,38.46
2605181451,Monday,Post-Asia,92.87,3.41,34.43,95.51,3,18,1,3.95,55.00,38.64,24.14,40.48,42,50.00,74.07,23.16,22.13,78.61
2605190626,Tuesday,NA-Asia,96.27,-2.76,31.43,60.34,0,7,0,4.64,38.09,35.56,23.08,15.15,33,40.00,78.12,10.96,30.48,16.25
2605190912,Tuesday,Pre-Asia,93.51,-3.17,32.05,41.58,0,4,0,5.28,35.71,31.03,31.43,4.00,25,20.00,68.75,22.58,20.51,20.25
2605200404,Wednesday,Post-NA,90.34,0.10,35.37,70.95,1,12,0,4.75,38.71,40.98,27.27,19.23,52,33.33,82.05,18.52,26.53,44.76
2605200542,Wednesday,NA-Asia,90.44,-0.52,31.63,75.57,1,17,0,3.81,45.00,23.68,32.50,35.48,31,50.00,79.17,16.22,24.49,35.43
2605201047,Wednesday,Pre-Asia,89.91,0.31,34.23,76.96,1,14,0,4.18,55.56,24.49,36.36,26.32,38,66.67,63.64,21.80,29.73,72.39
2605211005,Thursday,Pre-Asia,90.22,1.87,36.54,83.86,1,12,0,4.11,50.00,43.59,24.44,26.32,38,66.67,75.00,22.37,26.92,83.19
2605211404,Thursday,Post-Asia,92.09,-5.94,32.53,83.55,2,11,0,4.00,52.17,20.59,30.77,25.93,27,40.00,80.95,16.13,25.30,41.44
2605261351,Tuesday,Post-Asia,86.15,1.42,41.05,93.12,2,15,0,3.92,47.62,46.15,31.43,35.90,39,66.67,82.14,23.88,29.47,96.00
2606140418,Sunday,Post-NA,87.57,-0.12,38.89,58.23,1,11,2,5.06,45.45,48.98,27.27,14.29,49,60.00,82.76,25.77,23.02,70.48
2606151814,Tuesday,Pre-EU,87.45,-1.57,34.00,69.64,2,9,0,4.53,25.00,35.42,36.11,20.59,34,10.00,82.61,19.48,23.00,29.10
2606212018,Monday,Post-EU,85.88,-0.39,34.11,60.63,1,11,1,4.71,44.00,36.73,27.27,20.45,44,16.67,81.82,17.71,25.58,42.51
2606290521,Monday,Post-NA,85.48,1.38,38.89,72.48,2,15,1,4.54,50.00,30.77,42.55,19.64,56,16.67,80.00,23.08,27.78,68.28
2606291814,Tuesday,Pre-EU,86.86,1.64,35.56,90.95,4,15,1,3.62,25.00,47.22,28.95,37.50,32,40.00,70.83,22.73,26.67,65.68
2606300753,Tuesday,NA-Asia,88.50,-2.57,29.52,46.14,0,11,1,5.04,36.11,25.35,30.51,14.29,49,16.67,79.41,16.67,20.48,16.07
2607020420,Thursday,Post-NA,85.93,0.50,36.36,57.03,0,13,0,4.56,52.17,37.70,27.08,14.58,48,100.00,87.10,20.79,23.48,61.03
2607032107,Saturday,Post-EU,86.43,0.19,43.36,85.76,1,20,0,4.25,54.17,44.00,35.90,32.65,49,40.00,86.21,28.57,25.66,91.21
2607050705,Sunday,NA-Asia,86.62,1.04,44.36,87.21,2,16,0,4.46,65.00,41.38,40.00,15.25,59,66.67,85.00,26.88,30.07,90.70
2607080131,Wednesday,Pre-NA,87.66,-1.27,32.50,56.92,2,9,0,4.62,51.85,25.00,28.89,15.38,39,100.00,71.88,18.18,26.67,11.72
2607100423,Friday,Post-NA,86.38,0.60,36.54,72.25,1,17,1,4.50,40.00,42.10,31.37,15.79,38,60.00,83.33,22.50,23.08,70.94
2607100843,Friday,Pre-Asia,86.99,0.07,30.71,70.82,2,14,1,4.08,33.33,41.27,13.95,23.08,39,16.67,70.00,18.56,23.62,28.84
2607110505,Saturday,Post-NA,87.05,1.52,40.45,73.91,0,10,0,4.67,69.23,35.29,35.71,25.00,36,80.00,84.38,15.79,35.95,77.24
2607112122,Sunday,Post-EU,88.57,-0.82,34.71,65.41,1,13,2,4.55,45.83,28.00,36.17,19.05,42,0.00,83.33,14.12,29.75,17.85
2607120709,Sunday,NA-Asia,87.75,-1.13,37.76,79.26,1,15,0,4.24,46.67,41.86,30.00,35.14,37,16.67,87.10,14.93,31.63,50.86
2607120918,Sunday,Pre-Asia,86.62,2.72,34.78,78.52,0,18,0,3.98,40.00,34.55,32.50,27.50,40,66.67,80.56,13.92,31.30,53.38
2607160432,Thursday,Post-NA,89.34,-0.06,37.95,67.92,2,15,0,4.65,36.84,44.12,31.67,14.29,63,75.00,87.50,17.80,28.92,42.57
2607160658,Thursday,NA-Asia,89.28,-0.91,39.42,72.12,0,17,0,4.67,46.43,34.09,40.00,29.63,54,50.00,79.07,21.28,31.39,50.40
2607172308,Saturday,EU-NA,88.37,0.06,42.34,95.67,1,22,0,3.95,47.06,46.81,35.71,25.86,58,33.33,89.47,24.24,27.74,79.68
2607180638,Saturday,NA-Asia,88.42,-1.95,27.42,45.97,0,7,0,4.82,45.45,23.53,23.53,11.76,34,0.00,82.61,14.85,18.55,9.24
2607192357,Monday,EU-NA,86.47,2.15,38.60,119.48,4,26,0,3.36,52.38,44.00,25.58,50.00,44,80.00,82.14,24.42,24.56,86.08
2607200549,Monday,NA-Asia,88.62,1.67,34.55,92.30,3,20,0,3.71,39.29,40.48,25.00,47.37,38,80.00,95.00,21.11,18.18,73.93
2607210603,Tuesday,NA-Asia,90.29,0.65,45.38,91.21,1,20,0,4.48,42.86,58.82,30.00,24.07,54,60.00,88.57,27.38,29.41,87.21
2607220118,Wednesday,Pre-NA,90.94,1.99,38.60,101.85,2,22,0,3.75,30.77,41.03,40.82,50.00,44,50.00,84.85,19.75,28.95,67.10
2607220806,Wednesday,NA-Asia,92.93,0.59,39.16,93.46,2,23,0,3.80,25.00,44.62,40.00,37.50,56,16.67,89.74,20.19,27.27,65.56
2607240459,Friday,Post-NA,93.52,0.98,42.06,112.93,3,21,0,3.80,52.38,50.00,30.43,37.78,45,60.00,80.77,29.63,24.30,79.07
2607250425,Saturday,Post-NA,94.50,1.55,45.00,113.63,4,16,0,3.98,66.67,50.00,37.04,35.56,45,60.00,87.10,26.09,31.00,87.94
2607280800,Tuesday,NA-Asia,96.05,0.02,37.86,71.19,0,11,0,4.64,62.50,38.78,32.61,17.95,39,60.00,100.00,14.67,27.18,23.08
2607290435,Wednesday,Post-NA,96.06,-0.52,42.07,87.67,2,20,0,4.34,43.48,47.44,31.82,26.23,61,40.00,79.17,23.71,33.10,39.05
2607292101,Thursday,Post-EU,95.55,2.50,38.98,82.93,1,15,0,4.07,55.00,44.07,23.08,30.43,46,33.33,80.00,25.00,25.42,39.31
2607300409,Thursday,Post-NA,98.04,-1.24,34.74,90.88,3,16,0,3.67,40.00,40.62,26.32,39.39,33,40.00,80.00,22.67,21.05,13.38
2607310436,Friday,Post-NA,96.81,-0.40,36.56,92.54,2,16,0,3.85,42.86,35.90,35.00,29.41,34,40.00,90.91,19.72,23.66,19.05
2607312146,Saturday,Post-EU,96.41,-0.65,35.19,84.78,3,16,0,3.95,50.00,25.00,36.96,34.21,38,33.33,83.33,16.67,27.78,10.36
2608010630,Saturday,NA-Asia,95.76,-0.28,37.07,84.03,2,19,0,3.84,36.36,44.44,27.50,41.86,43,50.00,81.82,26.60,18.97,30.53
2608020439,Sunday,Post-NA,95.48,1.11,44.90,109.59,3,19,0,3.91,64.71,43.90,37.50,31.82,44,66.67,92.86,25.71,28.57,90.96
2608021557,Monday,Asia-EU,96.59,-0.09,37.90,96.02,1,17,0,3.75,38.09,43.75,33.33,33.33,36,80.00,82.14,19.40,29.47,36.52
2608040458,Tuesday,Post-NA,96.50,-1.22,39.82,85.48,2,16,0,4.31,60.00,35.19,38.64,31.11,45,40.00,78.38,21.05,32.74,29.26
2608050644,Wednesday,NA-Asia,95.28,0.64,46.76,80.11,1,17,1,4.79,60.87,48.57,36.96,16.92,65,50.00,95.12,26.53,29.50,71.72
2608060755,Thursday,NA-Asia,95.92,-0.61,38.23,59.75,0,7,0,4.73,52.38,40.82,31.82,7.69,52,70.00,75.68,24.24,27.21,30.63
2608070819,Friday,NA-Asia,95.31,0.05,42.03,92.02,2,21,0,4.22,62.07,38.18,35.19,24.14,58,33.33,72.09,28.42,31.16,70.50
2608082203,Sunday,Post-EU,95.36,-1.82,35.71,65.13,2,7,1,4.86,33.33,47.37,26.19,20.00,35,20.00,92.86,12.86,28.57,14.80
2608090847,Sunday,Pre-Asia,93.54,-0.69,41.67,67.97,2,12,0,4.88,62.50,40.62,33.93,18.33,60,58.33,85.00,25.00,27.78,53.13
2608092116,Monday,Post-EU,92.85,0.09,41.46,65.22,0,11,0,4.75,50.00,47.83,32.73,13.73,51,80.00,88.23,23.60,27.64,62.27
2608130124,Thursday,Pre-NA,92.94,-0.05,42.03,89.11,1,29,0,4.07,46.43,49.12,32.08,34.48,58,33.33,94.12,25.00,24.64,79.07
2608130814,Thursday,NA-Asia,92.90,-2.35,42.16,69.74,0,10,0,4.81,53.85,47.06,30.95,18.60,43,0.00,83.87,23.94,30.39,33.03
2608160445,Sunday,Post-NA,90.55,-0.68,46.43,87.73,1,19,1,4.60,66.67,47.92,34.88,23.08,52,40.00,96.15,31.39,23.21,76.00
2608181351,Tuesday,Post-Asia,89.86,-0.30,28.42,90.19,4,15,0,3.59,33.33,40.43,12.82,40.74,27,33.33,78.95,15.79,20.00,43.48
2608230358,Sunday,Post-NA,89.56,0.66,38.89,92.92,3,16,0,3.81,46.67,40.74,33.33,33.33,42,60.00,80.00,19.18,32.41,58.04
2608231755,Monday,Pre-EU,90.22,2.51,44.12,121.33,2,25,0,3.60,52.00,51.11,28.12,42.22,45,83.33,89.66,26.03,28.43,90.46
2608261451,Wednesday,Post-Asia,92.73,,25.25,51.20,1,9,0,4.44,33.33,22.22,24.44,16.00,25,0.00,69.56,11.84,23.23,
