Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2601041654,Monday,Asia-EU,111.61,0.00,29.03,114.24,4,15,1,3.63,41.67,21.05,29.03,51.85,27,60.00,100.00,19.51,11.83,50.00
2601121920,Tuesday,Pre-EU,111.61,0.00,28.12,137.73,8,20,1,2.81,47.06,25.00,23.40,66.67,27,20.00,100.00,11.54,18.75,52.17
2601142226,Thursday,Post-EU,111.61,0.00,25.51,107.97,4,18,0,3.08,35.00,19.57,28.12,52.00,25,40.00,100.00,10.98,16.33,25.22
2601161904,Saturday,Pre-EU,111.61,0.00,31.39,141.56,10,19,0,2.96,45.83,25.00,26.92,62.96,27,60.00,86.67,19.72,17.44,74.96
2601171848,Sunday,Pre-EU,111.61,0.00,22.99,77.19,2,8,3,3.85,37.50,12.50,25.64,35.00,20,20.00,72.73,15.79,12.64,19.04
2601201913,Wednesday,Pre-EU,111.61,0.00,24.61,97.24,9,17,1,3.41,12.00,32.00,23.64,50.00,32,50.00,88.23,15.04,13.08,30.93
2601212224,Thursday,Post-EU,111.61,0.00,31.39,109.59,2,14,0,3.48,50.00,30.30,24.32,51.85,27,80.00,100.00,18.06,16.28,63.71
2601241546,Sunday,Asia-EU,111.61,0.00,29.00,82.87,2,10,0,4.21,42.10,19.23,37.93,20.69,29,40.00,92.86,18.61,14.00,49.39
2601262254,Tuesday,EU-NA,111.61,0.00,36.84,109.70,3,19,0,3.79,57.69,32.65,28.20,30.95,42,40.00,93.75,27.55,14.04,67.43
2601271914,Wednesday,Pre-EU,111.61,0.00,44.14,145.39,4,23,1,3.78,82.14,37.21,25.00,40.82,49,20.00,100.00,32.61,17.12,73.68
2601301922,Saturday,Pre-EU,111.61,0.00,24.11,84.61,6,12,2,3.52,32.14,23.91,18.42,44.44,27,50.00,85.71,15.31,12.50,21.30
2601311606,Sunday,Asia-EU,111.61,8.50,24.03,114.21,10,23,1,2.81,18.18,21.82,28.85,67.74,31,83.33,100.00,10.91,14.73,64.91
2602011658,Monday,Asia-EU,120.12,-8.50,30.95,95.88,3,13,0,4.13,48.15,21.05,33.33,23.08,39,60.00,100.00,20.18,13.49,48.45
2602022101,Tuesday,Post-EU,111.61,9.80,29.81,125.91,4,20,0,3.55,50.00,35.90,18.37,64.52,31,80.00,89.47,16.47,18.27,61.78
2602052043,Friday,Post-EU,121.37,0.50,29.51,107.55,3,20,2,3.72,36.67,28.20,26.41,47.22,36,33.33,90.00,17.65,16.39,26.52
2602091602,Tuesday,Asia-EU,121.89,0.90,34.59,123.81,4,21,1,3.76,58.62,31.15,23.26,32.61,46,70.00,96.43,18.09,21.05,62.01
2602121847,Friday,Pre-EU,122.83,-2.30,22.50,80.61,1,15,0,3.74,45.83,18.18,15.38,40.74,27,33.33,85.71,14.15,11.67,5.43
2602142238,Sunday,EU-NA,120.53,0.80,24.56,92.89,2,15,2,3.71,45.00,25.53,14.89,42.86,28,40.00,100.00,13.13,13.16,19.61
2602151911,Monday,Pre-EU,121.31,886.20,27.17,141.66,6,17,0,2.68,29.41,25.64,27.78,68.00,25,50.00,93.75,13.16,17.39,54.95
2602192118,Friday,Post-EU,100.75,-1.87,32.28,95.11,3,18,0,3.61,52.00,28.81,25.58,31.71,41,33.33,95.65,18.27,18.11,48.13
2602201901,Saturday,Pre-EU,98.88,1.40,26.83,95.23,7,21,1,3.21,34.78,21.15,29.17,57.58,33,66.67,92.86,18.35,11.38,34.23
