Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2601050457,Monday,Post-NA,79.93,0.00,27.96,50.79,0,6,0,4.50,31.82,23.08,31.25,11.54,26,0.00,72.00,11.77,26.88,50.00
2601052355,Tuesday,EU-NA,79.93,0.00,19.19,49.90,1,7,0,3.74,14.29,18.61,21.43,36.84,19,33.33,83.33,4.94,18.18,41.83
2601082226,Friday,Post-EU,79.93,0.00,27.52,50.05,0,7,0,5.00,40.00,13.64,35.56,16.67,30,40.00,90.48,12.50,19.27,70.01
2601082232,Friday,EU-NA,79.93,0.00,27.52,50.05,0,7,0,5.00,40.00,13.64,35.56,16.67,30,40.00,90.48,12.50,19.27,69.18
2601090238,Friday,Post-NA,79.93,0.00,27.84,92.85,3,19,0,3.30,25.00,23.08,33.33,40.74,27,50.00,95.24,9.21,21.65,72.54
2601091539,Saturday,Asia-EU,79.93,0.00,22.86,64.37,4,12,0,4.38,16.13,16.33,31.67,25.00,32,41.67,95.83,7.76,17.14,56.36
2601121920,Tuesday,Pre-EU,79.93,0.00,18.75,54.45,2,7,0,4.11,29.41,12.50,19.15,27.78,18,20.00,90.00,10.46,10.42,38.71
2601141713,Thursday,Asia-EU,79.93,0.00,29.14,70.20,3,14,1,4.59,15.15,35.94,29.63,22.73,44,66.67,80.49,10.00,27.15,67.03
2601150218,Thursday,Pre-NA,79.93,0.00,24.55,59.40,1,10,0,4.18,22.22,22.22,27.66,29.63,27,33.33,85.71,10.11,19.09,42.41
2601151819,Friday,Pre-EU,79.93,0.00,34.17,80.98,4,12,0,4.32,26.32,28.57,44.44,24.39,41,33.33,87.10,15.73,25.83,74.12
2601160213,Friday,Pre-NA,79.93,0.00,28.93,86.37,3,16,0,4.00,42.86,26.41,27.78,37.14,35,83.33,80.64,11.11,25.62,74.75
2601161904,Saturday,Pre-EU,79.93,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00,,0,0.00,0.00,0.00,9.09,
2601191138,Monday,Pre-Asia,79.93,0.00,34.72,71.38,2,10,0,4.78,38.09,26.79,40.30,20.00,50,33.33,89.74,14.29,27.08,74.88
2601201411,Tuesday,Post-Asia,79.93,0.00,27.61,50.50,1,7,1,5.24,20.69,22.64,36.54,16.22,37,60.00,89.66,10.48,21.64,60.84
2601240810,Saturday,NA-Asia,79.93,0.00,24.11,66.45,3,11,1,4.37,37.50,8.33,35.42,29.63,27,80.00,84.21,11.83,16.96,68.05
2601241546,Sunday,Asia-EU,79.93,0.00,22.03,50.13,1,7,1,4.73,17.86,28.00,17.50,11.54,26,40.00,100.00,7.07,16.10,24.92
2601250516,Sunday,Post-NA,79.93,0.00,28.36,56.63,1,11,1,4.82,20.00,27.12,34.00,18.42,38,50.00,87.88,8.91,24.63,52.92
2601260234,Monday,Post-NA,79.93,0.00,28.99,75.92,4,14,0,4.12,28.57,25.45,32.26,30.00,40,83.33,83.87,13.08,22.46,86.80
2601262254,Tuesday,EU-NA,79.93,0.00,23.97,58.57,1,11,0,4.28,12.50,19.64,36.59,20.69,29,100.00,81.82,11.11,18.18,47.24
2601271914,Wednesday,Pre-EU,79.93,0.00,32.20,67.79,0,11,0,4.61,43.48,16.67,42.55,23.68,38,40.00,89.66,13.48,24.58,77.09
2601291924,Friday,Pre-EU,79.93,0.00,17.95,54.20,1,6,0,3.71,6.25,21.43,20.59,28.57,14,60.00,90.00,7.35,12.82,39.18
2601311606,Sunday,Asia-EU,79.93,0.00,27.20,73.33,5,12,2,4.44,13.04,30.00,30.77,38.24,34,66.67,73.08,15.15,20.80,66.47
2602010552,Sunday,NA-Asia,79.93,0.00,22.31,43.18,1,7,0,4.48,35.00,9.43,31.25,11.11,27,41.67,72.22,13.59,14.88,25.68
2602010745,Sunday,NA-Asia,79.93,22.00,18.07,64.28,3,9,0,3.13,8.00,20.69,24.14,66.67,15,60.00,100.00,4.22,14.46,56.74
2602011658,Monday,Asia-EU,101.93,-22.10,19.49,45.32,1,5,0,4.78,16.00,16.67,23.53,21.74,23,40.00,88.23,7.92,14.41,13.06
2602020257,Monday,Post-NA,79.79,23.00,22.45,66.49,3,11,0,3.82,18.75,23.68,22.73,31.82,22,83.33,88.89,7.50,18.37,64.07
2602030746,Tuesday,NA-Asia,102.77,3.10,34.11,89.92,2,16,0,4.36,20.69,32.26,47.37,38.64,44,100.00,100.00,14.14,23.26,93.60
