Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2601041654,Monday,Asia-EU,109.21,0.00,38.75,119.83,3,11,0,4.16,50.00,28.57,45.16,38.71,31,60.00,72.22,29.03,22.50,50.00
2601082226,Friday,Post-EU,109.21,0.00,40.65,114.46,5,20,1,4.26,57.90,32.73,42.86,32.00,50,40.00,80.64,27.17,25.20,46.04
2601082232,Friday,EU-NA,109.21,0.00,40.65,114.46,5,20,1,4.26,57.90,32.73,42.86,32.00,50,40.00,80.64,27.17,25.20,45.95
2601121920,Tuesday,Pre-EU,109.21,0.00,35.63,92.88,1,12,0,4.07,61.54,33.33,29.27,22.58,31,80.00,68.42,26.47,21.84,19.29
2601142226,Thursday,Post-EU,109.21,0.00,26.73,88.58,4,12,1,3.89,20.00,22.45,35.13,40.74,27,80.00,73.33,18.61,14.85,26.52
2601171848,Sunday,Pre-EU,109.21,0.00,32.11,87.36,2,13,1,4.26,47.83,23.68,31.25,25.71,35,80.00,81.25,23.66,14.68,29.04
2601201913,Wednesday,Pre-EU,109.21,0.00,40.50,123.49,6,25,0,4.00,56.52,27.08,46.00,36.73,49,66.67,95.45,28.28,18.18,87.04
2601241546,Sunday,Asia-EU,109.21,0.00,39.83,102.81,3,13,0,4.49,57.14,32.00,37.50,21.28,47,40.00,79.17,29.79,20.34,55.53
2601262254,Tuesday,EU-NA,109.21,0.00,25.23,77.19,4,10,0,4.11,29.41,21.74,27.08,39.29,28,20.00,70.59,17.02,15.31,20.96
2601271914,Wednesday,Pre-EU,109.21,0.00,36.88,105.23,6,17,0,4.31,56.52,28.33,38.46,33.33,45,60.00,75.00,25.53,22.95,68.79
2601281906,Thursday,Pre-EU,109.21,0.00,27.96,96.37,4,13,0,3.73,40.00,21.21,25.71,38.46,26,40.00,68.42,17.57,20.43,20.81
2601302229,Saturday,Post-EU,109.21,15.00,30.23,96.54,5,25,3,4.04,43.33,31.65,22.22,36.54,52,50.00,80.64,19.15,18.02,46.20
2602011658,Monday,Asia-EU,124.17,-15.00,39.47,139.21,4,19,0,3.87,60.00,30.36,39.39,40.00,45,20.00,85.19,25.29,23.68,70.67
2602022101,Tuesday,Post-EU,109.21,11.80,29.70,86.77,3,11,2,4.40,40.00,25.64,29.79,26.67,30,40.00,82.35,19.05,16.83,32.75
2602042002,Thursday,Post-EU,121.02,-2.10,30.27,86.98,3,11,0,4.39,63.64,23.40,29.41,27.27,33,20.00,85.00,17.98,18.35,15.52
2602071500,Sunday,Post-Asia,118.95,1.20,32.95,118.49,4,14,0,4.10,38.09,32.26,30.56,37.93,29,60.00,89.47,17.39,21.59,61.24
2602081856,Monday,Pre-EU,120.17,-6.30,23.33,54.99,3,3,0,4.81,31.25,18.92,24.32,14.29,21,0.00,66.67,14.67,16.67,4.57
