Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2601011247,Thursday,Post-Asia,98.46,0.00,34.62,94.76,2,24,0,4.02,38.89,43.94,20.37,38.89,54,33.33,92.50,14.65,25.64,50.00
2601031613,Sunday,Asia-EU,98.46,0.00,35.25,67.03,0,12,1,4.79,39.13,28.30,41.30,18.60,43,40.00,86.21,19.36,23.77,40.06
2601041654,Monday,Asia-EU,98.46,0.00,30.19,87.90,3,13,2,4.34,42.86,29.27,25.00,34.38,32,40.00,77.78,13.92,25.47,40.38
2601051601,Tuesday,Asia-EU,98.46,0.00,32.06,74.89,2,14,1,4.71,14.29,29.82,41.51,23.81,42,80.00,73.17,13.33,31.30,27.49
2601071142,Wednesday,Pre-Asia,98.46,0.00,34.95,88.45,2,12,0,4.22,26.32,30.77,42.22,36.11,36,16.67,87.10,12.50,30.10,62.40
2601071657,Thursday,Asia-EU,98.46,0.00,35.91,70.61,2,14,1,4.94,44.83,37.29,29.63,15.69,51,33.33,74.42,19.19,30.28,47.80
2601091539,Saturday,Asia-EU,98.46,0.00,23.53,90.05,4,13,0,3.50,24.14,22.22,24.32,37.50,24,33.33,65.52,6.85,28.43,37.69
2601101213,Saturday,Pre-Asia,98.46,-0.40,34.19,85.26,1,16,2,4.50,57.14,26.41,32.56,32.50,40,66.67,74.29,17.07,29.91,58.39
2601120716,Monday,NA-Asia,98.05,0.40,37.37,101.38,3,13,0,4.03,23.53,39.39,40.82,21.62,37,40.00,82.76,18.57,29.29,79.61
2601121404,Monday,Post-Asia,98.46,742.30,29.41,67.86,3,5,0,4.68,25.00,20.00,39.47,16.00,25,20.00,85.19,3.45,31.77,37.43
2604051044,Sunday,Pre-Asia,84.08,-0.90,30.20,71.07,2,15,0,4.27,29.17,28.33,32.31,24.44,45,33.33,76.60,8.82,31.54,15.13
2604061117,Monday,Pre-Asia,83.18,-1.83,26.28,41.83,0,9,1,5.07,34.29,28.12,19.30,14.63,41,16.67,59.18,11.21,31.41,7.64
2604110718,Saturday,NA-Asia,81.35,0.89,28.10,62.72,1,12,0,4.15,16.13,27.66,37.21,20.59,34,66.67,74.19,12.22,25.62,16.95
2604111104,Saturday,Pre-Asia,82.24,1.92,22.81,77.26,3,16,0,3.42,33.33,15.79,23.08,65.38,26,80.00,64.71,5.00,29.82,29.07
2604120711,Sunday,NA-Asia,84.16,-0.43,30.00,56.36,0,11,2,4.49,32.00,27.12,31.82,22.22,45,58.33,68.29,15.60,27.33,32.92
2604181030,Saturday,Pre-Asia,83.73,0.92,22.56,62.06,3,11,2,3.87,25.00,17.24,27.45,23.33,30,66.67,57.50,7.53,30.07,9.88
2604200945,Monday,Pre-Asia,84.65,-1.35,23.48,60.32,3,11,0,4.00,20.83,22.73,25.53,33.33,27,33.33,66.67,8.23,26.09,12.36
2604201915,Tuesday,Pre-EU,83.30,-1.04,31.82,88.51,2,16,0,3.86,27.27,31.82,34.09,31.43,35,33.33,78.57,15.85,25.45,68.11
2604220401,Wednesday,Post-NA,82.26,-0.87,28.23,73.83,4,10,0,4.00,38.46,26.47,26.32,45.83,24,40.00,88.89,11.94,21.18,61.90
2604221205,Wednesday,Pre-Asia,81.39,-0.05,21.78,51.57,2,7,1,4.50,20.00,28.89,14.63,31.82,22,40.00,69.56,7.69,22.77,25.89
2604230845,Thursday,Pre-Asia,81.35,0.12,26.19,64.55,4,12,1,4.27,24.14,22.00,31.91,24.24,33,60.00,72.22,7.78,28.57,60.79
2604250702,Saturday,NA-Asia,81.47,0.58,30.97,53.12,0,12,1,4.71,33.33,28.12,31.58,8.57,35,40.00,72.73,13.75,29.20,63.85
2604251753,Sunday,Pre-EU,82.05,2.74,39.10,71.72,1,15,0,4.96,38.09,38.98,39.62,23.08,52,100.00,80.49,20.65,30.83,89.45
2604270750,Monday,NA-Asia,84.80,1.19,31.96,122.58,8,22,0,2.94,25.00,39.53,26.47,58.06,31,40.00,80.00,15.28,25.77,87.91
2604271001,Monday,Pre-Asia,85.98,0.39,25.00,74.43,2,12,0,3.65,21.74,27.66,23.53,38.46,26,60.00,67.74,6.85,29.81,41.98
2604280742,Tuesday,NA-Asia,86.37,1.31,36.84,113.07,6,17,0,3.60,45.45,27.27,45.00,42.86,35,20.00,83.33,15.38,31.58,92.20
2604300458,Thursday,Post-NA,87.68,2.41,24.36,92.42,2,14,0,2.74,21.43,20.51,32.00,63.16,19,60.00,77.27,3.57,28.20,54.70
2605010624,Friday,NA-Asia,90.09,1.63,30.77,100.66,2,19,0,3.41,28.57,34.88,27.66,40.62,32,80.00,75.00,7.35,34.62,69.05
2605060857,Wednesday,Pre-Asia,91.72,-0.79,30.56,83.77,4,19,3,4.23,30.00,24.49,35.38,29.55,44,8.33,81.25,16.07,22.22,53.65
2605061606,Thursday,Asia-EU,90.93,1.90,30.83,89.25,2,20,0,3.62,33.33,30.36,30.23,43.24,37,50.00,73.53,13.95,28.33,69.72
2605110454,Monday,Post-NA,92.83,1.90,33.60,83.44,2,16,0,4.05,27.27,30.64,41.46,30.95,42,50.00,82.86,14.44,28.00,67.94
2605111757,Tuesday,Pre-EU,94.73,0.61,30.83,71.98,2,14,0,4.30,26.32,20.41,42.31,29.73,37,50.00,74.29,12.94,29.17,25.21
2605112129,Tuesday,Post-EU,95.34,-0.18,38.28,82.56,1,15,0,4.43,34.78,38.98,39.13,26.53,49,50.00,77.78,16.87,35.16,49.41
2605130452,Wednesday,Post-NA,95.16,-0.04,26.92,76.06,1,2,0,3.57,16.67,30.77,28.57,28.57,7,100.00,66.67,5.88,34.62,9.44
2605162148,Sunday,Post-EU,95.13,-1.11,31.00,77.05,3,11,1,4.19,38.46,22.86,34.62,29.03,31,60.00,69.70,11.94,33.00,24.60
2605190626,Tuesday,NA-Asia,94.02,-0.86,29.52,64.93,0,11,1,4.42,38.09,28.89,25.64,35.48,31,40.00,63.64,13.89,31.43,20.29
2605190912,Tuesday,Pre-Asia,93.15,-2.22,27.45,76.46,4,11,0,4.18,6.67,37.78,23.81,39.29,28,40.00,64.71,8.82,33.33,13.27
2605200404,Wednesday,Post-NA,90.94,-0.71,31.97,80.08,4,17,0,4.38,29.03,24.59,41.82,25.53,47,33.33,87.18,12.04,26.53,50.30
2605200542,Wednesday,NA-Asia,90.23,-0.36,29.59,74.94,3,15,0,3.86,30.00,10.53,47.50,37.93,29,50.00,78.57,10.00,28.57,30.81
2605220714,Friday,NA-Asia,89.86,-0.67,25.21,67.27,2,8,0,4.03,31.82,24.14,23.08,26.67,30,50.00,73.33,8.99,25.21,13.08
2605230428,Saturday,Post-NA,89.20,0.04,30.88,84.59,3,17,0,4.19,18.18,30.36,36.21,30.95,42,50.00,78.57,9.57,30.88,71.39
2605240620,Sunday,NA-Asia,89.23,-5.26,24.17,76.14,3,13,0,3.41,19.23,25.49,25.58,44.83,29,33.33,75.86,7.69,24.17,28.31
2605250503,Monday,Post-NA,83.97,-0.65,24.41,56.08,2,14,0,4.48,36.36,21.15,22.64,32.26,31,66.67,75.76,6.38,25.98,42.63
2605260841,Tuesday,Pre-Asia,83.32,-0.27,26.71,74.67,7,18,0,3.97,29.63,28.57,23.21,38.46,39,66.67,70.21,6.06,32.19,58.82
2605270815,Wednesday,NA-Asia,83.05,-1.02,23.88,52.07,1,10,0,4.16,31.25,25.00,17.39,31.25,32,33.33,74.29,6.06,26.12,24.17
2605271414,Wednesday,Post-Asia,82.03,-2.32,21.24,28.29,1,4,0,5.25,13.04,25.45,20.00,4.17,24,20.00,60.87,11.11,20.35,13.35
2605291802,Saturday,Pre-EU,79.71,0.43,30.00,64.21,1,12,0,4.40,33.33,24.24,32.56,26.67,30,80.00,81.82,15.38,22.00,70.29
2605310851,Sunday,Pre-Asia,80.14,1.16,29.76,104.04,5,15,1,3.44,23.08,30.23,32.14,40.00,25,40.00,88.89,13.64,21.43,85.15
2605311131,Sunday,Pre-Asia,81.30,-0.19,31.13,79.75,2,17,1,4.03,35.71,28.89,31.91,36.36,33,40.00,81.82,8.22,31.13,76.40
2606020933,Tuesday,Pre-Asia,81.10,0.55,31.88,70.50,2,19,0,4.33,30.77,30.51,33.87,31.37,51,66.67,85.71,12.71,26.25,88.51
