Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2601031613,Sunday,Asia-EU,76.50,0.00,19.78,44.44,0,4,0,4.56,33.33,9.38,21.05,22.22,18,60.00,82.35,5.41,18.68,50.00
2601050457,Monday,Post-NA,76.50,0.00,25.23,63.03,1,12,0,4.07,17.65,22.22,31.11,25.93,27,60.00,94.12,12.22,15.89,81.12
2601052355,Tuesday,EU-NA,76.50,0.00,17.17,52.77,1,9,0,3.41,7.14,9.30,28.57,41.18,17,33.33,85.71,5.88,14.14,27.83
2601060259,Tuesday,Post-NA,76.50,0.00,24.32,56.42,1,9,1,4.26,42.10,12.00,30.95,25.93,27,80.00,100.00,8.70,17.12,76.56
2601070522,Wednesday,Post-NA,76.50,0.00,25.35,61.99,3,14,0,4.17,23.33,28.57,23.21,16.67,36,41.67,96.55,7.08,20.42,66.16
2601090238,Friday,Post-NA,76.50,0.00,17.86,57.31,1,10,0,3.40,15.38,21.05,15.15,46.67,15,50.00,100.00,10.39,8.33,52.35
2601121920,Tuesday,Pre-EU,76.50,0.00,16.19,41.41,0,7,0,4.41,12.50,7.69,26.19,41.18,17,60.00,81.25,4.49,15.24,24.20
2601142226,Thursday,Post-EU,76.50,0.00,31.13,60.43,0,6,2,4.76,33.33,25.64,34.88,21.21,33,40.00,88.46,12.50,24.53,62.94
2601150218,Thursday,Pre-NA,76.50,0.00,11.11,26.52,1,2,1,4.09,11.11,11.11,11.11,9.09,11,50.00,58.33,4.60,12.12,14.76
2601151819,Friday,Pre-EU,76.50,0.00,25.20,72.27,3,14,1,3.94,28.57,21.43,28.00,37.50,32,66.67,91.67,9.71,18.90,85.61
2601160213,Friday,Pre-NA,76.50,0.00,29.75,89.38,5,13,0,4.00,21.43,26.41,35.19,30.56,36,83.33,96.30,10.64,22.31,86.55
2601170250,Saturday,Post-NA,76.50,0.00,17.46,37.96,0,8,1,4.68,12.00,15.69,22.00,22.73,22,33.33,94.12,5.50,13.49,23.53
2601170753,Saturday,NA-Asia,76.50,0.00,13.75,30.59,1,2,0,4.54,0.00,15.62,15.38,18.18,11,50.00,87.50,5.56,10.00,16.43
2601180253,Sunday,Post-NA,76.50,0.00,25.45,70.76,2,11,0,4.04,33.33,15.38,34.78,28.57,28,66.67,87.50,8.14,21.82,76.05
2601200331,Tuesday,Post-NA,76.50,0.00,19.20,31.98,0,3,0,5.08,11.54,17.46,27.78,12.50,24,66.67,87.50,9.17,12.80,42.10
2601210505,Wednesday,Post-NA,76.50,0.00,21.19,73.08,3,16,1,3.20,11.77,16.98,29.17,44.00,25,66.67,100.00,6.06,16.10,65.56
2601212224,Thursday,Post-EU,76.50,0.00,23.36,63.71,2,9,1,4.12,12.50,25.64,27.27,24.00,25,40.00,95.24,5.81,19.63,61.02
2601260234,Monday,Post-NA,76.50,0.00,29.47,83.16,2,11,0,3.79,18.75,29.55,34.29,28.57,28,66.67,100.00,6.94,24.21,77.44
2601262254,Tuesday,EU-NA,76.50,0.00,11.46,39.97,2,5,0,3.54,6.67,9.52,15.38,45.45,11,60.00,76.92,1.21,13.54,23.00
2601290543,Thursday,NA-Asia,76.50,0.00,26.12,71.55,3,15,0,4.06,25.93,16.95,37.50,40.00,35,58.33,100.00,13.91,14.18,82.79
2601302229,Saturday,Post-EU,76.50,0.00,20.75,49.01,3,10,5,4.76,19.23,16.22,27.12,30.30,33,33.33,96.55,3.85,18.24,41.96
2602010552,Sunday,NA-Asia,76.50,0.00,27.45,50.87,1,6,0,4.64,33.33,28.89,23.08,17.86,28,83.33,100.00,9.76,19.61,64.56
2602010745,Sunday,NA-Asia,76.50,30.90,33.68,102.18,5,14,0,3.59,14.29,22.22,55.56,40.62,32,40.00,100.00,17.11,20.00,92.96
2602011658,Monday,Asia-EU,107.43,-30.50,18.27,62.90,3,8,1,4.21,0.00,9.76,32.61,36.84,19,60.00,93.75,4.54,15.38,25.18
2602020257,Monday,Post-NA,76.97,34.00,30.61,83.98,3,15,0,3.87,31.25,15.79,43.18,26.67,30,83.33,100.00,15.00,18.37,90.90
2602050049,Thursday,Pre-NA,110.97,-0.60,23.93,98.87,2,17,0,3.39,16.67,22.00,28.57,39.29,28,60.00,100.00,6.32,18.80,49.89
2602072156,Sunday,Post-EU,110.39,-0.10,24.27,64.74,2,9,1,4.36,25.00,23.26,25.00,24.00,25,60.00,85.71,8.54,20.39,17.73
2602081856,Monday,Pre-EU,110.26,-0.40,18.29,77.59,1,9,1,3.07,23.08,8.33,27.27,53.33,15,60.00,81.82,8.45,13.41,27.08
2602090621,Monday,NA-Asia,109.85,-0.70,18.27,55.37,2,6,1,4.05,0.00,10.87,31.11,26.32,19,33.33,100.00,10.53,8.65,23.92
2602142238,Sunday,EU-NA,109.17,-8.10,27.86,61.97,0,11,4,4.69,21.43,22.92,34.38,17.95,39,100.00,92.00,13.91,17.86,40.72
2602151911,Monday,Pre-EU,101.04,777.30,16.30,55.04,2,6,0,3.80,5.88,17.95,19.44,40.00,15,50.00,92.86,2.56,15.22,32.31
2602160617,Monday,NA-Asia,87.83,-1.33,22.68,43.76,1,5,0,5.00,26.32,15.00,28.95,18.18,22,20.00,100.00,10.71,13.40,31.46
2602170635,Tuesday,NA-Asia,86.50,-2.09,24.31,59.29,2,16,0,4.00,20.83,20.75,28.36,22.86,35,66.67,96.67,5.26,20.83,42.60
2602201901,Saturday,Pre-EU,84.41,1.32,23.58,64.75,4,14,0,3.93,13.04,23.08,29.17,37.93,29,66.67,86.96,9.00,18.70,42.17
2602210222,Saturday,Pre-NA,85.73,-1.48,17.93,61.57,3,11,0,3.37,13.33,19.23,17.95,42.11,19,40.00,87.50,5.56,15.09,13.55
2602271905,Saturday,Pre-EU,84.25,-0.08,22.12,62.83,3,12,1,3.60,26.67,28.26,15.38,32.00,25,66.67,94.74,7.45,16.81,53.28
2602280634,Saturday,NA-Asia,84.17,-0.70,19.20,50.36,2,10,0,4.08,10.35,16.98,27.91,33.33,24,33.33,85.71,5.77,16.80,14.41
2603090200,Monday,Pre-NA,83.47,4.69,32.61,77.64,5,16,0,4.22,29.41,32.69,33.33,33.33,45,83.33,94.12,12.50,24.64,75.06
2603151856,Monday,Pre-EU,88.16,-2.48,18.27,50.38,2,9,1,3.84,17.65,12.24,26.32,31.58,19,60.00,68.75,9.09,15.38,21.45
2603171301,Tuesday,Post-Asia,85.68,3.62,23.62,74.02,4,16,0,3.27,12.50,16.13,36.73,43.33,30,16.67,100.00,7.62,17.32,63.82
2603192215,Friday,Post-EU,89.30,-0.05,22.56,54.18,2,10,3,4.37,20.83,21.57,24.14,20.00,30,66.67,91.30,8.18,17.29,38.95
2603210707,Saturday,NA-Asia,89.25,0.54,24.81,60.90,2,13,1,4.12,16.67,24.14,28.30,37.50,32,0.00,91.67,9.52,18.61,69.15
2603250123,Wednesday,Pre-NA,89.79,0.50,25.78,57.39,1,10,0,4.33,12.50,22.45,34.55,24.24,33,66.67,100.00,10.38,17.19,60.76
2603252154,Thursday,Post-EU,90.29,-1.70,21.91,46.02,1,8,1,4.30,7.14,8.51,40.91,39.13,23,50.00,100.00,6.82,16.19,27.74
2603271914,Saturday,Pre-EU,88.59,-1.82,21.37,51.30,2,10,1,4.12,18.18,21.74,22.45,28.00,25,0.00,84.21,9.18,16.24,16.54
2603282203,Sunday,Post-EU,86.77,0.07,23.28,74.33,5,13,0,3.67,21.05,24.53,22.73,48.15,27,33.33,95.24,7.37,18.10,53.62
2603290443,Sunday,Post-NA,86.84,-0.73,24.58,72.86,3,15,0,3.59,25.00,15.22,32.69,48.28,29,50.00,94.44,12.00,15.25,66.06
2603302057,Tuesday,Post-EU,86.10,1.21,27.91,83.53,3,12,0,3.50,17.65,26.32,35.48,37.50,24,50.00,95.00,7.58,23.26,80.17
2604010549,Wednesday,NA-Asia,87.31,0.33,23.39,57.37,2,11,0,4.07,23.33,18.52,30.00,31.03,29,33.33,88.23,13.08,13.71,39.47
2604032123,Saturday,Post-EU,87.64,-2.51,23.33,34.69,0,7,2,5.21,8.70,14.29,39.58,7.14,28,60.00,91.67,15.74,10.00,28.30
2604040654,Saturday,NA-Asia,85.13,-1.10,27.68,62.51,0,13,1,4.16,26.67,17.39,37.26,19.35,31,60.00,91.30,11.24,20.54,57.74
2604050106,Sunday,Pre-NA,84.04,1.18,17.24,49.42,3,10,0,3.90,14.29,12.50,23.40,40.00,20,83.33,61.91,7.37,18.10,36.80
