Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2601250516,Sunday,Post-NA,69.18,0.00,28.36,62.59,4,11,0,4.79,16.00,16.95,48.00,23.68,38,50.00,87.50,20.34,11.94,50.00
2601271914,Wednesday,Pre-EU,69.18,23.90,18.03,22.73,0,3,1,5.54,13.04,13.33,28.20,18.18,22,60.00,88.89,12.39,7.38,34.54
2602030746,Tuesday,NA-Asia,93.04,1.70,22.77,60.88,3,7,0,4.65,14.29,22.22,28.57,26.09,23,40.00,75.00,12.94,15.84,34.71
2602142238,Sunday,EU-NA,94.71,665.60,26.72,51.02,1,5,1,5.03,13.64,28.57,30.19,8.57,35,60.00,84.21,16.96,14.50,80.47
2602210222,Saturday,Pre-NA,76.03,1.61,26.61,55.75,2,8,1,4.38,23.53,21.95,31.37,24.14,29,40.00,54.55,19.54,20.18,54.17
2602271905,Saturday,Pre-EU,77.64,-2.88,25.78,45.37,1,7,0,4.51,15.00,30.77,25.00,24.24,33,16.67,64.71,19.82,13.28,39.31
2603070501,Saturday,Post-NA,74.76,-0.28,18.75,38.92,1,8,2,4.62,10.00,14.81,25.93,29.17,24,50.00,88.23,8.11,13.28,22.83
2603090200,Monday,Pre-NA,74.47,0.36,25.40,39.65,2,5,1,5.00,25.00,28.30,22.64,15.62,32,50.00,58.82,20.18,13.49,40.44
2603092230,Tuesday,EU-NA,74.83,0.35,25.20,51.74,1,7,0,4.52,28.57,25.00,24.00,16.13,31,60.00,83.33,15.24,14.63,53.57
2603120838,Thursday,Pre-Asia,75.18,-1.06,17.43,24.24,0,2,2,4.95,5.26,11.77,30.77,10.53,19,50.00,57.14,14.71,6.42,6.69
2603140817,Saturday,NA-Asia,74.12,0.06,21.78,36.88,0,3,0,4.86,10.53,25.00,23.68,18.18,22,100.00,80.00,15.38,9.90,29.62
2603150731,Sunday,NA-Asia,74.17,0.63,25.18,40.79,0,10,0,4.94,9.52,18.33,37.93,25.71,35,50.00,71.43,20.00,10.07,46.63
2603171602,Wednesday,Asia-EU,74.80,-0.02,25.62,56.93,0,13,0,4.13,24.14,24.39,27.45,25.81,31,40.00,85.71,13.00,17.36,56.33
2603181145,Wednesday,Pre-Asia,74.78,1.66,26.13,65.86,1,15,0,4.03,21.05,30.00,23.81,34.48,29,60.00,86.96,10.23,20.72,82.32
2603231619,Tuesday,Asia-EU,76.44,-0.26,25.23,39.14,0,6,2,5.18,10.00,19.23,35.56,22.22,27,60.00,75.00,16.48,14.95,49.95
2604080258,Wednesday,Post-NA,76.18,-0.80,24.46,42.06,0,6,1,4.88,5.56,21.05,32.81,14.71,34,60.00,76.92,12.39,18.70,37.17
