Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2605060857,Wednesday,Pre-Asia,85.00,13.54,37.88,71.95,3,11,0,4.88,43.48,25.49,46.55,20.00,50,91.67,70.73,23.08,31.06,50.00
2605061606,Thursday,Asia-EU,98.54,-3.10,29.92,80.96,5,16,0,3.95,13.04,30.19,37.26,34.21,38,16.67,64.52,18.75,24.41,26.80
2605100702,Sunday,NA-Asia,95.44,2.65,46.49,97.65,2,16,0,4.57,47.37,39.13,53.06,22.64,53,40.00,85.29,30.00,29.82,63.77
2605120931,Tuesday,Pre-Asia,98.09,4.86,42.45,125.98,4,22,0,3.60,42.10,45.10,38.89,42.22,45,50.00,93.33,22.37,28.30,76.14
2605121824,Wednesday,Pre-EU,102.95,4.13,48.41,139.26,5,33,1,3.51,35.71,47.83,55.77,45.90,61,33.33,77.78,32.10,35.71,67.89
2605141424,Thursday,Post-Asia,107.08,-0.72,42.45,94.50,0,17,0,4.27,52.63,34.48,43.10,22.22,45,80.00,72.41,31.17,27.36,33.43
2605201810,Thursday,Pre-EU,106.36,-8.91,38.62,88.06,1,22,0,4.09,43.75,30.91,43.10,25.00,56,50.00,84.78,17.17,31.72,21.02
2605232205,Sunday,Post-EU,97.44,-1.34,39.08,87.10,1,12,0,4.15,41.18,31.58,46.88,29.41,34,20.00,78.57,20.34,32.18,13.81
2605251416,Monday,Post-Asia,96.10,-0.13,38.68,100.23,5,15,0,3.93,36.84,26.83,50.00,36.59,41,40.00,74.29,21.13,33.02,28.20
2605261843,Wednesday,Pre-EU,95.97,1.61,44.53,114.98,6,27,1,3.91,44.44,37.50,51.85,38.60,57,75.00,82.61,23.17,35.94,82.89
2605280737,Thursday,NA-Asia,97.58,1.38,44.44,84.09,1,14,0,4.60,50.00,25.53,58.93,9.62,52,80.00,90.91,26.19,28.20,72.20
2605281549,Friday,Asia-EU,98.96,0.71,33.61,94.34,6,19,0,3.61,41.67,29.27,33.33,39.02,41,33.33,85.29,13.64,27.87,38.05
2605281811,Friday,Pre-EU,99.67,-1.20,43.79,81.69,1,17,0,4.61,56.52,39.44,44.07,17.91,67,16.67,86.36,26.61,28.76,46.13
2605291022,Friday,Pre-Asia,98.47,0.90,53.85,137.01,5,29,0,3.84,42.10,39.02,65.71,32.86,70,50.00,97.73,31.39,33.85,96.34
2605302052,Sunday,Post-EU,99.37,-0.15,51.46,130.98,2,26,0,3.83,44.44,43.75,58.49,43.40,53,40.00,84.85,35.71,32.04,84.82
2606010210,Monday,Pre-NA,99.22,-0.43,43.97,81.02,1,16,0,4.66,50.00,42.37,41.67,19.35,62,60.00,76.92,24.72,36.88,53.40
2606021745,Wednesday,Pre-EU,98.79,0.25,45.87,93.04,1,16,2,4.32,55.00,45.45,42.22,20.00,50,40.00,83.87,30.77,28.44,45.81
2606041759,Friday,Pre-EU,99.04,1.69,52.17,142.90,7,34,0,3.61,48.15,47.06,58.33,47.22,72,16.67,83.72,37.90,31.16,85.48
2606060823,Saturday,NA-Asia,100.73,0.21,46.32,102.09,1,16,0,4.02,30.00,53.66,43.18,25.00,44,20.00,93.55,23.44,32.63,29.12
2606071750,Monday,Pre-EU,100.94,-0.17,46.32,122.33,4,20,0,3.75,37.50,44.44,52.94,34.09,44,33.33,81.82,27.42,34.74,40.28
2606090610,Tuesday,NA-Asia,100.78,0.76,52.43,107.00,2,17,0,4.37,68.18,50.00,46.15,20.37,54,40.00,85.71,29.51,40.78,64.01
2606091037,Tuesday,Pre-Asia,101.54,2.61,42.45,110.71,2,29,0,3.83,44.44,31.91,49.23,38.98,59,83.33,78.05,27.55,29.50,45.59
2606110729,Thursday,NA-Asia,104.15,1.21,52.25,126.87,2,21,0,4.26,80.00,44.44,47.83,31.03,58,80.00,86.21,40.24,26.13,85.98
2606120712,Friday,NA-Asia,105.36,-2.09,41.29,96.80,5,22,0,4.17,39.29,38.60,44.29,32.81,64,33.33,77.08,25.23,30.97,16.51
2606121416,Friday,Post-Asia,103.27,0.60,48.30,135.97,9,30,0,3.51,33.33,50.00,56.25,42.11,57,66.67,90.32,33.33,26.27,84.47
2606141341,Sunday,Post-Asia,103.86,1.49,51.58,128.46,5,18,0,4.14,47.62,43.24,62.16,30.61,49,50.00,90.62,31.75,33.68,86.42
2606151814,Tuesday,Pre-EU,105.35,-1.45,39.85,75.53,2,17,1,4.64,44.00,35.48,43.48,20.75,53,20.00,84.85,25.00,24.81,6.67
2606182014,Friday,Post-EU,103.90,-2.21,41.45,90.53,3,22,0,4.32,39.39,33.85,51.85,23.81,63,25.00,89.13,20.75,30.26,19.37
2606182317,Friday,EU-NA,101.69,0.64,45.69,112.52,3,23,1,3.96,39.13,42.86,50.98,33.96,53,66.67,96.97,25.30,28.45,62.56
2606212018,Monday,Post-EU,102.33,-2.16,41.09,76.32,0,16,0,4.60,48.00,32.65,45.45,20.75,53,16.67,79.49,24.44,30.23,3.33
2606221846,Tuesday,Pre-EU,100.17,-0.55,48.25,93.91,3,20,0,4.54,55.00,43.86,50.00,24.64,69,50.00,83.33,33.66,29.37,46.13
2607011119,Wednesday,Pre-Asia,99.62,1.11,57.14,135.29,0,35,1,3.90,53.57,51.79,63.49,33.33,84,50.00,85.71,42.86,33.33,85.08
2607060437,Monday,Post-NA,100.74,-1.80,42.06,82.99,3,16,0,4.43,47.62,32.69,49.06,18.87,53,33.33,86.11,24.44,28.57,9.97
2607061815,Tuesday,Pre-EU,98.94,0.23,38.52,99.04,4,21,0,3.94,47.37,33.96,40.00,27.66,47,50.00,87.88,20.23,27.05,39.41
2607070402,Tuesday,Post-NA,99.17,-1.77,44.79,91.01,1,15,0,4.28,41.67,52.00,35.29,27.91,43,40.00,86.36,32.43,22.92,32.56
2607080131,Wednesday,Pre-NA,97.40,0.50,54.21,114.47,3,22,0,4.28,38.46,56.82,62.16,31.03,58,80.00,89.19,35.71,34.58,93.31
2607080548,Wednesday,NA-Asia,97.90,2.69,45.10,120.99,4,21,0,3.80,28.57,52.63,46.51,34.78,46,100.00,85.19,30.67,26.47,69.87
2607100423,Friday,Post-NA,100.59,2.93,59.05,139.18,2,30,0,4.03,47.83,53.85,69.77,32.26,62,80.00,88.57,44.29,33.33,93.17
2607120709,Sunday,NA-Asia,103.52,0.81,46.36,127.66,4,27,0,3.51,41.18,43.75,51.11,43.14,51,66.67,86.49,26.03,33.64,61.79
2607120918,Sunday,Pre-Asia,104.33,2.55,42.86,129.56,3,33,0,3.37,45.16,39.13,45.24,45.10,51,66.67,89.29,28.57,23.53,59.84
2607121352,Sunday,Post-Asia,106.88,2.26,54.17,164.19,11,37,0,3.38,36.36,49.06,68.89,49.23,65,50.00,94.44,36.91,30.00,92.51
2607141358,Tuesday,Post-Asia,109.14,-1.95,44.78,112.13,7,25,0,4.02,37.93,43.10,51.06,36.67,60,16.67,94.87,24.21,29.10,28.27
2607151055,Wednesday,Pre-Asia,107.19,1.99,54.31,147.79,6,30,0,3.70,65.22,55.10,47.73,36.51,63,16.67,80.95,39.19,36.21,78.98
2607160432,Thursday,Post-NA,109.18,0.02,40.00,92.98,3,13,1,4.24,38.89,33.33,47.37,26.32,38,75.00,86.21,19.70,30.53,8.83
2607160658,Thursday,NA-Asia,109.20,0.38,51.09,99.98,2,18,0,4.54,39.29,40.91,63.08,24.29,70,50.00,87.81,35.42,29.93,39.50
2607161240,Thursday,Post-Asia,109.58,0.16,45.07,124.29,3,32,0,3.64,36.67,46.88,47.92,39.06,64,83.33,86.96,25.00,32.39,23.99
2607292101,Thursday,Post-EU,109.74,-0.58,46.61,113.20,4,20,0,3.84,50.00,50.85,38.46,30.91,55,33.33,85.37,25.97,34.75,8.21
2608110509,Tuesday,Post-NA,109.16,,45.54,114.95,4,19,0,3.92,57.90,36.00,51.16,31.37,51,40.00,89.74,21.92,34.82,
