Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2601121920,Tuesday,Pre-EU,136.30,0.00,42.71,132.50,2,18,0,3.71,64.71,43.75,34.04,41.46,41,20.00,79.31,26.87,30.21,50.00
2601171848,Sunday,Pre-EU,136.30,0.00,51.82,108.60,0,14,1,4.77,59.09,48.78,51.06,26.32,57,40.00,82.93,33.33,37.27,61.62
2601250516,Sunday,Post-NA,136.30,-7.60,55.09,124.13,2,29,0,4.43,61.77,57.14,49.21,22.83,92,41.67,81.43,36.08,41.92,65.36
2602031022,Tuesday,Pre-Asia,128.66,3.50,54.42,154.03,3,26,0,4.28,65.85,52.63,46.94,28.75,80,58.33,75.00,41.76,38.09,82.41
2602061239,Friday,Post-Asia,132.19,-3.40,42.07,99.30,1,13,0,4.53,46.43,41.18,40.82,16.39,61,83.33,69.64,24.72,38.62,9.57
2602071500,Sunday,Post-Asia,128.79,1.20,52.27,133.86,3,20,1,4.57,82.76,39.62,48.00,23.19,69,60.00,76.92,36.25,39.39,82.29
2602081856,Monday,Pre-EU,130.02,3.00,45.92,188.37,6,31,1,3.24,80.00,41.67,37.14,51.11,45,60.00,76.92,25.42,39.80,56.11
2602142238,Sunday,EU-NA,133.00,-4.10,46.02,108.60,3,10,1,4.96,72.73,34.15,44.00,17.31,52,60.00,71.43,30.99,37.17,11.32
2602151911,Monday,Pre-EU,128.93,1018.80,52.17,173.13,6,28,0,3.82,61.11,52.73,47.62,35.00,60,50.00,85.71,32.88,36.52,87.73
2602201901,Saturday,Pre-EU,114.77,-3.67,46.15,136.22,3,33,0,3.38,70.59,47.73,34.88,41.67,48,16.67,75.68,29.85,35.58,22.04
2602242102,Wednesday,Post-EU,111.10,1.86,55.46,138.74,6,26,0,4.17,64.29,52.17,53.33,33.33,66,60.00,84.44,37.84,37.81,75.77
2603050703,Thursday,NA-Asia,112.96,3.92,55.45,133.08,0,22,0,3.85,68.00,62.79,40.48,21.31,61,100.00,90.24,34.78,37.27,48.37
2603070501,Saturday,Post-NA,116.88,-1.97,51.63,128.12,1,40,0,4.04,68.00,49.27,47.46,35.44,79,33.33,83.93,32.99,36.60,47.26
2603071932,Sunday,Post-EU,114.91,-1.70,42.98,111.58,4,20,1,4.04,53.33,44.23,38.30,36.73,49,40.00,82.35,26.25,29.82,19.47
2603091023,Monday,Pre-Asia,113.21,4.20,49.68,94.14,0,19,0,4.76,57.58,42.19,53.33,20.51,78,100.00,79.03,30.53,39.49,24.38
2603092230,Tuesday,EU-NA,117.40,1.93,41.07,89.02,0,17,1,4.43,36.00,39.13,46.34,34.78,46,80.00,83.87,24.69,27.68,20.73
2603121924,Friday,Pre-EU,119.33,-3.48,44.55,124.55,1,21,0,3.96,59.09,43.75,38.30,31.11,45,40.00,80.00,29.58,29.70,19.25
2603231619,Tuesday,Asia-EU,115.85,2.62,57.01,142.71,5,24,0,4.34,80.00,59.62,48.89,32.79,61,60.00,91.49,30.00,43.92,64.17
2603300642,Monday,NA-Asia,118.47,-4.22,53.62,113.46,0,24,0,4.34,57.58,52.54,52.17,22.97,74,0.00,81.82,34.94,39.85,39.81
2604032123,Saturday,Post-EU,114.25,-2.37,47.75,122.30,4,20,0,4.08,64.71,50.00,38.64,37.74,53,40.00,73.81,31.88,37.84,37.39
