Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2601082226,Friday,Post-EU,100.51,0.00,48.12,82.00,1,14,1,5.05,65.39,39.22,48.21,14.06,64,20.00,80.77,27.16,39.10,50.00
2601082232,Friday,EU-NA,100.51,0.00,48.12,82.00,1,14,1,5.05,65.39,39.22,48.21,14.06,64,20.00,80.77,27.16,39.10,50.00
2601161904,Saturday,Pre-EU,100.51,0.00,46.36,115.50,3,22,0,4.02,65.00,40.68,45.16,29.41,51,100.00,94.29,24.00,31.82,56.99
2601170250,Saturday,Post-NA,100.51,0.00,32.97,87.85,2,9,0,4.27,68.75,20.51,30.56,23.33,30,33.33,76.00,16.67,27.47,21.00
2601170753,Saturday,NA-Asia,100.51,0.00,40.48,118.38,3,13,0,3.73,70.59,36.11,29.03,23.53,34,40.00,84.61,20.69,30.95,45.77
2601171848,Sunday,Pre-EU,100.51,0.00,46.36,95.57,2,11,0,4.96,72.73,39.02,40.43,23.53,51,40.00,86.05,20.90,39.09,55.73
2601200331,Tuesday,Post-NA,100.51,0.00,36.80,87.01,1,14,0,4.35,46.15,34.92,33.33,23.91,46,66.67,83.33,22.11,24.00,28.95
2601240810,Saturday,NA-Asia,100.51,0.00,29.51,60.66,1,7,0,4.58,43.48,32.61,20.75,13.89,36,40.00,82.61,17.17,18.85,17.26
2601250516,Sunday,Post-NA,100.51,0.00,53.85,105.64,1,23,0,4.73,84.61,34.33,61.91,17.86,84,58.33,93.33,29.17,38.46,79.83
2601271914,Wednesday,Pre-EU,100.51,0.00,43.64,119.27,4,18,0,4.25,54.55,39.58,42.50,29.17,48,80.00,92.31,28.57,23.64,77.16
2601281906,Thursday,Pre-EU,100.51,0.00,35.87,91.22,3,11,0,4.33,47.06,31.71,35.29,24.24,33,40.00,86.67,11.29,32.61,27.34
2601301234,Friday,Post-Asia,100.51,0.00,38.58,94.07,3,17,0,4.14,59.09,27.42,44.19,28.57,49,50.00,78.79,24.47,25.98,38.72
2601301922,Saturday,Pre-EU,100.51,0.00,38.09,130.98,8,21,0,3.48,46.43,41.03,28.95,42.50,40,100.00,84.61,22.79,24.76,60.54
2601302229,Saturday,Post-EU,100.51,0.00,36.13,79.40,1,17,2,4.70,55.00,43.75,23.94,23.21,56,50.00,81.25,15.89,30.97,17.78
2601311606,Sunday,Asia-EU,100.51,0.00,38.09,101.99,4,17,0,4.21,45.45,36.67,36.36,33.33,48,16.67,96.67,19.79,23.81,51.14
2602010552,Sunday,NA-Asia,100.51,0.00,38.93,81.24,2,15,0,4.39,57.90,37.29,33.96,25.49,51,25.00,90.00,16.48,30.53,39.73
2602010745,Sunday,NA-Asia,100.51,19.00,42.35,104.94,2,17,0,3.89,57.90,43.59,29.63,33.33,36,100.00,88.00,23.33,29.41,84.48
2602011658,Monday,Asia-EU,119.50,-0.10,27.97,70.81,2,9,0,4.51,44.00,26.19,21.57,21.21,33,40.00,72.00,16.13,21.19,4.10
2602061807,Saturday,Pre-EU,119.39,-0.90,37.39,117.59,4,18,0,4.05,55.56,34.88,28.89,37.21,43,50.00,78.12,21.69,27.83,46.23
2602081856,Monday,Pre-EU,118.47,0.40,44.14,136.66,1,24,0,3.78,57.90,47.17,33.33,30.61,49,60.00,90.62,25.32,28.83,71.54
2602090621,Monday,NA-Asia,118.87,-0.10,43.27,133.16,2,19,0,3.84,53.85,41.30,42.22,28.89,45,33.33,100.00,19.18,29.81,52.42
2602151911,Monday,Pre-EU,118.76,870.70,36.89,100.75,3,14,1,4.45,68.75,26.19,35.56,36.84,38,33.33,96.15,16.88,25.24,43.23
2602160834,Monday,Pre-Asia,98.94,-1.63,47.45,101.36,2,22,0,4.25,66.67,47.62,38.00,24.62,65,50.00,89.13,26.37,33.58,55.04
2603150731,Sunday,NA-Asia,97.31,6.02,44.16,111.55,6,30,0,3.96,67.86,48.39,29.69,35.29,68,50.00,83.72,28.83,27.92,67.00
2603210707,Saturday,NA-Asia,103.33,1.20,51.16,97.36,1,16,0,4.53,73.68,47.37,47.17,19.70,66,50.00,82.93,36.36,31.78,42.18
2605100702,Sunday,NA-Asia,104.53,1.73,47.27,89.48,3,11,0,4.81,73.68,45.28,36.84,15.38,52,80.00,87.81,23.19,37.27,42.97
2605130452,Wednesday,Post-NA,106.26,-0.32,44.00,98.53,2,20,0,4.13,75.00,41.38,34.04,27.27,55,80.00,82.86,28.89,28.00,43.27
2605140215,Thursday,Pre-NA,105.94,4.89,51.02,121.79,4,30,0,3.85,71.43,47.30,44.44,26.67,75,50.00,82.69,33.68,35.37,57.50
