Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2601050457,Monday,Post-NA,64.85,0.00,3.23,10.34,0,2,1,3.33,4.54,2.56,3.12,33.33,3,0.00,30.00,0.00,10.75,50.00
2601052355,Tuesday,EU-NA,64.85,0.00,7.92,26.59,2,4,1,3.25,16.67,6.82,5.13,25.00,8,16.67,58.33,1.12,11.88,78.53
2601060259,Tuesday,Post-NA,64.85,0.00,8.60,16.17,0,3,1,4.75,0.00,8.51,13.79,0.00,8,20.00,46.67,1.28,16.13,61.31
2601212224,Thursday,Post-EU,64.85,0.00,7.84,30.63,0,5,0,3.12,4.76,12.20,5.00,62.50,8,40.00,46.67,1.15,14.71,74.20
2602010745,Sunday,NA-Asia,64.85,0.00,9.71,24.37,0,4,0,4.10,5.88,13.16,8.33,40.00,10,20.00,52.63,0.00,18.45,70.63
2602020257,Monday,Post-NA,64.85,5.40,10.38,26.73,1,5,1,3.91,5.88,19.15,2.38,45.45,11,50.00,66.67,1.10,14.15,91.48
2602081856,Monday,Pre-EU,70.26,3.60,10.81,46.62,3,6,2,3.25,5.26,13.21,10.26,58.33,12,60.00,64.71,1.06,15.31,91.69
2602090621,Monday,NA-Asia,73.84,0.90,9.09,28.64,1,4,4,3.70,6.67,14.89,4.17,10.00,10,50.00,60.00,1.05,13.64,59.17
2602110645,Wednesday,NA-Asia,74.75,10.10,5.00,6.54,0,0,0,5.50,0.00,0.00,14.29,0.00,2,50.00,33.33,2.70,7.50,41.24
2602151911,Monday,Pre-EU,84.84,480.00,12.17,38.33,1,6,3,4.00,16.67,10.91,11.90,28.57,14,50.00,66.67,0.00,18.26,78.84
2602160617,Monday,NA-Asia,56.49,0.74,8.42,12.81,0,2,0,5.50,9.09,7.69,8.82,12.50,8,80.00,50.00,2.41,12.63,28.93
2602160834,Monday,Pre-Asia,57.23,0.99,5.84,11.76,0,3,3,4.75,4.17,9.52,2.00,37.50,8,50.00,40.00,0.00,14.60,14.67
2603050703,Thursday,NA-Asia,58.21,2.14,10.91,27.32,0,5,0,3.83,8.00,11.63,11.90,25.00,12,100.00,61.11,1.09,16.36,61.20
2603070501,Saturday,Post-NA,60.35,2.71,12.60,27.93,0,6,1,4.12,13.04,13.46,11.54,37.50,16,33.33,60.00,0.98,19.68,62.20
2603290443,Sunday,Post-NA,63.07,-1.15,4.46,17.26,1,3,1,2.80,6.67,8.16,0.00,60.00,5,33.33,35.71,0.00,12.50,11.31
2603300642,Monday,NA-Asia,61.91,-3.45,8.11,16.61,0,3,1,4.44,9.52,9.76,6.12,44.44,9,40.00,75.00,0.00,10.81,28.70
