Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2601150218,Thursday,Pre-NA,82.02,0.00,27.56,86.33,2,19,0,3.54,39.13,23.81,26.83,40.00,35,83.33,58.54,12.79,32.28,50.00
2601170753,Saturday,NA-Asia,82.02,0.00,22.73,37.37,0,1,1,4.80,50.00,0.00,23.08,20.00,5,100.00,60.00,11.77,22.73,27.34
2601211541,Thursday,Asia-EU,82.02,0.00,25.98,69.06,5,10,0,4.61,52.63,19.51,22.39,24.24,33,30.00,59.38,14.74,25.20,65.48
2601301437,Friday,Post-Asia,82.02,27.10,21.48,57.17,2,9,2,4.25,36.67,16.39,18.97,28.12,32,50.00,56.41,9.09,26.17,32.91
2602030746,Tuesday,NA-Asia,109.16,-4.30,23.08,49.15,0,6,0,4.86,26.09,17.50,28.57,23.81,21,0.00,40.91,17.39,24.18,19.21
2602031619,Wednesday,Asia-EU,104.82,-1.40,27.10,78.14,1,11,1,4.24,26.32,31.11,23.26,31.03,29,20.00,64.00,15.85,23.36,66.78
2602042002,Thursday,Post-EU,103.39,-8.50,23.15,62.46,0,11,0,4.36,56.25,15.09,20.51,28.00,25,40.00,56.76,5.63,34.26,24.43
2602061239,Friday,Post-Asia,94.92,4.40,24.14,59.03,1,9,3,4.60,25.00,16.18,34.69,20.00,35,83.33,55.77,6.45,35.86,45.11
2602071500,Sunday,Post-Asia,99.32,2.30,33.02,108.92,3,15,0,4.20,34.62,14.29,52.63,34.29,35,60.00,75.00,17.95,26.41,90.41
2602090621,Monday,NA-Asia,101.59,-0.70,26.92,90.74,4,10,0,3.96,53.85,21.74,24.44,32.14,28,33.33,55.56,11.77,34.62,47.74
2602111107,Wednesday,Pre-Asia,100.91,-1.40,23.36,64.29,2,10,1,4.19,30.77,24.64,16.67,21.88,32,33.33,59.46,10.00,27.01,21.08
2602131029,Friday,Pre-Asia,99.51,733.10,26.45,78.91,1,17,1,4.20,34.62,22.39,27.42,26.83,41,83.33,64.81,5.94,34.84,75.46
2602260643,Thursday,NA-Asia,83.26,-2.30,27.10,54.97,2,7,1,4.69,47.37,20.00,25.58,20.69,29,20.00,69.23,13.58,24.30,42.57
2602280634,Saturday,NA-Asia,80.96,1.42,28.00,65.02,2,11,0,4.29,61.11,19.64,25.49,34.29,35,66.67,64.10,11.63,31.20,53.18
2602281316,Saturday,Post-Asia,82.39,1.91,33.33,82.98,4,13,1,4.16,47.06,28.89,32.65,27.03,37,40.00,71.05,13.70,34.23,68.32
2603050703,Thursday,NA-Asia,84.29,-0.31,23.20,56.49,1,12,2,4.00,50.00,20.97,13.95,27.59,29,40.00,47.06,14.29,27.20,16.12
2603080629,Sunday,NA-Asia,83.98,-0.95,27.78,55.03,1,11,1,4.66,33.33,24.07,29.17,20.00,35,40.00,58.97,13.79,30.95,30.39
2603101304,Tuesday,Post-Asia,83.03,1.44,23.21,54.31,2,8,0,4.23,50.00,18.75,18.75,26.92,26,83.33,63.33,8.54,26.79,19.32
2603210707,Saturday,NA-Asia,84.47,0.04,34.11,73.22,2,13,0,4.43,47.37,28.07,35.85,27.27,44,50.00,58.49,17.11,41.09,63.37
2604171040,Friday,Pre-Asia,84.51,1.14,28.89,76.65,1,20,0,3.92,40.74,21.88,31.82,28.21,39,83.33,75.00,6.59,32.59,60.16
2604190925,Sunday,Pre-Asia,85.65,1.17,25.00,68.52,2,13,1,3.79,39.29,21.43,19.05,42.86,28,66.67,54.05,10.67,33.04,29.30
2604200945,Monday,Pre-Asia,86.82,0.99,27.59,61.45,2,11,0,4.28,41.18,28.07,21.43,31.25,32,83.33,77.42,9.41,26.72,54.53
2604221205,Wednesday,Pre-Asia,87.81,0.02,30.40,73.73,3,12,0,4.21,43.75,30.16,26.09,23.68,38,20.00,65.62,18.28,25.60,64.36
2604240700,Friday,NA-Asia,87.82,1.36,27.35,95.21,6,17,0,3.34,39.13,28.57,20.00,56.25,32,50.00,71.43,13.48,23.93,74.30
2604250702,Saturday,NA-Asia,89.18,-0.70,31.86,70.06,0,14,0,4.22,29.41,36.36,28.85,22.22,36,80.00,55.32,15.15,41.59,55.21
2604271001,Monday,Pre-Asia,88.48,1.35,38.89,81.95,3,14,0,4.75,37.50,37.70,40.82,26.53,49,60.00,67.50,25.58,31.75,86.07
2604301404,Thursday,Post-Asia,89.83,3.59,42.10,116.89,2,21,0,3.60,58.82,45.24,30.56,52.50,40,40.00,88.00,25.71,26.32,89.62
2605011134,Friday,Pre-Asia,93.41,2.08,30.33,88.18,4,18,0,3.73,38.46,35.29,20.00,40.54,37,83.33,57.14,16.25,34.43,66.56
2605081101,Friday,Pre-Asia,95.49,0.77,29.20,96.52,7,19,0,3.60,36.84,31.82,23.08,37.50,40,50.00,65.71,16.67,25.55,47.08
2605091419,Saturday,Post-Asia,96.26,1.89,39.70,105.14,4,16,1,4.25,28.00,44.44,39.53,28.85,52,83.33,77.78,25.26,27.48,89.09
2605111757,Tuesday,Pre-EU,98.15,1.56,35.00,83.83,4,11,0,4.19,47.37,32.65,32.69,26.19,42,50.00,69.05,16.67,35.00,47.52
2605130452,Wednesday,Post-NA,99.71,0.42,40.00,121.37,1,17,0,3.37,46.67,44.12,30.77,46.67,30,25.00,78.57,17.02,37.33,53.30
2605162148,Sunday,Post-EU,100.12,2.99,42.00,123.47,5,19,1,3.76,84.61,40.00,32.69,42.86,42,60.00,70.59,27.27,34.00,90.36
2605170449,Sunday,Post-NA,103.11,-0.01,35.94,106.45,4,21,0,3.65,48.28,38.00,26.53,32.61,46,33.33,60.87,21.95,35.94,43.40
2605180359,Monday,Post-NA,103.11,2.54,42.70,123.42,5,16,0,3.79,42.31,54.17,35.90,42.11,38,60.00,87.50,17.54,35.95,81.11
2605190626,Tuesday,NA-Asia,105.65,-0.88,30.11,81.26,0,14,0,4.07,47.06,28.20,24.32,25.00,28,40.00,65.22,18.57,24.73,2.92
2605191357,Tuesday,Post-Asia,104.77,-0.38,34.25,88.70,3,21,1,3.88,34.62,37.04,31.82,28.00,50,75.00,63.46,18.09,35.62,16.52
