Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2601141040,Wednesday,Pre-Asia,129.74,0.00,41.55,96.68,2,19,0,4.53,61.54,41.54,31.37,23.73,59,10.00,65.31,29.03,34.51,50.00
2601201913,Wednesday,Pre-EU,129.74,0.00,45.06,120.17,7,25,0,4.27,69.70,44.12,32.79,34.25,73,50.00,61.82,36.45,33.95,75.63
2601290543,Thursday,NA-Asia,129.74,0.00,46.62,134.79,6,33,0,3.84,59.26,44.29,43.14,39.13,69,41.67,76.67,26.14,40.54,73.57
2601301234,Friday,Post-Asia,129.74,9.00,42.86,121.51,3,27,0,3.82,61.77,45.00,26.09,43.33,60,50.00,72.73,23.53,39.29,62.35
2602031022,Tuesday,Pre-Asia,138.74,3.10,54.40,188.59,9,26,0,3.94,77.78,58.70,38.46,32.35,68,83.33,79.31,32.84,46.40,91.71
2602040729,Wednesday,NA-Asia,141.86,-0.30,46.96,184.90,5,32,0,3.35,72.73,46.15,27.91,57.41,54,50.00,72.73,30.99,38.26,60.47
2602090816,Monday,NA-Asia,141.54,-4.80,43.36,140.82,2,23,1,3.69,72.00,38.64,31.82,38.78,49,33.33,58.14,34.29,38.05,22.84
2602110645,Wednesday,NA-Asia,136.69,7.00,57.38,197.31,9,31,0,3.74,86.36,62.74,38.78,37.14,70,83.33,75.81,38.33,50.82,93.71
2602140954,Saturday,Pre-Asia,143.72,-0.30,51.88,163.00,5,37,0,4.13,76.67,41.27,50.75,33.73,83,66.67,69.01,38.20,44.38,61.88
2602151018,Sunday,Pre-Asia,143.41,1080.40,44.17,159.37,4,26,0,3.66,56.52,48.08,33.33,43.40,53,16.67,76.60,23.29,39.17,54.46
2602170635,Tuesday,NA-Asia,122.38,-0.02,42.86,129.72,6,27,0,3.50,85.00,35.09,34.69,38.89,54,33.33,68.75,26.92,38.09,8.02
2602190855,Thursday,Pre-Asia,122.35,-4.10,43.81,141.59,7,21,0,3.52,61.91,40.43,37.84,54.35,46,0.00,70.45,24.59,41.91,13.89
2602200956,Friday,Pre-Asia,118.25,-1.47,49.62,112.05,0,28,0,4.20,66.67,44.00,45.28,30.30,66,50.00,69.49,33.78,44.36,41.26
2602242102,Wednesday,Post-EU,116.79,0.66,50.41,135.17,7,25,0,3.84,70.97,45.65,40.91,37.70,61,66.67,74.51,32.86,42.15,52.31
2602280634,Saturday,NA-Asia,117.44,-3.54,34.40,113.45,7,22,0,3.51,48.28,30.19,30.23,44.19,43,33.33,55.56,22.50,36.00,11.57
2603050703,Thursday,NA-Asia,113.90,-3.48,43.20,111.64,4,18,0,3.96,75.00,37.10,37.21,33.33,54,40.00,60.00,33.75,36.00,15.47
2603121924,Friday,Pre-EU,110.42,0.29,46.53,133.14,3,21,1,3.92,72.73,40.62,38.30,31.91,47,40.00,72.50,29.51,39.60,22.51
2603131003,Friday,Pre-Asia,110.71,0.71,46.79,123.82,4,16,0,3.94,85.71,51.92,27.91,27.45,51,60.00,69.05,32.84,38.53,41.56
2603140817,Saturday,NA-Asia,111.42,0.72,48.52,125.68,2,20,0,4.00,68.42,50.00,36.84,28.57,49,100.00,80.00,27.87,39.60,38.50
2603150731,Sunday,NA-Asia,112.15,1.57,55.93,127.14,6,25,0,4.32,85.71,56.60,40.91,24.24,66,66.67,84.44,38.36,38.14,89.50
2603171301,Tuesday,Post-Asia,113.72,-1.41,45.19,131.51,4,35,0,3.31,72.73,42.37,37.04,50.82,61,50.00,64.29,24.61,51.85,38.08
2603171602,Wednesday,Asia-EU,112.31,-2.06,41.32,102.39,1,19,0,3.86,68.97,43.90,23.53,42.00,50,40.00,62.50,27.40,39.67,8.15
2603200843,Friday,Pre-Asia,110.25,0.44,49.29,118.17,3,21,0,4.19,73.68,48.21,43.08,27.54,69,66.67,63.49,37.66,45.00,63.25
2603210707,Saturday,NA-Asia,110.69,-2.34,51.94,125.83,3,24,0,4.10,77.78,48.28,47.17,31.34,67,0.00,70.49,35.29,47.29,63.41
2603220930,Sunday,Pre-Asia,108.34,1.09,51.56,132.07,2,25,0,3.98,81.48,43.10,44.19,34.85,66,8.33,73.68,33.80,44.53,87.13
2603250123,Wednesday,Pre-NA,109.44,-1.89,40.37,94.16,1,15,0,4.16,60.87,31.25,39.47,27.27,44,0.00,70.00,23.19,36.70,5.92
2604050106,Sunday,Pre-NA,107.54,-0.86,41.67,108.07,2,27,0,3.83,57.14,50.00,27.42,28.33,60,16.67,67.31,27.17,36.11,10.68
2604080258,Wednesday,Post-NA,106.69,0.43,40.80,116.39,4,28,0,3.84,76.00,33.93,29.55,29.41,51,50.00,59.62,27.40,41.60,33.59
2604150427,Wednesday,Post-NA,107.11,-1.36,35.95,113.42,4,17,0,3.62,54.55,34.29,32.56,43.75,32,60.00,55.81,17.39,48.31,17.13
2604160913,Thursday,Pre-Asia,105.75,-1.60,41.41,97.71,3,17,0,4.42,62.50,47.37,23.40,22.64,53,50.00,67.31,23.68,40.62,21.71
2604190925,Sunday,Pre-Asia,104.15,-0.31,43.75,142.55,6,28,0,3.41,78.26,35.29,34.55,51.02,49,33.33,61.36,32.35,39.29,69.46
2604200945,Monday,Pre-Asia,103.84,0.76,41.74,112.97,3,22,0,3.73,50.00,43.18,36.17,31.25,48,33.33,59.62,26.98,45.22,32.70
2604211807,Wednesday,Pre-EU,104.60,1.89,48.48,143.68,7,33,0,3.70,59.26,47.27,44.00,39.06,64,80.00,71.93,30.67,43.18,97.13
2604240922,Friday,Pre-Asia,106.49,0.08,47.30,117.11,4,29,0,4.27,80.77,49.09,32.84,34.29,70,58.33,60.56,35.06,47.97,68.54
2604250702,Saturday,NA-Asia,106.57,-3.17,48.28,88.36,0,15,0,4.55,94.44,58.14,25.45,21.43,56,20.00,63.16,33.90,49.14,41.14
2604270127,Monday,Pre-NA,103.40,5.53,57.60,178.64,11,34,0,3.54,90.32,50.00,44.44,45.83,72,100.00,72.22,46.48,43.20,97.49
2605010624,Friday,NA-Asia,108.92,0.72,42.31,113.59,2,18,0,3.77,64.29,46.51,31.91,22.73,44,80.00,61.11,22.00,51.92,28.38
2605030928,Sunday,Pre-Asia,109.64,-1.85,36.67,99.78,1,20,0,3.96,39.39,36.36,35.00,23.64,55,33.33,68.25,13.79,42.00,15.91
2605041823,Tuesday,Pre-EU,107.80,2.19,45.26,126.55,4,32,0,3.69,58.06,41.94,40.91,41.94,62,66.67,65.52,30.38,42.34,80.41
2605051833,Wednesday,Pre-EU,109.98,1.37,48.62,134.92,4,25,0,3.77,68.75,53.70,33.33,35.85,53,60.00,74.00,27.12,45.87,76.36
2605080437,Friday,Post-NA,111.36,-0.38,53.10,132.52,3,22,0,4.05,52.17,60.47,46.81,38.33,60,60.00,69.49,35.19,52.21,71.07
2605100702,Sunday,NA-Asia,110.98,-0.45,45.45,107.54,2,17,1,4.36,60.87,47.92,36.00,25.45,55,40.00,68.18,32.47,36.36,21.83
2605121824,Wednesday,Pre-EU,110.52,-0.72,40.17,99.98,5,21,0,3.96,70.59,24.49,45.10,38.30,47,66.67,57.14,27.94,41.88,16.76
2605122156,Wednesday,Post-EU,109.80,-0.90,45.19,125.85,6,27,0,3.92,66.67,43.64,35.85,34.43,61,40.00,70.00,30.59,37.04,55.40
2605160712,Saturday,NA-Asia,108.90,1.97,50.96,130.99,1,27,0,3.91,70.00,52.63,41.30,33.96,53,40.00,74.36,36.92,37.50,80.14
2605182103,Tuesday,Post-EU,110.87,-3.29,44.72,137.78,7,27,0,3.75,71.43,44.64,32.61,41.82,55,33.33,72.55,25.00,41.46,47.89
