Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2601050457,Monday,Post-NA,93.78,0.00,27.10,71.94,1,15,2,3.79,23.53,17.78,37.78,20.69,29,60.00,84.61,8.64,24.30,50.00
2601060259,Tuesday,Post-NA,93.78,0.00,39.36,125.28,5,16,0,3.73,42.86,37.21,40.00,35.14,37,60.00,81.82,16.39,35.11,77.40
2601070522,Wednesday,Post-NA,93.78,0.00,33.03,115.13,5,21,0,3.36,19.23,28.57,46.34,47.22,36,50.00,71.80,11.43,35.78,51.25
2601082226,Friday,Post-EU,93.78,0.00,32.61,72.27,1,14,1,4.47,32.00,24.66,47.50,24.44,45,60.00,85.71,9.38,30.43,40.27
2601082232,Friday,EU-NA,93.78,0.00,32.61,72.27,1,14,1,4.47,32.00,24.66,47.50,24.44,45,60.00,85.71,9.38,30.43,40.63
2601090238,Friday,Post-NA,93.78,3.20,28.57,103.39,4,16,0,3.17,23.08,26.32,33.33,50.00,24,50.00,78.95,13.85,22.62,58.40
2601120716,Monday,NA-Asia,96.94,-3.20,36.00,101.29,5,18,0,4.13,31.25,38.18,35.19,28.89,45,80.00,88.23,16.48,27.20,71.80
2601141713,Thursday,Asia-EU,93.78,0.00,28.47,77.53,4,13,2,4.41,28.57,32.76,23.53,28.21,39,50.00,87.50,15.93,17.52,39.02
2601142226,Thursday,Post-EU,93.78,0.00,37.84,106.13,2,15,0,4.00,23.81,40.00,42.50,30.95,42,40.00,90.32,17.50,27.93,75.40
2601150218,Thursday,Pre-NA,93.78,0.00,25.41,75.99,3,12,0,3.74,14.29,21.05,36.36,32.26,31,33.33,86.36,12.00,18.03,27.28
2601151819,Friday,Pre-EU,93.78,0.00,40.83,108.27,5,21,0,4.02,26.32,41.07,46.67,36.73,49,33.33,87.50,23.86,26.67,81.38
2601171848,Sunday,Pre-EU,93.78,0.00,32.62,90.32,3,17,0,4.30,22.22,26.79,43.10,26.09,46,50.00,83.72,10.20,30.50,35.80
2601180253,Sunday,Post-NA,93.78,0.00,37.98,106.01,6,20,1,4.16,45.00,28.00,44.07,30.61,49,33.33,84.61,17.78,30.23,70.30
2601201411,Tuesday,Post-Asia,93.78,0.00,32.43,101.51,3,14,0,4.03,72.73,21.43,23.40,38.89,36,80.00,92.59,13.10,24.32,55.78
2601210505,Wednesday,Post-NA,93.78,0.00,31.97,87.08,1,18,0,3.77,28.57,27.59,38.00,28.21,39,50.00,83.33,15.22,24.59,23.39
2601212224,Thursday,Post-EU,93.78,0.00,26.17,75.52,3,10,0,4.14,25.00,23.08,29.55,39.29,28,40.00,82.61,10.71,21.50,26.59
2601290543,Thursday,NA-Asia,93.78,0.00,31.76,99.25,4,25,0,3.72,14.81,25.71,49.02,42.55,47,41.67,94.74,10.00,25.68,57.45
2602010745,Sunday,NA-Asia,93.78,28.10,31.77,121.85,3,20,1,2.93,36.84,25.64,37.04,66.67,27,100.00,77.27,15.87,25.88,63.60
2602031022,Tuesday,Pre-Asia,121.93,1.00,31.97,113.33,8,19,4,4.02,24.39,33.33,36.73,36.17,47,58.33,80.56,16.22,24.49,49.43
2602040729,Wednesday,NA-Asia,122.96,-1.90,22.94,64.58,1,9,0,4.12,22.22,22.45,24.24,20.00,25,50.00,72.22,13.19,16.51,3.68
2602102142,Wednesday,Post-EU,121.01,-2.30,28.30,88.25,3,11,0,4.00,25.00,20.51,35.29,36.67,30,50.00,90.00,13.95,18.87,27.74
2602111107,Wednesday,Pre-Asia,118.73,0.90,29.63,72.36,1,14,0,4.44,21.62,27.27,37.29,20.83,48,83.33,77.14,16.54,21.61,29.65
2602140954,Saturday,Pre-Asia,119.61,-0.90,31.43,96.11,4,18,1,4.32,31.82,32.79,29.82,25.00,44,66.67,78.57,19.64,20.00,57.02
2602142238,Sunday,EU-NA,118.76,849.20,34.78,82.56,4,11,0,4.81,38.23,34.04,33.33,14.58,48,20.00,96.30,19.82,19.57,71.51
2602170635,Tuesday,NA-Asia,96.80,-0.36,32.37,81.75,4,19,2,4.00,42.86,22.95,38.60,31.11,45,33.33,82.35,16.19,24.46,40.87
2602201055,Friday,Pre-Asia,96.43,-1.18,28.57,78.98,4,14,0,3.91,52.94,18.52,31.71,28.12,32,16.67,87.50,12.50,21.43,19.21
2602211352,Saturday,Post-Asia,95.25,-2.02,35.00,71.84,0,15,0,4.43,40.91,29.55,37.04,16.67,42,50.00,85.19,20.43,22.50,47.69
2602241336,Tuesday,Post-Asia,93.23,-0.77,30.70,69.08,3,11,1,4.23,26.09,30.43,33.33,22.86,35,66.67,84.00,15.73,21.93,27.45
2602281316,Saturday,Post-Asia,92.46,-1.24,31.09,80.95,2,14,2,3.97,50.00,20.37,35.56,43.24,37,50.00,95.83,14.74,20.17,49.16
2603042212,Thursday,Post-EU,91.22,1.92,30.23,74.16,5,12,0,4.59,32.00,21.43,39.58,25.64,39,50.00,85.71,14.85,21.70,23.65
