Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2601011247,Thursday,Post-Asia,96.81,0.00,29.20,85.51,2,17,0,3.85,22.73,26.41,36.84,42.42,33,50.00,88.89,10.46,23.89,50.00
2601031613,Sunday,Asia-EU,96.81,0.00,31.58,54.32,0,7,1,4.97,33.33,27.08,35.56,25.00,36,20.00,86.67,11.90,26.32,44.86
2601041654,Monday,Asia-EU,96.81,0.00,30.69,72.11,1,9,1,4.64,39.29,20.51,35.29,25.81,31,60.00,100.00,10.26,22.77,53.67
2601050457,Monday,Post-NA,96.81,0.00,39.62,110.75,3,17,0,3.90,34.62,42.10,40.48,42.86,42,100.00,93.55,17.33,29.25,84.98
2601051601,Tuesday,Asia-EU,96.81,0.00,42.34,101.26,3,13,0,4.57,47.37,31.37,53.66,21.28,47,40.00,96.43,24.10,25.23,76.48
2601061215,Tuesday,Pre-Asia,96.81,0.00,35.90,103.52,3,19,1,3.90,29.63,30.00,44.00,28.57,42,83.33,89.29,19.10,23.93,65.85
2601070522,Wednesday,Post-NA,96.81,0.00,38.58,103.33,4,20,0,3.98,36.67,28.57,50.00,40.82,49,50.00,96.67,20.62,23.62,81.19
2601071142,Wednesday,Pre-Asia,96.81,0.00,37.61,106.39,5,18,0,4.00,16.67,40.91,54.05,31.82,44,50.00,100.00,17.98,23.93,76.69
2601071657,Thursday,Asia-EU,96.81,0.00,36.02,70.69,0,12,3,4.81,30.77,35.38,38.57,24.14,58,50.00,95.65,12.17,28.57,35.59
2601090238,Friday,Post-NA,96.81,-3.30,31.07,83.68,1,16,0,3.81,18.18,28.89,41.67,37.50,32,16.67,87.50,5.63,31.07,9.75
2601120716,Monday,NA-Asia,93.53,3.30,35.20,98.99,4,17,1,4.11,12.50,29.09,48.15,31.82,44,80.00,93.33,16.84,24.00,74.27
2601121404,Monday,Post-Asia,96.81,0.00,37.65,101.42,3,10,0,4.34,50.00,22.86,47.37,28.12,32,20.00,89.29,12.28,32.94,46.65
2601141713,Thursday,Asia-EU,96.81,0.00,24.14,58.22,1,11,1,4.43,23.08,14.89,34.88,32.14,28,33.33,83.33,13.27,15.52,15.58
