Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2601011247,Thursday,Post-Asia,59.40,0.00,13.93,47.47,3,8,3,3.77,18.52,16.33,8.70,47.06,17,50.00,83.33,6.36,9.84,50.00
2601031613,Sunday,Asia-EU,59.40,0.00,9.65,12.05,0,1,5,5.73,5.56,11.77,8.89,9.09,11,20.00,91.67,0.00,10.53,24.44
2601090238,Friday,Post-NA,59.40,0.00,8.74,14.59,0,2,1,4.89,18.18,6.67,5.56,11.11,9,16.67,77.78,2.13,8.74,18.54
2601101213,Saturday,Pre-Asia,59.40,0.00,11.73,17.55,1,1,3,5.47,18.75,15.62,4.54,10.53,19,33.33,72.22,4.17,11.11,48.23
2601121404,Monday,Post-Asia,59.40,0.00,10.00,20.61,0,2,1,5.00,30.77,7.89,5.13,44.44,9,60.00,66.67,3.70,10.00,42.97
2601142226,Thursday,Post-EU,59.40,0.00,10.00,28.69,0,7,0,4.08,26.67,2.04,7.32,33.33,12,40.00,91.67,0.93,10.00,59.19
2601161904,Saturday,Pre-EU,59.40,0.00,10.89,31.00,1,5,1,3.82,15.38,9.80,10.81,36.36,11,40.00,75.00,2.25,11.88,53.70
2601201913,Wednesday,Pre-EU,59.40,0.00,20.35,46.02,2,8,0,4.70,17.24,22.00,20.59,17.39,23,33.33,76.92,13.00,11.50,68.97
2601210505,Wednesday,Post-NA,59.40,0.00,12.82,32.68,2,5,0,4.27,25.00,12.50,7.32,33.33,15,50.00,88.89,6.48,7.69,80.14
2601260234,Monday,Post-NA,59.40,0.00,8.59,17.59,0,4,0,4.54,15.00,9.09,5.66,18.18,11,16.67,70.00,3.39,7.81,16.80
2601290543,Thursday,NA-Asia,59.40,0.00,17.74,45.01,1,9,0,4.00,30.43,11.47,20.00,31.82,22,50.00,86.67,8.26,12.10,86.54
2601291924,Friday,Pre-EU,59.40,0.00,3.85,21.52,1,3,1,2.00,12.50,3.57,0.00,66.67,3,60.00,66.67,1.33,3.85,24.92
2601301234,Friday,Post-Asia,59.40,0.00,12.21,36.78,1,7,1,3.56,15.62,13.79,7.32,43.75,16,50.00,83.33,5.04,9.16,73.18
2601301922,Saturday,Pre-EU,59.40,-1.50,7.21,18.94,1,2,0,4.12,12.50,4.00,8.11,25.00,8,0.00,50.00,2.97,9.01,5.99
2602020257,Monday,Post-NA,57.92,18.90,14.89,49.11,2,6,1,3.29,12.50,21.74,6.25,35.71,14,16.67,85.71,2.50,14.89,76.65
2602052043,Friday,Post-EU,76.81,1.30,15.24,22.31,0,3,0,5.44,18.18,12.82,15.91,6.25,16,66.67,69.23,7.61,12.38,43.73
2602110645,Wednesday,NA-Asia,78.13,515.90,15.38,19.35,0,0,0,5.50,0.00,27.27,10.00,0.00,4,100.00,100.00,8.33,7.69,67.78
2602160617,Monday,NA-Asia,59.40,-1.04,9.01,22.70,0,4,4,4.00,8.70,11.77,5.41,20.00,10,20.00,70.00,2.97,9.01,3.71
2603050703,Thursday,NA-Asia,58.36,-1.79,10.08,16.28,0,3,0,4.77,16.67,6.67,11.11,15.38,13,20.00,54.55,5.93,8.53,23.14
2603071932,Sunday,Post-EU,56.57,0.63,13.22,26.58,1,6,2,5.19,13.33,7.55,18.87,25.00,16,80.00,73.33,4.72,12.40,39.49
2603080629,Sunday,NA-Asia,57.20,1.31,16.79,30.96,0,7,1,4.82,24.00,20.00,9.80,18.18,22,60.00,87.50,6.96,12.21,68.98
2603090200,Monday,Pre-NA,58.51,-0.43,12.70,32.88,2,6,2,4.06,10.53,16.00,10.53,31.25,16,33.33,84.61,4.42,10.32,50.30
2603140817,Saturday,NA-Asia,58.08,0.66,13.49,24.09,0,4,0,4.53,6.25,20.34,7.84,5.88,17,60.00,73.68,2.80,15.08,32.40
2603171301,Tuesday,Post-Asia,58.74,-0.93,9.45,29.34,2,7,0,3.33,25.00,9.68,4.08,33.33,12,16.67,85.71,5.00,5.51,40.39
2603210707,Saturday,NA-Asia,57.81,2.69,11.02,32.91,1,8,2,3.69,11.77,13.46,8.16,46.15,13,83.33,88.89,4.59,7.63,44.41
2603260442,Thursday,Post-NA,60.50,-2.04,7.69,17.93,0,5,1,4.40,0.00,12.24,6.45,30.00,10,41.67,77.78,2.48,6.92,11.39
2604020651,Thursday,NA-Asia,58.46,-0.06,11.03,22.20,0,5,0,4.53,17.39,9.43,10.00,26.67,15,66.67,77.78,6.30,6.62,53.31
2604050106,Sunday,Pre-NA,58.40,0.84,5.83,14.38,0,4,0,3.83,0.00,7.89,7.69,16.67,6,33.33,80.00,2.04,4.85,33.21
2604090435,Thursday,Post-NA,59.23,0.52,15.50,24.46,0,4,1,5.25,11.54,18.03,14.29,20.00,20,40.00,80.00,10.08,7.75,59.90
2604100500,Friday,Post-NA,59.75,0.77,13.86,35.62,1,6,0,4.14,22.22,17.95,6.82,35.71,14,60.00,83.33,4.49,11.88,78.17
2604101817,Saturday,Pre-EU,60.52,0.25,10.99,27.58,0,5,3,4.10,19.23,10.35,5.56,30.00,10,40.00,100.00,3.57,7.69,49.04
2604150427,Wednesday,Post-NA,60.77,-1.47,10.00,19.66,0,3,1,4.54,13.04,6.38,12.50,27.27,11,20.00,71.43,5.83,6.36,23.49
2604182100,Sunday,Post-EU,59.30,0.11,12.96,30.16,2,6,0,4.43,18.75,14.63,9.80,28.57,14,16.67,88.89,6.06,8.33,76.72
2604190448,Sunday,Post-NA,59.41,-3.01,7.63,4.48,0,0,1,6.44,12.00,2.38,9.80,0.00,9,50.00,75.00,2.73,6.78,10.47
2604220401,Wednesday,Post-NA,56.40,-1.63,13.19,17.28,0,2,0,5.25,23.53,14.29,6.25,25.00,12,40.00,100.00,2.47,10.99,41.58
2604232130,Friday,Post-EU,54.77,2.18,10.59,28.41,1,4,1,4.00,7.69,16.22,5.71,55.56,9,40.00,88.89,1.32,10.59,64.35
2604251753,Sunday,Pre-EU,56.95,-1.99,13.21,10.15,0,1,3,6.14,15.79,8.33,17.95,0.00,14,40.00,70.00,7.29,9.43,38.71
2604260618,Sunday,NA-Asia,54.96,2.64,20.73,69.63,3,10,1,3.35,16.67,20.59,22.22,64.71,17,80.00,87.50,13.51,9.76,96.59
2604300458,Thursday,Post-NA,57.60,1.56,8.14,22.92,0,4,0,3.43,0.00,5.26,13.51,42.86,7,60.00,85.71,1.27,8.14,42.63
2605010624,Friday,NA-Asia,59.16,-1.63,12.22,15.32,0,2,0,5.54,35.71,8.11,7.69,9.09,11,40.00,80.00,8.23,5.56,29.15
2605051833,Wednesday,Pre-EU,57.53,-1.73,12.62,18.68,0,2,0,4.85,17.65,16.67,6.82,7.69,13,20.00,100.00,5.26,7.77,34.98
