Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2603252154,Thursday,Post-EU,85.00,8.16,30.48,70.98,2,10,0,4.16,36.84,20.41,40.54,25.00,32,66.67,95.24,14.29,20.00,50.00
2603260442,Thursday,Post-NA,93.16,-0.92,29.76,76.10,3,17,0,4.22,33.33,25.71,32.35,26.00,50,58.33,91.18,14.18,20.24,41.46
2603282203,Sunday,Post-EU,92.24,-1.97,22.94,64.90,4,10,1,3.60,31.82,18.18,23.26,36.00,25,33.33,83.33,10.99,16.51,10.57
2603290443,Sunday,Post-NA,90.27,3.70,32.20,100.00,6,19,0,3.55,40.00,23.26,36.36,34.21,38,100.00,85.29,10.71,28.81,76.11
2603300642,Monday,NA-Asia,93.97,0.47,29.52,87.55,5,13,0,3.87,18.75,23.26,39.13,38.71,31,20.00,84.21,17.44,18.09,49.39
2604010549,Wednesday,NA-Asia,94.44,0.69,36.36,68.99,0,16,0,4.45,53.49,22.64,36.21,17.86,56,33.33,90.32,22.76,20.13,46.84
2604010803,Wednesday,NA-Asia,95.13,-2.47,32.52,52.52,2,10,2,5.15,39.13,26.47,36.11,15.09,53,41.67,82.61,24.29,14.11,34.71
2604020651,Thursday,NA-Asia,92.66,1.53,26.28,75.55,2,18,0,3.69,24.00,29.03,24.00,33.33,36,66.67,92.86,9.17,20.44,53.05
2604040654,Saturday,NA-Asia,94.18,-0.40,36.84,90.31,2,12,0,4.17,33.33,25.81,44.23,22.86,35,40.00,79.17,22.54,25.26,49.44
2604090435,Thursday,Post-NA,93.79,2.18,34.75,89.95,3,17,1,4.17,28.57,24.44,46.15,29.27,41,80.00,95.83,19.15,20.34,91.73
2604100500,Friday,Post-NA,95.97,-0.82,35.29,86.08,2,15,0,4.36,37.50,27.50,41.30,38.89,36,40.00,80.00,24.39,19.61,54.13
2604110718,Saturday,NA-Asia,95.15,2.41,40.50,115.35,5,22,1,3.67,48.39,34.04,41.86,34.69,49,66.67,90.00,24.18,24.79,95.92
2604121308,Sunday,Post-Asia,97.56,0.72,27.97,78.47,4,14,2,4.30,23.81,25.00,32.65,30.30,33,60.00,86.96,13.68,19.49,26.67
2604131107,Monday,Pre-Asia,98.28,0.98,34.12,100.93,5,15,0,3.86,33.33,22.86,44.74,51.72,29,83.33,89.47,18.18,22.35,73.24
2604141016,Tuesday,Pre-Asia,99.26,-0.17,28.97,73.35,4,16,1,4.38,44.83,30.30,18.00,35.71,42,66.67,96.15,14.29,17.93,30.53
2604190448,Sunday,Post-NA,99.09,-0.04,27.52,68.20,2,17,0,4.07,33.33,17.74,35.09,34.15,41,50.00,91.67,15.20,16.11,24.61
2604192219,Monday,Post-EU,99.05,0.30,28.36,69.42,2,16,1,4.21,26.32,8.00,44.62,42.11,38,50.00,82.61,17.12,17.16,14.33
2604201915,Tuesday,Pre-EU,99.35,1.54,41.03,120.68,3,24,2,3.75,54.17,34.15,40.38,39.58,48,50.00,93.55,22.09,26.50,87.95
2604220401,Wednesday,Post-NA,100.89,1.24,40.66,118.06,4,18,0,3.70,35.29,42.86,40.62,43.24,37,40.00,92.31,20.00,28.57,83.90
2604230845,Thursday,Pre-Asia,102.13,0.49,37.41,88.01,5,17,0,4.47,41.18,37.26,36.51,28.57,49,60.00,92.59,23.08,20.61,62.17
2604240700,Friday,NA-Asia,102.62,0.71,30.10,81.62,2,16,0,3.71,42.10,27.08,27.78,29.03,31,66.67,88.89,17.65,17.48,18.98
2604240922,Friday,Pre-Asia,103.33,-2.83,32.03,75.17,2,16,0,4.34,21.05,33.33,34.69,29.27,41,33.33,96.15,15.69,20.31,24.97
2604270127,Monday,Pre-NA,100.50,-0.74,31.03,97.00,4,20,0,3.39,23.81,30.00,34.55,47.22,36,16.67,90.91,17.02,18.97,32.75
2604291755,Thursday,Pre-EU,99.76,2.48,36.78,122.21,6,16,0,3.44,36.36,38.71,35.56,53.12,32,83.33,90.48,19.70,24.14,84.58
2605041823,Tuesday,Pre-EU,102.24,1.75,29.93,96.68,7,21,0,3.56,29.03,29.09,31.37,46.34,41,66.67,87.50,17.70,17.52,57.21
2605051833,Wednesday,Pre-EU,103.99,-1.45,34.83,73.89,0,12,0,4.19,47.06,37.50,25.00,25.81,31,20.00,94.12,20.83,19.10,35.62
2605070430,Thursday,Post-NA,102.54,0.81,29.41,81.24,2,19,0,3.77,34.62,26.79,29.63,35.00,40,66.67,95.83,15.18,17.65,40.58
2605080437,Friday,Post-NA,103.35,-0.97,34.95,100.08,4,15,0,3.81,47.37,30.61,34.29,38.89,36,40.00,92.00,16.67,24.27,45.73
2605100702,Sunday,NA-Asia,102.37,-2.34,33.88,81.75,4,13,1,4.46,30.43,22.92,46.00,21.95,41,40.00,100.00,20.00,17.36,43.24
2605140215,Thursday,Pre-NA,100.03,-0.06,51.35,161.05,3,10,0,3.42,100.00,33.33,57.14,42.11,19,100.00,100.00,33.33,27.03,84.29
2605151239,Friday,Post-Asia,99.97,1.24,35.88,88.93,3,18,0,4.25,40.00,30.61,38.46,31.91,47,83.33,80.77,24.76,19.85,58.62
2605170449,Sunday,Post-NA,101.21,1.14,28.33,83.44,4,15,1,3.85,40.00,13.64,35.29,32.35,34,83.33,77.27,17.35,18.33,30.09
2605180359,Monday,Post-NA,102.35,-0.04,31.43,61.47,0,3,0,4.18,50.00,20.00,35.71,9.09,11,50.00,100.00,14.29,20.00,17.38
2605182103,Tuesday,Post-EU,102.31,0.30,30.60,86.37,3,19,1,3.83,29.17,25.00,38.00,36.59,41,50.00,88.46,16.67,19.40,30.97
2605191357,Tuesday,Post-Asia,102.61,2.44,39.29,136.21,11,30,0,3.42,50.00,30.19,43.28,52.73,55,33.33,91.89,20.39,26.43,86.25
2605200627,Wednesday,NA-Asia,105.05,-3.46,33.12,86.23,5,17,1,4.53,40.74,27.78,34.18,33.96,53,0.00,97.14,15.20,21.88,26.65
2605210438,Thursday,Post-NA,101.59,0.85,33.00,105.80,5,16,0,3.48,38.89,29.27,34.15,51.52,33,83.33,90.91,16.67,22.00,56.18
2605211005,Thursday,Pre-Asia,102.44,2.61,36.75,122.75,6,25,0,3.30,61.91,29.41,32.26,53.49,43,50.00,93.94,14.29,28.20,76.84
2605221158,Friday,Pre-Asia,105.05,-11.30,32.48,93.48,2,20,0,3.68,34.78,20.83,43.48,44.74,38,16.67,90.48,19.79,17.95,25.62
2605281549,Friday,Asia-EU,93.74,0.42,33.33,101.28,4,18,0,3.24,33.33,36.59,30.00,57.58,33,33.33,91.67,14.67,24.24,62.35
2606012108,Tuesday,Post-EU,94.16,0.12,30.25,78.56,5,12,0,4.17,40.00,27.66,29.82,30.56,36,50.00,81.82,18.56,18.49,42.76
2606040237,Thursday,Post-NA,94.28,-0.75,33.05,75.89,3,16,0,4.15,29.41,28.85,38.78,33.33,39,33.33,90.91,19.79,18.64,42.05
2606060823,Saturday,NA-Asia,93.53,-0.23,32.91,76.09,2,10,0,4.19,33.33,29.41,36.11,26.92,26,60.00,88.89,16.39,22.79,36.31
2606110729,Thursday,NA-Asia,93.30,-0.91,35.38,64.09,1,11,2,4.91,16.67,32.20,45.28,17.39,46,60.00,90.91,24.07,16.92,54.89
2606140418,Sunday,Post-NA,92.39,-0.40,46.03,109.12,6,20,1,4.40,45.45,30.61,60.00,31.03,58,60.00,97.06,27.17,26.98,90.98
2606210153,Sunday,Pre-NA,92.00,3.02,37.66,129.01,6,16,0,3.17,35.71,24.00,47.37,65.52,29,60.00,93.75,22.95,20.78,90.24
2606222304,Tuesday,EU-NA,95.01,0.60,47.32,103.94,3,17,0,4.15,45.83,50.00,46.15,24.53,53,80.00,100.00,30.59,24.11,89.38
2606231603,Wednesday,Asia-EU,95.61,-1.35,34.35,87.72,3,18,0,4.07,37.50,27.08,38.81,31.11,45,50.00,100.00,20.37,17.56,28.72
2606232014,Wednesday,Post-EU,94.25,-0.22,38.61,85.52,5,14,1,4.56,35.29,34.78,44.74,33.33,39,50.00,93.33,29.07,14.85,45.14
2606281724,Monday,Asia-EU,94.03,-1.24,30.63,68.67,0,12,1,4.32,40.00,21.15,38.64,26.47,34,80.00,100.00,17.20,16.22,17.19
2606291814,Tuesday,Pre-EU,92.79,0.93,37.72,78.95,1,13,0,3.95,47.37,21.28,50.00,25.58,43,40.00,89.47,27.37,16.67,49.68
2607060437,Monday,Post-NA,93.72,0.59,34.96,78.93,3,16,0,4.19,40.00,30.77,37.26,34.88,43,66.67,90.00,17.20,24.39,39.49
