Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2601052355,Tuesday,EU-NA,98.76,0.00,32.99,105.69,2,20,0,3.25,40.91,27.08,37.04,50.00,32,66.67,78.57,14.49,28.87,50.00
2601070522,Wednesday,Post-NA,98.76,0.00,33.80,96.18,6,22,0,3.88,23.33,37.50,35.71,27.08,48,41.67,75.00,15.31,30.99,44.31
2601071142,Wednesday,Pre-Asia,98.76,0.00,32.73,114.38,7,18,0,3.72,37.50,32.43,30.61,41.67,36,83.33,82.76,14.81,26.36,63.60
2601091539,Saturday,Asia-EU,98.76,-3.20,31.43,86.65,1,20,0,4.14,38.71,34.69,25.00,22.73,44,41.67,76.32,14.71,27.14,16.77
2601120716,Monday,NA-Asia,95.53,3.20,31.68,95.87,2,16,2,3.91,20.00,27.27,38.30,40.62,32,40.00,86.21,9.72,28.71,42.92
2601121404,Monday,Post-Asia,98.76,0.00,24.05,97.97,3,13,0,3.21,31.58,20.00,23.33,42.11,19,80.00,72.22,9.84,22.79,27.56
2601121920,Tuesday,Pre-EU,98.76,0.00,33.66,99.33,2,16,0,3.94,33.33,34.15,33.33,32.35,34,40.00,83.33,18.18,23.76,60.26
2601141713,Thursday,Asia-EU,98.76,0.00,31.39,81.85,2,16,2,4.33,17.86,36.21,33.33,23.26,43,50.00,75.00,13.40,29.20,28.17
2601142226,Thursday,Post-EU,98.76,0.00,22.62,54.72,1,6,0,4.42,33.33,16.67,25.00,31.58,19,60.00,61.91,9.52,25.00,18.86
2601170250,Saturday,Post-NA,98.76,0.00,25.74,71.54,1,12,0,4.23,18.75,31.82,21.95,42.31,26,66.67,95.83,3.90,23.76,34.04
2601171848,Sunday,Pre-EU,98.76,0.00,31.91,82.40,1,16,1,4.27,44.44,28.57,29.31,22.22,45,50.00,73.17,15.00,29.08,45.51
2601201411,Tuesday,Post-Asia,98.76,0.00,36.04,93.19,1,15,0,4.25,40.91,33.33,36.17,22.50,40,80.00,66.67,19.44,35.13,69.23
2601211018,Wednesday,Pre-Asia,98.76,0.00,30.97,103.00,7,22,2,3.71,26.09,37.29,27.40,39.58,48,75.00,82.61,9.17,29.68,70.67
2601211541,Thursday,Asia-EU,98.76,0.00,31.30,105.43,1,21,1,3.72,42.86,26.41,33.33,41.67,36,80.00,87.10,10.71,26.96,62.11
2601212224,Thursday,Post-EU,98.76,0.00,32.35,108.15,3,15,0,3.48,38.09,26.83,35.00,39.39,33,40.00,90.00,8.33,29.41,65.99
