Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2601011247,Thursday,Post-Asia,105.81,0.00,39.64,141.05,5,24,0,3.32,21.74,36.96,52.38,52.27,44,66.67,94.44,13.33,32.43,50.00
2601031613,Sunday,Asia-EU,105.81,0.00,30.77,86.11,2,9,1,4.11,33.33,28.12,31.58,28.57,28,60.00,88.46,7.69,28.57,13.69
2601041654,Monday,Asia-EU,105.81,0.00,32.79,82.88,1,12,0,4.40,37.04,18.18,43.14,27.50,40,60.00,89.66,15.05,23.77,34.52
2601061215,Tuesday,Pre-Asia,105.81,0.00,39.67,115.04,5,21,0,4.08,42.10,25.93,54.17,35.42,48,33.33,86.49,19.05,30.58,68.91
2601082226,Friday,Post-EU,105.81,0.00,45.45,103.09,1,18,0,4.54,54.55,37.84,47.06,22.00,50,40.00,87.50,21.43,36.36,50.95
2601082232,Friday,EU-NA,105.81,0.00,45.45,103.09,1,18,0,4.54,54.55,37.84,47.06,22.00,50,40.00,87.50,21.43,36.36,52.00
2601091539,Saturday,Asia-EU,105.81,0.00,32.35,138.49,5,21,0,3.18,27.59,27.78,40.54,54.55,33,33.33,82.76,12.33,28.43,37.27
2601121404,Monday,Post-Asia,105.81,0.00,48.91,139.88,2,18,0,4.02,60.87,36.00,50.00,37.78,45,60.00,86.11,25.00,39.13,75.14
2601141040,Wednesday,Pre-Asia,105.81,0.00,40.46,86.90,1,15,0,4.66,51.85,34.00,40.74,18.87,53,60.00,91.30,12.94,35.12,47.52
2601141713,Thursday,Asia-EU,105.81,0.00,43.05,105.64,5,22,0,4.46,39.39,37.50,51.85,23.08,65,66.67,87.81,26.36,27.15,60.51
2601151819,Friday,Pre-EU,105.81,0.00,40.00,96.47,4,15,0,4.26,52.63,25.00,48.08,34.78,46,50.00,96.00,24.44,21.74,56.87
2601161232,Friday,Post-Asia,105.81,0.00,34.88,77.24,2,14,0,4.91,27.78,29.63,42.10,22.22,45,33.33,71.80,18.89,30.23,14.81
2601191138,Monday,Pre-Asia,105.81,0.00,43.80,89.70,0,19,0,4.72,66.67,34.55,43.10,25.00,60,41.67,95.35,20.21,31.39,51.35
2601201411,Tuesday,Post-Asia,105.81,0.00,43.96,110.81,0,16,0,4.38,41.18,38.23,50.00,22.50,40,80.00,88.57,16.07,38.46,58.38
2601201913,Wednesday,Pre-EU,105.81,0.00,36.92,102.91,4,18,0,4.06,40.00,28.00,43.64,39.58,48,50.00,94.12,16.67,26.15,36.27
2601211018,Wednesday,Pre-Asia,105.81,0.00,45.79,85.91,1,12,0,4.84,42.86,50.00,40.62,18.37,49,50.00,87.81,19.70,38.32,50.03
2601211541,Thursday,Asia-EU,105.81,0.00,39.45,81.07,2,9,0,4.77,40.91,32.50,44.68,13.95,43,70.00,81.08,18.06,33.95,21.76
2601241546,Sunday,Asia-EU,105.81,0.00,37.27,89.65,2,14,0,4.73,11.77,33.33,52.38,17.07,41,60.00,89.66,18.52,26.36,29.44
2601261410,Monday,Post-Asia,105.81,0.00,35.25,113.99,5,19,1,3.95,4.76,35.56,46.43,39.53,43,0.00,76.32,16.67,31.15,36.26
2601271914,Wednesday,Pre-EU,105.81,0.00,28.83,63.41,2,9,0,4.72,25.00,23.26,37.50,21.88,32,20.00,85.71,9.64,25.23,17.85
2601281906,Thursday,Pre-EU,105.81,0.00,44.00,99.04,0,14,0,4.43,42.86,42.86,46.67,18.18,44,60.00,84.85,23.88,33.00,68.46
2601291924,Friday,Pre-EU,105.81,0.00,37.26,86.63,1,7,0,4.37,41.67,26.67,41.67,21.05,19,50.00,76.19,10.00,41.18,21.36
