Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2601120716,Monday,NA-Asia,120.74,-1.10,54.40,139.64,1,24,0,4.09,81.25,45.45,55.56,35.29,68,80.00,92.59,43.88,21.60,50.00
2601161232,Friday,Post-Asia,119.68,0.00,46.67,131.37,3,30,0,4.03,46.67,37.29,55.74,32.86,70,50.00,87.50,31.82,26.67,31.12
2601170250,Saturday,Post-NA,119.68,0.00,43.86,141.33,5,22,1,3.82,52.94,43.75,40.82,36.00,50,66.67,100.00,20.00,29.82,55.94
2601171848,Sunday,Pre-EU,119.68,0.00,44.04,116.04,1,17,0,4.27,39.13,39.47,50.00,27.08,48,80.00,92.31,28.92,23.85,28.60
2601180253,Sunday,Post-NA,119.68,0.00,51.16,105.83,1,19,0,4.49,60.00,44.00,54.24,13.64,66,33.33,82.50,37.08,31.01,53.06
2601290543,Thursday,NA-Asia,119.68,20.40,54.48,147.02,3,32,0,3.88,51.85,42.37,70.83,32.88,73,58.33,92.31,38.95,29.10,88.47
2602030746,Tuesday,NA-Asia,140.08,997.80,39.60,108.64,2,14,0,4.25,52.38,35.56,37.14,27.50,40,40.00,81.82,27.85,21.78,25.53
2603011142,Sunday,Pre-Asia,113.78,0.76,48.78,120.87,2,22,0,4.25,56.25,50.00,45.90,35.00,60,41.67,88.37,27.50,34.96,29.51
2603121924,Friday,Pre-EU,114.55,-2.42,47.50,92.67,0,15,1,4.56,50.00,52.00,41.67,12.28,57,50.00,91.43,29.41,29.17,19.35
2603192215,Friday,Post-EU,112.13,1.23,42.10,112.62,3,22,0,4.11,41.67,41.18,43.10,32.14,56,66.67,91.89,22.92,27.82,25.19
2603300642,Monday,NA-Asia,113.36,1.37,49.54,150.17,5,27,0,3.54,48.00,43.40,61.29,40.74,54,80.00,91.89,27.78,33.95,60.04
2604032123,Saturday,Post-EU,114.73,-1.37,47.89,122.01,7,26,2,4.29,34.78,50.00,50.98,30.88,68,20.00,88.37,30.30,30.28,49.87
2604041820,Sunday,Pre-EU,113.36,1.69,46.67,125.93,2,21,0,3.92,42.10,31.82,64.29,40.82,49,100.00,96.30,29.49,25.71,47.75
2604080258,Wednesday,Post-NA,115.05,-1.70,46.92,104.09,1,18,1,4.44,55.00,34.55,56.36,31.15,61,20.00,88.57,31.58,26.92,31.81
2604111104,Saturday,Pre-Asia,113.35,-0.62,55.64,116.84,0,25,0,4.37,47.83,52.08,61.29,17.57,74,30.00,88.57,43.88,26.32,40.94
2604120711,Sunday,NA-Asia,112.73,-2.18,50.93,104.76,2,27,0,4.44,60.71,44.29,53.97,24.39,82,50.00,95.00,36.36,24.84,52.00
2604190448,Sunday,Post-NA,110.56,0.15,38.26,98.03,3,23,0,3.95,33.33,45.16,33.33,40.35,57,50.00,90.91,23.28,22.15,35.28
2604190925,Sunday,Pre-Asia,110.71,-0.08,42.86,118.46,5,22,0,3.77,60.87,38.23,38.18,39.58,48,33.33,85.19,29.41,24.11,44.20
2604251753,Sunday,Pre-EU,110.63,0.87,46.67,110.25,4,17,0,4.31,50.00,53.49,38.09,28.57,49,60.00,96.30,29.49,25.71,50.87
2604270750,Monday,NA-Asia,111.50,-0.46,37.98,117.81,1,19,0,3.33,25.00,35.48,46.88,63.33,30,40.00,89.47,21.67,24.05,25.93
2604271001,Monday,Pre-Asia,111.03,0.32,49.19,121.78,2,24,0,4.21,31.58,51.79,53.06,36.07,61,60.00,92.11,30.23,30.64,79.92
2605091419,Saturday,Post-Asia,111.35,1.02,50.00,116.66,2,20,0,4.53,28.57,54.10,53.70,27.94,68,50.00,94.59,33.33,27.21,86.40
2605100702,Sunday,NA-Asia,112.37,2.36,59.09,149.72,6,21,0,4.32,68.42,52.83,63.16,29.23,65,80.00,94.87,39.44,35.45,92.14
2605112129,Tuesday,Post-EU,114.73,1.82,49.22,133.03,3,29,0,4.05,47.83,44.07,56.52,36.51,63,50.00,88.23,35.11,26.56,77.48
2605151239,Friday,Post-Asia,116.56,2.01,58.02,140.53,2,34,0,4.12,46.67,59.18,63.46,36.84,76,83.33,89.47,45.16,29.01,83.06
2605160712,Saturday,NA-Asia,118.56,1.93,48.15,145.29,4,27,0,3.52,33.33,50.94,52.94,36.54,52,80.00,86.21,34.18,26.85,68.32
2605170449,Sunday,Post-NA,120.50,1.99,50.78,157.81,6,34,0,3.62,62.50,44.90,50.91,38.46,65,33.33,86.96,30.49,35.94,67.51
2605180359,Monday,Post-NA,122.49,1.52,55.09,149.13,8,24,0,3.94,69.23,52.50,50.00,29.23,65,60.00,94.87,35.44,33.05,84.12
2605182103,Tuesday,Post-EU,124.00,1.24,56.93,147.08,4,35,0,3.99,58.33,57.63,55.56,28.21,78,50.00,91.43,45.10,25.55,68.39
2605190912,Tuesday,Pre-Asia,125.24,1.88,56.92,121.08,2,22,0,4.46,52.63,58.14,57.35,24.32,74,80.00,88.57,45.26,26.92,59.54
2605201810,Thursday,Pre-EU,127.12,-14.68,47.37,116.08,2,33,0,4.04,44.44,55.36,42.31,29.17,72,16.67,87.27,24.74,36.18,9.01
2605232205,Sunday,Post-EU,112.44,-0.41,39.08,111.51,2,14,0,3.68,41.18,42.10,34.38,44.12,34,20.00,78.95,27.94,21.84,10.80
2605260841,Tuesday,Pre-Asia,112.03,-0.88,50.00,114.45,3,28,0,4.04,50.00,56.06,43.10,30.00,70,50.00,85.37,35.35,29.29,17.55
2605291022,Friday,Pre-Asia,111.14,-0.00,50.00,111.01,3,24,0,4.09,47.37,36.59,58.57,24.62,65,50.00,84.21,35.87,29.23,34.74
2605291802,Saturday,Pre-EU,111.14,-0.06,51.85,129.87,2,23,0,3.73,52.94,43.90,58.00,39.29,56,80.00,93.55,35.06,28.70,70.43
2605310851,Sunday,Pre-Asia,111.08,-1.19,53.15,111.09,2,20,0,4.44,66.67,56.60,44.19,32.20,59,40.00,79.31,43.90,26.13,40.86
2605311131,Sunday,Pre-Asia,109.89,-1.23,50.00,109.26,0,19,0,4.23,45.45,51.06,50.00,33.33,48,20.00,87.50,37.50,25.00,41.82
2606010210,Monday,Pre-NA,108.66,-1.62,45.93,99.31,1,21,1,4.32,48.15,47.06,43.86,25.81,62,50.00,91.18,30.69,25.18,32.44
2606010852,Monday,Pre-Asia,107.03,-1.32,52.29,120.20,4,30,0,4.17,55.00,49.25,54.55,31.25,80,16.67,97.14,38.98,22.88,87.07
2606030618,Wednesday,NA-Asia,105.71,-0.57,50.41,99.17,1,18,0,4.38,43.33,52.08,53.49,18.03,61,66.67,81.08,36.91,30.58,57.94
2606040237,Thursday,Post-NA,105.14,-0.61,42.42,88.90,0,20,0,4.16,52.63,38.71,43.14,19.64,56,33.33,69.23,31.18,29.55,17.80
2606060823,Saturday,NA-Asia,104.53,0.95,48.28,104.98,2,15,0,4.17,57.14,50.00,45.24,30.95,42,80.00,93.33,24.56,34.48,50.06
2606141341,Sunday,Post-Asia,105.48,-0.71,45.37,106.62,2,19,0,4.00,48.00,47.92,40.00,32.65,49,33.33,89.29,30.00,25.93,31.39
2606151814,Tuesday,Pre-EU,104.77,-1.77,41.07,70.88,1,10,0,4.67,36.00,40.54,44.00,10.87,46,50.00,83.33,29.55,21.43,9.87
2606182014,Friday,Post-EU,103.00,-1.03,51.77,105.28,3,24,0,4.47,45.83,52.63,53.33,27.40,73,66.67,86.96,34.74,32.62,79.16
2606211321,Sunday,Post-Asia,101.97,-0.67,44.68,109.12,3,26,0,4.06,47.37,45.45,42.86,36.51,63,25.00,80.56,32.38,25.53,49.48
2606212018,Monday,Post-EU,101.30,-0.28,40.00,100.49,3,19,0,3.89,47.37,36.73,40.48,45.45,44,50.00,74.07,28.92,24.55,41.88
2606221519,Tuesday,Post-Asia,101.02,-0.31,42.35,85.12,0,12,0,4.36,62.50,30.56,45.45,19.44,36,60.00,100.00,26.87,21.18,35.40
2606252303,Friday,EU-NA,100.71,-0.54,43.40,102.02,1,19,0,3.96,40.00,45.24,43.18,34.78,46,33.33,86.36,32.14,20.75,56.66
2606290521,Monday,Post-NA,100.17,-0.73,46.99,89.92,3,22,0,4.33,36.36,43.84,56.67,17.95,78,33.33,87.10,37.78,18.68,54.72
2607032107,Saturday,Post-EU,99.44,1.47,47.37,116.77,7,20,0,3.89,40.91,50.98,46.34,35.19,54,80.00,74.29,35.44,30.70,84.06
2607040715,Saturday,NA-Asia,100.91,-1.88,42.96,77.85,0,14,0,4.74,52.38,44.23,38.71,20.69,58,33.33,81.25,31.07,23.70,11.70
2607042147,Sunday,Post-EU,99.03,-0.47,47.10,98.42,0,30,0,4.23,55.56,52.94,40.58,27.69,65,16.67,88.89,36.94,19.57,76.56
2607050705,Sunday,NA-Asia,98.57,0.64,44.96,89.02,1,19,0,4.34,50.00,46.03,41.67,24.14,58,33.33,87.18,26.67,30.23,45.05
2607112122,Sunday,Post-EU,99.21,-0.52,54.84,93.35,2,16,0,4.68,61.11,53.85,53.70,19.12,68,20.00,90.62,42.39,25.81,56.33
2607120709,Sunday,NA-Asia,98.69,2.46,54.33,137.96,4,36,0,3.56,55.17,46.34,59.65,39.13,69,83.33,83.78,42.22,29.13,88.56
2607142114,Wednesday,Post-EU,101.14,0.29,36.92,107.41,5,27,0,3.62,29.17,38.60,38.78,43.75,48,66.67,83.33,26.41,18.46,48.21
2607180638,Saturday,NA-Asia,101.43,-0.22,48.41,82.54,0,14,0,4.82,51.85,47.73,47.27,13.11,61,40.00,83.87,36.84,24.60,40.25
2607200549,Monday,NA-Asia,101.22,0.47,50.00,102.78,2,25,0,4.33,63.16,49.02,46.88,20.90,67,60.00,90.91,36.63,24.63,84.09
2607252109,Sunday,Post-EU,101.68,2.26,53.19,150.49,3,25,0,3.48,50.00,45.24,64.71,42.00,50,66.67,95.83,38.57,25.53,90.61
2607292101,Thursday,Post-EU,103.94,-0.49,49.15,105.45,1,21,0,4.00,55.00,52.54,41.03,27.59,58,33.33,93.75,32.56,27.12,42.43
2607312146,Saturday,Post-EU,103.45,1.87,40.62,122.59,3,22,0,3.36,38.09,44.74,37.84,53.85,39,50.00,83.33,26.39,25.00,50.87
