Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2601011247,Thursday,Post-Asia,108.05,0.00,33.63,122.67,6,23,0,3.42,31.82,32.08,36.84,47.37,38,50.00,100.00,15.73,21.24,50.00
2601051601,Tuesday,Asia-EU,108.05,0.00,34.15,131.70,8,22,1,3.60,41.67,32.00,32.65,45.24,42,80.00,82.35,15.73,27.64,57.36
2601061215,Tuesday,Pre-Asia,108.05,0.00,30.58,92.75,5,17,0,4.05,26.32,29.63,33.33,43.24,37,33.33,78.79,12.50,27.27,17.12
2601071142,Wednesday,Pre-Asia,108.05,0.00,30.77,98.39,2,19,0,3.58,27.78,31.82,32.43,44.44,36,50.00,79.31,14.77,24.79,25.13
2601091539,Saturday,Asia-EU,108.05,0.00,37.86,113.80,2,24,0,4.00,41.94,36.73,36.67,28.30,53,41.67,86.11,21.15,25.71,67.88
2601101213,Saturday,Pre-Asia,108.05,0.00,35.34,115.20,5,20,1,3.94,28.57,37.29,35.00,40.43,47,66.67,83.33,17.53,27.07,68.25
2601121404,Monday,Post-Asia,108.05,0.00,41.77,163.98,4,21,0,3.24,52.63,36.67,40.00,45.45,33,80.00,88.23,29.03,21.52,78.90
2601121920,Tuesday,Pre-EU,108.05,0.00,38.09,122.78,3,19,0,3.73,37.50,30.77,45.24,40.00,40,60.00,89.19,10.29,35.24,63.16
2601161232,Friday,Post-Asia,108.05,0.00,35.33,114.81,6,23,0,3.91,46.67,30.51,34.43,32.08,53,50.00,90.91,19.66,22.00,52.11
2601191138,Monday,Pre-Asia,108.05,0.00,34.62,91.98,4,20,4,4.43,52.94,27.27,32.14,33.33,54,58.33,86.11,19.17,23.08,42.30
2601201411,Tuesday,Post-Asia,108.05,0.00,32.22,84.70,1,13,0,4.31,45.00,36.36,21.62,24.14,29,60.00,70.97,11.86,34.44,18.96
2601211018,Wednesday,Pre-Asia,108.05,0.00,31.43,119.97,8,25,2,3.46,33.33,27.78,33.90,50.00,44,33.33,91.43,11.43,25.00,50.64
2601231253,Friday,Post-Asia,108.05,0.00,38.09,113.86,5,23,1,4.09,36.11,35.29,41.67,28.57,56,16.67,92.11,19.27,25.85,66.60
2601241546,Sunday,Asia-EU,108.05,0.00,40.80,117.23,2,20,0,4.28,57.14,42.22,33.90,31.37,51,80.00,87.81,17.86,32.80,70.11
2601261410,Monday,Post-Asia,108.05,0.00,39.62,128.26,8,29,1,3.86,41.38,40.98,37.68,28.57,63,58.33,88.64,20.87,27.67,79.11
2601262254,Tuesday,EU-NA,108.05,22.60,34.68,94.19,2,17,1,4.05,21.74,35.09,40.91,25.58,43,80.00,82.35,16.67,27.42,30.58
2602091602,Tuesday,Asia-EU,130.62,-0.90,40.00,109.05,2,13,0,4.43,57.90,34.15,38.00,31.82,44,60.00,82.86,20.00,31.82,45.74
2602121847,Friday,Pre-EU,129.72,-0.20,41.82,125.34,3,18,0,4.13,29.41,42.86,45.45,34.78,46,50.00,88.57,20.00,31.82,64.03
2602131029,Friday,Pre-Asia,129.53,0.80,29.03,98.07,3,22,2,4.02,46.15,26.87,24.19,40.00,45,83.33,77.14,15.00,22.58,13.41
2602140954,Saturday,Pre-Asia,130.36,960.70,35.38,121.47,4,23,0,4.00,30.00,25.49,48.98,34.78,46,16.67,91.43,14.74,26.92,62.72
2602200956,Friday,Pre-Asia,109.11,-0.04,42.31,104.97,3,23,1,4.25,34.62,47.06,41.51,36.36,55,30.00,83.33,26.60,27.69,43.32
2602201055,Friday,Pre-Asia,109.07,2.42,42.86,116.14,6,25,0,3.95,51.72,37.04,44.00,35.09,57,58.33,84.21,26.32,28.57,68.12
2602211142,Saturday,Pre-Asia,111.49,0.08,34.58,103.04,5,19,0,3.84,47.37,35.71,28.26,32.43,37,83.33,81.82,13.51,30.84,14.72
2602261333,Thursday,Post-Asia,111.57,-0.69,46.15,117.64,1,7,0,4.33,42.86,41.18,53.33,33.33,18,50.00,90.00,31.03,25.64,60.88
2602270936,Friday,Pre-Asia,110.88,-3.08,36.67,94.81,1,16,0,4.02,31.25,34.62,40.38,29.55,44,0.00,80.00,25.26,20.83,20.10
2603011142,Sunday,Pre-Asia,107.80,-2.07,38.28,113.88,3,26,1,3.80,58.33,28.57,38.18,40.82,49,33.33,76.92,21.35,30.47,41.13
2603021604,Tuesday,Asia-EU,105.73,0.84,36.36,113.10,7,24,3,3.90,46.67,37.50,30.77,42.31,52,16.67,85.00,17.48,27.97,38.90
2603081621,Monday,Asia-EU,106.57,-1.36,34.19,115.39,5,22,1,3.62,47.83,30.95,30.77,45.00,40,40.00,73.53,18.07,29.06,27.94
2603121924,Friday,Pre-EU,105.21,0.67,37.41,84.47,2,15,1,4.33,55.56,32.08,33.33,22.45,49,90.00,77.78,22.11,27.48,27.34
2603200843,Friday,Pre-Asia,105.88,-2.29,32.61,81.16,3,13,1,4.02,23.53,25.81,42.37,17.78,45,16.67,77.50,14.29,28.99,7.39
2604080258,Wednesday,Post-NA,103.59,0.42,40.83,103.99,2,19,0,4.29,39.13,36.54,46.67,30.61,49,50.00,80.56,23.81,30.00,74.05
2604111104,Saturday,Pre-Asia,104.01,-1.29,30.67,91.26,2,10,0,3.74,46.67,29.63,24.24,43.48,23,40.00,81.25,16.95,21.33,19.41
2604141016,Tuesday,Pre-Asia,102.72,-0.50,31.03,103.83,8,22,2,3.80,37.93,30.30,28.00,51.11,45,66.67,84.38,15.93,22.07,61.88
2604171040,Friday,Pre-Asia,102.21,0.22,33.98,110.23,5,17,0,3.63,27.78,25.45,53.33,37.14,35,66.67,80.00,19.23,24.27,63.92
2604211807,Wednesday,Pre-EU,102.43,1.79,36.72,118.80,5,26,0,3.55,32.26,38.78,37.50,55.32,47,40.00,81.82,21.05,25.78,87.01
2604232130,Friday,Post-EU,104.22,-0.84,34.48,91.78,2,18,2,3.75,50.00,20.00,34.04,25.00,40,60.00,84.00,20.88,21.55,36.17
2604301404,Thursday,Post-Asia,103.38,2.27,31.43,119.37,5,23,0,2.85,22.73,32.65,35.29,63.64,33,100.00,91.67,13.58,22.86,63.13
2605091419,Saturday,Post-Asia,105.65,-0.63,37.50,95.45,1,20,1,4.43,47.62,29.51,42.59,39.22,51,50.00,88.57,19.80,25.73,50.64
2605191357,Tuesday,Post-Asia,105.02,-0.39,34.33,106.20,6,24,1,3.63,31.82,35.42,34.38,39.13,46,25.00,92.31,20.37,19.40,61.53
2605201047,Wednesday,Pre-Asia,104.62,0.40,32.22,106.78,6,16,0,3.52,36.84,27.78,34.29,51.72,29,16.67,88.23,19.18,18.89,59.29
2605211005,Thursday,Pre-Asia,105.02,-0.14,38.97,99.32,0,30,1,3.91,32.14,30.00,47.06,32.08,53,50.00,86.11,22.00,26.47,48.59
2605241211,Sunday,Pre-Asia,104.88,-7.04,42.98,123.90,4,25,2,3.83,39.13,47.17,40.00,38.46,52,66.67,85.71,25.58,28.93,62.15
2605250856,Monday,Pre-Asia,97.84,2.37,49.25,157.16,11,35,0,3.35,41.67,57.90,43.40,46.97,66,50.00,89.13,28.41,34.33,92.78
2606021427,Tuesday,Post-Asia,100.21,0.96,35.97,117.55,5,27,0,3.15,34.62,31.71,40.43,46.34,41,66.67,70.59,21.25,29.82,60.14
2606021745,Wednesday,Pre-EU,101.17,-0.33,30.43,99.95,4,14,0,3.29,35.00,29.27,29.03,46.43,28,40.00,75.00,21.05,17.39,23.55
2606031001,Wednesday,Pre-Asia,100.84,-0.60,33.33,86.65,2,19,1,3.85,45.45,33.96,27.08,31.71,41,33.33,79.17,22.22,19.51,17.13
2606042132,Friday,Post-EU,100.23,-2.16,29.90,88.65,3,14,0,3.69,22.22,34.15,28.95,44.83,29,20.00,76.92,22.62,13.40,17.89
2606161106,Tuesday,Pre-Asia,98.08,-0.15,29.14,76.12,2,21,0,3.91,50.00,15.79,32.35,31.82,44,50.00,79.07,9.26,28.48,31.60
2606251822,Friday,Pre-EU,97.93,-0.85,28.12,79.26,4,17,1,3.78,27.27,22.95,35.56,25.00,36,33.33,75.76,11.58,25.78,12.02
2606271740,Sunday,Pre-EU,97.08,1.06,38.02,110.13,4,19,1,3.87,48.00,30.43,40.00,36.96,46,100.00,88.23,18.39,28.10,78.77
2607131430,Monday,Post-Asia,98.14,-1.11,29.13,69.88,2,10,0,4.07,32.00,27.50,28.95,23.33,30,60.00,80.00,20.45,14.56,25.79
2607161240,Thursday,Post-Asia,97.03,-1.34,36.07,95.26,2,23,0,3.77,38.46,30.19,41.86,40.91,44,16.67,84.85,17.98,27.05,41.98
2607181144,Saturday,Pre-Asia,95.69,-2.77,34.13,82.78,3,17,0,4.16,36.00,32.56,34.48,37.21,43,50.00,70.59,20.65,26.98,45.31
2607260856,Sunday,Pre-Asia,92.92,-2.03,36.15,86.87,5,23,1,4.32,32.14,34.21,40.32,33.33,60,33.33,82.61,18.33,27.71,52.14
2607270902,Monday,Pre-Asia,90.89,-0.81,27.86,78.90,3,20,1,3.74,18.18,27.27,34.62,48.72,39,50.00,81.25,12.04,22.86,38.99
2608011034,Saturday,Pre-Asia,90.08,-0.00,35.04,80.99,1,17,1,4.19,35.71,40.00,28.57,22.92,48,58.33,87.50,19.05,23.36,71.41
