Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2601011247,Thursday,Post-Asia,111.81,0.00,42.31,117.17,5,29,2,3.94,47.22,45.45,35.19,34.85,66,33.33,87.50,22.22,30.77,50.00
2601041654,Monday,Asia-EU,111.81,0.00,38.79,106.08,3,16,0,4.38,32.14,38.46,44.44,26.67,45,60.00,88.23,18.29,29.31,28.99
2601052355,Tuesday,EU-NA,111.81,0.00,41.12,132.40,7,22,0,3.34,50.00,30.23,47.50,40.91,44,83.33,87.50,21.33,29.91,68.70
2601071142,Wednesday,Pre-Asia,111.81,0.00,35.45,96.29,3,17,0,4.13,41.67,27.03,38.78,30.77,39,83.33,84.38,15.38,29.09,20.51
2601071657,Thursday,Asia-EU,111.81,0.00,43.09,77.53,1,16,1,5.12,50.00,40.74,42.65,16.67,78,50.00,84.61,19.83,35.91,46.56
2601082226,Friday,Post-EU,111.81,0.00,54.23,110.82,1,23,0,4.66,64.52,48.48,55.56,27.27,77,90.00,87.27,33.33,38.73,75.45
2601082232,Friday,EU-NA,111.81,0.00,54.23,110.82,1,23,0,4.66,64.52,48.48,55.56,27.27,77,90.00,87.27,33.33,38.73,75.26
2601101213,Saturday,Pre-Asia,111.81,0.00,44.44,94.78,1,19,0,4.62,46.88,51.56,36.36,13.89,72,33.33,94.00,22.32,30.86,39.95
2601121920,Tuesday,Pre-EU,111.81,0.00,37.63,102.48,1,14,1,4.03,57.14,38.46,30.00,31.43,35,40.00,82.76,17.19,31.18,18.55
2601141040,Wednesday,Pre-Asia,111.81,0.00,43.08,103.27,3,15,0,4.54,54.55,40.00,38.46,21.43,56,60.00,88.57,26.32,26.92,44.84
2601141713,Thursday,Asia-EU,111.81,0.00,39.07,84.28,2,15,0,4.66,36.36,40.62,38.89,22.03,59,66.67,89.80,14.71,32.45,31.57
2601142226,Thursday,Post-EU,111.81,0.00,37.62,98.37,1,14,0,4.13,33.33,42.86,32.43,31.58,38,80.00,86.67,16.90,29.70,28.49
2601151015,Thursday,Pre-Asia,111.81,0.00,34.85,82.15,1,14,0,4.65,47.62,32.79,32.00,15.22,46,66.67,81.82,19.19,25.00,18.03
2601151819,Friday,Pre-EU,111.81,0.00,46.43,116.61,3,26,0,4.09,56.00,37.50,50.85,33.85,65,50.00,93.48,23.40,32.86,80.55
2601161232,Friday,Post-Asia,111.81,0.00,40.60,119.26,2,27,0,4.17,43.33,39.62,40.00,37.04,54,83.33,95.24,15.38,31.58,52.06
