Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2601031613,Sunday,Asia-EU,123.46,0.00,32.76,100.32,4,14,0,3.95,47.83,23.53,35.71,28.95,38,100.00,66.67,22.47,23.28,50.00
2601041654,Monday,Asia-EU,123.46,0.00,42.57,107.69,2,13,0,4.44,53.57,38.46,38.23,27.91,43,60.00,84.38,23.19,31.68,73.38
2601051601,Tuesday,Asia-EU,123.46,0.00,32.67,87.89,2,13,0,4.24,38.09,27.27,36.11,33.33,33,40.00,92.59,10.81,26.73,29.74
2601082226,Friday,Post-EU,123.46,0.00,47.15,128.30,5,22,0,4.28,68.42,36.36,51.02,34.48,58,40.00,84.09,26.58,35.77,80.54
2601082232,Friday,EU-NA,123.46,928.30,47.15,128.30,5,22,0,4.28,68.42,36.36,51.02,34.48,58,40.00,84.09,26.58,35.77,89.65
2602171440,Tuesday,Post-Asia,105.18,-1.47,41.94,90.59,2,14,0,4.29,60.87,33.93,42.22,21.15,52,33.33,81.08,25.29,29.84,36.53
2602271905,Saturday,Pre-EU,103.71,4.70,50.46,140.80,5,28,0,3.54,78.95,44.68,44.19,43.64,55,66.67,83.33,29.85,38.53,73.86
2603091606,Tuesday,Asia-EU,108.41,-0.31,38.05,90.21,2,15,2,4.16,55.00,37.21,32.00,23.26,43,80.00,73.33,25.30,26.55,17.37
2603151856,Monday,Pre-EU,108.10,-2.34,44.32,114.81,1,22,0,3.69,60.00,43.48,31.82,43.59,39,20.00,79.31,27.12,32.95,53.16
2603211606,Sunday,Asia-EU,105.76,2.36,43.37,151.30,6,21,0,3.42,73.33,42.50,28.57,52.78,36,60.00,73.08,29.82,31.32,58.21
2603231619,Tuesday,Asia-EU,108.12,-0.28,39.78,111.36,5,13,0,4.22,42.31,33.33,44.12,32.43,37,40.00,86.67,17.46,32.26,18.52
2603251554,Thursday,Asia-EU,107.85,-0.07,36.43,75.55,1,16,0,4.60,54.17,19.57,42.37,21.28,47,66.67,80.00,16.85,31.01,13.55
2604032123,Saturday,Post-EU,107.78,2.59,48.33,113.13,4,20,0,4.47,43.48,44.90,54.17,27.59,58,60.00,84.44,26.67,37.50,58.46
2604041820,Sunday,Pre-EU,110.37,-1.95,44.44,112.13,3,20,0,4.21,54.55,34.88,48.84,35.42,48,40.00,85.29,25.68,31.48,51.53
2604051044,Sunday,Pre-Asia,108.42,1.43,39.82,112.16,5,19,0,4.02,36.36,48.84,33.33,37.78,45,83.33,75.00,28.23,24.78,59.96
2604101817,Saturday,Pre-EU,109.86,-2.02,30.23,72.12,1,13,0,4.12,50.00,19.36,29.73,26.92,26,40.00,65.00,19.70,23.26,3.21
2604201915,Tuesday,Pre-EU,107.84,-0.45,50.43,125.22,2,24,0,4.07,62.50,48.78,46.15,32.20,59,50.00,82.05,34.62,33.33,68.16
2604211807,Wednesday,Pre-EU,107.39,-1.61,31.25,66.81,1,14,0,4.35,41.94,22.45,33.33,22.50,40,40.00,65.52,21.21,22.66,3.32
2604232130,Friday,Post-EU,105.78,-0.09,44.71,112.70,1,18,0,3.87,46.15,45.95,42.86,28.95,38,40.00,84.21,33.33,22.35,65.99
2604251753,Sunday,Pre-EU,105.69,-1.21,41.58,95.44,2,13,0,4.36,50.00,34.09,45.95,30.95,42,90.00,79.17,29.87,23.76,44.67
2605021226,Saturday,Pre-Asia,104.48,4.13,54.39,161.83,11,24,0,3.85,64.71,43.48,60.78,38.71,62,66.67,89.36,29.85,41.23,97.49
2605051833,Wednesday,Pre-EU,108.61,0.47,44.94,124.92,4,19,0,3.73,70.59,40.00,37.50,40.00,40,20.00,89.66,23.33,32.58,70.13
2605081101,Friday,Pre-Asia,109.08,1.41,44.17,101.98,5,24,0,4.31,62.96,40.28,40.62,22.22,72,75.00,77.78,27.52,33.13,62.14
2605111757,Tuesday,Pre-EU,110.49,0.10,49.63,122.57,2,29,0,3.97,60.71,44.26,50.00,23.53,68,16.67,74.42,38.30,31.39,60.86
2605112129,Tuesday,Post-EU,110.59,-1.21,42.71,86.20,1,11,0,4.68,73.68,34.15,36.11,21.95,41,40.00,76.67,27.27,31.25,11.36
2605122156,Wednesday,Post-EU,109.38,3.86,49.07,146.97,9,24,0,3.92,61.91,51.22,41.30,43.40,53,60.00,90.91,30.67,30.56,96.07
2605141424,Thursday,Post-Asia,113.24,-1.25,49.62,110.34,3,24,0,4.28,70.59,51.67,40.74,20.00,65,40.00,83.33,30.12,36.64,48.67
2605162148,Sunday,Post-EU,112.00,-9.18,48.21,110.73,2,22,1,4.46,73.33,41.03,46.55,33.33,54,0.00,85.00,27.78,35.71,34.45
2605291802,Saturday,Pre-EU,102.81,0.36,48.98,135.72,7,20,0,3.90,66.67,48.72,41.46,31.25,48,40.00,78.12,34.85,32.65,71.62
2605311131,Sunday,Pre-Asia,103.17,-1.26,33.96,76.94,3,15,0,4.31,57.14,37.78,23.40,22.22,36,40.00,57.14,22.54,33.02,6.24
2606041759,Friday,Pre-EU,101.92,0.03,49.25,121.36,2,32,0,3.73,65.52,51.92,37.74,25.76,66,83.33,86.96,29.55,34.33,85.82
2606071045,Sunday,Pre-Asia,101.95,-0.14,39.16,98.12,1,27,0,4.02,58.62,34.48,33.93,28.57,56,83.33,72.09,25.00,30.07,33.65
2606141341,Sunday,Post-Asia,101.81,-1.24,35.19,79.30,1,13,0,4.08,44.00,31.25,34.29,28.95,38,33.33,80.64,16.88,28.70,20.31
2606172309,Thursday,EU-NA,100.56,-0.95,48.47,96.03,2,27,0,4.61,70.97,43.08,43.28,24.05,79,33.33,76.79,33.65,34.36,53.37
2606210153,Sunday,Pre-NA,99.62,-2.68,24.59,34.42,0,3,0,4.87,45.45,18.18,21.43,6.67,15,0.00,66.67,10.87,24.59,2.88
2606291814,Tuesday,Pre-EU,96.94,1.28,48.81,147.19,4,26,0,3.22,81.25,42.86,39.39,46.34,41,80.00,73.33,35.19,35.71,82.31
2607041416,Saturday,Post-Asia,98.22,-0.53,50.81,98.34,1,20,1,4.49,70.37,40.91,49.06,28.57,63,20.00,80.95,35.37,33.87,73.78
2607131430,Monday,Post-Asia,97.69,-0.74,33.06,74.66,2,14,0,4.20,50.00,25.53,32.73,31.71,41,50.00,71.43,21.88,22.58,21.40
2607251058,Saturday,Pre-Asia,96.95,-2.07,42.19,79.73,2,18,1,4.52,73.68,41.67,32.79,31.48,54,16.67,72.97,29.67,28.91,43.81
2608021557,Monday,Asia-EU,94.88,1.33,49.09,92.72,2,12,1,4.56,64.29,54.35,40.00,16.67,54,50.00,80.95,29.41,38.18,83.65
2608082203,Sunday,Post-EU,96.21,,50.00,100.22,1,23,0,4.42,66.67,44.07,50.88,20.90,67,70.00,76.92,32.93,38.81,
