Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2602011658,Monday,Asia-EU,100.00,3.10,31.91,68.86,1,11,2,4.87,50.00,34.43,22.41,22.22,45,40.00,100.00,16.52,18.44,50.00
2602030746,Tuesday,NA-Asia,103.09,-4.80,28.71,60.91,0,11,1,4.59,47.62,20.00,28.57,10.34,29,40.00,94.12,15.48,16.83,12.33
2602040729,Wednesday,NA-Asia,98.26,5.70,31.86,109.80,3,18,0,3.81,31.43,26.19,38.89,33.33,36,66.67,100.00,11.49,23.01,78.06
2602061807,Saturday,Pre-EU,103.97,2.00,35.42,91.21,3,15,1,4.45,37.50,34.38,35.71,23.53,51,66.67,96.97,17.12,22.92,86.16
2602090816,Monday,NA-Asia,105.99,1.30,34.11,90.05,3,17,0,4.36,42.86,28.89,33.93,15.91,44,66.67,100.00,17.48,20.16,73.54
2602110645,Wednesday,NA-Asia,107.34,2.70,34.48,93.08,2,18,0,4.20,46.67,30.36,32.20,20.00,50,33.33,96.67,18.26,20.69,76.29
2602111620,Thursday,Asia-EU,110.05,-4.70,36.61,88.11,2,10,1,4.58,19.05,46.51,35.42,19.51,41,0.00,100.00,17.44,23.21,58.06
2602140954,Saturday,Pre-Asia,105.40,815.40,35.00,102.28,4,24,2,4.43,33.33,38.09,32.84,32.14,56,66.67,93.33,21.54,18.75,81.93
2602170635,Tuesday,NA-Asia,92.08,-0.10,33.33,99.46,4,22,0,3.52,25.00,40.35,28.57,45.24,42,33.33,96.00,17.82,19.84,49.20
2602180911,Wednesday,Pre-Asia,91.99,1.23,36.88,104.07,4,21,1,3.80,53.33,32.20,37.50,42.22,45,50.00,100.00,15.38,25.41,63.07
2602181122,Wednesday,Pre-Asia,93.22,1.29,37.69,95.24,3,19,0,4.22,27.78,28.30,49.15,34.69,49,50.00,100.00,20.59,21.54,71.87
2602192118,Friday,Post-EU,94.52,0.00,37.74,96.26,5,21,1,4.17,51.43,36.51,31.15,28.33,60,41.67,100.00,22.05,20.13,54.27
2602200956,Friday,Pre-Asia,94.52,2.60,28.45,64.54,2,10,0,4.27,38.09,20.00,32.00,27.27,33,100.00,100.00,17.00,13.79,18.71
2602201055,Friday,Pre-Asia,97.12,3.62,34.92,96.04,5,20,1,3.93,40.91,33.33,34.00,34.09,44,75.00,93.10,17.53,23.02,41.03
2602240917,Tuesday,Pre-Asia,100.73,-0.48,34.13,95.18,3,17,1,3.79,38.46,35.00,30.00,27.91,43,33.33,100.00,16.16,21.43,32.41
2602241113,Tuesday,Pre-Asia,100.25,-1.13,38.98,85.39,1,16,2,4.26,47.62,38.18,35.71,26.09,46,33.33,96.15,22.83,22.03,35.37
2602242102,Wednesday,Post-EU,99.12,1.13,33.93,101.13,6,18,2,3.84,45.83,31.48,29.41,44.74,38,50.00,95.65,17.98,20.54,32.32
2602251607,Thursday,Asia-EU,100.25,-2.16,28.44,83.92,3,14,1,3.77,42.86,24.44,25.58,35.48,31,40.00,100.00,13.33,17.43,16.44
2602270936,Friday,Pre-Asia,98.09,-4.06,27.50,59.02,1,9,1,4.36,31.25,30.77,23.08,27.27,33,0.00,95.24,13.13,17.50,3.60
