Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2601120716,Monday,NA-Asia,99.79,0.10,31.07,62.54,1,8,0,4.88,23.81,41.18,27.08,21.88,32,40.00,90.91,14.81,21.36,50.00
2601170753,Saturday,NA-Asia,99.84,0.00,26.00,64.75,2,10,0,4.23,26.32,28.95,23.26,30.77,26,40.00,95.65,5.20,23.00,43.93
2602010552,Sunday,NA-Asia,99.84,4.20,32.69,88.22,3,15,0,3.97,47.06,32.65,26.32,32.35,34,50.00,100.00,9.09,25.96,85.05
2602030746,Tuesday,NA-Asia,104.00,756.40,31.37,86.01,4,8,1,4.44,37.04,30.56,28.20,21.88,32,40.00,85.19,12.00,26.47,69.73
2602260643,Thursday,NA-Asia,86.04,1.33,35.08,80.91,3,16,0,4.34,36.00,33.33,36.73,19.15,47,60.00,94.12,15.00,25.37,67.35
2603050703,Thursday,NA-Asia,87.37,-2.14,33.60,78.49,3,12,1,4.17,30.00,38.71,27.91,26.19,42,40.00,96.88,11.83,25.60,62.11
2603160811,Monday,NA-Asia,85.23,3.44,37.07,100.09,3,21,0,3.77,59.09,42.31,19.05,37.21,43,66.67,94.44,11.25,31.03,66.12
2603211606,Sunday,Asia-EU,88.67,-0.94,25.93,73.52,3,11,0,3.81,18.75,22.86,33.33,23.81,21,40.00,90.91,1.70,27.16,6.71
2603230724,Monday,NA-Asia,87.73,2.24,43.48,86.20,2,15,0,4.60,53.49,38.09,39.62,15.00,60,66.67,95.12,21.65,29.71,67.51
2603300642,Monday,NA-Asia,89.97,2.31,30.21,97.09,5,16,1,3.69,26.09,36.59,25.00,37.93,29,80.00,88.46,8.57,27.08,32.81
2604010549,Wednesday,NA-Asia,92.28,0.41,31.45,79.12,4,16,0,3.95,23.33,33.33,35.00,28.21,39,33.33,90.62,10.87,25.81,26.46
2604020651,Thursday,NA-Asia,92.69,0.22,32.79,85.45,2,15,0,3.90,30.43,35.29,31.25,22.50,40,33.33,86.67,15.22,24.59,32.57
2604090435,Thursday,Post-NA,92.91,-1.78,32.17,54.60,1,6,0,4.89,42.86,30.95,30.51,13.51,37,40.00,93.55,9.52,26.96,17.67
2604100500,Friday,Post-NA,91.13,0.16,31.86,58.98,0,9,1,4.56,44.44,31.25,27.66,13.89,36,60.00,92.00,14.77,22.12,27.89
2604232130,Friday,Post-EU,91.29,-2.05,34.69,72.85,1,11,0,4.35,47.83,25.64,36.11,17.65,34,0.00,89.47,21.52,19.39,30.83
2604240700,Friday,NA-Asia,89.24,3.38,36.52,119.26,5,23,0,3.33,37.04,40.00,32.56,45.24,42,66.67,86.84,11.69,33.04,76.45
2604260618,Sunday,NA-Asia,92.62,-0.48,42.50,110.05,2,17,0,3.73,71.43,42.10,37.14,35.29,34,40.00,93.33,12.00,37.50,54.71
2604270750,Monday,NA-Asia,92.13,3.62,34.12,115.01,5,16,0,3.28,40.00,30.00,36.00,44.83,29,100.00,88.46,10.17,30.59,59.44
2604280742,Tuesday,NA-Asia,95.75,-1.01,30.11,66.65,0,11,0,4.04,28.57,34.69,23.33,17.86,28,40.00,84.00,10.29,26.88,3.76
2605010624,Friday,NA-Asia,94.74,0.96,33.91,89.26,1,18,0,3.74,52.63,30.61,29.79,23.08,39,80.00,90.62,12.05,27.83,64.94
2605050720,Tuesday,NA-Asia,95.70,0.80,33.33,106.15,3,22,0,3.33,41.18,30.00,33.33,47.22,36,50.00,89.66,12.66,26.85,61.54
2605061606,Thursday,Asia-EU,96.50,1.47,29.20,87.04,4,17,0,3.82,26.67,26.92,32.61,48.48,33,100.00,83.33,9.64,26.55,41.88
2605070430,Thursday,Post-NA,97.97,0.99,41.30,106.51,1,27,0,3.86,46.43,43.86,35.85,40.35,57,33.33,89.47,23.00,27.54,80.29
2605080437,Friday,Post-NA,98.96,1.92,38.27,99.90,3,13,1,4.29,43.75,41.38,33.33,35.48,31,40.00,91.30,17.24,28.39,79.10
2605100702,Sunday,NA-Asia,100.88,0.76,31.43,71.99,1,10,0,4.27,35.00,34.21,27.66,33.33,33,80.00,90.91,15.66,20.95,29.93
2605110454,Monday,Post-NA,101.64,-0.42,35.20,100.79,5,21,1,3.75,40.91,30.64,39.02,40.91,44,50.00,91.43,13.33,28.00,53.40
2605130452,Wednesday,Post-NA,101.22,-2.27,32.38,67.40,1,12,0,4.38,30.43,47.62,17.50,29.41,34,20.00,82.14,14.29,26.67,16.76
2605140501,Thursday,Post-NA,98.96,-1.89,34.53,80.91,4,15,0,4.38,30.00,38.71,31.58,22.92,48,33.33,96.67,17.43,21.58,44.74
2605170449,Sunday,Post-NA,97.07,0.99,33.33,81.35,3,18,0,4.24,50.00,26.98,31.91,28.26,46,50.00,88.57,14.56,25.36,39.79
2605180359,Monday,Post-NA,98.06,-0.11,32.47,77.84,0,9,0,4.08,50.00,14.29,38.71,32.00,25,66.67,86.36,10.91,28.57,15.23
2605200627,Wednesday,NA-Asia,97.95,-0.43,36.31,69.13,1,13,0,5.04,47.22,28.07,37.50,17.54,57,58.33,91.89,19.17,23.57,51.78
2605220714,Friday,NA-Asia,97.52,1.33,34.19,106.18,3,19,1,3.65,33.33,40.91,28.85,32.50,40,83.33,89.74,6.41,33.33,60.99
2605240620,Sunday,NA-Asia,98.85,-8.59,33.08,82.16,2,18,0,3.93,46.15,30.43,29.31,20.93,43,33.33,88.57,12.63,26.92,19.81
2605280737,Thursday,NA-Asia,90.26,-1.61,37.50,76.46,2,12,2,4.54,40.00,35.29,39.47,17.95,39,20.00,93.75,12.50,30.77,35.57
2605310415,Sunday,Post-NA,88.65,0.54,30.17,82.76,2,21,0,3.34,46.67,39.53,18.97,42.86,35,50.00,86.21,11.49,25.00,44.28
2606090610,Tuesday,NA-Asia,89.19,0.50,44.66,83.85,2,12,0,4.63,40.91,54.76,35.90,21.74,46,40.00,97.14,17.65,33.98,84.69
2606110729,Thursday,NA-Asia,89.69,-1.60,34.62,66.65,3,10,0,4.93,50.00,35.59,28.30,17.78,45,60.00,84.21,14.13,29.23,34.13
2606120712,Friday,NA-Asia,88.09,0.47,36.00,68.61,2,12,0,4.71,43.75,31.03,39.22,24.44,45,66.67,85.29,17.58,27.20,60.15
2607042147,Sunday,Post-EU,88.56,0.64,38.89,84.19,4,20,0,4.36,29.17,49.06,34.33,25.00,56,50.00,93.48,13.27,31.94,80.15
2607080548,Wednesday,NA-Asia,89.20,-0.27,42.02,70.30,1,12,1,4.88,33.33,56.41,35.59,16.00,50,30.00,90.48,15.58,35.29,62.94
2607100423,Friday,Post-NA,88.93,1.96,43.81,89.19,2,17,0,4.43,52.17,43.59,39.53,28.26,46,80.00,84.85,25.00,31.43,84.13
2607210603,Tuesday,NA-Asia,90.89,-1.64,37.76,69.55,0,14,0,4.52,40.74,32.14,41.67,12.96,54,20.00,91.30,12.37,32.17,27.23
2608111615,Wednesday,Asia-EU,89.25,,25.83,46.08,2,8,1,4.64,40.00,17.31,30.19,19.35,31,50.00,86.21,6.59,24.17,
